userid	voucherCode	status	campaignID	time
3070	1000-5	GIVEN	1000	2021-11-01 13:31:04.561
355	1008-8	GIVEN	1008	2021-11-01 15:51:35.473
9006	1004-40	GIVEN	1004	2021-11-01 12:19:58.260
4891	1008-86	GIVEN	1008	2021-11-01 06:50:47.280
12531	1000-103	GIVEN	1000	2021-11-01 00:44:19.081
6860	1000-146	GIVEN	1000	2021-11-01 03:26:47.753
5856	1006-168	GIVEN	1006	2021-11-01 01:06:13.328
10842	1004-230	GIVEN	1004	2021-11-01 10:33:02.810
5430	1003-272	GIVEN	1003	2021-11-01 20:34:51.699
14082	1002-303	GIVEN	1002	2021-11-01 05:33:03.505
17257	1005-326	GIVEN	1005	2021-11-01 23:36:15.729
11161	1005-359	GIVEN	1005	2021-11-01 02:32:16.527
11744	1000-375	GIVEN	1000	2021-11-01 10:01:51.438
5297	1009-400	GIVEN	1009	2021-11-01 12:23:36.921
18054	1005-433	GIVEN	1005	2021-11-01 12:12:29.481
12069	1004-446	GIVEN	1004	2021-11-01 03:52:50.995
10716	1009-467	GIVEN	1009	2021-11-01 07:27:22.588
7533	1002-468	GIVEN	1002	2021-11-01 02:24:03.237
4267	1002-529	GIVEN	1002	2021-11-01 05:21:58.569
1538	1008-560	GIVEN	1008	2021-11-01 23:24:50.482
9849	1005-625	GIVEN	1005	2021-11-01 13:02:53.706
4431	1006-626	GIVEN	1006	2021-11-01 17:02:14.408
10810	1004-655	GIVEN	1004	2021-11-01 03:24:09.720
2580	1000-670	GIVEN	1000	2021-11-01 17:44:23.814
19024	1006-671	GIVEN	1006	2021-11-01 10:54:31.210
12664	1008-780	GIVEN	1008	2021-11-01 06:18:33.742
7707	1002-821	GIVEN	1002	2021-11-01 08:35:05.811
14700	1006-824	GIVEN	1006	2021-11-01 01:50:49.183
11338	1004-850	GIVEN	1004	2021-11-01 21:20:06.034
18635	1005-911	GIVEN	1005	2021-11-01 21:58:06.624
772	1001-926	GIVEN	1001	2021-11-01 17:46:40.756
11662	1003-940	GIVEN	1003	2021-11-01 13:06:20.829
18210	1007-964	GIVEN	1007	2021-11-01 22:51:29.341
13041	1002-967	GIVEN	1002	2021-11-01 23:27:13.565
14526	1003-1009	GIVEN	1003	2021-11-01 08:27:34.722
7065	1003-1058	GIVEN	1003	2021-11-01 08:14:27.640
1896	1002-1073	GIVEN	1002	2021-11-01 19:09:07.243
4021	1009-1107	GIVEN	1009	2021-11-01 14:23:03.737
19241	1002-1140	GIVEN	1002	2021-11-01 08:11:57.739
8025	1007-1160	GIVEN	1007	2021-11-01 13:13:04.161
14699	1004-1166	GIVEN	1004	2021-11-01 08:16:54.506
3902	1002-1204	GIVEN	1002	2021-11-01 12:41:06.076
17505	1007-1206	GIVEN	1007	2021-11-01 12:29:28.439
18832	1007-1227	GIVEN	1007	2021-11-01 08:16:25.857
7994	1007-1247	GIVEN	1007	2021-11-01 12:24:34.211
8603	1005-1273	GIVEN	1005	2021-11-01 17:14:54.655
13942	1001-1282	GIVEN	1001	2021-11-01 18:20:15.434
16209	1003-1351	GIVEN	1003	2021-11-01 11:47:53.950
14580	1006-1408	GIVEN	1006	2021-11-01 12:44:51.004
5027	1000-1418	GIVEN	1000	2021-11-01 16:28:14.092
2886	1003-1440	GIVEN	1003	2021-11-01 21:51:34.798
14305	1005-1503	GIVEN	1005	2021-11-01 14:58:02.142
9659	1004-1541	GIVEN	1004	2021-11-01 14:01:46.689
8220	1004-1542	GIVEN	1004	2021-11-01 19:16:34.421
2982	1002-1548	GIVEN	1002	2021-11-01 17:12:22.318
429	1001-1623	GIVEN	1001	2021-11-01 04:42:01.995
15914	1003-1634	GIVEN	1003	2021-11-01 13:15:46.279
9171	1003-1735	GIVEN	1003	2021-11-01 05:42:56.389
14137	1005-1814	GIVEN	1005	2021-11-01 23:06:48.418
8863	1007-1853	GIVEN	1007	2021-11-01 07:38:01.287
7087	1003-1866	GIVEN	1003	2021-11-01 00:36:27.940
6902	1009-1874	GIVEN	1009	2021-11-01 19:04:13.635
3740	1002-1970	GIVEN	1002	2021-11-01 17:52:45.654
9247	1007-1989	GIVEN	1007	2021-11-01 19:02:33.201
14278	1006-1999	GIVEN	1006	2021-11-01 02:57:48.177
10250	1008-2062	GIVEN	1008	2021-11-01 13:17:48.272
2211	1005-2149	GIVEN	1005	2021-11-01 15:59:57.951
10574	1001-2172	GIVEN	1001	2021-11-01 15:27:43.333
15262	1000-2212	GIVEN	1000	2021-11-01 11:13:36.449
13745	1009-2230	GIVEN	1009	2021-11-01 20:21:29.415
7666	1005-2257	GIVEN	1005	2021-11-01 01:32:21.856
8434	1006-2371	GIVEN	1006	2021-11-01 04:00:15.853
4008	1008-2437	GIVEN	1008	2021-11-01 08:07:20.917
11728	1007-2438	GIVEN	1007	2021-11-01 11:22:08.825
3553	1009-2455	GIVEN	1009	2021-11-01 23:09:05.254
15343	1002-2498	GIVEN	1002	2021-11-01 05:54:34.175
11200	1004-2504	GIVEN	1004	2021-11-01 17:04:00.481
12556	1001-2541	GIVEN	1001	2021-11-01 16:30:19.728
16701	1000-2550	GIVEN	1000	2021-11-01 04:08:43.533
9354	1008-2551	GIVEN	1008	2021-11-01 00:57:55.890
4081	1004-2563	GIVEN	1004	2021-11-01 16:33:47.994
9570	1006-2582	GIVEN	1006	2021-11-01 21:32:51.870
12741	1009-2604	GIVEN	1009	2021-11-01 01:37:11.932
14380	1003-2634	GIVEN	1003	2021-11-01 22:54:54.110
4264	1001-2664	GIVEN	1001	2021-11-01 09:23:37.614
17577	1004-2740	GIVEN	1004	2021-11-01 05:11:56.371
11422	1008-2749	GIVEN	1008	2021-11-01 13:42:30.377
6337	1006-2760	GIVEN	1006	2021-11-01 06:56:55.446
1182	1001-2769	GIVEN	1001	2021-11-01 09:38:14.521
9650	1005-2779	GIVEN	1005	2021-11-01 11:33:30.131
8736	1009-2784	GIVEN	1009	2021-11-01 05:28:53.220
3341	1004-2800	GIVEN	1004	2021-11-01 20:36:46.270
863	1005-2894	GIVEN	1005	2021-11-01 22:30:56.199
7122	1003-2904	GIVEN	1003	2021-11-01 16:33:14.698
