userid	voucherCode	status	campaignID	time
15854	1002-7	GIVEN	1002	2021-11-02 07:26:51.731
9905	1005-20	GIVEN	1005	2021-11-02 02:34:02.757
8148	1001-21	GIVEN	1001	2021-11-02 17:57:06.651
15136	1003-65	GIVEN	1003	2021-11-02 12:10:21.660
19605	1002-82	GIVEN	1002	2021-11-02 21:36:24.219
7971	1003-104	GIVEN	1003	2021-11-02 10:57:12.777
12489	1009-141	GIVEN	1009	2021-11-02 13:07:44.730
7569	1008-170	GIVEN	1008	2021-11-02 11:59:32.657
8402	1009-181	GIVEN	1009	2021-11-02 23:09:09.939
3409	1009-244	GIVEN	1009	2021-11-02 11:39:26.333
5466	1006-248	GIVEN	1006	2021-11-02 16:26:14.470
9264	1006-275	GIVEN	1006	2021-11-02 18:32:43.639
15513	1006-333	GIVEN	1006	2021-11-02 04:31:05.182
14704	1008-336	GIVEN	1008	2021-11-02 20:13:22.327
3036	1000-350	GIVEN	1000	2021-11-02 19:34:11.625
16933	1000-354	GIVEN	1000	2021-11-02 03:01:51.525
6727	1006-370	GIVEN	1006	2021-11-02 01:01:19.019
10555	1004-390	GIVEN	1004	2021-11-02 17:23:00.793
6675	1007-426	GIVEN	1007	2021-11-02 07:42:48.228
15982	1005-454	GIVEN	1005	2021-11-02 05:34:34.485
16706	1005-473	GIVEN	1005	2021-11-02 08:17:24.346
9645	1000-504	GIVEN	1000	2021-11-02 15:16:51.294
15776	1008-532	GIVEN	1008	2021-11-02 15:36:14.431
17809	1002-541	GIVEN	1002	2021-11-02 02:19:28.786
1248	1004-557	GIVEN	1004	2021-11-02 08:11:16.016
6838	1009-558	GIVEN	1009	2021-11-02 23:57:00.193
3931	1008-594	GIVEN	1008	2021-11-02 07:08:18.576
1863	1006-597	GIVEN	1006	2021-11-02 13:48:04.832
4123	1006-638	GIVEN	1006	2021-11-02 19:16:42.690
15554	1002-644	GIVEN	1002	2021-11-02 09:22:56.434
16817	1003-659	GIVEN	1003	2021-11-02 09:53:36.729
14537	1000-717	GIVEN	1000	2021-11-02 19:26:02.178
1882	1005-752	GIVEN	1005	2021-11-02 18:50:14.976
3096	1002-772	GIVEN	1002	2021-11-02 16:06:41.727
13048	1009-807	GIVEN	1009	2021-11-02 04:02:25.476
408	1003-962	GIVEN	1003	2021-11-02 10:27:38.986
10120	1002-963	GIVEN	1002	2021-11-02 14:44:04.636
9528	1002-1006	GIVEN	1002	2021-11-02 19:22:42.164
19635	1001-1042	GIVEN	1001	2021-11-02 21:57:18.700
5110	1008-1059	GIVEN	1008	2021-11-02 01:58:54.574
7657	1003-1077	GIVEN	1003	2021-11-02 03:52:56.570
15942	1009-1100	GIVEN	1009	2021-11-02 11:54:43.496
2025	1006-1130	GIVEN	1006	2021-11-02 10:08:53.260
15109	1002-1131	GIVEN	1002	2021-11-02 21:55:29.449
17411	1006-1183	GIVEN	1006	2021-11-02 00:36:38.757
11900	1008-1237	GIVEN	1008	2021-11-02 17:56:13.888
14465	1004-1308	GIVEN	1004	2021-11-02 20:57:37.730
143	1004-1313	GIVEN	1004	2021-11-02 12:37:50.785
7287	1005-1356	GIVEN	1005	2021-11-02 21:41:01.565
8886	1004-1359	GIVEN	1004	2021-11-02 16:01:43.860
4133	1006-1375	GIVEN	1006	2021-11-02 06:59:09.526
18384	1007-1416	GIVEN	1007	2021-11-02 22:32:10.450
6812	1007-1469	GIVEN	1007	2021-11-02 03:16:13.309
19987	1002-1473	GIVEN	1002	2021-11-02 00:09:12.610
12606	1006-1506	GIVEN	1006	2021-11-02 03:02:25.487
9442	1004-1539	GIVEN	1004	2021-11-02 21:35:19.865
19910	1005-1587	GIVEN	1005	2021-11-02 08:26:22.383
12071	1001-1618	GIVEN	1001	2021-11-02 19:51:06.331
2041	1001-1619	GIVEN	1001	2021-11-02 10:38:24.109
7774	1006-1624	GIVEN	1006	2021-11-02 02:09:00.570
12551	1000-1643	GIVEN	1000	2021-11-02 16:31:39.893
10015	1000-1686	GIVEN	1000	2021-11-02 23:45:46.294
5049	1001-1721	GIVEN	1001	2021-11-02 12:49:52.059
