userid	voucherCode	status	campaignID	time
4753	1008-30	GIVEN	1008	2021-11-04 19:46:12.357
15133	1004-31	GIVEN	1004	2021-11-04 14:52:01.805
11192	1009-50	GIVEN	1009	2021-11-04 08:36:56.722
677	1004-101	GIVEN	1004	2021-11-04 08:13:58.705
4199	1005-114	GIVEN	1005	2021-11-04 08:45:40.294
18805	1008-134	GIVEN	1008	2021-11-04 10:03:07.485
19129	1000-165	GIVEN	1000	2021-11-04 07:59:48.977
4147	1004-220	GIVEN	1004	2021-11-04 21:48:49.001
5525	1000-227	GIVEN	1000	2021-11-04 20:51:16.769
13692	1005-289	GIVEN	1005	2021-11-04 01:16:40.934
19949	1008-381	GIVEN	1008	2021-11-04 12:12:59.970
14868	1009-441	GIVEN	1009	2021-11-04 18:34:01.241
9676	1003-447	GIVEN	1003	2021-11-04 21:48:02.441
18829	1007-449	GIVEN	1007	2021-11-04 11:23:52.528
9906	1006-457	GIVEN	1006	2021-11-04 00:19:17.852
5244	1005-494	GIVEN	1005	2021-11-04 00:44:01.959
6638	1002-528	GIVEN	1002	2021-11-04 20:25:04.606
12908	1002-637	GIVEN	1002	2021-11-04 00:38:11.932
7319	1003-723	GIVEN	1003	2021-11-04 22:35:30.173
9460	1008-774	GIVEN	1008	2021-11-04 07:23:59.687
12088	1006-846	GIVEN	1006	2021-11-04 17:32:42.305
2213	1003-856	GIVEN	1003	2021-11-04 07:38:29.617
7424	1009-892	GIVEN	1009	2021-11-04 05:51:17.116
5104	1006-956	GIVEN	1006	2021-11-04 03:24:05.460
8811	1002-985	GIVEN	1002	2021-11-04 12:42:42.871
10197	1008-1043	GIVEN	1008	2021-11-04 08:57:53.660
16344	1001-1045	GIVEN	1001	2021-11-04 15:35:55.312
17307	1004-1093	GIVEN	1004	2021-11-04 22:36:21.841
453	1001-1121	GIVEN	1001	2021-11-04 20:14:33.328
9935	1008-1132	GIVEN	1008	2021-11-04 09:01:41.059
6143	1003-1143	GIVEN	1003	2021-11-04 10:00:42.942
3868	1007-1147	GIVEN	1007	2021-11-04 10:28:46.598
