userid	voucherCode	status	campaignID	time
13967	1009-18	GIVEN	1009	2021-11-05 02:48:29.078
14576	1007-51	GIVEN	1007	2021-11-05 23:32:09.051
17986	1009-66	GIVEN	1009	2021-11-05 21:37:15.332
16992	1001-85	GIVEN	1001	2021-11-05 02:15:14.790
9934	1003-87	GIVEN	1003	2021-11-05 21:16:47.494
16400	1001-143	GIVEN	1001	2021-11-05 07:15:14.069
5215	1006-202	GIVEN	1006	2021-11-05 09:23:54.288
13873	1009-277	GIVEN	1009	2021-11-05 20:56:53.249
16146	1005-302	GIVEN	1005	2021-11-05 06:17:16.311
9882	1006-312	GIVEN	1006	2021-11-05 08:27:56.031
3907	1008-329	GIVEN	1008	2021-11-05 21:17:01.003
18959	1009-367	GIVEN	1009	2021-11-05 15:02:47.911
3965	1000-409	GIVEN	1000	2021-11-05 19:52:17.190
14563	1003-430	GIVEN	1003	2021-11-05 15:30:35.534
4182	1000-456	GIVEN	1000	2021-11-05 13:38:16.302
420	1006-486	GIVEN	1006	2021-11-05 03:42:14.412
6327	1006-616	GIVEN	1006	2021-11-05 12:06:00.299
1457	1004-651	GIVEN	1004	2021-11-05 04:38:10.657
124	1000-665	GIVEN	1000	2021-11-05 00:35:17.679
8247	1002-819	GIVEN	1002	2021-11-05 09:21:38.838
8019	1007-843	GIVEN	1007	2021-11-05 12:34:36.989
1578	1002-848	GIVEN	1002	2021-11-05 23:15:51.674
894	1005-878	GIVEN	1005	2021-11-05 10:17:22.501
1768	1004-934	GIVEN	1004	2021-11-05 00:07:05.723
10101	1004-935	GIVEN	1004	2021-11-05 05:19:57.695
16705	1000-937	GIVEN	1000	2021-11-05 21:48:18.937
11902	1004-944	GIVEN	1004	2021-11-05 00:18:38.012
4363	1008-953	GIVEN	1008	2021-11-05 03:42:12.188
17907	1005-957	GIVEN	1005	2021-11-05 23:24:32.776
17761	1001-959	GIVEN	1001	2021-11-05 16:42:43.055
7953	1009-1029	GIVEN	1009	2021-11-05 14:30:04.392
7797	1004-1159	GIVEN	1004	2021-11-05 19:57:06.941
8292	1001-1167	GIVEN	1001	2021-11-05 09:44:36.934
18555	1006-1168	GIVEN	1006	2021-11-05 02:06:48.040
16590	1003-1217	GIVEN	1003	2021-11-05 13:26:13.376
8280	1005-1222	GIVEN	1005	2021-11-05 15:05:53.737
16875	1008-1232	GIVEN	1008	2021-11-05 22:50:45.588
19218	1006-1246	GIVEN	1006	2021-11-05 02:28:45.101
11657	1006-1253	GIVEN	1006	2021-11-05 16:16:10.399
3549	1000-1256	GIVEN	1000	2021-11-05 23:20:05.975
13354	1007-1327	GIVEN	1007	2021-11-05 23:53:35.345
