userid	voucherCode	status	campaignID	time
15416	1003-61	GIVEN	1003	2021-11-06 05:49:04.496
19217	1000-89	GIVEN	1000	2021-11-06 04:54:25.756
12362	1005-115	GIVEN	1005	2021-11-06 05:54:21.744
5933	1000-130	GIVEN	1000	2021-11-06 22:44:38.856
17936	1006-182	GIVEN	1006	2021-11-06 00:43:54.501
9702	1001-183	GIVEN	1001	2021-11-06 02:42:43.061
1881	1000-207	GIVEN	1000	2021-11-06 13:21:17.260
9505	1006-268	GIVEN	1006	2021-11-06 12:20:42.951
11895	1009-273	GIVEN	1009	2021-11-06 22:20:51.189
1497	1003-295	GIVEN	1003	2021-11-06 00:52:53.211
10822	1005-334	GIVEN	1005	2021-11-06 12:34:57.074
17214	1007-358	GIVEN	1007	2021-11-06 19:34:59.119
19065	1009-362	GIVEN	1009	2021-11-06 10:10:34.245
16897	1002-371	GIVEN	1002	2021-11-06 01:45:31.072
11854	1001-420	GIVEN	1001	2021-11-06 04:50:27.394
6517	1001-451	GIVEN	1001	2021-11-06 18:21:06.238
14501	1009-538	GIVEN	1009	2021-11-06 06:05:15.274
16873	1009-573	GIVEN	1009	2021-11-06 21:28:58.110
5650	1003-607	GIVEN	1003	2021-11-06 06:30:18.269
15053	1001-608	GIVEN	1001	2021-11-06 13:11:07.287
5205	1007-636	GIVEN	1007	2021-11-06 19:50:02.355
8842	1005-748	GIVEN	1005	2021-11-06 19:40:20.881
2364	1005-771	GIVEN	1005	2021-11-06 03:58:25.563
11241	1002-773	GIVEN	1002	2021-11-06 14:30:45.015
6605	1004-784	GIVEN	1004	2021-11-06 12:59:23.174
15579	1002-840	GIVEN	1002	2021-11-06 06:29:18.536
9703	1005-907	GIVEN	1005	2021-11-06 17:30:30.481
9985	1003-968	GIVEN	1003	2021-11-06 21:22:03.537
17328	1003-972	GIVEN	1003	2021-11-06 05:36:13.825
4821	1002-978	GIVEN	1002	2021-11-06 00:34:06.884
12484	1008-996	GIVEN	1008	2021-11-06 23:51:53.712
4662	1008-1011	GIVEN	1008	2021-11-06 16:49:55.298
11064	1004-1033	GIVEN	1004	2021-11-06 12:37:08.904
9214	1000-1039	GIVEN	1000	2021-11-06 03:25:52.122
1031	1004-1083	GIVEN	1004	2021-11-06 19:39:58.363
5556	1004-1087	GIVEN	1004	2021-11-06 05:17:53.416
1490	1000-1113	GIVEN	1000	2021-11-06 12:14:47.318
16232	1009-1124	GIVEN	1009	2021-11-06 04:31:25.690
8660	1008-1134	GIVEN	1008	2021-11-06 19:56:26.783
16983	1008-1138	GIVEN	1008	2021-11-06 13:11:30.852
10990	1000-1173	GIVEN	1000	2021-11-06 18:10:34.588
19418	1002-1200	GIVEN	1002	2021-11-06 07:50:48.769
4807	1006-1207	GIVEN	1006	2021-11-06 06:00:51.477
10392	1002-1215	GIVEN	1002	2021-11-06 22:03:22.874
782	1004-1289	GIVEN	1004	2021-11-06 12:47:01.848
5808	1007-1298	GIVEN	1007	2021-11-06 10:08:08.388
9713	1007-1332	GIVEN	1007	2021-11-06 08:05:38.063
18149	1000-1382	GIVEN	1000	2021-11-06 13:52:07.896
2408	1009-1407	GIVEN	1009	2021-11-06 00:09:36.752
12210	1001-1443	GIVEN	1001	2021-11-06 20:05:49.790
