userid	voucherCode	status	campaignID	time
6777	1003-59	GIVEN	1003	2021-11-07 09:50:07.979
15866	1001-106	GIVEN	1001	2021-11-07 01:36:24.924
2910	1009-144	GIVEN	1009	2021-11-07 10:07:17.743
1436	1008-150	GIVEN	1008	2021-11-07 14:42:48.036
12391	1008-196	GIVEN	1008	2021-11-07 14:12:41.531
8557	1002-215	GIVEN	1002	2021-11-07 12:30:36.714
19738	1007-217	GIVEN	1007	2021-11-07 11:34:11.833
231	1009-235	GIVEN	1009	2021-11-07 07:03:44.645
12891	1009-238	GIVEN	1009	2021-11-07 18:12:07.961
15746	1000-246	GIVEN	1000	2021-11-07 20:59:45.130
5828	1002-252	GIVEN	1002	2021-11-07 17:54:21.926
10004	1004-259	GIVEN	1004	2021-11-07 06:59:30.736
13968	1001-419	GIVEN	1001	2021-11-07 08:36:33.336
12201	1007-514	GIVEN	1007	2021-11-07 18:27:17.711
15033	1009-549	GIVEN	1009	2021-11-07 19:20:35.050
16341	1008-551	GIVEN	1008	2021-11-07 22:33:46.328
9939	1004-585	GIVEN	1004	2021-11-07 09:40:02.645
2785	1007-591	GIVEN	1007	2021-11-07 19:41:37.981
1981	1008-605	GIVEN	1008	2021-11-07 13:58:50.430
18632	1004-609	GIVEN	1004	2021-11-07 03:59:37.118
17442	1009-624	GIVEN	1009	2021-11-07 19:36:41.716
6495	1002-643	GIVEN	1002	2021-11-07 23:13:11.295
11085	1002-668	GIVEN	1002	2021-11-07 07:38:51.724
5157	1001-692	GIVEN	1001	2021-11-07 14:13:05.006
15962	1007-701	GIVEN	1007	2021-11-07 14:50:00.769
4189	1001-728	GIVEN	1001	2021-11-07 08:50:57.438
16201	1008-743	GIVEN	1008	2021-11-07 01:08:09.495
1441	1000-766	GIVEN	1000	2021-11-07 10:25:00.514
10862	1002-811	GIVEN	1002	2021-11-07 10:50:09.711
8823	1007-864	GIVEN	1007	2021-11-07 23:44:56.228
10338	1003-868	GIVEN	1003	2021-11-07 12:42:29.984
617	1006-877	GIVEN	1006	2021-11-07 06:33:28.440
12257	1008-902	GIVEN	1008	2021-11-07 08:11:17.331
17596	1006-943	GIVEN	1006	2021-11-07 00:15:53.187
16609	1008-950	GIVEN	1008	2021-11-07 09:58:44.779
286	1002-958	GIVEN	1002	2021-11-07 06:42:07.527
14047	1009-992	GIVEN	1009	2021-11-07 03:38:57.425
13898	1004-1026	GIVEN	1004	2021-11-07 21:20:43.859
19808	1004-1149	GIVEN	1004	2021-11-07 16:02:33.087
12488	1007-1172	GIVEN	1007	2021-11-07 07:36:04.608
524	1005-1180	GIVEN	1005	2021-11-07 22:06:22.483
2585	1005-1242	GIVEN	1005	2021-11-07 01:03:01.284
509	1006-1293	GIVEN	1006	2021-11-07 05:16:50.070
13496	1002-1297	GIVEN	1002	2021-11-07 01:52:10.757
2667	1009-1350	GIVEN	1009	2021-11-07 05:24:45.034
5938	1002-1384	GIVEN	1002	2021-11-07 00:51:22.706
5000	1006-1421	GIVEN	1006	2021-11-07 23:07:58.960
1359	1006-1446	GIVEN	1006	2021-11-07 09:51:42.616
