userid	voucherCode	status	campaignID	time
4946	1006-29	GIVEN	1006	2021-11-08 00:20:35.528
14772	1009-33	GIVEN	1009	2021-11-08 07:29:02.172
18200	1001-38	GIVEN	1001	2021-11-08 19:55:17.845
17866	1009-52	GIVEN	1009	2021-11-08 18:49:39.940
736	1006-53	GIVEN	1006	2021-11-08 23:19:12.002
12990	1005-80	GIVEN	1005	2021-11-08 17:03:43.247
2001	1002-96	GIVEN	1002	2021-11-08 12:14:14.636
9041	1009-122	GIVEN	1009	2021-11-08 23:56:16.017
14283	1003-192	GIVEN	1003	2021-11-08 23:30:28.796
19572	1006-254	GIVEN	1006	2021-11-08 06:10:32.517
10030	1000-270	GIVEN	1000	2021-11-08 11:02:18.354
6962	1001-284	GIVEN	1001	2021-11-08 09:42:39.813
19140	1003-291	GIVEN	1003	2021-11-08 15:25:06.200
851	1007-296	GIVEN	1007	2021-11-08 05:44:04.749
1012	1001-319	GIVEN	1001	2021-11-08 04:56:02.349
5809	1001-322	GIVEN	1001	2021-11-08 15:45:36.189
8614	1004-324	GIVEN	1004	2021-11-08 00:13:48.494
442	1003-339	GIVEN	1003	2021-11-08 04:01:38.473
12079	1006-340	GIVEN	1006	2021-11-08 02:05:39.615
13413	1007-372	GIVEN	1007	2021-11-08 17:40:34.033
14109	1007-386	GIVEN	1007	2021-11-08 16:44:40.012
15053	1002-402	GIVEN	1002	2021-11-08 14:18:41.939
15475	1006-472	GIVEN	1006	2021-11-08 06:47:31.763
10908	1009-492	GIVEN	1009	2021-11-08 06:07:10.792
15336	1006-499	GIVEN	1006	2021-11-08 08:43:54.225
14420	1005-507	GIVEN	1005	2021-11-08 12:01:46.483
15855	1004-587	GIVEN	1004	2021-11-08 07:23:49.367
13357	1002-596	GIVEN	1002	2021-11-08 10:37:30.472
13460	1007-630	GIVEN	1007	2021-11-08 22:36:21.202
9566	1009-649	GIVEN	1009	2021-11-08 15:34:15.191
5933	1008-656	GIVEN	1008	2021-11-08 08:24:12.102
10544	1006-657	GIVEN	1006	2021-11-08 14:36:47.923
13713	1002-660	GIVEN	1002	2021-11-08 02:24:41.338
19875	1003-666	GIVEN	1003	2021-11-08 03:12:33.108
1218	1001-687	GIVEN	1001	2021-11-08 06:35:19.023
13854	1006-709	GIVEN	1006	2021-11-08 05:25:47.114
11135	1008-757	GIVEN	1008	2021-11-08 13:50:31.326
17109	1000-776	GIVEN	1000	2021-11-08 15:53:58.851
11289	1008-826	GIVEN	1008	2021-11-08 12:49:04.467
3411	1008-865	GIVEN	1008	2021-11-08 22:32:38.444
15632	1002-889	GIVEN	1002	2021-11-08 02:27:10.915
7239	1006-914	GIVEN	1006	2021-11-08 16:44:23.760
19649	1001-915	GIVEN	1001	2021-11-08 05:20:43.600
16068	1001-922	GIVEN	1001	2021-11-08 20:06:43.859
7345	1006-997	GIVEN	1006	2021-11-08 10:03:55.969
17856	1008-1023	GIVEN	1008	2021-11-08 11:29:43.206
12208	1005-1049	GIVEN	1005	2021-11-08 11:30:58.231
1812	1007-1061	GIVEN	1007	2021-11-08 03:28:45.939
12499	1003-1198	GIVEN	1003	2021-11-08 22:32:17.912
15146	1007-1263	GIVEN	1007	2021-11-08 19:40:31.215
5449	1001-1279	GIVEN	1001	2021-11-08 10:49:08.254
9603	1009-1283	GIVEN	1009	2021-11-08 00:43:55.696
6451	1005-1288	GIVEN	1005	2021-11-08 03:25:03.086
2079	1006-1291	GIVEN	1006	2021-11-08 09:42:54.008
8292	1002-1296	GIVEN	1002	2021-11-08 01:18:54.931
5339	1000-1309	GIVEN	1000	2021-11-08 17:59:13.857
17056	1005-1372	GIVEN	1005	2021-11-08 16:43:59.708
959	1001-1391	GIVEN	1001	2021-11-08 15:08:02.209
4302	1006-1395	GIVEN	1006	2021-11-08 21:35:39.154
6637	1006-1404	GIVEN	1006	2021-11-08 01:07:44.533
10654	1003-1406	GIVEN	1003	2021-11-08 03:07:41.781
18543	1007-1424	GIVEN	1007	2021-11-08 21:40:37.419
6148	1009-1431	GIVEN	1009	2021-11-08 15:19:47.122
16521	1007-1462	GIVEN	1007	2021-11-08 22:26:51.300
10920	1007-1487	GIVEN	1007	2021-11-08 08:33:04.013
15553	1008-1488	GIVEN	1008	2021-11-08 11:48:55.900
13061	1006-1516	GIVEN	1006	2021-11-08 03:01:03.533
9064	1005-1528	GIVEN	1005	2021-11-08 04:40:34.327
4191	1006-1571	GIVEN	1006	2021-11-08 06:19:41.435
7700	1001-1575	GIVEN	1001	2021-11-08 17:58:17.811
16167	1009-1659	GIVEN	1009	2021-11-08 12:14:12.397
620	1005-1674	GIVEN	1005	2021-11-08 16:24:09.835
16652	1004-1736	GIVEN	1004	2021-11-08 03:05:53.731
15963	1007-1790	GIVEN	1007	2021-11-08 19:21:02.362
10115	1005-1792	GIVEN	1005	2021-11-08 22:03:00.092
2747	1008-1803	GIVEN	1008	2021-11-08 20:26:39.290
8246	1009-1854	GIVEN	1009	2021-11-08 13:56:25.036
9644	1001-1871	GIVEN	1001	2021-11-08 08:39:43.718
19568	1002-1885	GIVEN	1002	2021-11-08 11:13:15.858
19375	1008-1888	GIVEN	1008	2021-11-08 07:59:53.416
5960	1002-1894	GIVEN	1002	2021-11-08 18:02:49.960
11103	1005-1935	GIVEN	1005	2021-11-08 01:18:43.435
16534	1003-1965	GIVEN	1003	2021-11-08 13:41:02.634
12659	1003-1980	GIVEN	1003	2021-11-08 18:15:01.994
9738	1000-2007	GIVEN	1000	2021-11-08 04:29:09.097
4883	1008-2035	GIVEN	1008	2021-11-08 04:34:28.674
16572	1009-2037	GIVEN	1009	2021-11-08 05:15:58.057
14450	1006-2047	GIVEN	1006	2021-11-08 18:43:57.869
5228	1009-2108	GIVEN	1009	2021-11-08 00:15:30.140
16339	1005-2164	GIVEN	1005	2021-11-08 17:16:15.916
17812	1006-2194	GIVEN	1006	2021-11-08 04:37:24.200
16703	1004-2218	GIVEN	1004	2021-11-08 11:58:44.063
4991	1007-2264	GIVEN	1007	2021-11-08 01:29:32.074
11655	1004-2270	GIVEN	1004	2021-11-08 06:41:48.034
