userid	voucherCode	status	campaignID	time
2573	1007-110	GIVEN	1007	2021-11-09 04:28:30.965
19642	1004-127	GIVEN	1004	2021-11-09 05:24:24.800
5756	1005-132	GIVEN	1005	2021-11-09 11:14:05.930
10819	1009-137	GIVEN	1009	2021-11-09 11:22:30.414
18909	1004-159	GIVEN	1004	2021-11-09 12:12:23.614
13536	1002-203	GIVEN	1002	2021-11-09 01:17:09.146
11626	1006-260	GIVEN	1006	2021-11-09 18:13:42.848
8215	1006-271	GIVEN	1006	2021-11-09 14:27:46.039
10981	1004-276	GIVEN	1004	2021-11-09 04:01:51.514
10545	1007-297	GIVEN	1007	2021-11-09 16:35:52.324
13972	1009-310	GIVEN	1009	2021-11-09 09:47:58.648
11065	1009-328	GIVEN	1009	2021-11-09 14:24:50.060
10808	1003-364	GIVEN	1003	2021-11-09 07:57:35.868
5799	1000-407	GIVEN	1000	2021-11-09 15:13:27.244
11560	1007-491	GIVEN	1007	2021-11-09 09:06:47.828
10790	1003-495	GIVEN	1003	2021-11-09 10:30:45.619
18586	1001-498	GIVEN	1001	2021-11-09 08:56:50.168
19459	1003-522	GIVEN	1003	2021-11-09 14:38:36.240
18309	1007-539	GIVEN	1007	2021-11-09 16:51:59.682
13545	1001-574	GIVEN	1001	2021-11-09 20:43:28.821
9648	1008-647	GIVEN	1008	2021-11-09 03:15:17.875
9936	1008-678	GIVEN	1008	2021-11-09 11:28:19.144
3135	1003-681	GIVEN	1003	2021-11-09 23:17:21.727
6515	1008-703	GIVEN	1008	2021-11-09 11:28:00.987
5312	1006-711	GIVEN	1006	2021-11-09 11:54:29.034
19699	1008-753	GIVEN	1008	2021-11-09 02:47:49.063
74	1000-777	GIVEN	1000	2021-11-09 16:02:20.307
14981	1002-842	GIVEN	1002	2021-11-09 23:08:10.534
13264	1001-875	GIVEN	1001	2021-11-09 13:22:22.193
7253	1005-876	GIVEN	1005	2021-11-09 08:00:02.417
12511	1009-882	GIVEN	1009	2021-11-09 05:27:35.398
7074	1000-923	GIVEN	1000	2021-11-09 17:15:42.970
12437	1007-925	GIVEN	1007	2021-11-09 15:12:33.516
5430	1002-927	GIVEN	1002	2021-11-09 21:25:16.574
16470	1009-941	GIVEN	1009	2021-11-09 15:28:16.180
14491	1006-942	GIVEN	1006	2021-11-09 21:41:42.051
2328	1009-966	GIVEN	1009	2021-11-09 16:20:39.403
7775	1000-970	GIVEN	1000	2021-11-09 04:22:27.626
17720	1007-980	GIVEN	1007	2021-11-09 08:03:33.292
8827	1007-1000	GIVEN	1007	2021-11-09 20:10:57.739
11490	1003-1003	GIVEN	1003	2021-11-09 00:49:50.363
7928	1002-1014	GIVEN	1002	2021-11-09 06:57:04.014
9294	1006-1054	GIVEN	1006	2021-11-09 06:51:11.590
11719	1006-1103	GIVEN	1006	2021-11-09 08:35:47.210
17856	1004-1110	GIVEN	1004	2021-11-09 08:04:11.452
9732	1005-1125	GIVEN	1005	2021-11-09 06:56:24.670
6366	1003-1195	GIVEN	1003	2021-11-09 16:59:56.747
12388	1006-1212	GIVEN	1006	2021-11-09 10:12:21.086
15743	1004-1269	GIVEN	1004	2021-11-09 22:18:04.820
17396	1008-1275	GIVEN	1008	2021-11-09 20:48:06.952
8098	1005-1370	GIVEN	1005	2021-11-09 03:27:44.371
16711	1006-1433	GIVEN	1006	2021-11-09 16:02:23.420
606	1001-1444	GIVEN	1001	2021-11-09 12:48:48.621
9277	1006-1447	GIVEN	1006	2021-11-09 22:01:01.843
15748	1006-1523	GIVEN	1006	2021-11-09 03:15:21.253
4971	1005-1525	GIVEN	1005	2021-11-09 23:01:42.285
5764	1004-1549	GIVEN	1004	2021-11-09 02:53:05.270
16102	1000-1574	GIVEN	1000	2021-11-09 06:25:45.219
4106	1003-1598	GIVEN	1003	2021-11-09 12:14:29.533
14734	1003-1639	GIVEN	1003	2021-11-09 08:35:59.836
4833	1002-1729	GIVEN	1002	2021-11-09 11:27:44.736
5031	1009-1739	GIVEN	1009	2021-11-09 23:37:57.113
8116	1007-1752	GIVEN	1007	2021-11-09 13:12:24.961
9159	1007-1779	GIVEN	1007	2021-11-09 00:36:41.211
3756	1009-1884	GIVEN	1009	2021-11-09 06:49:37.663
5258	1003-1890	GIVEN	1003	2021-11-09 19:35:56.163
5678	1009-1904	GIVEN	1009	2021-11-09 15:17:21.764
19078	1000-1911	GIVEN	1000	2021-11-09 06:45:22.386
17682	1008-1939	GIVEN	1008	2021-11-09 06:31:17.638
11862	1000-1956	GIVEN	1000	2021-11-09 14:51:01.705
18753	1005-1960	GIVEN	1005	2021-11-09 04:48:49.825
12273	1008-1971	GIVEN	1008	2021-11-09 23:06:29.882
13533	1003-2103	GIVEN	1003	2021-11-09 16:11:13.082
2444	1006-2113	GIVEN	1006	2021-11-09 12:55:43.842
7128	1001-2154	GIVEN	1001	2021-11-09 13:27:38.973
12119	1000-2190	GIVEN	1000	2021-11-09 21:19:18.879
3449	1003-2201	GIVEN	1003	2021-11-09 11:57:23.542
3206	1001-2248	GIVEN	1001	2021-11-09 16:32:19.408
8120	1003-2261	GIVEN	1003	2021-11-09 23:28:10.487
14134	1008-2266	GIVEN	1008	2021-11-09 18:57:40.906
17854	1000-2285	GIVEN	1000	2021-11-09 04:10:04.421
2252	1009-2301	GIVEN	1009	2021-11-09 03:14:59.481
6552	1009-2321	GIVEN	1009	2021-11-09 00:25:38.953
6951	1008-2334	GIVEN	1008	2021-11-09 05:37:33.456
19752	1008-2368	GIVEN	1008	2021-11-09 04:29:03.875
7730	1002-2379	GIVEN	1002	2021-11-09 03:24:18.462
16087	1000-2460	GIVEN	1000	2021-11-09 23:50:13.929
4597	1004-2467	GIVEN	1004	2021-11-09 09:07:39.942
798	1007-2470	GIVEN	1007	2021-11-09 19:43:08.753
5565	1000-2525	GIVEN	1000	2021-11-09 01:39:10.903
14113	1005-2531	GIVEN	1005	2021-11-09 05:29:26.869
5946	1002-2538	GIVEN	1002	2021-11-09 11:01:12.064
15914	1004-2561	GIVEN	1004	2021-11-09 15:25:38.084
18131	1005-2599	GIVEN	1005	2021-11-09 06:56:18.450
5600	1003-2612	GIVEN	1003	2021-11-09 12:59:05.098
19871	1007-2666	GIVEN	1007	2021-11-09 01:47:58.298
17788	1009-2696	GIVEN	1009	2021-11-09 23:09:41.493
1504	1006-2699	GIVEN	1006	2021-11-09 22:01:33.018
13948	1004-2702	GIVEN	1004	2021-11-09 18:16:19.402
4192	1001-2805	GIVEN	1001	2021-11-09 21:26:51.665
10268	1006-2823	GIVEN	1006	2021-11-09 20:03:10.516
12329	1003-2881	GIVEN	1003	2021-11-09 01:36:54.008
8824	1008-2895	GIVEN	1008	2021-11-09 13:16:04.141
2064	1002-2907	GIVEN	1002	2021-11-09 13:15:41.220
6473	1006-2948	GIVEN	1006	2021-11-09 18:57:54.514
1739	1004-2960	GIVEN	1004	2021-11-09 18:03:27.630
16965	1007-2982	GIVEN	1007	2021-11-09 00:35:05.028
4513	1001-2992	GIVEN	1001	2021-11-09 22:42:33.294
15082	1005-3016	GIVEN	1005	2021-11-09 05:06:30.422
56	1009-3022	GIVEN	1009	2021-11-09 07:48:38.269
17841	1003-3094	GIVEN	1003	2021-11-09 00:30:59.508
6368	1007-3103	GIVEN	1007	2021-11-09 16:52:09.615
3108	1003-3153	GIVEN	1003	2021-11-09 02:00:55.609
8352	1003-3163	GIVEN	1003	2021-11-09 19:40:55.436
4181	1001-3177	GIVEN	1001	2021-11-09 02:13:27.736
8379	1003-3256	GIVEN	1003	2021-11-09 03:49:57.005
5874	1003-3303	GIVEN	1003	2021-11-09 12:51:40.495
3060	1009-3328	GIVEN	1009	2021-11-09 06:29:28.996
13427	1009-3369	GIVEN	1009	2021-11-09 20:16:41.484
6526	1002-3415	GIVEN	1002	2021-11-09 01:34:52.186
8730	1007-3496	GIVEN	1007	2021-11-09 12:36:43.769
19787	1005-3508	GIVEN	1005	2021-11-09 15:35:06.707
4028	1007-3559	GIVEN	1007	2021-11-09 06:12:49.720
13524	1006-3565	GIVEN	1006	2021-11-09 12:46:22.676
11748	1003-3579	GIVEN	1003	2021-11-09 11:44:57.414
1405	1006-3583	GIVEN	1006	2021-11-09 23:24:35.765
6120	1009-3631	GIVEN	1009	2021-11-09 01:57:58.533
15429	1001-3650	GIVEN	1001	2021-11-09 16:48:24.060
3169	1008-3657	GIVEN	1008	2021-11-09 20:56:03.051
8846	1006-3659	GIVEN	1006	2021-11-09 09:28:03.140
9197	1008-3661	GIVEN	1008	2021-11-09 19:39:03.021
17070	1009-3677	GIVEN	1009	2021-11-09 13:51:50.610
17126	1003-3699	GIVEN	1003	2021-11-09 03:13:56.272
19753	1008-3718	GIVEN	1008	2021-11-09 10:52:09.205
13480	1009-3720	GIVEN	1009	2021-11-09 13:26:19.213
6978	1006-3736	GIVEN	1006	2021-11-09 00:44:40.135
11554	1007-3738	GIVEN	1007	2021-11-09 18:25:40.269
7925	1006-3784	GIVEN	1006	2021-11-09 20:14:38.001
11169	1000-3845	GIVEN	1000	2021-11-09 00:16:29.057
8281	1003-3850	GIVEN	1003	2021-11-09 23:34:17.189
16178	1000-3862	GIVEN	1000	2021-11-09 15:36:57.676
17521	1003-3866	GIVEN	1003	2021-11-09 09:49:55.644
6334	1000-3887	GIVEN	1000	2021-11-09 15:18:45.321
1573	1003-3914	GIVEN	1003	2021-11-09 17:33:14.176
4734	1007-3936	GIVEN	1007	2021-11-09 17:31:42.467
9901	1001-3941	GIVEN	1001	2021-11-09 09:05:18.388
7349	1005-3942	GIVEN	1005	2021-11-09 00:06:10.823
11742	1002-3946	GIVEN	1002	2021-11-09 16:31:21.563
12653	1000-3955	GIVEN	1000	2021-11-09 23:46:44.041
17758	1000-3979	GIVEN	1000	2021-11-09 06:25:02.342
16214	1007-4000	GIVEN	1007	2021-11-09 00:23:53.762
9427	1000-4010	GIVEN	1000	2021-11-09 12:56:31.408
13290	1004-4116	GIVEN	1004	2021-11-09 15:35:52.636
5244	1004-4120	GIVEN	1004	2021-11-09 19:33:17.588
7488	1008-4144	GIVEN	1008	2021-11-09 20:42:15.601
7384	1009-4146	GIVEN	1009	2021-11-09 01:43:58.913
19666	1008-4156	GIVEN	1008	2021-11-09 14:37:13.680
14125	1000-4158	GIVEN	1000	2021-11-09 10:46:16.747
15887	1002-4195	GIVEN	1002	2021-11-09 15:32:37.657
9683	1005-4244	GIVEN	1005	2021-11-09 15:34:26.238
12927	1005-4272	GIVEN	1005	2021-11-09 22:44:23.786
4782	1005-4280	GIVEN	1005	2021-11-09 08:36:13.242
974	1005-4284	GIVEN	1005	2021-11-09 13:05:40.193
13557	1006-4331	GIVEN	1006	2021-11-09 02:34:21.155
16730	1006-4332	GIVEN	1006	2021-11-09 10:35:32.071
4131	1005-4342	GIVEN	1005	2021-11-09 14:10:34.670
11687	1006-4407	GIVEN	1006	2021-11-09 21:47:46.531
4421	1007-4408	GIVEN	1007	2021-11-09 03:20:26.936
19833	1006-4409	GIVEN	1006	2021-11-09 21:19:55.117
1634	1000-4556	GIVEN	1000	2021-11-09 01:05:38.898
18738	1009-4560	GIVEN	1009	2021-11-09 18:13:12.582
19268	1008-4596	GIVEN	1008	2021-11-09 10:49:32.008
3399	1002-4727	GIVEN	1002	2021-11-09 08:04:25.703
11489	1000-4732	GIVEN	1000	2021-11-09 03:35:10.992
13321	1007-4764	GIVEN	1007	2021-11-09 09:46:02.171
12842	1005-4775	GIVEN	1005	2021-11-09 23:00:57.560
13930	1005-4791	GIVEN	1005	2021-11-09 13:26:11.647
6049	1003-4797	GIVEN	1003	2021-11-09 01:02:06.655
1610	1004-4808	GIVEN	1004	2021-11-09 06:06:59.544
18128	1004-4832	GIVEN	1004	2021-11-09 04:02:41.206
7270	1003-4865	GIVEN	1003	2021-11-09 09:44:29.475
13177	1006-4989	GIVEN	1006	2021-11-09 23:24:32.195
2863	1008-4990	GIVEN	1008	2021-11-09 10:59:42.023
18444	1007-5021	GIVEN	1007	2021-11-09 13:46:56.582
7778	1004-5046	GIVEN	1004	2021-11-09 21:32:52.394
8352	1008-5049	GIVEN	1008	2021-11-09 09:59:10.608
18014	1005-5067	GIVEN	1005	2021-11-09 07:31:18.507
18344	1004-5193	GIVEN	1004	2021-11-09 17:08:04.545
11527	1001-5194	GIVEN	1001	2021-11-09 14:39:27.127
4699	1000-5218	GIVEN	1000	2021-11-09 02:35:48.463
17447	1005-5231	GIVEN	1005	2021-11-09 14:09:24.134
8523	1004-5256	GIVEN	1004	2021-11-09 20:09:30.326
47	1006-5284	GIVEN	1006	2021-11-09 15:47:29.522
17891	1000-5297	GIVEN	1000	2021-11-09 20:55:49.935
1763	1006-5321	GIVEN	1006	2021-11-09 23:26:46.381
8258	1009-5332	GIVEN	1009	2021-11-09 23:29:30.737
13909	1000-5362	GIVEN	1000	2021-11-09 22:40:57.575
3613	1006-5407	GIVEN	1006	2021-11-09 11:40:05.309
17825	1006-5411	GIVEN	1006	2021-11-09 19:43:20.425
1382	1008-5412	GIVEN	1008	2021-11-09 08:18:49.653
8179	1002-5457	GIVEN	1002	2021-11-09 17:19:49.067
5326	1003-5460	GIVEN	1003	2021-11-09 10:06:59.777
573	1007-5495	GIVEN	1007	2021-11-09 03:36:06.706
7084	1006-5590	GIVEN	1006	2021-11-09 21:22:26.321
11936	1009-5594	GIVEN	1009	2021-11-09 23:25:57.386
1384	1006-5721	GIVEN	1006	2021-11-09 23:40:39.702
10270	1002-5733	GIVEN	1002	2021-11-09 19:38:33.567
14956	1006-5734	GIVEN	1006	2021-11-09 05:53:43.432
2622	1003-5775	GIVEN	1003	2021-11-09 13:48:44.138
13882	1009-5778	GIVEN	1009	2021-11-09 07:00:48.839
15026	1008-5803	GIVEN	1008	2021-11-09 08:22:02.336
5962	1001-5816	GIVEN	1001	2021-11-09 15:33:53.835
165	1003-5823	GIVEN	1003	2021-11-09 05:01:00.849
2439	1001-5853	GIVEN	1001	2021-11-09 21:05:24.547
6524	1001-5863	GIVEN	1001	2021-11-09 09:20:08.923
13849	1000-5900	GIVEN	1000	2021-11-09 04:51:21.212
6019	1003-5951	GIVEN	1003	2021-11-09 14:02:10.231
2255	1000-5959	GIVEN	1000	2021-11-09 16:03:50.112
9941	1008-5965	GIVEN	1008	2021-11-09 18:16:44.004
18945	1008-5990	GIVEN	1008	2021-11-09 11:57:12.818
4562	1007-6021	GIVEN	1007	2021-11-09 16:15:10.126
19116	1003-6028	GIVEN	1003	2021-11-09 05:50:28.922
8239	1009-6040	GIVEN	1009	2021-11-09 03:51:32.289
14744	1004-6068	GIVEN	1004	2021-11-09 14:38:04.072
17589	1006-6078	GIVEN	1006	2021-11-09 13:15:42.420
15420	1006-6080	GIVEN	1006	2021-11-09 19:46:41.745
4576	1001-6098	GIVEN	1001	2021-11-09 15:29:01.814
2836	1002-6147	GIVEN	1002	2021-11-09 05:30:15.328
10149	1001-6172	GIVEN	1001	2021-11-09 16:55:52.544
4791	1000-6217	GIVEN	1000	2021-11-09 20:13:07.025
9123	1005-6223	GIVEN	1005	2021-11-09 13:16:59.619
2967	1007-6284	GIVEN	1007	2021-11-09 11:57:11.693
6694	1000-6294	GIVEN	1000	2021-11-09 13:45:07.490
318	1006-6302	GIVEN	1006	2021-11-09 21:36:25.515
15093	1001-6322	GIVEN	1001	2021-11-09 20:07:39.485
3328	1000-6340	GIVEN	1000	2021-11-09 15:25:38.014
462	1002-6349	GIVEN	1002	2021-11-09 06:07:33.329
459	1000-6359	GIVEN	1000	2021-11-09 23:24:25.822
498	1008-6447	GIVEN	1008	2021-11-09 08:58:12.674
9901	1001-6462	GIVEN	1001	2021-11-09 02:26:57.229
11483	1005-6486	GIVEN	1005	2021-11-09 09:36:24.004
11075	1006-6497	GIVEN	1006	2021-11-09 13:07:37.255
2592	1002-6517	GIVEN	1002	2021-11-09 11:14:14.164
4493	1009-6579	GIVEN	1009	2021-11-09 09:05:19.943
7393	1007-6581	GIVEN	1007	2021-11-09 06:23:14.367
9668	1003-6585	GIVEN	1003	2021-11-09 04:16:14.910
19801	1002-6624	GIVEN	1002	2021-11-09 16:37:48.605
10259	1000-6626	GIVEN	1000	2021-11-09 09:34:48.859
17386	1000-6630	GIVEN	1000	2021-11-09 17:17:58.066
8360	1004-6674	GIVEN	1004	2021-11-09 15:46:36.671
19127	1004-6675	GIVEN	1004	2021-11-09 17:58:31.813
11326	1005-6694	GIVEN	1005	2021-11-09 08:25:05.085
5870	1000-6725	GIVEN	1000	2021-11-09 13:19:34.949
5119	1001-6734	GIVEN	1001	2021-11-09 21:15:08.250
13209	1001-6746	GIVEN	1001	2021-11-09 05:31:48.605
12014	1008-6770	GIVEN	1008	2021-11-09 13:42:37.779
6913	1009-6786	GIVEN	1009	2021-11-09 20:09:29.873
1014	1009-6787	GIVEN	1009	2021-11-09 06:13:48.943
5986	1008-6857	GIVEN	1008	2021-11-09 16:01:06.969
19066	1002-6885	GIVEN	1002	2021-11-09 19:34:47.392
3733	1000-6888	GIVEN	1000	2021-11-09 05:58:17.200
