userid	voucherCode	status	campaignID	time
9595	1004-73	GIVEN	1004	2021-11-10 18:34:35.549
2818	1005-113	GIVEN	1005	2021-11-10 15:09:39.289
19011	1002-174	GIVEN	1002	2021-11-10 10:56:00.314
7398	1002-175	GIVEN	1002	2021-11-10 00:15:43.180
17880	1005-250	GIVEN	1005	2021-11-10 12:53:54.813
9757	1002-280	GIVEN	1002	2021-11-10 17:41:08.511
5189	1009-292	GIVEN	1009	2021-11-10 14:28:21.378
15806	1007-377	GIVEN	1007	2021-11-10 12:42:25.051
11097	1002-412	GIVEN	1002	2021-11-10 09:04:36.345
10681	1009-438	GIVEN	1009	2021-11-10 11:17:13.212
2356	1004-440	GIVEN	1004	2021-11-10 21:27:36.252
1089	1009-458	GIVEN	1009	2021-11-10 03:13:53.814
17828	1004-465	GIVEN	1004	2021-11-10 04:42:49.353
11866	1001-485	GIVEN	1001	2021-11-10 02:46:28.201
19243	1006-496	GIVEN	1006	2021-11-10 06:22:05.500
2839	1000-510	GIVEN	1000	2021-11-10 22:15:47.547
5522	1009-520	GIVEN	1009	2021-11-10 01:16:28.577
4052	1006-531	GIVEN	1006	2021-11-10 17:24:37.586
10734	1003-598	GIVEN	1003	2021-11-10 05:23:40.242
17339	1002-604	GIVEN	1002	2021-11-10 13:09:54.180
10946	1009-606	GIVEN	1009	2021-11-10 04:38:30.992
11235	1007-612	GIVEN	1007	2021-11-10 07:29:19.824
14412	1008-629	GIVEN	1008	2021-11-10 17:52:57.410
11082	1007-646	GIVEN	1007	2021-11-10 03:22:55.174
15389	1009-677	GIVEN	1009	2021-11-10 08:44:58.864
6488	1001-680	GIVEN	1001	2021-11-10 07:24:14.214
1675	1009-686	GIVEN	1009	2021-11-10 15:35:58.677
18743	1007-726	GIVEN	1007	2021-11-10 21:58:51.830
8794	1001-733	GIVEN	1001	2021-11-10 13:04:12.574
258	1002-740	GIVEN	1002	2021-11-10 13:21:11.036
12220	1006-795	GIVEN	1006	2021-11-10 05:16:51.671
11845	1003-801	GIVEN	1003	2021-11-10 17:49:03.822
2464	1002-827	GIVEN	1002	2021-11-10 03:01:56.276
8942	1006-903	GIVEN	1006	2021-11-10 17:57:22.842
18426	1007-908	GIVEN	1007	2021-11-10 20:40:34.717
797	1007-929	GIVEN	1007	2021-11-10 03:45:17.653
6973	1003-948	GIVEN	1003	2021-11-10 06:36:11.855
6633	1007-1001	GIVEN	1007	2021-11-10 15:03:50.810
11795	1006-1055	GIVEN	1006	2021-11-10 14:30:57.792
18169	1003-1060	GIVEN	1003	2021-11-10 01:27:19.135
8196	1004-1063	GIVEN	1004	2021-11-10 07:03:40.454
15191	1007-1069	GIVEN	1007	2021-11-10 05:56:50.749
3168	1004-1108	GIVEN	1004	2021-11-10 12:09:45.860
4626	1004-1148	GIVEN	1004	2021-11-10 14:47:04.012
14704	1001-1177	GIVEN	1001	2021-11-10 00:31:01.352
9022	1005-1203	GIVEN	1005	2021-11-10 18:45:55.872
13082	1008-1233	GIVEN	1008	2021-11-10 23:32:58.493
172	1007-1328	GIVEN	1007	2021-11-10 00:35:59.771
19702	1008-1339	GIVEN	1008	2021-11-10 05:51:43.797
19893	1002-1371	GIVEN	1002	2021-11-10 09:54:17.107
7042	1001-1374	GIVEN	1001	2021-11-10 11:01:08.472
13187	1009-1376	GIVEN	1009	2021-11-10 07:43:47.338
1078	1006-1380	GIVEN	1006	2021-11-10 02:06:19.082
19479	1002-1405	GIVEN	1002	2021-11-10 23:39:34.257
11829	1007-1491	GIVEN	1007	2021-11-10 05:51:40.291
3740	1006-1529	GIVEN	1006	2021-11-10 15:44:00.039
2364	1006-1570	GIVEN	1006	2021-11-10 03:46:23.020
16370	1002-1592	GIVEN	1002	2021-11-10 19:35:04.710
6708	1002-1593	GIVEN	1002	2021-11-10 00:26:10.257
12081	1005-1612	GIVEN	1005	2021-11-10 11:08:00.622
8402	1006-1628	GIVEN	1006	2021-11-10 06:40:31.890
16604	1002-1655	GIVEN	1002	2021-11-10 17:54:32.016
6082	1001-1697	GIVEN	1001	2021-11-10 01:52:31.130
3614	1001-1746	GIVEN	1001	2021-11-10 22:54:17.037
5418	1003-1775	GIVEN	1003	2021-11-10 10:43:26.722
13864	1009-1780	GIVEN	1009	2021-11-10 05:35:30.676
13647	1009-1891	GIVEN	1009	2021-11-10 00:27:53.978
19908	1009-1959	GIVEN	1009	2021-11-10 12:58:18.447
7439	1007-1972	GIVEN	1007	2021-11-10 03:35:26.820
17540	1009-1975	GIVEN	1009	2021-11-10 23:07:18.013
1948	1003-2020	GIVEN	1003	2021-11-10 14:06:37.094
11296	1003-2021	GIVEN	1003	2021-11-10 01:22:15.151
5189	1003-2040	GIVEN	1003	2021-11-10 13:39:10.987
5561	1009-2099	GIVEN	1009	2021-11-10 21:08:26.836
244	1003-2107	GIVEN	1003	2021-11-10 19:29:22.063
13020	1004-2109	GIVEN	1004	2021-11-10 04:52:19.341
12895	1001-2112	GIVEN	1001	2021-11-10 16:27:54.380
9257	1007-2174	GIVEN	1007	2021-11-10 00:34:21.726
19722	1002-2182	GIVEN	1002	2021-11-10 04:45:39.362
15177	1009-2193	GIVEN	1009	2021-11-10 17:52:57.239
18071	1001-2263	GIVEN	1001	2021-11-10 10:25:27.331
2851	1001-2308	GIVEN	1001	2021-11-10 07:08:49.671
19605	1008-2313	GIVEN	1008	2021-11-10 14:50:00.354
13713	1007-2350	GIVEN	1007	2021-11-10 21:02:40.843
8996	1005-2363	GIVEN	1005	2021-11-10 06:51:02.842
