userid	voucherCode	status	campaignID	time
11546	1000-44	GIVEN	1000	2021-11-11 11:48:55.033
8662	1004-108	GIVEN	1004	2021-11-11 09:27:57.418
3360	1006-142	GIVEN	1006	2021-11-11 17:07:55.575
18335	1006-161	GIVEN	1006	2021-11-11 06:53:24.882
6281	1005-162	GIVEN	1005	2021-11-11 05:27:07.991
2858	1005-239	GIVEN	1005	2021-11-11 01:30:52.382
5373	1003-317	GIVEN	1003	2021-11-11 13:51:52.059
19875	1001-376	GIVEN	1001	2021-11-11 19:38:31.441
18355	1004-415	GIVEN	1004	2021-11-11 11:05:00.812
9117	1002-432	GIVEN	1002	2021-11-11 02:23:14.118
14189	1004-437	GIVEN	1004	2021-11-11 10:33:46.120
2066	1001-439	GIVEN	1001	2021-11-11 04:22:43.552
5176	1000-448	GIVEN	1000	2021-11-11 02:28:54.853
15850	1007-501	GIVEN	1007	2021-11-11 11:44:39.646
14764	1003-506	GIVEN	1003	2021-11-11 09:12:38.895
8052	1006-515	GIVEN	1006	2021-11-11 23:53:52.898
1192	1007-517	GIVEN	1007	2021-11-11 14:11:34.666
12415	1008-552	GIVEN	1008	2021-11-11 06:07:57.258
1843	1003-567	GIVEN	1003	2021-11-11 04:33:30.225
3249	1007-576	GIVEN	1007	2021-11-11 10:24:57.898
7804	1000-588	GIVEN	1000	2021-11-11 15:18:59.324
15023	1001-623	GIVEN	1001	2021-11-11 13:53:51.511
3927	1009-652	GIVEN	1009	2021-11-11 08:45:28.817
13516	1006-714	GIVEN	1006	2021-11-11 02:09:53.845
18466	1004-741	GIVEN	1004	2021-11-11 13:34:52.427
15072	1002-787	GIVEN	1002	2021-11-11 20:43:27.729
12490	1008-818	GIVEN	1008	2021-11-11 20:00:57.888
14603	1004-841	GIVEN	1004	2021-11-11 17:55:48.712
17877	1002-860	GIVEN	1002	2021-11-11 00:49:39.884
6922	1001-861	GIVEN	1001	2021-11-11 06:41:13.686
8660	1002-880	GIVEN	1002	2021-11-11 15:51:13.595
3249	1003-913	GIVEN	1003	2021-11-11 15:21:17.003
14633	1007-924	GIVEN	1007	2021-11-11 10:18:42.423
665	1006-949	GIVEN	1006	2021-11-11 06:25:20.871
16653	1000-952	GIVEN	1000	2021-11-11 05:46:31.368
9487	1000-984	GIVEN	1000	2021-11-11 01:43:47.183
13552	1009-1008	GIVEN	1009	2021-11-11 11:21:32.219
4891	1005-1013	GIVEN	1005	2021-11-11 15:40:30.417
10837	1000-1025	GIVEN	1000	2021-11-11 18:51:30.360
3930	1009-1085	GIVEN	1009	2021-11-11 19:11:49.900
570	1002-1112	GIVEN	1002	2021-11-11 19:04:02.235
8817	1007-1157	GIVEN	1007	2021-11-11 10:38:04.868
3397	1009-1165	GIVEN	1009	2021-11-11 21:58:52.825
5263	1003-1216	GIVEN	1003	2021-11-11 09:36:30.830
16314	1009-1226	GIVEN	1009	2021-11-11 10:17:08.410
2385	1009-1254	GIVEN	1009	2021-11-11 12:12:47.400
9947	1006-1295	GIVEN	1006	2021-11-11 00:02:07.421
16832	1001-1362	GIVEN	1001	2021-11-11 19:41:43.588
11031	1001-1394	GIVEN	1001	2021-11-11 17:23:09.679
4655	1002-1396	GIVEN	1002	2021-11-11 23:56:55.452
5964	1006-1397	GIVEN	1006	2021-11-11 10:48:38.741
10611	1009-1463	GIVEN	1009	2021-11-11 09:13:50.094
9835	1003-1513	GIVEN	1003	2021-11-11 12:52:08.796
7614	1001-1588	GIVEN	1001	2021-11-11 23:16:45.966
14562	1006-1609	GIVEN	1006	2021-11-11 03:45:54.945
6275	1006-1629	GIVEN	1006	2021-11-11 10:06:46.006
16295	1005-1645	GIVEN	1005	2021-11-11 18:15:47.140
14280	1002-1717	GIVEN	1002	2021-11-11 07:44:22.079
15071	1000-1720	GIVEN	1000	2021-11-11 03:08:53.491
16740	1001-1723	GIVEN	1001	2021-11-11 18:46:32.775
6655	1004-1726	GIVEN	1004	2021-11-11 20:42:49.267
19252	1007-1742	GIVEN	1007	2021-11-11 15:50:45.925
14438	1003-1745	GIVEN	1003	2021-11-11 04:04:13.304
12766	1003-1756	GIVEN	1003	2021-11-11 10:35:31.138
18308	1002-1776	GIVEN	1002	2021-11-11 07:59:29.211
11816	1003-1783	GIVEN	1003	2021-11-11 12:00:20.395
6451	1001-1805	GIVEN	1001	2021-11-11 02:32:55.159
12658	1006-1867	GIVEN	1006	2021-11-11 14:21:14.847
13805	1007-1889	GIVEN	1007	2021-11-11 10:44:04.643
6696	1009-1979	GIVEN	1009	2021-11-11 23:51:22.456
14541	1001-1984	GIVEN	1001	2021-11-11 20:43:08.437
4452	1008-2000	GIVEN	1008	2021-11-11 00:10:41.238
1767	1008-2052	GIVEN	1008	2021-11-11 01:47:28.789
14269	1002-2056	GIVEN	1002	2021-11-11 03:09:36.831
16501	1002-2059	GIVEN	1002	2021-11-11 08:10:39.841
14764	1008-2065	GIVEN	1008	2021-11-11 00:16:05.283
10392	1001-2081	GIVEN	1001	2021-11-11 22:30:01.103
5220	1004-2209	GIVEN	1004	2021-11-11 16:59:45.633
5698	1003-2222	GIVEN	1003	2021-11-11 18:59:13.153
11921	1000-2255	GIVEN	1000	2021-11-11 19:12:01.208
18373	1002-2359	GIVEN	1002	2021-11-11 09:57:30.589
3066	1000-2385	GIVEN	1000	2021-11-11 21:28:34.968
11888	1002-2500	GIVEN	1002	2021-11-11 21:18:41.869
17114	1008-2528	GIVEN	1008	2021-11-11 11:04:02.592
12953	1009-2546	GIVEN	1009	2021-11-11 16:07:04.772
13963	1005-2568	GIVEN	1005	2021-11-11 08:38:28.472
12025	1009-2639	GIVEN	1009	2021-11-11 20:57:07.618
18005	1007-2663	GIVEN	1007	2021-11-11 00:45:35.198
19642	1005-2690	GIVEN	1005	2021-11-11 00:16:37.502
18641	1006-2700	GIVEN	1006	2021-11-11 23:01:21.911
170	1004-2725	GIVEN	1004	2021-11-11 22:52:27.718
15141	1004-2780	GIVEN	1004	2021-11-11 10:00:23.495
12182	1004-2846	GIVEN	1004	2021-11-11 01:18:10.933
6538	1002-2849	GIVEN	1002	2021-11-11 21:46:00.332
5634	1008-2911	GIVEN	1008	2021-11-11 04:21:52.442
9078	1000-2976	GIVEN	1000	2021-11-11 16:03:50.940
7958	1007-2979	GIVEN	1007	2021-11-11 06:35:14.310
3181	1006-3033	GIVEN	1006	2021-11-11 20:16:37.848
16571	1004-3125	GIVEN	1004	2021-11-11 08:20:25.724
4171	1007-3165	GIVEN	1007	2021-11-11 02:18:15.564
19642	1001-3169	GIVEN	1001	2021-11-11 14:45:05.505
17033	1003-3196	GIVEN	1003	2021-11-11 04:09:39.162
6159	1004-3304	GIVEN	1004	2021-11-11 17:41:43.625
5130	1009-3320	GIVEN	1009	2021-11-11 22:45:22.265
9797	1003-3324	GIVEN	1003	2021-11-11 22:01:00.629
18815	1004-3349	GIVEN	1004	2021-11-11 15:49:44.766
11123	1005-3355	GIVEN	1005	2021-11-11 08:19:32.336
5784	1001-3388	GIVEN	1001	2021-11-11 06:26:09.854
17902	1001-3394	GIVEN	1001	2021-11-11 14:10:26.061
11398	1003-3428	GIVEN	1003	2021-11-11 17:14:22.191
1160	1001-3482	GIVEN	1001	2021-11-11 18:50:43.977
6236	1008-3490	GIVEN	1008	2021-11-11 18:19:00.530
6203	1000-3495	GIVEN	1000	2021-11-11 07:13:54.789
5156	1009-3524	GIVEN	1009	2021-11-11 04:52:54.668
16	1004-3529	GIVEN	1004	2021-11-11 14:20:09.952
15495	1003-3531	GIVEN	1003	2021-11-11 23:59:57.858
5847	1005-3548	GIVEN	1005	2021-11-11 11:27:24.048
11567	1008-3609	GIVEN	1008	2021-11-11 13:42:29.711
2479	1002-3635	GIVEN	1002	2021-11-11 15:26:32.905
14949	1003-3647	GIVEN	1003	2021-11-11 22:39:23.055
19336	1000-3665	GIVEN	1000	2021-11-11 07:47:21.786
9817	1000-3704	GIVEN	1000	2021-11-11 20:10:02.013
14220	1001-3706	GIVEN	1001	2021-11-11 08:03:48.006
2313	1009-3735	GIVEN	1009	2021-11-11 16:12:03.811
12698	1009-3762	GIVEN	1009	2021-11-11 10:39:34.531
8268	1008-3772	GIVEN	1008	2021-11-11 06:17:11.326
8612	1002-3785	GIVEN	1002	2021-11-11 10:51:17.776
11700	1006-3798	GIVEN	1006	2021-11-11 05:07:30.243
10245	1003-3818	GIVEN	1003	2021-11-11 20:13:30.246
12618	1008-3851	GIVEN	1008	2021-11-11 12:33:01.051
2670	1005-3854	GIVEN	1005	2021-11-11 13:26:50.616
1267	1009-3870	GIVEN	1009	2021-11-11 14:48:43.766
13433	1002-3882	GIVEN	1002	2021-11-11 05:24:20.415
11600	1008-3926	GIVEN	1008	2021-11-11 06:12:44.405
10491	1008-3947	GIVEN	1008	2021-11-11 02:33:52.228
13632	1008-3948	GIVEN	1008	2021-11-11 03:25:09.505
6812	1004-4035	GIVEN	1004	2021-11-11 16:20:51.731
16175	1001-4038	GIVEN	1001	2021-11-11 23:31:12.064
9598	1000-4078	GIVEN	1000	2021-11-11 09:47:15.348
10279	1001-4117	GIVEN	1001	2021-11-11 07:50:28.242
967	1007-4141	GIVEN	1007	2021-11-11 15:03:41.567
2531	1001-4149	GIVEN	1001	2021-11-11 07:37:36.570
3466	1007-4215	GIVEN	1007	2021-11-11 01:39:16.838
9950	1001-4221	GIVEN	1001	2021-11-11 01:36:15.761
15442	1008-4278	GIVEN	1008	2021-11-11 16:26:45.001
4992	1009-4282	GIVEN	1009	2021-11-11 18:11:32.853
9711	1008-4294	GIVEN	1008	2021-11-11 02:23:59.563
3343	1008-4310	GIVEN	1008	2021-11-11 13:19:44.291
9057	1004-4341	GIVEN	1004	2021-11-11 17:56:48.965
17909	1004-4391	GIVEN	1004	2021-11-11 20:44:43.531
11575	1008-4420	GIVEN	1008	2021-11-11 16:24:02.085
14293	1001-4458	GIVEN	1001	2021-11-11 23:41:15.587
10565	1001-4474	GIVEN	1001	2021-11-11 03:33:55.650
671	1007-4476	GIVEN	1007	2021-11-11 07:03:13.519
4877	1006-4501	GIVEN	1006	2021-11-11 07:01:14.126
5973	1005-4509	GIVEN	1005	2021-11-11 05:07:04.720
642	1000-4517	GIVEN	1000	2021-11-11 23:32:12.217
17905	1009-4541	GIVEN	1009	2021-11-11 14:51:13.439
2184	1006-4637	GIVEN	1006	2021-11-11 19:14:05.188
14592	1005-4698	GIVEN	1005	2021-11-11 03:36:19.012
3079	1005-4716	GIVEN	1005	2021-11-11 05:47:31.209
14291	1001-4750	GIVEN	1001	2021-11-11 10:20:15.755
5048	1005-4773	GIVEN	1005	2021-11-11 03:45:10.441
8855	1003-4792	GIVEN	1003	2021-11-11 19:41:00.878
12053	1006-4827	GIVEN	1006	2021-11-11 05:45:14.237
50	1001-4856	GIVEN	1001	2021-11-11 08:15:03.189
8138	1009-4878	GIVEN	1009	2021-11-11 10:13:02.816
12190	1003-4896	GIVEN	1003	2021-11-11 07:38:54.826
19137	1001-4944	GIVEN	1001	2021-11-11 13:54:40.808
15827	1006-4962	GIVEN	1006	2021-11-11 23:15:21.186
5297	1000-4983	GIVEN	1000	2021-11-11 02:47:16.509
4441	1003-4987	GIVEN	1003	2021-11-11 17:35:05.655
15513	1009-5005	GIVEN	1009	2021-11-11 09:54:45.021
5418	1009-5034	GIVEN	1009	2021-11-11 01:01:38.804
324	1003-5092	GIVEN	1003	2021-11-11 10:03:03.495
1141	1007-5112	GIVEN	1007	2021-11-11 18:43:07.571
13556	1000-5132	GIVEN	1000	2021-11-11 23:08:33.394
8981	1006-5172	GIVEN	1006	2021-11-11 10:58:29.930
16803	1001-5178	GIVEN	1001	2021-11-11 17:47:51.139
12571	1005-5192	GIVEN	1005	2021-11-11 05:53:39.050
3975	1003-5216	GIVEN	1003	2021-11-11 04:18:23.827
1491	1005-5227	GIVEN	1005	2021-11-11 01:24:09.910
19794	1006-5324	GIVEN	1006	2021-11-11 13:30:46.479
14125	1007-5338	GIVEN	1007	2021-11-11 20:46:25.250
16522	1005-5371	GIVEN	1005	2021-11-11 17:27:35.902
16190	1006-5410	GIVEN	1006	2021-11-11 19:38:25.360
8899	1004-5440	GIVEN	1004	2021-11-11 22:11:49.694
337	1006-5451	GIVEN	1006	2021-11-11 22:17:20.037
9366	1002-5498	GIVEN	1002	2021-11-11 19:31:09.631
12496	1000-5503	GIVEN	1000	2021-11-11 12:00:06.630
7266	1001-5504	GIVEN	1001	2021-11-11 12:11:04.541
5077	1009-5519	GIVEN	1009	2021-11-11 06:30:29.079
1248	1003-5604	GIVEN	1003	2021-11-11 09:20:01.577
9390	1003-5621	GIVEN	1003	2021-11-11 20:29:41.449
16077	1001-5649	GIVEN	1001	2021-11-11 02:01:03.318
4215	1003-5651	GIVEN	1003	2021-11-11 16:31:43.683
8577	1002-5673	GIVEN	1002	2021-11-11 06:30:20.288
16142	1000-5677	GIVEN	1000	2021-11-11 23:35:33.750
19420	1008-5723	GIVEN	1008	2021-11-11 22:08:25.498
11653	1008-5759	GIVEN	1008	2021-11-11 23:46:46.008
11287	1006-5796	GIVEN	1006	2021-11-11 14:39:23.406
