userid	voucherCode	status	campaignID	time
12471	1003-25	GIVEN	1003	2021-11-13 04:11:52.814
6459	1007-55	GIVEN	1007	2021-11-13 23:03:55.188
6	1000-90	GIVEN	1000	2021-11-13 09:08:30.416
9850	1002-93	GIVEN	1002	2021-11-13 15:53:24.226
14210	1009-107	GIVEN	1009	2021-11-13 19:12:04.785
16064	1002-118	GIVEN	1002	2021-11-13 14:54:50.996
6985	1007-140	GIVEN	1007	2021-11-13 19:21:26.169
8899	1007-151	GIVEN	1007	2021-11-13 17:00:37.817
11250	1002-171	GIVEN	1002	2021-11-13 06:54:12.174
14932	1002-210	GIVEN	1002	2021-11-13 23:24:36.461
949	1000-241	GIVEN	1000	2021-11-13 04:47:10.825
4081	1007-298	GIVEN	1007	2021-11-13 14:28:43.963
3647	1000-343	GIVEN	1000	2021-11-13 01:51:55.413
18684	1005-393	GIVEN	1005	2021-11-13 10:44:45.874
19651	1005-395	GIVEN	1005	2021-11-13 03:57:30.924
11951	1001-453	GIVEN	1001	2021-11-13 17:10:13.228
3640	1009-462	GIVEN	1009	2021-11-13 08:26:02.423
18095	1007-474	GIVEN	1007	2021-11-13 22:10:13.450
17436	1007-500	GIVEN	1007	2021-11-13 11:43:39.012
19667	1001-509	GIVEN	1001	2021-11-13 18:44:47.390
7277	1007-516	GIVEN	1007	2021-11-13 01:30:41.240
11489	1003-536	GIVEN	1003	2021-11-13 19:58:13.626
931	1008-537	GIVEN	1008	2021-11-13 21:55:54.392
13709	1003-545	GIVEN	1003	2021-11-13 05:00:05.635
2149	1004-641	GIVEN	1004	2021-11-13 10:06:37.251
15277	1003-679	GIVEN	1003	2021-11-13 22:04:03.105
6901	1005-706	GIVEN	1005	2021-11-13 22:50:19.035
8689	1005-747	GIVEN	1005	2021-11-13 17:35:53.403
9256	1008-760	GIVEN	1008	2021-11-13 11:12:20.663
7767	1008-768	GIVEN	1008	2021-11-13 15:13:37.654
6846	1005-829	GIVEN	1005	2021-11-13 22:33:03.715
5301	1004-988	GIVEN	1004	2021-11-13 10:48:16.966
13452	1004-1079	GIVEN	1004	2021-11-13 17:10:28.785
8402	1005-1114	GIVEN	1005	2021-11-13 13:34:14.488
