userid	voucherCode	status	campaignID	time
14526	1004-37	GIVEN	1004	2021-11-14 10:41:48.931
18156	1008-81	GIVEN	1008	2021-11-14 06:38:43.655
17017	1007-102	GIVEN	1007	2021-11-14 08:57:38.132
13821	1005-177	GIVEN	1005	2021-11-14 10:38:54.891
8745	1003-179	GIVEN	1003	2021-11-14 18:08:00.903
7590	1006-201	GIVEN	1006	2021-11-14 11:32:09.100
3127	1003-205	GIVEN	1003	2021-11-14 09:51:04.185
12565	1006-228	GIVEN	1006	2021-11-14 10:35:54.441
9925	1007-240	GIVEN	1007	2021-11-14 03:03:01.975
8790	1004-242	GIVEN	1004	2021-11-14 19:15:00.468
11417	1003-253	GIVEN	1003	2021-11-14 17:48:44.609
16329	1001-281	GIVEN	1001	2021-11-14 11:26:33.014
6795	1003-352	GIVEN	1003	2021-11-14 19:58:35.304
16279	1009-368	GIVEN	1009	2021-11-14 04:11:24.227
17328	1003-431	GIVEN	1003	2021-11-14 07:15:21.651
4075	1005-443	GIVEN	1005	2021-11-14 14:18:55.649
1704	1005-452	GIVEN	1005	2021-11-14 00:46:21.884
1202	1008-469	GIVEN	1008	2021-11-14 01:23:32.126
619	1008-475	GIVEN	1008	2021-11-14 00:07:07.614
6428	1008-490	GIVEN	1008	2021-11-14 14:20:53.258
14254	1004-513	GIVEN	1004	2021-11-14 01:39:22.323
6984	1006-553	GIVEN	1006	2021-11-14 20:52:03.721
16963	1004-633	GIVEN	1004	2021-11-14 22:22:51.800
12758	1001-642	GIVEN	1001	2021-11-14 17:37:49.860
1265	1008-708	GIVEN	1008	2021-11-14 11:59:01.241
9666	1008-722	GIVEN	1008	2021-11-14 22:14:27.503
6016	1005-727	GIVEN	1005	2021-11-14 04:08:29.724
977	1004-761	GIVEN	1004	2021-11-14 15:59:53.627
6344	1005-781	GIVEN	1005	2021-11-14 13:10:35.037
6689	1005-831	GIVEN	1005	2021-11-14 11:20:03.046
9130	1005-832	GIVEN	1005	2021-11-14 00:13:12.694
2688	1001-881	GIVEN	1001	2021-11-14 20:45:54.660
15152	1006-961	GIVEN	1006	2021-11-14 04:14:37.040
6033	1006-995	GIVEN	1006	2021-11-14 22:52:29.877
13494	1004-1019	GIVEN	1004	2021-11-14 11:55:18.757
9385	1008-1031	GIVEN	1008	2021-11-14 04:10:03.153
607	1006-1036	GIVEN	1006	2021-11-14 00:30:35.825
14357	1009-1095	GIVEN	1009	2021-11-14 21:04:58.632
4456	1000-1096	GIVEN	1000	2021-11-14 22:02:21.072
1857	1006-1106	GIVEN	1006	2021-11-14 07:13:48.918
1572	1005-1179	GIVEN	1005	2021-11-14 02:16:11.771
8682	1002-1197	GIVEN	1002	2021-11-14 06:41:24.378
5303	1009-1261	GIVEN	1009	2021-11-14 15:44:12.860
10678	1008-1266	GIVEN	1008	2021-11-14 18:11:46.663
8540	1004-1323	GIVEN	1004	2021-11-14 19:30:36.223
9109	1004-1474	GIVEN	1004	2021-11-14 21:33:49.210
1063	1002-1501	GIVEN	1002	2021-11-14 02:12:06.178
5900	1007-1521	GIVEN	1007	2021-11-14 19:40:53.230
4844	1003-1553	GIVEN	1003	2021-11-14 15:00:42.506
5731	1006-1637	GIVEN	1006	2021-11-14 05:30:26.436
8450	1008-1683	GIVEN	1008	2021-11-14 17:55:00.973
1474	1008-1694	GIVEN	1008	2021-11-14 15:57:22.537
7396	1004-1701	GIVEN	1004	2021-11-14 00:18:55.592
19018	1000-1749	GIVEN	1000	2021-11-14 20:37:29.894
2888	1001-1809	GIVEN	1001	2021-11-14 19:10:43.571
19241	1009-1820	GIVEN	1009	2021-11-14 09:14:27.888
14091	1006-1834	GIVEN	1006	2021-11-14 13:36:58.338
12289	1004-1838	GIVEN	1004	2021-11-14 22:31:49.425
9540	1004-1845	GIVEN	1004	2021-11-14 06:05:07.436
16965	1000-2008	GIVEN	1000	2021-11-14 08:31:35.322
8490	1002-2028	GIVEN	1002	2021-11-14 10:10:55.064
11994	1002-2032	GIVEN	1002	2021-11-14 10:43:36.125
14861	1003-2046	GIVEN	1003	2021-11-14 07:15:58.204
7335	1002-2093	GIVEN	1002	2021-11-14 01:05:28.952
15276	1003-2095	GIVEN	1003	2021-11-14 00:06:19.867
20000	1004-2144	GIVEN	1004	2021-11-14 02:21:31.052
13729	1008-2189	GIVEN	1008	2021-11-14 18:20:23.019
