userid	voucherCode	status	campaignID	time
18710	1005-43	GIVEN	1005	2021-11-15 06:33:36.852
12966	1001-60	GIVEN	1001	2021-11-15 04:23:07.982
7302	1000-119	GIVEN	1000	2021-11-15 23:02:59.568
7596	1003-136	GIVEN	1003	2021-11-15 09:30:04.866
12669	1006-139	GIVEN	1006	2021-11-15 15:45:19.727
18056	1006-193	GIVEN	1006	2021-11-15 22:51:24.313
19023	1005-261	GIVEN	1005	2021-11-15 17:43:09.222
7608	1004-263	GIVEN	1004	2021-11-15 06:13:59.961
4268	1009-274	GIVEN	1009	2021-11-15 11:16:33.844
5288	1002-424	GIVEN	1002	2021-11-15 11:08:31.107
3239	1007-429	GIVEN	1007	2021-11-15 10:24:08.086
1431	1004-466	GIVEN	1004	2021-11-15 07:01:12.812
14520	1006-524	GIVEN	1006	2021-11-15 15:45:42.027
18103	1004-653	GIVEN	1004	2021-11-15 10:56:29.928
2624	1002-673	GIVEN	1002	2021-11-15 20:07:41.161
19142	1009-676	GIVEN	1009	2021-11-15 04:03:32.502
8751	1007-693	GIVEN	1007	2021-11-15 00:44:15.447
9350	1004-754	GIVEN	1004	2021-11-15 14:26:38.480
15361	1007-763	GIVEN	1007	2021-11-15 15:06:27.026
2467	1006-794	GIVEN	1006	2021-11-15 12:46:56.380
8650	1008-799	GIVEN	1008	2021-11-15 00:40:45.525
5586	1003-825	GIVEN	1003	2021-11-15 00:05:36.494
18709	1003-830	GIVEN	1003	2021-11-15 06:13:40.973
8243	1005-845	GIVEN	1005	2021-11-15 19:51:33.392
12133	1003-920	GIVEN	1003	2021-11-15 08:49:15.214
2069	1009-930	GIVEN	1009	2021-11-15 11:55:14.875
12166	1001-932	GIVEN	1001	2021-11-15 17:05:49.609
3825	1008-945	GIVEN	1008	2021-11-15 00:40:50.730
373	1004-1040	GIVEN	1004	2021-11-15 06:58:41.852
15248	1000-1056	GIVEN	1000	2021-11-15 20:38:14.300
16014	1000-1065	GIVEN	1000	2021-11-15 02:17:09.635
576	1003-1150	GIVEN	1003	2021-11-15 10:50:42.312
3496	1005-1194	GIVEN	1005	2021-11-15 08:07:23.175
15627	1009-1205	GIVEN	1009	2021-11-15 00:36:45.227
17717	1005-1248	GIVEN	1005	2021-11-15 02:12:03.503
12789	1002-1272	GIVEN	1002	2021-11-15 22:55:57.262
14531	1008-1300	GIVEN	1008	2021-11-15 17:23:57.361
1461	1007-1306	GIVEN	1007	2021-11-15 15:48:11.638
18036	1009-1344	GIVEN	1009	2021-11-15 19:30:44.570
15441	1002-1481	GIVEN	1002	2021-11-15 13:27:12.774
6731	1001-1538	GIVEN	1001	2021-11-15 14:50:06.189
14524	1006-1654	GIVEN	1006	2021-11-15 14:50:56.033
2870	1001-1700	GIVEN	1001	2021-11-15 19:12:24.825
19036	1003-1703	GIVEN	1003	2021-11-15 19:55:51.118
15226	1007-1711	GIVEN	1007	2021-11-15 07:09:17.102
14182	1008-1785	GIVEN	1008	2021-11-15 20:12:24.513
15252	1001-1796	GIVEN	1001	2021-11-15 04:57:37.916
7547	1004-1852	GIVEN	1004	2021-11-15 12:34:33.389
16862	1001-1856	GIVEN	1001	2021-11-15 17:39:26.711
10804	1002-1899	GIVEN	1002	2021-11-15 12:42:20.972
14962	1003-1986	GIVEN	1003	2021-11-15 16:05:53.931
16930	1004-2063	GIVEN	1004	2021-11-15 20:04:30.554
14741	1006-2086	GIVEN	1006	2021-11-15 18:11:52.255
2045	1003-2092	GIVEN	1003	2021-11-15 02:37:48.623
19267	1007-2163	GIVEN	1007	2021-11-15 22:07:01.002
16116	1001-2210	GIVEN	1001	2021-11-15 03:54:12.447
12982	1009-2226	GIVEN	1009	2021-11-15 02:36:09.639
10008	1006-2277	GIVEN	1006	2021-11-15 19:52:29.312
15059	1009-2305	GIVEN	1009	2021-11-15 10:32:07.385
19392	1004-2365	GIVEN	1004	2021-11-15 12:04:42.886
14866	1004-2443	GIVEN	1004	2021-11-15 06:38:12.068
14044	1007-2454	GIVEN	1007	2021-11-15 01:15:13.697
15182	1004-2468	GIVEN	1004	2021-11-15 10:04:06.106
19797	1001-2469	GIVEN	1001	2021-11-15 04:25:53.864
9555	1002-2502	GIVEN	1002	2021-11-15 18:11:51.143
12500	1008-2509	GIVEN	1008	2021-11-15 02:32:03.874
16589	1001-2515	GIVEN	1001	2021-11-15 07:44:02.215
4088	1009-2532	GIVEN	1009	2021-11-15 11:24:26.650
15179	1008-2542	GIVEN	1008	2021-11-15 23:24:26.534
13257	1008-2545	GIVEN	1008	2021-11-15 20:43:05.127
11084	1004-2549	GIVEN	1004	2021-11-15 17:51:00.664
834	1006-2594	GIVEN	1006	2021-11-15 02:39:48.253
16875	1006-2611	GIVEN	1006	2021-11-15 21:09:38.976
18918	1007-2620	GIVEN	1007	2021-11-15 08:14:45.212
6567	1009-2651	GIVEN	1009	2021-11-15 20:38:56.350
18360	1009-2658	GIVEN	1009	2021-11-15 20:14:59.077
12853	1001-2679	GIVEN	1001	2021-11-15 10:32:50.627
11803	1005-2715	GIVEN	1005	2021-11-15 20:08:39.697
19826	1007-2735	GIVEN	1007	2021-11-15 18:32:17.992
130	1004-2747	GIVEN	1004	2021-11-15 18:49:31.487
13672	1009-2771	GIVEN	1009	2021-11-15 20:45:50.237
6886	1002-2794	GIVEN	1002	2021-11-15 17:34:11.272
18685	1001-2796	GIVEN	1001	2021-11-15 05:38:12.696
17845	1005-2798	GIVEN	1005	2021-11-15 18:29:28.306
8384	1004-2812	GIVEN	1004	2021-11-15 10:03:27.252
12680	1002-2833	GIVEN	1002	2021-11-15 03:47:47.239
9526	1003-2855	GIVEN	1003	2021-11-15 14:41:01.778
18958	1004-2897	GIVEN	1004	2021-11-15 21:57:46.561
17976	1009-2914	GIVEN	1009	2021-11-15 19:13:13.203
18682	1000-2946	GIVEN	1000	2021-11-15 20:49:26.484
13141	1004-2971	GIVEN	1004	2021-11-15 11:47:32.146
11749	1004-3001	GIVEN	1004	2021-11-15 15:06:56.000
17450	1007-3027	GIVEN	1007	2021-11-15 07:16:26.420
17194	1007-3029	GIVEN	1007	2021-11-15 17:46:31.294
13943	1001-3037	GIVEN	1001	2021-11-15 09:18:38.825
148	1004-3044	GIVEN	1004	2021-11-15 10:38:04.466
7597	1000-3048	GIVEN	1000	2021-11-15 11:29:06.936
15113	1007-3062	GIVEN	1007	2021-11-15 21:32:18.969
2607	1008-3066	GIVEN	1008	2021-11-15 04:06:43.859
6042	1000-3181	GIVEN	1000	2021-11-15 00:02:16.679
15028	1007-3283	GIVEN	1007	2021-11-15 10:55:45.363
13483	1006-3318	GIVEN	1006	2021-11-15 19:53:27.838
13631	1005-3344	GIVEN	1005	2021-11-15 06:51:59.289
14164	1003-3350	GIVEN	1003	2021-11-15 23:19:25.711
14007	1003-3357	GIVEN	1003	2021-11-15 07:49:38.227
14259	1002-3361	GIVEN	1002	2021-11-15 00:43:47.696
3921	1009-3387	GIVEN	1009	2021-11-15 09:10:11.643
19618	1009-3404	GIVEN	1009	2021-11-15 09:49:56.730
4590	1007-3445	GIVEN	1007	2021-11-15 22:11:12.466
1239	1003-3533	GIVEN	1003	2021-11-15 02:52:15.954
12456	1007-3568	GIVEN	1007	2021-11-15 10:18:19.495
14268	1001-3602	GIVEN	1001	2021-11-15 12:48:06.120
13537	1004-3638	GIVEN	1004	2021-11-15 21:11:42.689
19003	1009-3670	GIVEN	1009	2021-11-15 05:38:23.652
16031	1001-3686	GIVEN	1001	2021-11-15 08:20:06.330
3037	1006-3697	GIVEN	1006	2021-11-15 22:15:18.419
18206	1004-3698	GIVEN	1004	2021-11-15 23:49:54.037
1513	1007-3767	GIVEN	1007	2021-11-15 04:46:34.062
282	1000-3783	GIVEN	1000	2021-11-15 18:20:06.048
7907	1004-3837	GIVEN	1004	2021-11-15 22:34:49.254
1955	1000-3846	GIVEN	1000	2021-11-15 02:53:11.383
1909	1005-3879	GIVEN	1005	2021-11-15 08:05:44.248
11928	1006-3889	GIVEN	1006	2021-11-15 17:44:40.783
9657	1005-3927	GIVEN	1005	2021-11-15 06:02:48.321
6232	1009-3959	GIVEN	1009	2021-11-15 10:32:56.558
5490	1008-3980	GIVEN	1008	2021-11-15 06:57:20.726
3588	1009-4015	GIVEN	1009	2021-11-15 14:14:56.612
3971	1005-4027	GIVEN	1005	2021-11-15 03:52:12.600
5101	1007-4061	GIVEN	1007	2021-11-15 22:51:45.245
14216	1005-4077	GIVEN	1005	2021-11-15 21:52:51.468
17974	1007-4095	GIVEN	1007	2021-11-15 16:22:53.201
1885	1009-4129	GIVEN	1009	2021-11-15 22:07:01.462
13706	1004-4162	GIVEN	1004	2021-11-15 08:39:46.735
6231	1003-4173	GIVEN	1003	2021-11-15 01:48:00.554
17665	1002-4214	GIVEN	1002	2021-11-15 13:50:57.948
16610	1001-4223	GIVEN	1001	2021-11-15 02:42:29.000
6421	1006-4226	GIVEN	1006	2021-11-15 04:10:13.602
8891	1009-4234	GIVEN	1009	2021-11-15 03:47:48.745
3093	1001-4259	GIVEN	1001	2021-11-15 17:26:41.144
17827	1002-4297	GIVEN	1002	2021-11-15 15:58:23.858
8205	1008-4300	GIVEN	1008	2021-11-15 21:37:46.706
15600	1002-4329	GIVEN	1002	2021-11-15 17:17:06.693
15333	1006-4363	GIVEN	1006	2021-11-15 16:40:04.834
18974	1006-4372	GIVEN	1006	2021-11-15 12:50:37.186
16395	1008-4424	GIVEN	1008	2021-11-15 01:26:05.516
1024	1000-4425	GIVEN	1000	2021-11-15 17:10:32.296
