userid	voucherCode	status	campaignID	time
17510	1000-11	GIVEN	1000	2021-11-16 03:16:08.638
10658	1001-24	GIVEN	1001	2021-11-16 04:54:01.160
3644	1003-47	GIVEN	1003	2021-11-16 09:18:08.907
10906	1004-63	GIVEN	1004	2021-11-16 15:57:23.510
9035	1002-97	GIVEN	1002	2021-11-16 18:41:04.913
11134	1000-164	GIVEN	1000	2021-11-16 07:12:37.177
2544	1004-221	GIVEN	1004	2021-11-16 18:50:03.547
9754	1003-229	GIVEN	1003	2021-11-16 09:51:11.644
10089	1009-305	GIVEN	1009	2021-11-16 22:29:15.445
5214	1003-413	GIVEN	1003	2021-11-16 00:19:16.045
88	1002-455	GIVEN	1002	2021-11-16 20:45:08.735
1571	1002-471	GIVEN	1002	2021-11-16 04:21:31.651
5622	1000-546	GIVEN	1000	2021-11-16 02:31:29.041
749	1009-581	GIVEN	1009	2021-11-16 15:42:17.005
16964	1008-603	GIVEN	1008	2021-11-16 20:35:08.281
2450	1008-662	GIVEN	1008	2021-11-16 12:33:37.616
18731	1007-672	GIVEN	1007	2021-11-16 11:45:00.036
19654	1000-695	GIVEN	1000	2021-11-16 14:51:04.339
4455	1000-813	GIVEN	1000	2021-11-16 06:12:29.472
5101	1003-872	GIVEN	1003	2021-11-16 06:15:01.603
7715	1006-891	GIVEN	1006	2021-11-16 00:41:21.020
8714	1005-909	GIVEN	1005	2021-11-16 06:44:10.558
3543	1003-928	GIVEN	1003	2021-11-16 17:33:15.206
9390	1005-938	GIVEN	1005	2021-11-16 18:45:32.724
12287	1009-994	GIVEN	1009	2021-11-16 16:32:42.708
4752	1006-1044	GIVEN	1006	2021-11-16 22:11:46.457
18680	1000-1046	GIVEN	1000	2021-11-16 02:02:55.930
2256	1000-1080	GIVEN	1000	2021-11-16 12:39:44.976
16073	1003-1086	GIVEN	1003	2021-11-16 21:16:06.106
2255	1009-1129	GIVEN	1009	2021-11-16 18:13:58.480
11083	1001-1133	GIVEN	1001	2021-11-16 10:31:25.364
17058	1006-1146	GIVEN	1006	2021-11-16 00:01:41.249
2457	1004-1169	GIVEN	1004	2021-11-16 12:28:14.731
12631	1001-1258	GIVEN	1001	2021-11-16 12:13:21.880
6651	1006-1302	GIVEN	1006	2021-11-16 13:05:43.778
13312	1001-1307	GIVEN	1001	2021-11-16 01:47:36.165
1949	1003-1321	GIVEN	1003	2021-11-16 22:31:35.500
2482	1009-1326	GIVEN	1009	2021-11-16 02:31:30.503
15012	1003-1415	GIVEN	1003	2021-11-16 08:49:57.568
18799	1006-1430	GIVEN	1006	2021-11-16 11:13:35.630
4167	1000-1466	GIVEN	1000	2021-11-16 20:41:31.542
17082	1000-1477	GIVEN	1000	2021-11-16 02:38:26.991
14553	1002-1531	GIVEN	1002	2021-11-16 08:19:36.690
17471	1003-1556	GIVEN	1003	2021-11-16 23:04:46.094
8879	1002-1579	GIVEN	1002	2021-11-16 05:16:20.776
9203	1008-1621	GIVEN	1008	2021-11-16 21:16:22.011
15692	1000-1692	GIVEN	1000	2021-11-16 20:29:06.689
13647	1009-1747	GIVEN	1009	2021-11-16 12:37:21.396
1349	1005-1748	GIVEN	1005	2021-11-16 07:50:00.303
15348	1009-1788	GIVEN	1009	2021-11-16 21:24:41.599
9551	1001-1789	GIVEN	1001	2021-11-16 23:19:54.598
4114	1007-1791	GIVEN	1007	2021-11-16 22:13:46.348
19245	1008-1807	GIVEN	1008	2021-11-16 23:53:01.127
3735	1000-1831	GIVEN	1000	2021-11-16 10:36:19.878
14094	1006-1848	GIVEN	1006	2021-11-16 17:15:28.689
13967	1001-1849	GIVEN	1001	2021-11-16 17:45:08.508
9499	1004-1861	GIVEN	1004	2021-11-16 20:32:50.250
15552	1007-1872	GIVEN	1007	2021-11-16 02:48:56.255
3906	1008-1943	GIVEN	1008	2021-11-16 20:50:59.344
8938	1002-1966	GIVEN	1002	2021-11-16 10:43:43.952
19714	1004-2013	GIVEN	1004	2021-11-16 03:42:29.319
12845	1009-2017	GIVEN	1009	2021-11-16 16:42:46.720
55	1001-2066	GIVEN	1001	2021-11-16 00:21:41.018
7989	1009-2067	GIVEN	1009	2021-11-16 09:29:47.049
15920	1000-2102	GIVEN	1000	2021-11-16 10:20:21.715
6177	1006-2136	GIVEN	1006	2021-11-16 05:03:19.474
12266	1004-2142	GIVEN	1004	2021-11-16 08:20:07.254
13314	1005-2153	GIVEN	1005	2021-11-16 00:38:41.152
2439	1006-2162	GIVEN	1006	2021-11-16 06:00:54.912
14963	1007-2235	GIVEN	1007	2021-11-16 17:50:18.647
2949	1004-2237	GIVEN	1004	2021-11-16 17:08:00.217
14528	1003-2293	GIVEN	1003	2021-11-16 06:38:32.059
18032	1009-2297	GIVEN	1009	2021-11-16 22:51:58.459
1850	1004-2300	GIVEN	1004	2021-11-16 20:32:18.344
7524	1004-2314	GIVEN	1004	2021-11-16 23:11:20.643
14226	1007-2351	GIVEN	1007	2021-11-16 06:25:57.600
18872	1008-2424	GIVEN	1008	2021-11-16 12:51:12.539
2218	1004-2451	GIVEN	1004	2021-11-16 23:35:34.861
