userid	voucherCode	status	campaignID	time
18511	1005-4	GIVEN	1005	2021-11-17 11:56:11.902
7847	1007-16	GIVEN	1007	2021-11-17 19:02:50.193
13152	1005-32	GIVEN	1005	2021-11-17 07:00:43.103
10637	1009-128	GIVEN	1009	2021-11-17 10:21:12.270
9419	1000-155	GIVEN	1000	2021-11-17 21:35:09.702
4875	1009-163	GIVEN	1009	2021-11-17 03:07:20.791
19464	1001-197	GIVEN	1001	2021-11-17 23:50:23.804
7981	1003-231	GIVEN	1003	2021-11-17 12:20:52.428
8229	1008-232	GIVEN	1008	2021-11-17 13:09:29.113
18330	1001-247	GIVEN	1001	2021-11-17 01:27:27.046
3191	1000-255	GIVEN	1000	2021-11-17 05:48:12.616
5527	1002-309	GIVEN	1002	2021-11-17 07:02:56.401
3491	1005-311	GIVEN	1005	2021-11-17 21:50:02.882
9705	1005-315	GIVEN	1005	2021-11-17 21:08:01.258
3527	1003-351	GIVEN	1003	2021-11-17 01:02:20.563
16633	1001-369	GIVEN	1001	2021-11-17 15:45:38.214
11030	1004-582	GIVEN	1004	2021-11-17 06:11:53.764
5579	1003-590	GIVEN	1003	2021-11-17 06:00:13.995
130	1000-620	GIVEN	1000	2021-11-17 01:55:59.088
3811	1007-631	GIVEN	1007	2021-11-17 12:15:35.167
7698	1009-663	GIVEN	1009	2021-11-17 19:40:53.230
5963	1005-697	GIVEN	1005	2021-11-17 19:41:53.100
7854	1006-721	GIVEN	1006	2021-11-17 06:17:47.058
11894	1004-742	GIVEN	1004	2021-11-17 04:00:02.905
11459	1004-779	GIVEN	1004	2021-11-17 23:35:13.450
2554	1000-796	GIVEN	1000	2021-11-17 16:32:59.137
5747	1004-802	GIVEN	1004	2021-11-17 10:09:42.540
5725	1004-844	GIVEN	1004	2021-11-17 23:14:03.682
2474	1006-886	GIVEN	1006	2021-11-17 20:05:24.938
4538	1006-890	GIVEN	1006	2021-11-17 08:59:15.309
15924	1004-910	GIVEN	1004	2021-11-17 04:37:33.820
13538	1007-921	GIVEN	1007	2021-11-17 20:07:35.941
1873	1008-931	GIVEN	1008	2021-11-17 20:38:00.724
3796	1005-965	GIVEN	1005	2021-11-17 00:22:44.614
4894	1001-976	GIVEN	1001	2021-11-17 00:46:31.074
11513	1007-979	GIVEN	1007	2021-11-17 06:53:09.239
1548	1008-989	GIVEN	1008	2021-11-17 19:51:33.629
3706	1005-1066	GIVEN	1005	2021-11-17 03:26:04.979
10518	1006-1070	GIVEN	1006	2021-11-17 21:19:34.976
9291	1004-1097	GIVEN	1004	2021-11-17 16:31:27.269
17748	1006-1104	GIVEN	1006	2021-11-17 09:23:00.535
5603	1008-1122	GIVEN	1008	2021-11-17 01:27:57.288
7447	1001-1139	GIVEN	1001	2021-11-17 09:49:43.363
17709	1006-1178	GIVEN	1006	2021-11-17 05:57:57.126
13395	1001-1213	GIVEN	1001	2021-11-17 10:43:13.319
8304	1008-1234	GIVEN	1008	2021-11-17 19:44:57.390
4523	1003-1241	GIVEN	1003	2021-11-17 04:20:57.680
19971	1009-1271	GIVEN	1009	2021-11-17 18:51:12.082
15506	1007-1286	GIVEN	1007	2021-11-17 12:34:09.686
12778	1000-1310	GIVEN	1000	2021-11-17 18:21:33.745
6895	1001-1325	GIVEN	1001	2021-11-17 03:46:04.580
13709	1006-1329	GIVEN	1006	2021-11-17 08:52:28.978
17126	1001-1342	GIVEN	1001	2021-11-17 03:21:12.807
1050	1005-1354	GIVEN	1005	2021-11-17 17:37:40.445
17180	1000-1365	GIVEN	1000	2021-11-17 10:38:07.176
2976	1008-1383	GIVEN	1008	2021-11-17 15:19:47.371
1936	1004-1385	GIVEN	1004	2021-11-17 05:08:14.905
