userid	voucherCode	status	campaignID	time
18581	1007-6	GIVEN	1007	2021-11-18 03:31:12.785
13720	1001-64	GIVEN	1001	2021-11-18 16:43:25.006
10790	1003-123	GIVEN	1003	2021-11-18 14:58:11.342
6710	1002-126	GIVEN	1002	2021-11-18 02:29:31.711
1261	1007-156	GIVEN	1007	2021-11-18 23:48:42.182
14702	1006-157	GIVEN	1006	2021-11-18 22:17:44.187
1134	1002-158	GIVEN	1002	2021-11-18 18:42:39.147
9366	1000-167	GIVEN	1000	2021-11-18 10:19:49.386
1669	1001-190	GIVEN	1001	2021-11-18 15:16:38.469
19922	1001-216	GIVEN	1001	2021-11-18 17:44:37.525
15948	1007-226	GIVEN	1007	2021-11-18 00:28:17.623
14713	1000-234	GIVEN	1000	2021-11-18 04:44:51.463
1182	1009-245	GIVEN	1009	2021-11-18 12:34:27.513
4690	1007-269	GIVEN	1007	2021-11-18 06:35:12.088
16266	1000-335	GIVEN	1000	2021-11-18 12:39:04.285
17215	1001-363	GIVEN	1001	2021-11-18 16:19:28.834
8330	1000-366	GIVEN	1000	2021-11-18 19:36:41.954
8008	1004-379	GIVEN	1004	2021-11-18 01:00:48.602
18019	1004-406	GIVEN	1004	2021-11-18 17:42:53.222
7130	1004-418	GIVEN	1004	2021-11-18 07:35:48.438
11064	1002-503	GIVEN	1002	2021-11-18 19:50:59.708
1575	1000-505	GIVEN	1000	2021-11-18 10:44:04.016
18614	1007-533	GIVEN	1007	2021-11-18 05:07:13.390
12919	1008-579	GIVEN	1008	2021-11-18 08:47:08.626
16886	1005-584	GIVEN	1005	2021-11-18 06:37:46.975
12871	1004-615	GIVEN	1004	2021-11-18 22:36:43.192
2553	1005-632	GIVEN	1005	2021-11-18 16:43:02.720
7990	1000-658	GIVEN	1000	2021-11-18 21:45:53.452
7179	1008-730	GIVEN	1008	2021-11-18 07:27:17.256
11238	1004-750	GIVEN	1004	2021-11-18 07:26:27.580
1702	1000-775	GIVEN	1000	2021-11-18 21:30:08.276
4067	1005-789	GIVEN	1005	2021-11-18 23:03:27.269
17414	1004-793	GIVEN	1004	2021-11-18 17:19:16.350
16457	1002-894	GIVEN	1002	2021-11-18 17:35:07.111
4906	1009-975	GIVEN	1009	2021-11-18 12:53:45.627
12094	1009-1037	GIVEN	1009	2021-11-18 18:54:17.442
17719	1008-1062	GIVEN	1008	2021-11-18 04:22:39.460
3307	1005-1068	GIVEN	1005	2021-11-18 23:02:22.408
7862	1006-1089	GIVEN	1006	2021-11-18 21:23:40.328
18068	1007-1105	GIVEN	1007	2021-11-18 16:03:50.250
14315	1009-1128	GIVEN	1009	2021-11-18 12:28:32.813
10761	1000-1152	GIVEN	1000	2021-11-18 10:48:06.727
11824	1006-1192	GIVEN	1006	2021-11-18 17:25:11.284
19222	1000-1211	GIVEN	1000	2021-11-18 02:30:12.380
5678	1001-1219	GIVEN	1001	2021-11-18 09:17:00.123
17336	1006-1319	GIVEN	1006	2021-11-18 17:37:21.306
9786	1001-1346	GIVEN	1001	2021-11-18 19:15:46.414
9876	1003-1367	GIVEN	1003	2021-11-18 14:34:56.236
16242	1004-1402	GIVEN	1004	2021-11-18 15:29:36.979
1382	1007-1558	GIVEN	1007	2021-11-18 20:33:53.607
1087	1000-1569	GIVEN	1000	2021-11-18 10:12:14.678
7711	1008-1650	GIVEN	1008	2021-11-18 21:26:40.717
4798	1007-1652	GIVEN	1007	2021-11-18 06:57:42.129
10320	1005-1765	GIVEN	1005	2021-11-18 03:15:18.398
5692	1000-1793	GIVEN	1000	2021-11-18 05:00:14.411
13823	1000-1817	GIVEN	1000	2021-11-18 09:44:18.139
18798	1006-1839	GIVEN	1006	2021-11-18 13:07:05.570
11099	1006-1938	GIVEN	1006	2021-11-18 09:16:59.631
11499	1007-2010	GIVEN	1007	2021-11-18 16:15:30.806
17245	1007-2011	GIVEN	1007	2021-11-18 00:45:30.769
3758	1007-2014	GIVEN	1007	2021-11-18 06:20:29.577
1385	1006-2054	GIVEN	1006	2021-11-18 05:00:46.627
17165	1006-2074	GIVEN	1006	2021-11-18 18:05:54.129
6249	1009-2076	GIVEN	1009	2021-11-18 23:53:39.878
15438	1004-2111	GIVEN	1004	2021-11-18 14:53:41.648
10222	1008-2139	GIVEN	1008	2021-11-18 14:24:23.713
17464	1003-2167	GIVEN	1003	2021-11-18 01:33:11.556
16114	1002-2171	GIVEN	1002	2021-11-18 08:10:25.903
10180	1007-2176	GIVEN	1007	2021-11-18 03:02:35.124
6216	1000-2206	GIVEN	1000	2021-11-18 06:46:13.515
16487	1001-2213	GIVEN	1001	2021-11-18 12:48:08.313
4648	1008-2232	GIVEN	1008	2021-11-18 12:28:07.608
14773	1002-2243	GIVEN	1002	2021-11-18 02:15:58.115
2463	1007-2251	GIVEN	1007	2021-11-18 01:54:45.824
10697	1000-2317	GIVEN	1000	2021-11-18 12:37:48.166
19110	1000-2327	GIVEN	1000	2021-11-18 23:02:52.658
9336	1003-2347	GIVEN	1003	2021-11-18 22:31:26.839
18742	1004-2362	GIVEN	1004	2021-11-18 18:22:50.443
9023	1009-2392	GIVEN	1009	2021-11-18 04:41:47.854
7457	1004-2402	GIVEN	1004	2021-11-18 17:57:19.944
779	1006-2406	GIVEN	1006	2021-11-18 04:05:01.728
17501	1004-2421	GIVEN	1004	2021-11-18 05:21:47.636
18227	1004-2436	GIVEN	1004	2021-11-18 19:33:05.855
9094	1008-2466	GIVEN	1008	2021-11-18 02:01:27.528
7184	1002-2476	GIVEN	1002	2021-11-18 22:18:23.236
1453	1006-2565	GIVEN	1006	2021-11-18 21:05:40.426
17471	1003-2609	GIVEN	1003	2021-11-18 09:40:12.083
17988	1008-2627	GIVEN	1008	2021-11-18 04:40:48.467
12532	1004-2640	GIVEN	1004	2021-11-18 21:21:51.804
258	1007-2643	GIVEN	1007	2021-11-18 12:11:22.218
13028	1008-2648	GIVEN	1008	2021-11-18 12:17:58.787
16495	1009-2671	GIVEN	1009	2021-11-18 14:21:20.899
14235	1003-2682	GIVEN	1003	2021-11-18 10:44:32.011
9508	1001-2758	GIVEN	1001	2021-11-18 18:21:21.638
17178	1005-2770	GIVEN	1005	2021-11-18 14:02:09.827
2636	1000-2842	GIVEN	1000	2021-11-18 18:42:24.363
19423	1003-2850	GIVEN	1003	2021-11-18 00:25:07.905
