userid	voucherCode	status	campaignID	time
3490	1003-10	GIVEN	1003	2021-11-20 06:17:00.950
9018	1005-15	GIVEN	1005	2021-11-20 10:25:32.242
12904	1009-45	GIVEN	1009	2021-11-20 01:06:13.687
13924	1007-70	GIVEN	1007	2021-11-20 19:44:37.776
12128	1007-121	GIVEN	1007	2021-11-20 12:40:53.785
11311	1007-152	GIVEN	1007	2021-11-20 15:37:09.815
17656	1009-187	GIVEN	1009	2021-11-20 21:47:41.042
5320	1002-194	GIVEN	1002	2021-11-20 01:25:28.654
10246	1006-208	GIVEN	1006	2021-11-20 23:00:48.760
947	1009-212	GIVEN	1009	2021-11-20 04:51:56.954
47	1008-219	GIVEN	1008	2021-11-20 02:41:50.147
3894	1008-236	GIVEN	1008	2021-11-20 03:34:20.578
11852	1005-286	GIVEN	1005	2021-11-20 08:27:10.923
10575	1000-308	GIVEN	1000	2021-11-20 17:22:12.084
5188	1008-314	GIVEN	1008	2021-11-20 18:59:26.904
1557	1006-345	GIVEN	1006	2021-11-20 07:38:01.799
3285	1008-346	GIVEN	1008	2021-11-20 07:27:41.137
14985	1002-360	GIVEN	1002	2021-11-20 02:11:40.313
13722	1004-405	GIVEN	1004	2021-11-20 02:21:22.719
14209	1002-427	GIVEN	1002	2021-11-20 07:42:33.127
19214	1003-428	GIVEN	1003	2021-11-20 02:59:27.977
17190	1009-470	GIVEN	1009	2021-11-20 09:30:54.474
11760	1000-497	GIVEN	1000	2021-11-20 23:31:40.693
15783	1004-511	GIVEN	1004	2021-11-20 00:26:44.633
2129	1007-530	GIVEN	1007	2021-11-20 03:42:32.804
10897	1000-635	GIVEN	1000	2021-11-20 12:16:06.731
12971	1004-640	GIVEN	1004	2021-11-20 23:16:05.105
12731	1004-738	GIVEN	1004	2021-11-20 14:43:05.810
4749	1007-769	GIVEN	1007	2021-11-20 07:00:20.882
10203	1009-798	GIVEN	1009	2021-11-20 17:08:34.488
787	1005-805	GIVEN	1005	2021-11-20 18:34:44.089
13862	1000-834	GIVEN	1000	2021-11-20 01:53:09.670
18138	1003-855	GIVEN	1003	2021-11-20 22:47:08.697
11356	1005-866	GIVEN	1005	2021-11-20 23:13:52.977
18040	1002-1020	GIVEN	1002	2021-11-20 09:41:45.025
1263	1001-1038	GIVEN	1001	2021-11-20 00:51:23.965
16272	1001-1053	GIVEN	1001	2021-11-20 10:51:42.832
8081	1006-1067	GIVEN	1006	2021-11-20 11:59:23.891
12702	1001-1155	GIVEN	1001	2021-11-20 01:07:30.136
17888	1000-1170	GIVEN	1000	2021-11-20 16:25:14.142
2221	1003-1187	GIVEN	1003	2021-11-20 17:39:27.090
