userid	voucherCode	status	campaignID	time
6279	1003-1	GIVEN	1003	2021-11-21 17:11:17.490
15400	1006-2	GIVEN	1006	2021-11-21 13:49:06.654
9156	1004-35	GIVEN	1004	2021-11-21 23:59:44.588
4179	1008-42	GIVEN	1008	2021-11-21 00:52:07.313
10358	1000-46	GIVEN	1000	2021-11-21 18:44:11.635
10265	1007-48	GIVEN	1007	2021-11-21 18:30:57.568
15460	1007-49	GIVEN	1007	2021-11-21 12:00:16.690
2723	1009-95	GIVEN	1009	2021-11-21 12:15:01.228
9011	1000-117	GIVEN	1000	2021-11-21 04:24:11.110
3284	1001-120	GIVEN	1001	2021-11-21 14:11:37.874
7551	1007-131	GIVEN	1007	2021-11-21 07:32:31.132
12643	1006-184	GIVEN	1006	2021-11-21 13:25:56.675
8252	1003-186	GIVEN	1003	2021-11-21 01:50:57.623
17111	1003-206	GIVEN	1003	2021-11-21 10:56:19.353
12641	1001-299	GIVEN	1001	2021-11-21 01:22:20.186
3221	1000-307	GIVEN	1000	2021-11-21 08:01:10.941
18405	1004-323	GIVEN	1004	2021-11-21 23:23:24.913
15087	1000-341	GIVEN	1000	2021-11-21 09:22:40.201
12614	1006-353	GIVEN	1006	2021-11-21 15:06:56.818
12582	1001-383	GIVEN	1001	2021-11-21 02:28:56.103
9484	1006-397	GIVEN	1006	2021-11-21 04:23:28.742
7465	1001-403	GIVEN	1001	2021-11-21 09:35:53.396
15879	1004-416	GIVEN	1004	2021-11-21 12:29:53.858
12244	1007-436	GIVEN	1007	2021-11-21 12:39:22.074
13982	1009-444	GIVEN	1009	2021-11-21 21:49:22.061
12648	1009-489	GIVEN	1009	2021-11-21 01:43:21.611
14193	1004-526	GIVEN	1004	2021-11-21 02:22:08.643
17570	1002-540	GIVEN	1002	2021-11-21 23:10:16.551
18441	1000-592	GIVEN	1000	2021-11-21 06:57:32.043
5432	1003-599	GIVEN	1003	2021-11-21 09:16:09.589
274	1004-611	GIVEN	1004	2021-11-21 10:29:26.113
3244	1000-696	GIVEN	1000	2021-11-21 12:53:47.819
2411	1008-707	GIVEN	1008	2021-11-21 15:23:26.118
19845	1002-770	GIVEN	1002	2021-11-21 21:26:26.347
19821	1006-792	GIVEN	1006	2021-11-21 14:52:54.013
469	1003-804	GIVEN	1003	2021-11-21 15:58:00.841
10365	1009-833	GIVEN	1009	2021-11-21 00:53:22.847
10385	1003-835	GIVEN	1003	2021-11-21 10:37:49.267
17777	1007-874	GIVEN	1007	2021-11-21 03:59:22.681
13975	1007-895	GIVEN	1007	2021-11-21 05:03:16.847
3414	1006-898	GIVEN	1006	2021-11-21 22:11:43.541
17156	1004-901	GIVEN	1004	2021-11-21 23:17:58.173
10345	1009-906	GIVEN	1009	2021-11-21 02:49:36.819
11728	1008-912	GIVEN	1008	2021-11-21 23:42:27.737
29	1004-947	GIVEN	1004	2021-11-21 14:49:21.607
10705	1008-1005	GIVEN	1008	2021-11-21 07:59:03.661
18658	1007-1017	GIVEN	1007	2021-11-21 11:07:41.503
125	1001-1035	GIVEN	1001	2021-11-21 17:16:46.360
9836	1003-1041	GIVEN	1003	2021-11-21 02:06:17.055
18349	1007-1092	GIVEN	1007	2021-11-21 14:41:42.003
4365	1008-1109	GIVEN	1008	2021-11-21 01:24:12.922
14080	1006-1175	GIVEN	1006	2021-11-21 05:00:09.561
2395	1008-1182	GIVEN	1008	2021-11-21 00:13:02.133
11903	1007-1186	GIVEN	1007	2021-11-21 22:29:56.078
9483	1000-1196	GIVEN	1000	2021-11-21 21:25:41.738
9278	1005-1202	GIVEN	1005	2021-11-21 15:34:45.209
10325	1006-1231	GIVEN	1006	2021-11-21 07:03:11.884
7651	1005-1235	GIVEN	1005	2021-11-21 10:00:14.379
6758	1008-1257	GIVEN	1008	2021-11-21 19:00:38.373
1753	1008-1331	GIVEN	1008	2021-11-21 22:50:32.905
18163	1007-1355	GIVEN	1007	2021-11-21 22:09:51.587
1350	1004-1393	GIVEN	1004	2021-11-21 19:42:07.963
15110	1004-1464	GIVEN	1004	2021-11-21 19:14:34.242
1302	1003-1471	GIVEN	1003	2021-11-21 08:16:14.719
15819	1001-1486	GIVEN	1001	2021-11-21 22:32:37.412
16284	1003-1489	GIVEN	1003	2021-11-21 13:38:24.851
12654	1000-1532	GIVEN	1000	2021-11-21 16:34:26.492
8620	1002-1536	GIVEN	1002	2021-11-21 13:06:33.071
7123	1004-1596	GIVEN	1004	2021-11-21 20:25:35.103
10328	1002-1617	GIVEN	1002	2021-11-21 05:08:29.489
6378	1007-1709	GIVEN	1007	2021-11-21 04:56:02.892
9323	1000-1712	GIVEN	1000	2021-11-21 19:15:31.958
19884	1006-1713	GIVEN	1006	2021-11-21 07:34:49.925
13572	1002-1753	GIVEN	1002	2021-11-21 12:11:30.491
8426	1002-1795	GIVEN	1002	2021-11-21 13:57:47.825
7744	1008-1823	GIVEN	1008	2021-11-21 01:19:32.602
9689	1008-1826	GIVEN	1008	2021-11-21 20:52:28.576
15379	1006-1857	GIVEN	1006	2021-11-21 17:25:44.826
16299	1005-1914	GIVEN	1005	2021-11-21 06:50:25.684
17497	1002-1946	GIVEN	1002	2021-11-21 09:01:17.279
5152	1000-1968	GIVEN	1000	2021-11-21 09:33:38.186
10449	1003-2002	GIVEN	1003	2021-11-21 05:37:18.997
14345	1002-2128	GIVEN	1002	2021-11-21 11:37:55.660
2904	1007-2135	GIVEN	1007	2021-11-21 10:50:50.654
18974	1002-2245	GIVEN	1002	2021-11-21 08:36:15.497
