userid	voucherCode	status	campaignID	time
18171	1003-22	GIVEN	1003	2021-11-22 03:42:45.913
3209	1008-68	GIVEN	1008	2021-11-22 08:19:00.343
3177	1003-78	GIVEN	1003	2021-11-22 06:37:56.739
18080	1007-92	GIVEN	1007	2021-11-22 05:02:45.955
9418	1006-135	GIVEN	1006	2021-11-22 14:37:15.764
6553	1009-166	GIVEN	1009	2021-11-22 18:16:13.790
14092	1000-223	GIVEN	1000	2021-11-22 22:48:40.744
15407	1002-225	GIVEN	1002	2021-11-22 19:28:25.457
2211	1006-233	GIVEN	1006	2021-11-22 01:21:38.695
2097	1000-256	GIVEN	1000	2021-11-22 19:28:11.187
8119	1005-283	GIVEN	1005	2021-11-22 15:26:57.654
12007	1008-293	GIVEN	1008	2021-11-22 05:55:02.165
3264	1004-320	GIVEN	1004	2021-11-22 09:57:06.335
2895	1006-330	GIVEN	1006	2021-11-22 19:43:32.190
6314	1000-337	GIVEN	1000	2021-11-22 01:27:52.070
19910	1001-374	GIVEN	1001	2021-11-22 12:42:50.016
13275	1002-387	GIVEN	1002	2021-11-22 03:25:38.043
5272	1001-459	GIVEN	1001	2021-11-22 03:18:13.737
7084	1001-483	GIVEN	1001	2021-11-22 00:51:33.312
19847	1002-484	GIVEN	1002	2021-11-22 12:11:45.344
388	1006-521	GIVEN	1006	2021-11-22 22:24:12.793
11568	1006-559	GIVEN	1006	2021-11-22 12:43:45.456
6992	1007-622	GIVEN	1007	2021-11-22 00:14:23.350
3679	1006-645	GIVEN	1006	2021-11-22 21:38:20.044
2844	1000-675	GIVEN	1000	2021-11-22 03:24:24.693
13042	1007-690	GIVEN	1007	2021-11-22 13:24:45.675
17345	1008-718	GIVEN	1008	2021-11-22 23:26:36.886
8297	1001-762	GIVEN	1001	2021-11-22 03:44:05.203
4905	1007-764	GIVEN	1007	2021-11-22 22:08:35.654
5534	1005-786	GIVEN	1005	2021-11-22 17:54:57.266
10496	1006-800	GIVEN	1006	2021-11-22 05:48:39.443
18532	1005-810	GIVEN	1005	2021-11-22 17:52:02.018
11494	1007-815	GIVEN	1007	2021-11-22 22:43:02.684
8294	1004-853	GIVEN	1004	2021-11-22 04:10:33.908
19140	1004-946	GIVEN	1004	2021-11-22 10:03:09.315
13390	1005-973	GIVEN	1005	2021-11-22 05:07:28.473
9738	1004-1016	GIVEN	1004	2021-11-22 13:48:27.673
14221	1008-1018	GIVEN	1008	2021-11-22 10:04:05.768
12261	1008-1034	GIVEN	1008	2021-11-22 06:59:09.312
1472	1001-1123	GIVEN	1001	2021-11-22 03:44:12.066
