userid	voucherCode	status	campaignID	time
18589	1009-3	GIVEN	1009	2021-11-23 01:47:35.761
6283	1006-17	GIVEN	1006	2021-11-23 08:36:56.622
712	1006-62	GIVEN	1006	2021-11-23 15:32:49.083
18364	1006-67	GIVEN	1006	2021-11-23 07:55:09.843
3723	1006-91	GIVEN	1006	2021-11-23 17:40:05.228
3159	1003-199	GIVEN	1003	2021-11-23 01:50:00.242
19545	1006-204	GIVEN	1006	2021-11-23 20:30:51.812
1174	1007-257	GIVEN	1007	2021-11-23 14:25:39.511
8733	1003-285	GIVEN	1003	2021-11-23 08:28:08.808
726	1008-306	GIVEN	1008	2021-11-23 07:16:34.015
801	1005-378	GIVEN	1005	2021-11-23 10:32:24.686
12238	1006-408	GIVEN	1006	2021-11-23 14:39:15.102
14056	1008-434	GIVEN	1008	2021-11-23 14:11:40.499
3763	1000-479	GIVEN	1000	2021-11-23 05:37:10.905
9920	1008-482	GIVEN	1008	2021-11-23 06:34:21.644
6333	1006-493	GIVEN	1006	2021-11-23 20:34:51.633
1015	1001-554	GIVEN	1001	2021-11-23 21:13:18.632
19554	1001-563	GIVEN	1001	2021-11-23 08:42:30.169
11067	1004-564	GIVEN	1004	2021-11-23 02:08:40.571
1195	1002-577	GIVEN	1002	2021-11-23 16:46:20.599
8307	1005-583	GIVEN	1005	2021-11-23 10:53:26.480
1564	1000-782	GIVEN	1000	2021-11-23 18:11:47.236
19123	1008-808	GIVEN	1008	2021-11-23 11:32:39.451
7731	1009-816	GIVEN	1009	2021-11-23 16:34:04.091
6831	1001-851	GIVEN	1001	2021-11-23 17:39:07.187
387	1002-854	GIVEN	1002	2021-11-23 04:15:47.127
10799	1002-862	GIVEN	1002	2021-11-23 14:50:22.891
17077	1005-867	GIVEN	1005	2021-11-23 08:42:36.785
1677	1009-887	GIVEN	1009	2021-11-23 17:33:41.996
1064	1009-897	GIVEN	1009	2021-11-23 10:38:53.180
7611	1009-933	GIVEN	1009	2021-11-23 13:49:13.474
12352	1003-977	GIVEN	1003	2021-11-23 22:12:47.984
12944	1008-981	GIVEN	1008	2021-11-23 11:22:01.718
8794	1006-991	GIVEN	1006	2021-11-23 11:29:30.867
2554	1001-1047	GIVEN	1001	2021-11-23 01:30:57.389
19172	1004-1118	GIVEN	1004	2021-11-23 06:42:08.382
15226	1009-1161	GIVEN	1009	2021-11-23 02:53:28.231
9661	1000-1176	GIVEN	1000	2021-11-23 14:42:25.011
4526	1003-1188	GIVEN	1003	2021-11-23 22:26:15.923
15798	1000-1214	GIVEN	1000	2021-11-23 11:26:08.617
11712	1009-1251	GIVEN	1009	2021-11-23 05:29:51.555
5998	1006-1252	GIVEN	1006	2021-11-23 19:46:35.503
6043	1008-1259	GIVEN	1008	2021-11-23 19:22:27.613
4945	1001-1265	GIVEN	1001	2021-11-23 18:37:56.554
4943	1004-1276	GIVEN	1004	2021-11-23 16:37:44.798
17637	1009-1316	GIVEN	1009	2021-11-23 00:49:52.763
4872	1000-1386	GIVEN	1000	2021-11-23 16:10:02.439
11802	1004-1411	GIVEN	1004	2021-11-23 15:09:42.396
16808	1001-1455	GIVEN	1001	2021-11-23 07:55:04.251
13075	1004-1504	GIVEN	1004	2021-11-23 16:09:48.067
18870	1002-1524	GIVEN	1002	2021-11-23 03:48:53.883
9773	1002-1550	GIVEN	1002	2021-11-23 07:16:11.011
13136	1004-1642	GIVEN	1004	2021-11-23 02:07:45.922
3419	1004-1644	GIVEN	1004	2021-11-23 22:40:25.465
3722	1003-1680	GIVEN	1003	2021-11-23 06:42:20.195
7225	1000-1718	GIVEN	1000	2021-11-23 04:39:38.824
13381	1006-1751	GIVEN	1006	2021-11-23 06:44:45.857
373	1000-1763	GIVEN	1000	2021-11-23 13:22:35.808
14919	1007-1770	GIVEN	1007	2021-11-23 21:43:47.853
18511	1005-1824	GIVEN	1005	2021-11-23 18:18:35.452
14407	1005-1859	GIVEN	1005	2021-11-23 21:44:28.098
17557	1005-1992	GIVEN	1005	2021-11-23 00:41:25.868
8892	1006-2012	GIVEN	1006	2021-11-23 18:08:08.288
15821	1009-2025	GIVEN	1009	2021-11-23 19:00:21.006
17774	1003-2042	GIVEN	1003	2021-11-23 00:12:10.678
5362	1006-2116	GIVEN	1006	2021-11-23 08:31:14.967
4319	1000-2143	GIVEN	1000	2021-11-23 04:55:49.965
13410	1003-2202	GIVEN	1003	2021-11-23 17:43:05.779
8254	1008-2203	GIVEN	1008	2021-11-23 19:49:40.927
14691	1001-2252	GIVEN	1001	2021-11-23 20:57:14.669
18976	1007-2260	GIVEN	1007	2021-11-23 11:00:31.954
17238	1002-2290	GIVEN	1002	2021-11-23 04:15:17.354
7033	1005-2342	GIVEN	1005	2021-11-23 12:59:59.257
16183	1002-2343	GIVEN	1002	2021-11-23 11:58:00.342
16315	1001-2388	GIVEN	1001	2021-11-23 08:59:23.367
7735	1003-2410	GIVEN	1003	2021-11-23 10:14:39.983
7210	1006-2412	GIVEN	1006	2021-11-23 00:20:59.232
19343	1003-2481	GIVEN	1003	2021-11-23 10:18:04.926
4454	1008-2564	GIVEN	1008	2021-11-23 07:06:15.318
19056	1003-2573	GIVEN	1003	2021-11-23 21:57:35.715
1866	1007-2590	GIVEN	1007	2021-11-23 04:15:41.510
2411	1005-2603	GIVEN	1005	2021-11-23 21:00:59.542
19033	1006-2631	GIVEN	1006	2021-11-23 12:12:18.992
11630	1003-2635	GIVEN	1003	2021-11-23 11:48:11.585
10214	1001-2636	GIVEN	1001	2021-11-23 12:08:42.871
406	1006-2646	GIVEN	1006	2021-11-23 20:22:09.507
11437	1003-2709	GIVEN	1003	2021-11-23 19:32:07.668
9612	1006-2711	GIVEN	1006	2021-11-23 15:23:35.003
3753	1009-2754	GIVEN	1009	2021-11-23 06:35:20.405
11825	1002-2831	GIVEN	1002	2021-11-23 16:39:15.270
4982	1009-2896	GIVEN	1009	2021-11-23 16:01:07.231
18864	1000-2973	GIVEN	1000	2021-11-23 09:37:19.075
16822	1009-3004	GIVEN	1009	2021-11-23 17:40:26.644
11018	1002-3013	GIVEN	1002	2021-11-23 14:36:48.586
4816	1004-3047	GIVEN	1004	2021-11-23 19:48:49.247
19716	1005-3056	GIVEN	1005	2021-11-23 11:58:12.329
2359	1004-3077	GIVEN	1004	2021-11-23 15:48:17.738
16942	1006-3120	GIVEN	1006	2021-11-23 00:11:12.407
7698	1005-3136	GIVEN	1005	2021-11-23 01:35:54.558
2124	1007-3179	GIVEN	1007	2021-11-23 15:24:23.062
13081	1003-3262	GIVEN	1003	2021-11-23 10:06:16.023
17863	1004-3360	GIVEN	1004	2021-11-23 01:09:56.050
3445	1005-3380	GIVEN	1005	2021-11-23 15:13:26.021
17042	1005-3403	GIVEN	1005	2021-11-23 17:07:33.476
6644	1005-3411	GIVEN	1005	2021-11-23 23:33:22.756
1947	1001-3418	GIVEN	1001	2021-11-23 04:34:09.116
10982	1008-3434	GIVEN	1008	2021-11-23 13:39:54.995
