userid	voucherCode	status	campaignID	time
15347	1007-13	GIVEN	1007	2021-11-24 09:48:47.044
4627	1001-34	GIVEN	1001	2021-11-24 16:01:46.240
2252	1002-83	GIVEN	1002	2021-11-24 00:18:17.107
8415	1001-116	GIVEN	1001	2021-11-24 03:22:27.944
13227	1006-173	GIVEN	1006	2021-11-24 20:19:38.768
7001	1007-176	GIVEN	1007	2021-11-24 15:04:27.276
3873	1004-188	GIVEN	1004	2021-11-24 17:39:41.206
8514	1003-209	GIVEN	1003	2021-11-24 06:37:48.568
7901	1005-214	GIVEN	1005	2021-11-24 14:07:40.225
2908	1000-218	GIVEN	1000	2021-11-24 02:03:22.401
9527	1004-262	GIVEN	1004	2021-11-24 07:22:04.270
1912	1003-288	GIVEN	1003	2021-11-24 10:26:44.447
15455	1006-316	GIVEN	1006	2021-11-24 10:09:02.524
6116	1007-347	GIVEN	1007	2021-11-24 19:57:45.583
4845	1003-356	GIVEN	1003	2021-11-24 07:56:43.050
9569	1002-422	GIVEN	1002	2021-11-24 19:59:48.236
14798	1004-481	GIVEN	1004	2021-11-24 22:59:26.189
3112	1000-543	GIVEN	1000	2021-11-24 21:59:36.572
8311	1008-569	GIVEN	1008	2021-11-24 00:23:32.480
18439	1005-578	GIVEN	1005	2021-11-24 22:26:17.595
10596	1006-661	GIVEN	1006	2021-11-24 09:49:18.405
10232	1008-683	GIVEN	1008	2021-11-24 14:47:04.956
5315	1005-691	GIVEN	1005	2021-11-24 15:27:02.443
1961	1007-694	GIVEN	1007	2021-11-24 04:20:54.842
14029	1001-704	GIVEN	1001	2021-11-24 01:57:45.144
17019	1009-705	GIVEN	1009	2021-11-24 05:45:13.396
2327	1004-712	GIVEN	1004	2021-11-24 21:33:34.748
8646	1004-713	GIVEN	1004	2021-11-24 02:51:14.443
11991	1009-732	GIVEN	1009	2021-11-24 10:49:27.874
10321	1005-736	GIVEN	1005	2021-11-24 00:59:54.166
18165	1000-745	GIVEN	1000	2021-11-24 05:10:15.440
16095	1008-759	GIVEN	1008	2021-11-24 02:52:17.315
14777	1004-916	GIVEN	1004	2021-11-24 02:41:45.996
17951	1000-1099	GIVEN	1000	2021-11-24 07:46:48.916
