userid	voucherCode	status	campaignID	time
15378	1002-12	GIVEN	1002	2021-11-26 17:47:18.684
5170	1000-71	GIVEN	1000	2021-11-26 20:04:36.389
8246	1004-98	GIVEN	1004	2021-11-26 01:47:29.139
9564	1005-105	GIVEN	1005	2021-11-26 08:02:36.553
10473	1001-147	GIVEN	1001	2021-11-26 22:06:23.987
11751	1009-153	GIVEN	1009	2021-11-26 20:11:45.083
13729	1009-189	GIVEN	1009	2021-11-26 13:07:38.372
9949	1004-200	GIVEN	1004	2021-11-26 20:40:41.894
6529	1007-321	GIVEN	1007	2021-11-26 18:35:53.525
6798	1009-327	GIVEN	1009	2021-11-26 22:36:24.850
15259	1003-373	GIVEN	1003	2021-11-26 02:50:02.700
1148	1009-396	GIVEN	1009	2021-11-26 23:27:01.894
13454	1007-423	GIVEN	1007	2021-11-26 08:56:26.979
5362	1006-435	GIVEN	1006	2021-11-26 18:30:56.196
527	1006-488	GIVEN	1006	2021-11-26 18:55:28.053
18349	1005-547	GIVEN	1005	2021-11-26 14:11:11.146
19493	1003-617	GIVEN	1003	2021-11-26 01:32:40.106
14488	1008-715	GIVEN	1008	2021-11-26 22:34:40.404
1795	1000-735	GIVEN	1000	2021-11-26 04:54:45.396
18731	1002-739	GIVEN	1002	2021-11-26 14:48:20.801
6387	1006-749	GIVEN	1006	2021-11-26 09:41:56.567
14564	1001-788	GIVEN	1001	2021-11-26 04:00:12.482
328	1008-828	GIVEN	1008	2021-11-26 19:29:25.966
12018	1001-852	GIVEN	1001	2021-11-26 13:08:17.205
15117	1008-859	GIVEN	1008	2021-11-26 01:57:35.991
19113	1003-918	GIVEN	1003	2021-11-26 02:01:54.210
11889	1006-974	GIVEN	1006	2021-11-26 03:44:27.693
5072	1002-982	GIVEN	1002	2021-11-26 12:52:10.177
19100	1000-987	GIVEN	1000	2021-11-26 11:32:08.649
8377	1009-990	GIVEN	1009	2021-11-26 06:52:43.754
11215	1005-998	GIVEN	1005	2021-11-26 01:25:32.481
7891	1005-1022	GIVEN	1005	2021-11-26 07:19:54.851
8072	1003-1050	GIVEN	1003	2021-11-26 22:38:40.337
1711	1001-1064	GIVEN	1001	2021-11-26 10:14:14.986
19648	1001-1074	GIVEN	1001	2021-11-26 04:31:32.191
14553	1009-1084	GIVEN	1009	2021-11-26 14:12:07.931
12619	1008-1088	GIVEN	1008	2021-11-26 23:43:03.871
3587	1000-1111	GIVEN	1000	2021-11-26 17:57:31.347
16247	1007-1116	GIVEN	1007	2021-11-26 22:46:32.065
6951	1004-1135	GIVEN	1004	2021-11-26 22:37:25.639
1733	1001-1145	GIVEN	1001	2021-11-26 17:55:19.343
2239	1003-1158	GIVEN	1003	2021-11-26 02:11:34.035
17882	1001-1171	GIVEN	1001	2021-11-26 22:33:23.497
14774	1000-1208	GIVEN	1000	2021-11-26 08:22:46.809
12018	1006-1209	GIVEN	1006	2021-11-26 13:38:40.408
1745	1006-1299	GIVEN	1006	2021-11-26 06:51:34.999
16396	1008-1324	GIVEN	1008	2021-11-26 10:18:07.089
4830	1003-1341	GIVEN	1003	2021-11-26 21:47:57.539
10734	1009-1343	GIVEN	1009	2021-11-26 11:12:56.213
7987	1004-1353	GIVEN	1004	2021-11-26 08:09:06.671
1994	1007-1358	GIVEN	1007	2021-11-26 12:49:52.313
12738	1006-1387	GIVEN	1006	2021-11-26 04:39:49.053
19642	1001-1427	GIVEN	1001	2021-11-26 12:22:46.131
351	1007-1434	GIVEN	1007	2021-11-26 14:01:27.462
9286	1008-1460	GIVEN	1008	2021-11-26 21:35:11.029
1345	1002-1478	GIVEN	1002	2021-11-26 20:57:11.492
12000	1007-1508	GIVEN	1007	2021-11-26 15:22:58.554
2720	1003-1590	GIVEN	1003	2021-11-26 00:56:45.227
16029	1000-1667	GIVEN	1000	2021-11-26 20:57:14.266
18655	1000-1702	GIVEN	1000	2021-11-26 09:03:11.316
14567	1009-1738	GIVEN	1009	2021-11-26 22:10:04.097
15692	1001-1766	GIVEN	1001	2021-11-26 06:03:49.689
13400	1008-1769	GIVEN	1008	2021-11-26 00:44:52.810
11163	1003-1808	GIVEN	1003	2021-11-26 10:00:41.630
8546	1001-1810	GIVEN	1001	2021-11-26 23:24:18.175
15856	1006-1827	GIVEN	1006	2021-11-26 11:43:20.743
15625	1008-1829	GIVEN	1008	2021-11-26 18:27:54.628
5894	1008-1869	GIVEN	1008	2021-11-26 19:56:48.163
19115	1005-1880	GIVEN	1005	2021-11-26 14:56:11.217
6538	1000-1892	GIVEN	1000	2021-11-26 18:29:47.590
4338	1007-1910	GIVEN	1007	2021-11-26 02:42:14.488
988	1006-1930	GIVEN	1006	2021-11-26 11:48:34.709
13665	1000-1993	GIVEN	1000	2021-11-26 03:55:10.566
6831	1002-1995	GIVEN	1002	2021-11-26 23:55:21.038
15322	1007-2034	GIVEN	1007	2021-11-26 15:53:00.657
18256	1005-2038	GIVEN	1005	2021-11-26 07:15:01.546
14604	1001-2060	GIVEN	1001	2021-11-26 03:01:23.758
11204	1003-2075	GIVEN	1003	2021-11-26 23:25:40.033
11022	1009-2140	GIVEN	1009	2021-11-26 21:39:45.944
17012	1004-2152	GIVEN	1004	2021-11-26 13:28:51.675
10858	1002-2173	GIVEN	1002	2021-11-26 07:12:11.785
7550	1005-2175	GIVEN	1005	2021-11-26 14:29:30.022
11157	1001-2198	GIVEN	1001	2021-11-26 03:37:12.412
13981	1005-2247	GIVEN	1005	2021-11-26 09:54:13.217
14940	1001-2265	GIVEN	1001	2021-11-26 09:59:37.172
5138	1007-2267	GIVEN	1007	2021-11-26 06:29:52.885
3050	1000-2287	GIVEN	1000	2021-11-26 01:08:18.389
10835	1000-2294	GIVEN	1000	2021-11-26 17:36:16.065
6156	1006-2295	GIVEN	1006	2021-11-26 04:55:51.464
18804	1007-2344	GIVEN	1007	2021-11-26 09:47:44.078
2408	1001-2357	GIVEN	1001	2021-11-26 01:58:25.418
14138	1006-2400	GIVEN	1006	2021-11-26 00:37:59.216
