userid	voucherCode	status	campaignID	time
3352	1003-57	GIVEN	1003	2021-11-27 19:36:53.959
2468	1004-72	GIVEN	1004	2021-11-27 12:02:31.616
8944	1006-74	GIVEN	1006	2021-11-27 02:49:46.732
18425	1004-149	GIVEN	1004	2021-11-27 10:19:48.122
17465	1003-154	GIVEN	1003	2021-11-27 10:29:21.231
8358	1006-198	GIVEN	1006	2021-11-27 17:54:20.456
12279	1007-264	GIVEN	1007	2021-11-27 02:00:24.495
11183	1002-287	GIVEN	1002	2021-11-27 10:35:39.278
8348	1001-294	GIVEN	1001	2021-11-27 09:21:12.471
1021	1005-365	GIVEN	1005	2021-11-27 12:18:33.771
272	1003-394	GIVEN	1003	2021-11-27 16:58:16.938
5711	1009-442	GIVEN	1009	2021-11-27 22:58:10.643
2124	1003-502	GIVEN	1003	2021-11-27 11:32:41.413
11441	1004-523	GIVEN	1004	2021-11-27 10:32:33.856
14966	1007-561	GIVEN	1007	2021-11-27 02:00:44.278
8833	1003-618	GIVEN	1003	2021-11-27 19:51:34.922
17524	1003-628	GIVEN	1003	2021-11-27 13:29:55.433
11175	1002-667	GIVEN	1002	2021-11-27 23:15:38.157
19317	1004-669	GIVEN	1004	2021-11-27 05:58:06.303
10152	1002-785	GIVEN	1002	2021-11-27 22:19:10.070
12620	1000-797	GIVEN	1000	2021-11-27 13:45:23.943
17162	1007-838	GIVEN	1007	2021-11-27 01:06:13.519
8032	1001-847	GIVEN	1001	2021-11-27 01:27:18.772
4385	1008-870	GIVEN	1008	2021-11-27 23:40:22.152
13591	1004-879	GIVEN	1004	2021-11-27 10:41:33.063
7242	1005-899	GIVEN	1005	2021-11-27 16:30:24.219
11466	1006-904	GIVEN	1006	2021-11-27 09:11:29.730
3888	1009-936	GIVEN	1009	2021-11-27 19:01:56.408
13079	1005-939	GIVEN	1005	2021-11-27 09:22:51.520
2082	1006-969	GIVEN	1006	2021-11-27 09:27:37.022
14593	1004-1004	GIVEN	1004	2021-11-27 07:58:16.175
16873	1000-1012	GIVEN	1000	2021-11-27 06:51:48.821
18443	1003-1028	GIVEN	1003	2021-11-27 10:36:19.017
14266	1001-1051	GIVEN	1001	2021-11-27 20:18:11.243
6369	1004-1119	GIVEN	1004	2021-11-27 10:25:35.974
764	1004-1181	GIVEN	1004	2021-11-27 12:15:56.125
5360	1004-1243	GIVEN	1004	2021-11-27 06:52:37.574
9605	1001-1245	GIVEN	1001	2021-11-27 20:03:30.325
10948	1006-1255	GIVEN	1006	2021-11-27 09:00:22.714
4505	1000-1274	GIVEN	1000	2021-11-27 20:03:32.588
46	1005-1278	GIVEN	1005	2021-11-27 03:57:14.280
10220	1007-1357	GIVEN	1007	2021-11-27 12:57:08.409
1103	1007-1410	GIVEN	1007	2021-11-27 16:47:02.951
19499	1000-1419	GIVEN	1000	2021-11-27 11:57:56.142
11498	1000-1422	GIVEN	1000	2021-11-27 19:29:35.570
13785	1004-1439	GIVEN	1004	2021-11-27 22:42:59.428
14730	1000-1450	GIVEN	1000	2021-11-27 13:09:26.813
5115	1004-1457	GIVEN	1004	2021-11-27 04:14:00.134
18620	1007-1475	GIVEN	1007	2021-11-27 12:11:10.858
18472	1005-1500	GIVEN	1005	2021-11-27 22:42:49.560
8141	1007-1533	GIVEN	1007	2021-11-27 16:57:27.394
2959	1005-1581	GIVEN	1005	2021-11-27 04:16:55.736
16214	1009-1607	GIVEN	1009	2021-11-27 21:52:52.030
2725	1003-1613	GIVEN	1003	2021-11-27 22:17:46.573
13622	1000-1627	GIVEN	1000	2021-11-27 06:34:15.920
19894	1003-1673	GIVEN	1003	2021-11-27 02:27:14.906
11731	1005-1677	GIVEN	1005	2021-11-27 08:53:51.197
2724	1002-1688	GIVEN	1002	2021-11-27 21:50:41.407
3308	1007-1725	GIVEN	1007	2021-11-27 11:48:43.815
19376	1007-1757	GIVEN	1007	2021-11-27 11:04:24.670
6303	1007-1761	GIVEN	1007	2021-11-27 19:45:54.421
17590	1000-1782	GIVEN	1000	2021-11-27 18:57:29.550
1865	1002-1786	GIVEN	1002	2021-11-27 05:39:13.051
17428	1007-1886	GIVEN	1007	2021-11-27 23:25:16.877
2931	1005-1918	GIVEN	1005	2021-11-27 12:17:47.902
