userid	voucherCode	status	campaignID	time
4063	1009-75	GIVEN	1009	2021-11-28 23:43:41.071
4119	1006-124	GIVEN	1006	2021-11-28 09:44:43.036
2661	1006-185	GIVEN	1006	2021-11-28 13:29:54.694
16653	1009-243	GIVEN	1009	2021-11-28 00:13:05.345
4782	1009-251	GIVEN	1009	2021-11-28 04:36:31.917
8105	1009-348	GIVEN	1009	2021-11-28 16:18:45.868
6683	1003-388	GIVEN	1003	2021-11-28 01:37:20.039
746	1008-410	GIVEN	1008	2021-11-28 00:15:10.401
4909	1005-414	GIVEN	1005	2021-11-28 01:00:05.347
13676	1000-417	GIVEN	1000	2021-11-28 06:16:09.436
2593	1000-476	GIVEN	1000	2021-11-28 06:36:38.239
3755	1005-480	GIVEN	1005	2021-11-28 12:59:18.125
5141	1003-565	GIVEN	1003	2021-11-28 11:15:50.053
3104	1004-566	GIVEN	1004	2021-11-28 12:29:26.931
5435	1004-570	GIVEN	1004	2021-11-28 00:12:15.256
1879	1000-600	GIVEN	1000	2021-11-28 11:17:24.715
15852	1003-614	GIVEN	1003	2021-11-28 16:12:02.360
12788	1006-674	GIVEN	1006	2021-11-28 00:43:41.532
12186	1006-684	GIVEN	1006	2021-11-28 04:26:09.609
5176	1005-689	GIVEN	1005	2021-11-28 23:37:03.495
1593	1001-720	GIVEN	1001	2021-11-28 07:59:02.973
6091	1005-755	GIVEN	1005	2021-11-28 12:37:15.213
10402	1002-791	GIVEN	1002	2021-11-28 09:11:48.441
16491	1006-817	GIVEN	1006	2021-11-28 22:15:26.941
2918	1007-863	GIVEN	1007	2021-11-28 09:19:31.149
12950	1006-873	GIVEN	1006	2021-11-28 22:16:47.094
7530	1002-884	GIVEN	1002	2021-11-28 01:54:10.524
2116	1009-885	GIVEN	1009	2021-11-28 06:13:53.085
6898	1000-893	GIVEN	1000	2021-11-28 02:30:54.296
245	1006-917	GIVEN	1006	2021-11-28 05:26:25.584
7019	1003-1027	GIVEN	1003	2021-11-28 14:55:52.077
4032	1003-1048	GIVEN	1003	2021-11-28 19:47:47.101
4429	1009-1076	GIVEN	1009	2021-11-28 22:38:00.181
2421	1009-1081	GIVEN	1009	2021-11-28 15:10:06.152
12925	1009-1115	GIVEN	1009	2021-11-28 14:45:31.331
5212	1000-1151	GIVEN	1000	2021-11-28 21:13:04.768
9856	1004-1189	GIVEN	1004	2021-11-28 16:34:36.738
7430	1002-1225	GIVEN	1002	2021-11-28 18:43:03.722
17681	1002-1238	GIVEN	1002	2021-11-28 17:46:27.539
2619	1004-1244	GIVEN	1004	2021-11-28 21:09:04.473
18515	1003-1277	GIVEN	1003	2021-11-28 08:48:09.091
16750	1004-1292	GIVEN	1004	2021-11-28 05:08:06.098
9660	1002-1304	GIVEN	1002	2021-11-28 18:20:30.468
5710	1003-1398	GIVEN	1003	2021-11-28 11:05:11.908
633	1000-1399	GIVEN	1000	2021-11-28 17:56:09.231
3431	1009-1412	GIVEN	1009	2021-11-28 06:39:45.741
1204	1003-1417	GIVEN	1003	2021-11-28 10:39:58.287
1625	1007-1420	GIVEN	1007	2021-11-28 17:10:54.722
4942	1004-1445	GIVEN	1004	2021-11-28 17:14:55.257
14693	1009-1461	GIVEN	1009	2021-11-28 12:33:11.313
9303	1000-1470	GIVEN	1000	2021-11-28 15:48:42.996
8590	1009-1544	GIVEN	1009	2021-11-28 04:01:59.478
15375	1006-1563	GIVEN	1006	2021-11-28 05:51:44.119
7539	1008-1577	GIVEN	1008	2021-11-28 08:55:57.581
11896	1006-1583	GIVEN	1006	2021-11-28 04:05:26.761
16353	1001-1601	GIVEN	1001	2021-11-28 06:35:41.286
12195	1005-1625	GIVEN	1005	2021-11-28 00:39:09.756
9627	1006-1648	GIVEN	1006	2021-11-28 05:00:33.938
8731	1004-1708	GIVEN	1004	2021-11-28 05:59:34.166
1767	1007-1719	GIVEN	1007	2021-11-28 18:18:13.541
6577	1008-1731	GIVEN	1008	2021-11-28 08:50:35.190
5232	1007-1740	GIVEN	1007	2021-11-28 05:30:15.015
4198	1002-1787	GIVEN	1002	2021-11-28 09:19:33.268
10626	1000-1812	GIVEN	1000	2021-11-28 14:57:13.534
14569	1006-1897	GIVEN	1006	2021-11-28 07:59:05.571
3599	1005-1906	GIVEN	1005	2021-11-28 07:01:12.846
15028	1006-1909	GIVEN	1006	2021-11-28 03:02:02.667
14300	1002-1917	GIVEN	1002	2021-11-28 16:10:27.577
12265	1009-1923	GIVEN	1009	2021-11-28 01:05:19.153
6902	1006-1928	GIVEN	1006	2021-11-28 15:44:43.248
8299	1009-1954	GIVEN	1009	2021-11-28 17:32:23.387
4881	1008-1974	GIVEN	1008	2021-11-28 22:11:36.345
16472	1008-1977	GIVEN	1008	2021-11-28 09:26:59.315
7045	1006-1981	GIVEN	1006	2021-11-28 07:20:55.788
1703	1004-2016	GIVEN	1004	2021-11-28 23:36:34.851
8762	1007-2033	GIVEN	1007	2021-11-28 05:07:26.556
2178	1001-2048	GIVEN	1001	2021-11-28 06:55:28.286
8098	1003-2064	GIVEN	1003	2021-11-28 21:29:03.926
11755	1001-2085	GIVEN	1001	2021-11-28 13:34:13.920
9117	1009-2131	GIVEN	1009	2021-11-28 05:28:04.709
14685	1009-2199	GIVEN	1009	2021-11-28 23:00:21.282
16264	1007-2217	GIVEN	1007	2021-11-28 07:43:21.189
2466	1006-2239	GIVEN	1006	2021-11-28 11:35:25.038
13987	1000-2397	GIVEN	1000	2021-11-28 07:58:05.259
5831	1003-2398	GIVEN	1003	2021-11-28 07:21:36.509
3199	1001-2405	GIVEN	1001	2021-11-28 22:09:58.880
11527	1008-2407	GIVEN	1008	2021-11-28 09:20:18.753
5871	1008-2415	GIVEN	1008	2021-11-28 00:33:49.008
15904	1003-2474	GIVEN	1003	2021-11-28 04:38:27.767
3417	1006-2486	GIVEN	1006	2021-11-28 18:43:03.458
1088	1001-2490	GIVEN	1001	2021-11-28 04:17:38.725
2089	1005-2522	GIVEN	1005	2021-11-28 19:18:00.296
6287	1009-2527	GIVEN	1009	2021-11-28 08:23:15.035
10242	1007-2552	GIVEN	1007	2021-11-28 06:30:17.392
1643	1001-2622	GIVEN	1001	2021-11-28 05:43:48.895
8191	1001-2632	GIVEN	1001	2021-11-28 03:06:53.198
10332	1004-2656	GIVEN	1004	2021-11-28 14:27:23.484
16270	1001-2686	GIVEN	1001	2021-11-28 09:51:38.489
8382	1002-2706	GIVEN	1002	2021-11-28 15:06:35.719
7767	1008-2763	GIVEN	1008	2021-11-28 08:22:23.655
14343	1005-2773	GIVEN	1005	2021-11-28 19:40:58.527
5848	1009-2795	GIVEN	1009	2021-11-28 23:13:59.972
8332	1008-2801	GIVEN	1008	2021-11-28 12:23:38.300
8256	1009-2867	GIVEN	1009	2021-11-28 18:50:38.090
14229	1002-2885	GIVEN	1002	2021-11-28 02:35:30.419
17343	1007-2901	GIVEN	1007	2021-11-28 14:05:52.845
4327	1002-2924	GIVEN	1002	2021-11-28 12:17:04.806
581	1001-2941	GIVEN	1001	2021-11-28 01:24:46.265
5109	1003-2950	GIVEN	1003	2021-11-28 19:06:18.277
5756	1009-3014	GIVEN	1009	2021-11-28 20:05:05.749
18102	1002-3021	GIVEN	1002	2021-11-28 21:11:48.458
7583	1001-3035	GIVEN	1001	2021-11-28 11:43:30.607
10744	1005-3041	GIVEN	1005	2021-11-28 09:05:16.602
14221	1001-3072	GIVEN	1001	2021-11-28 00:19:53.882
4962	1000-3109	GIVEN	1000	2021-11-28 07:39:55.828
2622	1000-3133	GIVEN	1000	2021-11-28 03:02:16.046
5481	1006-3145	GIVEN	1006	2021-11-28 09:58:29.646
19092	1002-3161	GIVEN	1002	2021-11-28 21:44:08.224
2447	1002-3166	GIVEN	1002	2021-11-28 16:44:28.364
16861	1002-3188	GIVEN	1002	2021-11-28 18:28:20.530
17484	1002-3215	GIVEN	1002	2021-11-28 04:49:43.963
18757	1000-3220	GIVEN	1000	2021-11-28 06:42:44.437
826	1009-3223	GIVEN	1009	2021-11-28 05:50:26.110
6755	1002-3239	GIVEN	1002	2021-11-28 12:21:41.573
2370	1008-3254	GIVEN	1008	2021-11-28 04:20:25.578
17562	1008-3330	GIVEN	1008	2021-11-28 04:05:08.211
2691	1005-3343	GIVEN	1005	2021-11-28 13:09:23.930
6773	1007-3368	GIVEN	1007	2021-11-28 14:03:52.096
18603	1003-3456	GIVEN	1003	2021-11-28 05:01:58.298
12727	1008-3491	GIVEN	1008	2021-11-28 07:16:16.962
5868	1005-3494	GIVEN	1005	2021-11-28 20:34:34.736
4185	1002-3554	GIVEN	1002	2021-11-28 08:08:33.652
18246	1004-3567	GIVEN	1004	2021-11-28 11:58:26.991
2277	1007-3569	GIVEN	1007	2021-11-28 18:04:59.342
16847	1008-3578	GIVEN	1008	2021-11-28 19:11:16.173
5700	1000-3619	GIVEN	1000	2021-11-28 04:08:56.117
5642	1000-3625	GIVEN	1000	2021-11-28 03:09:57.189
13814	1009-3628	GIVEN	1009	2021-11-28 15:06:10.347
1241	1006-3675	GIVEN	1006	2021-11-28 17:53:22.632
18637	1007-3702	GIVEN	1007	2021-11-28 10:48:01.817
1190	1004-3708	GIVEN	1004	2021-11-28 17:08:16.421
176	1009-3753	GIVEN	1009	2021-11-28 13:17:27.899
7930	1009-3766	GIVEN	1009	2021-11-28 15:37:38.119
13746	1002-3865	GIVEN	1002	2021-11-28 08:01:13.418
15881	1007-3881	GIVEN	1007	2021-11-28 16:45:30.161
3639	1001-3921	GIVEN	1001	2021-11-28 20:40:51.494
12961	1000-3985	GIVEN	1000	2021-11-28 04:10:47.437
17720	1005-4003	GIVEN	1005	2021-11-28 09:07:34.620
2915	1006-4021	GIVEN	1006	2021-11-28 00:56:19.988
7507	1004-4025	GIVEN	1004	2021-11-28 16:38:45.384
8608	1008-4031	GIVEN	1008	2021-11-28 18:33:13.262
3808	1002-4041	GIVEN	1002	2021-11-28 10:52:29.724
4756	1002-4055	GIVEN	1002	2021-11-28 06:15:19.648
1024	1000-4059	GIVEN	1000	2021-11-28 23:30:21.245
12662	1000-4064	GIVEN	1000	2021-11-28 04:17:58.760
10885	1002-4072	GIVEN	1002	2021-11-28 23:28:50.428
8563	1009-4073	GIVEN	1009	2021-11-28 16:14:00.077
10201	1003-4082	GIVEN	1003	2021-11-28 07:39:53.147
7097	1007-4092	GIVEN	1007	2021-11-28 11:13:45.873
1914	1002-4103	GIVEN	1002	2021-11-28 21:13:01.780
6331	1004-4191	GIVEN	1004	2021-11-28 04:12:08.360
17979	1001-4208	GIVEN	1001	2021-11-28 18:32:25.580
12838	1004-4210	GIVEN	1004	2021-11-28 11:52:15.965
556	1008-4228	GIVEN	1008	2021-11-28 09:53:52.563
15540	1008-4240	GIVEN	1008	2021-11-28 13:47:42.416
14257	1005-4251	GIVEN	1005	2021-11-28 09:50:52.781
9983	1005-4260	GIVEN	1005	2021-11-28 17:01:15.093
11689	1008-4327	GIVEN	1008	2021-11-28 03:41:54.194
8064	1005-4352	GIVEN	1005	2021-11-28 17:05:47.374
1756	1002-4366	GIVEN	1002	2021-11-28 07:07:55.670
4406	1003-4384	GIVEN	1003	2021-11-28 10:13:49.718
13866	1006-4414	GIVEN	1006	2021-11-28 06:00:49.836
2031	1009-4416	GIVEN	1009	2021-11-28 23:11:38.358
3704	1009-4418	GIVEN	1009	2021-11-28 03:05:51.682
6207	1000-4447	GIVEN	1000	2021-11-28 17:03:14.189
13700	1000-4471	GIVEN	1000	2021-11-28 07:38:16.153
12299	1005-4484	GIVEN	1005	2021-11-28 08:24:21.927
6657	1006-4491	GIVEN	1006	2021-11-28 04:15:08.704
3122	1008-4514	GIVEN	1008	2021-11-28 21:40:20.106
1285	1003-4558	GIVEN	1003	2021-11-28 07:19:25.443
15601	1001-4571	GIVEN	1001	2021-11-28 15:39:39.766
8705	1004-4593	GIVEN	1004	2021-11-28 03:13:19.137
3804	1000-4606	GIVEN	1000	2021-11-28 04:32:44.616
11571	1007-4691	GIVEN	1007	2021-11-28 04:26:13.817
12902	1006-4749	GIVEN	1006	2021-11-28 20:10:09.705
3252	1009-4801	GIVEN	1009	2021-11-28 03:54:51.964
4439	1008-4815	GIVEN	1008	2021-11-28 22:30:26.650
1758	1007-4826	GIVEN	1007	2021-11-28 18:26:31.352
12015	1008-4844	GIVEN	1008	2021-11-28 06:24:02.159
15593	1005-4868	GIVEN	1005	2021-11-28 08:06:56.360
18002	1007-4871	GIVEN	1007	2021-11-28 11:05:05.968
2380	1000-4876	GIVEN	1000	2021-11-28 15:33:26.541
11641	1002-4912	GIVEN	1002	2021-11-28 19:24:04.153
3977	1009-4932	GIVEN	1009	2021-11-28 22:07:10.242
16046	1005-4936	GIVEN	1005	2021-11-28 00:36:56.197
2406	1008-4942	GIVEN	1008	2021-11-28 12:43:31.827
5248	1009-5016	GIVEN	1009	2021-11-28 13:42:28.961
18050	1008-5041	GIVEN	1008	2021-11-28 19:31:06.478
4865	1008-5062	GIVEN	1008	2021-11-28 05:20:31.320
4913	1005-5111	GIVEN	1005	2021-11-28 05:21:24.531
16667	1006-5144	GIVEN	1006	2021-11-28 23:36:25.698
16917	1003-5145	GIVEN	1003	2021-11-28 23:59:36.383
86	1007-5162	GIVEN	1007	2021-11-28 18:57:19.828
10050	1001-5318	GIVEN	1001	2021-11-28 16:06:03.958
6415	1002-5333	GIVEN	1002	2021-11-28 23:41:51.966
13030	1003-5335	GIVEN	1003	2021-11-28 21:57:58.732
10404	1004-5356	GIVEN	1004	2021-11-28 18:49:31.159
10463	1002-5394	GIVEN	1002	2021-11-28 13:08:15.180
4635	1003-5444	GIVEN	1003	2021-11-28 09:01:40.645
13743	1004-5486	GIVEN	1004	2021-11-28 08:30:44.328
19191	1007-5488	GIVEN	1007	2021-11-28 02:52:48.849
5174	1004-5571	GIVEN	1004	2021-11-28 05:49:59.101
8082	1001-5634	GIVEN	1001	2021-11-28 01:40:46.495
13594	1002-5646	GIVEN	1002	2021-11-28 18:30:31.706
3970	1000-5657	GIVEN	1000	2021-11-28 11:10:32.900
17666	1004-5744	GIVEN	1004	2021-11-28 16:33:44.464
6315	1000-5813	GIVEN	1000	2021-11-28 09:15:20.614
9387	1006-5815	GIVEN	1006	2021-11-28 01:28:24.986
15187	1004-5820	GIVEN	1004	2021-11-28 09:21:49.137
6267	1009-5852	GIVEN	1009	2021-11-28 13:57:36.643
9606	1005-5862	GIVEN	1005	2021-11-28 00:57:53.275
4451	1001-5866	GIVEN	1001	2021-11-28 11:00:47.239
4475	1000-5881	GIVEN	1000	2021-11-28 08:32:24.254
9841	1009-5922	GIVEN	1009	2021-11-28 15:37:07.128
6906	1005-5923	GIVEN	1005	2021-11-28 19:57:29.692
2529	1006-5955	GIVEN	1006	2021-11-28 15:22:52.434
19107	1003-5975	GIVEN	1003	2021-11-28 11:20:55.439
13052	1009-5977	GIVEN	1009	2021-11-28 13:42:43.218
19497	1008-5980	GIVEN	1008	2021-11-28 06:06:03.913
9629	1004-6001	GIVEN	1004	2021-11-28 04:39:19.488
18751	1002-6036	GIVEN	1002	2021-11-28 03:42:15.913
9238	1005-6039	GIVEN	1005	2021-11-28 08:45:38.468
3988	1002-6047	GIVEN	1002	2021-11-28 12:26:33.653
17269	1009-6069	GIVEN	1009	2021-11-28 10:38:28.101
9523	1008-6099	GIVEN	1008	2021-11-28 05:12:25.053
13989	1009-6112	GIVEN	1009	2021-11-28 06:14:02.117
