userid	voucherCode	status	campaignID	time
7075	1008-41	GIVEN	1008	2021-11-30 12:18:34.449
16753	1006-76	GIVEN	1006	2021-11-30 19:40:25.874
7739	1003-79	GIVEN	1003	2021-11-30 21:54:57.178
3866	1003-84	GIVEN	1003	2021-11-30 23:15:58.831
4791	1009-111	GIVEN	1009	2021-11-30 17:11:49.275
16171	1002-160	GIVEN	1002	2021-11-30 08:21:06.071
189	1006-222	GIVEN	1006	2021-11-30 22:20:24.895
14471	1003-267	GIVEN	1003	2021-11-30 04:18:06.066
13904	1009-282	GIVEN	1009	2021-11-30 00:40:52.377
18935	1007-349	GIVEN	1007	2021-11-30 02:21:05.078
2392	1002-355	GIVEN	1002	2021-11-30 02:46:19.204
98	1005-389	GIVEN	1005	2021-11-30 17:42:16.416
10883	1001-392	GIVEN	1001	2021-11-30 23:49:11.304
12850	1003-404	GIVEN	1003	2021-11-30 06:39:19.757
885	1003-411	GIVEN	1003	2021-11-30 06:31:49.636
2922	1007-534	GIVEN	1007	2021-11-30 09:50:54.565
15032	1003-544	GIVEN	1003	2021-11-30 08:36:16.359
5451	1009-580	GIVEN	1009	2021-11-30 01:37:48.422
5260	1001-602	GIVEN	1001	2021-11-30 07:08:12.393
60	1007-682	GIVEN	1007	2021-11-30 18:40:14.651
3431	1005-699	GIVEN	1005	2021-11-30 09:53:15.666
18893	1000-725	GIVEN	1000	2021-11-30 10:11:39.545
8231	1005-809	GIVEN	1005	2021-11-30 22:17:24.265
9760	1007-837	GIVEN	1007	2021-11-30 06:49:24.062
3454	1002-849	GIVEN	1002	2021-11-30 19:20:19.045
19915	1004-858	GIVEN	1004	2021-11-30 08:21:33.639
10456	1007-888	GIVEN	1007	2021-11-30 07:53:26.520
11914	1004-955	GIVEN	1004	2021-11-30 19:31:41.149
778	1002-960	GIVEN	1002	2021-11-30 11:10:42.780
10467	1002-993	GIVEN	1002	2021-11-30 11:27:37.032
14772	1001-1075	GIVEN	1001	2021-11-30 13:59:09.043
333	1004-1102	GIVEN	1004	2021-11-30 08:06:16.794
3784	1000-1156	GIVEN	1000	2021-11-30 01:04:34.624
2760	1000-1190	GIVEN	1000	2021-11-30 19:36:27.129
12530	1004-1201	GIVEN	1004	2021-11-30 03:27:05.049
5474	1009-1285	GIVEN	1009	2021-11-30 18:13:56.922
4467	1005-1320	GIVEN	1005	2021-11-30 04:43:47.670
3412	1004-1334	GIVEN	1004	2021-11-30 17:06:11.994
13298	1003-1361	GIVEN	1003	2021-11-30 16:50:41.640
19043	1005-1363	GIVEN	1005	2021-11-30 05:22:01.180
2789	1006-1366	GIVEN	1006	2021-11-30 17:32:01.255
15775	1000-1449	GIVEN	1000	2021-11-30 01:45:59.626
18748	1006-1482	GIVEN	1006	2021-11-30 22:34:29.493
14363	1002-1494	GIVEN	1002	2021-11-30 02:32:21.731
8974	1003-1511	GIVEN	1003	2021-11-30 03:05:25.171
18285	1008-1530	GIVEN	1008	2021-11-30 03:48:17.705
56	1001-1641	GIVEN	1001	2021-11-30 06:58:37.068
13268	1005-1670	GIVEN	1005	2021-11-30 18:36:37.578
2611	1008-1706	GIVEN	1008	2021-11-30 14:30:24.338
6538	1002-1835	GIVEN	1002	2021-11-30 09:24:11.416
722	1001-1868	GIVEN	1001	2021-11-30 01:05:43.533
13015	1005-1875	GIVEN	1005	2021-11-30 22:29:37.081
16281	1009-1919	GIVEN	1009	2021-11-30 18:27:50.137
17733	1003-1969	GIVEN	1003	2021-11-30 02:17:48.070
4274	1005-1973	GIVEN	1005	2021-11-30 07:55:00.326
8902	1007-2022	GIVEN	1007	2021-11-30 08:50:45.506
2280	1003-2058	GIVEN	1003	2021-11-30 23:14:52.938
15017	1003-2073	GIVEN	1003	2021-11-30 15:12:34.224
9139	1008-2127	GIVEN	1008	2021-11-30 20:56:07.950
16688	1009-2166	GIVEN	1009	2021-11-30 09:24:07.703
5555	1007-2181	GIVEN	1007	2021-11-30 08:26:19.651
2892	1002-2200	GIVEN	1002	2021-11-30 07:24:03.365
11657	1000-2219	GIVEN	1000	2021-11-30 04:27:44.220
8619	1005-2246	GIVEN	1005	2021-11-30 02:54:22.607
17393	1003-2256	GIVEN	1003	2021-11-30 18:03:34.974
12444	1004-2272	GIVEN	1004	2021-11-30 07:21:48.314
3227	1009-2316	GIVEN	1009	2021-11-30 18:03:44.571
8122	1008-2330	GIVEN	1008	2021-11-30 06:43:59.586
10371	1000-2409	GIVEN	1000	2021-11-30 09:41:24.495
16296	1000-2425	GIVEN	1000	2021-11-30 22:41:33.276
12491	1003-2456	GIVEN	1003	2021-11-30 21:44:50.069
4084	1008-2458	GIVEN	1008	2021-11-30 20:08:09.313
11103	1007-2463	GIVEN	1007	2021-11-30 21:50:22.644
9370	1000-2473	GIVEN	1000	2021-11-30 08:26:44.544
17624	1008-2475	GIVEN	1008	2021-11-30 16:27:22.439
15671	1009-2592	GIVEN	1009	2021-11-30 03:10:04.001
6015	1006-2601	GIVEN	1006	2021-11-30 07:23:01.018
9894	1003-2650	GIVEN	1003	2021-11-30 20:49:41.934
15881	1004-2652	GIVEN	1004	2021-11-30 16:32:06.524
7047	1007-2659	GIVEN	1007	2021-11-30 03:27:47.258
6920	1000-2676	GIVEN	1000	2021-11-30 10:36:46.272
11183	1000-2680	GIVEN	1000	2021-11-30 04:53:43.749
981	1005-2729	GIVEN	1005	2021-11-30 20:04:22.088
15146	1004-2733	GIVEN	1004	2021-11-30 22:02:40.841
8009	1004-2785	GIVEN	1004	2021-11-30 18:30:18.951
6673	1001-2807	GIVEN	1001	2021-11-30 08:13:54.394
14365	1001-2839	GIVEN	1001	2021-11-30 11:07:12.948
5379	1008-2851	GIVEN	1008	2021-11-30 22:01:59.740
15297	1005-2978	GIVEN	1005	2021-11-30 15:05:06.204
18234	1009-2990	GIVEN	1009	2021-11-30 08:14:14.578
14454	1002-3055	GIVEN	1002	2021-11-30 16:54:29.130
1855	1008-3079	GIVEN	1008	2021-11-30 13:13:55.051
18132	1008-3095	GIVEN	1008	2021-11-30 21:45:09.351
794	1004-3108	GIVEN	1004	2021-11-30 08:50:57.185
9136	1003-3129	GIVEN	1003	2021-11-30 20:07:19.241
11140	1008-3194	GIVEN	1008	2021-11-30 17:51:48.431
16958	1002-3248	GIVEN	1002	2021-11-30 02:02:48.871
15862	1009-3284	GIVEN	1009	2021-11-30 16:03:04.605
11029	1001-3306	GIVEN	1001	2021-11-30 21:13:00.811
1450	1004-3311	GIVEN	1004	2021-11-30 14:13:26.985
14169	1000-3352	GIVEN	1000	2021-11-30 19:09:21.192
11877	1009-3370	GIVEN	1009	2021-11-30 15:01:43.690
8529	1007-3430	GIVEN	1007	2021-11-30 21:14:08.615
13716	1008-3450	GIVEN	1008	2021-11-30 05:44:54.305
