userid	voucherCode	status	campaignID	time
17828	1007-18850	USED	1007	2021-12-14 01:38:12.813
17905	1009-4541	USED	1009	2021-12-17 18:49:35.201
11437	1002-5398	USED	1002	2021-12-11 07:25:07.288
12845	1009-2017	USED	1009	2021-12-23 08:52:04.570
12405	1008-2450	USED	1008	2021-12-26 07:28:57.264
14139	1007-2937	USED	1007	2021-12-25 16:13:35.635
9573	1004-10085	USED	1004	2021-12-20 15:40:28.868
13320	1008-3175	USED	1008	2021-12-02 19:17:33.085
19490	1005-22691	USED	1005	2021-12-02 02:56:04.892
5094	1001-3820	USED	1001	2021-12-01 08:56:09.000
8942	1000-24947	USED	1000	2021-12-23 21:49:43.058
19173	1003-14087	USED	1003	2021-12-15 12:21:50.959
2826	1006-25273	USED	1006	2021-12-16 13:19:03.993
17230	1008-27219	USED	1008	2021-12-24 21:21:45.829
1019	1001-21595	USED	1001	2021-12-26 16:29:22.266
6549	1009-13603	USED	1009	2021-12-27 17:00:02.827
1190	1009-4271	USED	1009	2021-12-15 11:11:14.449
2827	1008-4948	USED	1008	2021-12-19 07:44:44.790
17758	1000-3979	USED	1000	2021-12-29 01:21:08.900
282	1007-19301	USED	1007	2021-12-04 15:37:47.032
8543	1007-23885	USED	1007	2021-12-07 23:10:35.697
9909	1009-12077	USED	1009	2021-12-04 12:08:58.107
6348	1002-16891	USED	1002	2021-12-05 01:41:48.626
13968	1001-6789	USED	1001	2021-12-09 11:20:29.501
16537	1000-5713	USED	1000	2021-12-08 01:19:27.723
9456	1000-26792	USED	1000	2021-12-18 21:33:17.341
19497	1008-20702	USED	1008	2021-12-31 08:24:35.628
3475	1009-4293	USED	1009	2021-12-30 03:11:47.369
7708	1002-12010	USED	1002	2021-12-23 01:36:29.446
12416	1001-11706	USED	1001	2021-12-21 10:05:43.675
6494	1000-1330	USED	1000	2021-12-07 19:31:41.681
12156	1005-22981	USED	1005	2021-12-13 17:32:38.711
13595	1009-4426	USED	1009	2021-12-20 04:44:59.110
1126	1005-15349	USED	1005	2021-12-26 15:41:19.505
10948	1006-1255	USED	1006	2021-12-21 06:09:00.678
17243	1001-13331	USED	1001	2021-12-01 02:03:45.072
11699	1004-20777	USED	1004	2021-12-17 17:29:14.081
19036	1000-6219	USED	1000	2021-12-11 20:08:42.046
7099	1008-27310	USED	1008	2021-12-14 22:31:03.626
670	1001-26903	USED	1001	2021-12-11 18:01:36.305
3706	1005-1066	USED	1005	2021-12-13 01:36:34.150
3759	1005-2372	USED	1005	2021-12-05 05:35:06.885
822	1001-14796	USED	1001	2021-12-29 02:14:34.337
15504	1006-19897	USED	1006	2021-12-01 16:34:15.072
13091	1003-6685	USED	1003	2021-12-02 01:23:06.462
679	1006-22590	USED	1006	2021-12-29 06:39:51.792
7912	1004-16223	USED	1004	2021-12-20 13:22:43.483
6833	1008-9546	USED	1008	2021-12-22 20:55:53.317
8556	1006-22275	USED	1006	2021-12-22 01:55:25.411
4234	1008-19370	USED	1008	2021-12-31 16:53:29.005
15703	1001-23977	USED	1001	2021-12-06 21:15:25.689
13989	1009-15347	USED	1009	2021-12-12 22:06:48.555
422	1007-25643	USED	1007	2021-12-07 03:37:01.498
4254	1004-9195	USED	1004	2021-12-03 00:53:56.495
9189	1007-20217	USED	1007	2021-12-17 09:08:37.616
7586	1008-13980	USED	1008	2021-12-16 23:31:54.238
7887	1006-14212	USED	1006	2021-12-09 22:32:06.402
8835	1005-10014	USED	1005	2021-12-16 17:14:49.741
17433	1007-17127	USED	1007	2021-12-21 15:33:57.729
15855	1004-587	USED	1004	2021-12-02 05:59:53.039
16493	1003-23035	USED	1003	2021-12-30 00:11:33.764
6431	1001-16270	USED	1001	2021-12-21 05:48:21.027
6512	1009-14790	USED	1009	2021-12-04 14:34:43.630
3409	1006-23015	USED	1006	2021-12-27 07:21:00.114
11998	1004-7396	USED	1004	2021-12-01 16:16:51.759
11511	1003-22197	USED	1003	2021-12-19 15:02:41.849
11575	1004-26877	USED	1004	2021-12-11 09:30:06.553
535	1006-12575	USED	1006	2021-12-22 12:43:55.680
2413	1003-28918	USED	1003	2021-12-08 15:45:38.981
17960	1001-9840	USED	1001	2021-12-16 12:45:34.878
662	1000-28636	USED	1000	2021-12-12 05:52:42.859
4610	1007-22034	USED	1007	2021-12-26 14:58:55.216
9864	1008-28528	USED	1008	2021-12-15 16:05:42.784
18888	1000-10875	USED	1000	2021-12-28 07:31:46.588
16529	1002-24718	USED	1002	2021-12-20 01:59:21.872
