userid	voucherCode	status	campaignID	time
340	1000-13853	USED	1000	2021-12-18 00:23:19.099
10679	1005-23913	USED	1005	2021-12-28 20:23:14.590
8060	1004-13286	USED	1004	2021-12-10 14:48:43.994
16913	1006-10452	USED	1006	2021-12-29 00:46:21.119
12532	1001-22562	USED	1001	2021-12-04 00:43:28.023
15690	1008-13269	USED	1008	2021-12-05 23:03:43.216
6766	1004-22499	USED	1004	2021-12-11 21:56:50.483
19152	1009-11854	USED	1009	2021-12-07 03:05:19.192
8832	1008-27466	USED	1008	2021-12-12 04:49:52.714
7862	1000-8175	USED	1000	2021-12-12 02:19:36.847
9886	1007-26577	USED	1007	2021-12-11 02:25:18.502
1148	1000-1347	USED	1000	2021-12-25 04:51:19.160
450	1006-28060	USED	1006	2021-12-24 05:35:26.861
1440	1004-9984	USED	1004	2021-12-12 04:38:14.006
2214	1000-8782	USED	1000	2021-12-02 19:28:24.398
6122	1004-13641	USED	1004	2021-12-08 23:14:48.164
17844	1009-18101	USED	1009	2021-12-30 20:32:42.653
16525	1005-16568	USED	1005	2021-12-10 18:47:23.267
12577	1000-29797	USED	1000	2021-12-29 11:20:37.856
9640	1007-19434	USED	1007	2021-12-12 23:17:56.463
3804	1005-16262	USED	1005	2021-12-03 08:54:50.229
19003	1008-15206	USED	1008	2021-12-30 19:55:24.488
8485	1001-29230	USED	1001	2021-12-02 13:16:37.429
16646	1009-17593	USED	1009	2021-12-29 17:33:34.721
5048	1005-4773	USED	1005	2021-12-09 09:01:55.503
10669	1002-24108	USED	1002	2021-12-15 14:33:36.858
19135	1004-29286	USED	1004	2021-12-08 20:04:26.958
17647	1006-1879	USED	1006	2021-12-19 22:07:21.967
16484	1009-29590	USED	1009	2021-12-04 05:01:01.386
9415	1001-29169	USED	1001	2021-12-25 08:24:59.112
19127	1004-6675	USED	1004	2021-12-25 04:53:02.926
11037	1001-29135	USED	1001	2021-12-22 17:18:20.982
12580	1000-10919	USED	1000	2021-12-11 20:24:46.990
1505	1005-25107	USED	1005	2021-12-31 10:20:55.047
12353	1001-23888	USED	1001	2021-12-22 17:35:47.279
16453	1004-21889	USED	1004	2021-12-06 08:02:07.859
18481	1008-15186	USED	1008	2021-12-22 11:14:58.454
817	1003-17651	USED	1003	2021-12-09 12:37:44.215
19961	1005-17001	USED	1005	2021-12-06 22:58:21.618
11291	1000-14433	USED	1000	2021-12-28 06:30:13.355
5054	1008-26875	USED	1008	2021-12-04 20:46:00.245
19527	1000-14142	USED	1000	2021-12-16 16:14:04.763
1931	1007-9820	USED	1007	2021-12-29 04:48:54.566
4627	1008-28035	USED	1008	2021-12-12 07:59:09.575
17995	1004-13112	USED	1004	2021-12-08 13:26:49.522
918	1008-18537	USED	1008	2021-12-22 14:21:31.284
15773	1002-24016	USED	1002	2021-12-23 21:01:23.107
7519	1006-18031	USED	1006	2021-12-28 11:02:15.505
13081	1006-9714	USED	1006	2021-12-01 18:15:17.778
12583	1001-18330	USED	1001	2021-12-24 07:47:04.466
13439	1007-29969	USED	1007	2021-12-24 22:54:36.733
7242	1005-899	USED	1005	2021-12-25 09:30:15.968
6790	1003-15542	USED	1003	2021-12-26 10:25:29.527
17503	1003-18333	USED	1003	2021-12-13 02:35:34.453
8881	1004-24008	USED	1004	2021-12-08 23:25:03.794
