userid	voucherCode	status	campaignID	time
2226	1003-16832	USED	1003	2021-12-21 15:23:13.034
5771	1007-25659	USED	1007	2021-12-12 09:18:58.626
4697	1009-3084	USED	1009	2021-12-23 00:06:20.612
16762	1002-20381	USED	1002	2021-12-03 00:12:29.874
8165	1004-22701	USED	1004	2021-12-19 21:24:32.485
2682	1008-9203	USED	1008	2021-12-27 03:29:23.458
13930	1000-6203	USED	1000	2021-12-16 02:46:16.991
8942	1006-28401	USED	1006	2021-12-04 10:59:40.096
11706	1000-8740	USED	1000	2021-12-12 14:54:26.028
14502	1003-8562	USED	1003	2021-12-16 18:33:16.337
12256	1000-25177	USED	1000	2021-12-20 06:38:01.801
2982	1002-13364	USED	1002	2021-12-11 20:17:52.724
731	1005-27549	USED	1005	2021-12-19 16:08:00.198
7069	1001-7944	USED	1001	2021-12-28 19:51:12.081
3745	1002-4617	USED	1002	2021-12-23 20:01:30.716
12539	1004-2530	USED	1004	2021-12-19 09:20:16.750
993	1000-9296	USED	1000	2021-12-18 02:43:55.227
19045	1004-26279	USED	1004	2021-12-13 12:18:07.833
11326	1005-6694	USED	1005	2021-12-23 04:13:24.738
10264	1005-27064	USED	1005	2021-12-01 18:47:39.986
15556	1003-12002	USED	1003	2021-12-31 16:58:25.700
17325	1008-6042	USED	1008	2021-12-16 12:06:18.527
5080	1007-6261	USED	1007	2021-12-03 22:07:44.115
2705	1002-24713	USED	1002	2021-12-30 10:17:02.886
12723	1000-21950	USED	1000	2021-12-31 23:01:57.877
14455	1003-22053	USED	1003	2021-12-26 22:29:16.652
8210	1004-27918	USED	1004	2021-12-21 23:43:04.705
2737	1004-8010	USED	1004	2021-12-07 07:14:14.037
17809	1002-541	USED	1002	2021-12-13 22:02:46.712
2625	1006-29485	USED	1006	2021-12-15 07:25:57.970
7530	1002-884	USED	1002	2021-12-03 07:30:13.419
17187	1007-22783	USED	1007	2021-12-08 01:40:18.204
17601	1005-7137	USED	1005	2021-12-08 13:04:03.799
18970	1001-15558	USED	1001	2021-12-12 15:00:12.259
10231	1002-19252	USED	1002	2021-12-28 11:19:20.215
18131	1005-2599	USED	1005	2021-12-16 04:15:07.269
12601	1005-26716	USED	1005	2021-12-30 10:54:45.757
15600	1002-4329	USED	1002	2021-12-09 06:24:44.854
18867	1003-17789	USED	1003	2021-12-13 10:51:18.891
17451	1002-21356	USED	1002	2021-12-26 15:47:28.254
9168	1000-11550	USED	1000	2021-12-07 15:59:09.627
15769	1006-26683	USED	1006	2021-12-03 11:51:41.824
10490	1008-9893	USED	1008	2021-12-04 13:14:27.223
17860	1006-14471	USED	1006	2021-12-12 11:21:40.780
5828	1002-252	USED	1002	2021-12-13 01:31:55.915
