userid	voucherCode	status	campaignID	time
18017	1005-4119	USED	1005	2021-12-10 03:56:42.742
16487	1001-16578	USED	1001	2021-12-07 22:18:07.310
7158	1008-6120	USED	1008	2021-12-24 00:12:26.629
8935	1007-16260	USED	1007	2021-12-30 01:00:58.896
16483	1002-25122	USED	1002	2021-12-29 23:53:25.092
14329	1005-27385	USED	1005	2021-12-21 13:03:03.978
6245	1000-17980	USED	1000	2021-12-29 05:37:27.028
10095	1000-8741	USED	1000	2021-12-19 01:49:53.261
6491	1002-23436	USED	1002	2021-12-12 11:25:05.817
4780	1004-16012	USED	1004	2021-12-18 21:55:52.368
1258	1007-24393	USED	1007	2021-12-23 03:45:43.655
11638	1001-7649	USED	1001	2021-12-13 14:30:30.745
444	1006-7757	USED	1006	2021-12-07 23:47:06.257
2358	1004-14605	USED	1004	2021-12-30 01:26:01.352
9874	1000-11177	USED	1000	2021-12-30 23:38:13.082
8476	1001-26356	USED	1001	2021-12-13 00:01:46.495
498	1008-6447	USED	1008	2021-12-13 10:42:34.950
15995	1006-12631	USED	1006	2021-12-10 14:43:54.382
17615	1006-12012	USED	1006	2021-12-14 23:59:43.701
509	1000-23129	USED	1000	2021-12-08 17:50:12.514
19918	1005-28518	USED	1005	2021-12-26 10:00:55.848
1060	1006-11980	USED	1006	2021-12-20 19:15:01.176
19153	1009-20954	USED	1009	2021-12-14 22:45:12.754
11163	1005-22512	USED	1005	2021-12-22 08:30:48.540
14205	1003-17580	USED	1003	2021-12-18 23:00:43.641
10957	1006-21915	USED	1006	2021-12-16 02:11:26.393
15958	1003-26799	USED	1003	2021-12-17 13:52:49.715
6412	1001-6547	USED	1001	2021-12-26 10:06:58.348
2004	1008-19172	USED	1008	2021-12-10 07:16:59.726
8284	1007-24178	USED	1007	2021-12-28 12:42:12.470
9860	1001-27685	USED	1001	2021-12-10 04:10:25.359
1948	1004-11312	USED	1004	2021-12-01 07:52:45.703
1368	1002-14501	USED	1002	2021-12-15 18:50:07.649
13126	1006-17293	USED	1006	2021-12-02 15:30:26.605
18904	1002-8993	USED	1002	2021-12-12 12:13:57.239
13069	1007-14969	USED	1007	2021-12-07 10:35:33.856
8134	1008-5835	USED	1008	2021-12-23 10:19:59.486
14698	1000-16748	USED	1000	2021-12-13 05:54:56.301
17212	1003-21319	USED	1003	2021-12-31 22:18:34.689
2328	1007-20357	USED	1007	2021-12-21 09:19:31.255
7959	1003-3015	USED	1003	2021-12-03 00:31:24.216
12080	1008-820	USED	1008	2021-12-19 20:33:21.727
3347	1001-14041	USED	1001	2021-12-20 14:58:01.182
16039	1004-5245	USED	1004	2021-12-09 20:06:46.093
9442	1007-25332	USED	1007	2021-12-23 15:02:28.447
