userid	voucherCode	status	campaignID	time
7271	1002-29678	USED	1002	2021-12-04 09:08:49.108
19906	1008-12591	USED	1008	2021-12-17 21:46:25.721
702	1005-24646	USED	1005	2021-12-29 00:39:57.157
17471	1001-15011	USED	1001	2021-12-22 11:07:02.062
3137	1007-14659	USED	1007	2021-12-15 02:20:27.309
7601	1005-13184	USED	1005	2021-12-14 21:49:39.270
3794	1007-22460	USED	1007	2021-12-29 19:06:45.983
3463	1008-23468	USED	1008	2021-12-13 23:31:02.074
1767	1008-2052	USED	1008	2021-12-02 22:29:43.066
628	1000-20467	USED	1000	2021-12-24 16:09:34.805
138	1006-3812	USED	1006	2021-12-09 05:59:33.812
17624	1008-2475	USED	1008	2021-12-21 07:59:53.538
12844	1007-26314	USED	1007	2021-12-04 03:28:14.166
14422	1004-6440	USED	1004	2021-12-20 14:45:51.757
18693	1005-7244	USED	1005	2021-12-29 19:42:08.844
8704	1000-4094	USED	1000	2021-12-26 00:21:44.168
4329	1004-23460	USED	1004	2021-12-08 01:24:54.390
12636	1003-24400	USED	1003	2021-12-17 04:54:15.445
3793	1009-15823	USED	1009	2021-12-04 12:16:56.555
17942	1004-17571	USED	1004	2021-12-04 05:25:19.433
16938	1005-14575	USED	1005	2021-12-13 10:04:07.578
149	1001-23758	USED	1001	2021-12-30 05:14:21.042
2756	1009-26994	USED	1009	2021-12-14 07:49:29.982
18428	1003-28152	USED	1003	2021-12-29 05:26:58.525
18833	1000-20561	USED	1000	2021-12-22 14:43:46.305
18015	1005-14285	USED	1005	2021-12-07 16:58:16.170
10857	1004-10716	USED	1004	2021-12-28 01:46:26.202
15815	1009-29114	USED	1009	2021-12-14 08:01:26.860
11310	1005-28989	USED	1005	2021-12-20 10:07:53.548
2709	1008-9814	USED	1008	2021-12-29 16:21:52.388
11082	1009-11891	USED	1009	2021-12-07 08:23:55.762
11770	1000-15091	USED	1000	2021-12-13 17:30:57.318
9129	1009-8280	USED	1009	2021-12-16 16:25:57.465
11982	1001-6817	USED	1001	2021-12-14 03:16:00.722
18990	1004-26661	USED	1004	2021-12-03 00:04:31.604
6737	1005-7694	USED	1005	2021-12-26 07:00:55.755
9208	1007-27721	USED	1007	2021-12-18 08:56:18.652
7244	1007-25824	USED	1007	2021-12-11 21:34:20.158
10522	1000-20626	USED	1000	2021-12-16 21:22:30.467
6978	1006-3736	USED	1006	2021-12-09 04:08:48.755
18897	1002-14972	USED	1002	2021-12-03 04:55:23.853
13141	1004-2971	USED	1004	2021-12-14 16:14:15.009
8083	1007-23008	USED	1007	2021-12-13 12:16:46.266
3163	1009-2626	USED	1009	2021-12-20 01:42:47.950
19423	1001-2555	USED	1001	2021-12-01 02:43:59.951
16517	1006-20669	USED	1006	2021-12-28 21:35:39.496
12839	1003-719	USED	1003	2021-12-28 06:24:26.644
9582	1008-18191	USED	1008	2021-12-25 01:30:04.672
14315	1005-26310	USED	1005	2021-12-06 18:15:41.603
12566	1002-10816	USED	1002	2021-12-13 19:26:09.525
991	1004-5747	USED	1004	2021-12-05 09:48:20.518
8834	1009-3214	USED	1009	2021-12-29 06:40:33.164
10706	1002-4740	USED	1002	2021-12-18 14:29:38.083
7981	1006-14726	USED	1006	2021-12-29 01:28:51.346
17275	1006-23053	USED	1006	2021-12-20 03:06:21.447
14653	1000-24054	USED	1000	2021-12-09 10:39:27.023
6152	1004-8570	USED	1004	2021-12-18 20:42:32.554
16144	1001-17408	USED	1001	2021-12-08 21:41:58.513
8376	1009-11640	USED	1009	2021-12-09 12:08:56.066
15052	1003-15401	USED	1003	2021-12-25 12:29:54.490
19947	1000-9136	USED	1000	2021-12-23 05:11:13.427
13544	1009-17703	USED	1009	2021-12-19 06:42:58.536
2605	1007-16586	USED	1007	2021-12-16 22:24:06.430
17206	1008-17462	USED	1008	2021-12-03 16:02:24.490
5439	1009-21592	USED	1009	2021-12-29 06:53:49.518
16190	1002-20547	USED	1002	2021-12-01 23:53:44.013
10356	1008-7201	USED	1008	2021-12-20 21:22:34.762
1743	1004-11238	USED	1004	2021-12-24 04:12:01.329
17182	1006-9535	USED	1006	2021-12-30 09:19:34.676
146	1003-12415	USED	1003	2021-12-08 18:49:19.265
10905	1008-17114	USED	1008	2021-12-22 07:05:34.755
5910	1002-1952	USED	1002	2021-12-02 02:11:49.401
19863	1005-2507	USED	1005	2021-12-11 01:12:39.392
11545	1009-15976	USED	1009	2021-12-13 08:37:36.903
3560	1006-20100	USED	1006	2021-12-16 14:36:24.490
17313	1005-11967	USED	1005	2021-12-24 05:57:20.112
15349	1007-21640	USED	1007	2021-12-27 01:07:41.260
16984	1005-24325	USED	1005	2021-12-03 14:48:31.775
