userid	voucherCode	status	campaignID	time
14522	1009-20185	USED	1009	2021-12-31 22:28:50.589
14385	1005-29545	USED	1005	2021-12-28 12:39:22.185
17732	1006-15149	USED	1006	2021-12-15 02:07:12.382
19152	1004-5164	USED	1004	2021-12-02 18:21:10.531
10498	1008-9612	USED	1008	2021-12-10 19:21:10.813
3761	1002-17248	USED	1002	2021-12-12 22:55:03.421
10956	1006-11344	USED	1006	2021-12-18 21:24:10.202
9624	1006-10365	USED	1006	2021-12-15 19:54:42.508
9958	1003-16926	USED	1003	2021-12-04 03:06:25.626
16422	1003-16818	USED	1003	2021-12-31 08:36:06.059
6636	1008-29068	USED	1008	2021-12-26 19:34:22.141
4046	1006-7469	USED	1006	2021-12-29 14:48:41.665
3260	1006-10942	USED	1006	2021-12-10 19:19:20.085
3275	1008-1945	USED	1008	2021-12-25 06:07:27.849
13526	1000-29116	USED	1000	2021-12-02 14:54:35.500
5106	1009-23063	USED	1009	2021-12-25 03:36:32.781
6541	1001-21653	USED	1001	2021-12-03 22:23:20.255
563	1008-8629	USED	1008	2021-12-09 12:40:18.407
16742	1004-9095	USED	1004	2021-12-24 04:41:30.210
7380	1006-13976	USED	1006	2021-12-13 00:55:54.973
5826	1009-25506	USED	1009	2021-12-02 20:42:16.223
12153	1001-18073	USED	1001	2021-12-18 15:12:43.993
17469	1006-27163	USED	1006	2021-12-25 13:02:15.923
19892	1001-8907	USED	1001	2021-12-09 03:13:49.769
17868	1005-9788	USED	1005	2021-12-14 16:18:51.687
16706	1008-4065	USED	1008	2021-12-18 23:29:34.165
4521	1003-1547	USED	1003	2021-12-05 21:32:31.971
14247	1005-2366	USED	1005	2021-12-24 02:34:55.633
18042	1002-9332	USED	1002	2021-12-28 02:48:54.932
9509	1001-21566	USED	1001	2021-12-09 15:26:45.206
3372	1009-24565	USED	1009	2021-12-05 08:10:30.176
16924	1000-27834	USED	1000	2021-12-12 08:08:29.180
2432	1001-29714	USED	1001	2021-12-30 13:44:36.378
3327	1006-18560	USED	1006	2021-12-21 19:38:23.390
7031	1003-11326	USED	1003	2021-12-02 22:08:00.126
7938	1003-4941	USED	1003	2021-12-29 20:57:14.295
7578	1001-22726	USED	1001	2021-12-26 08:16:58.772
11019	1008-27833	USED	1008	2021-12-12 01:48:14.805
18482	1003-18932	USED	1003	2021-12-05 14:17:17.538
14650	1007-7835	USED	1007	2021-12-04 21:09:18.572
14848	1004-8169	USED	1004	2021-12-22 21:57:30.151
16027	1004-29818	USED	1004	2021-12-25 13:54:07.164
16449	1007-3711	USED	1007	2021-12-19 22:30:38.360
8837	1009-7289	USED	1009	2021-12-06 18:39:50.704
16436	1000-6507	USED	1000	2021-12-20 04:54:50.073
2601	1007-23128	USED	1007	2021-12-31 16:24:00.050
88	1002-13492	USED	1002	2021-12-07 05:45:59.858
15243	1008-6350	USED	1008	2021-12-24 22:48:15.930
12320	1006-23860	USED	1006	2021-12-18 03:23:39.346
11743	1001-22547	USED	1001	2021-12-02 16:14:59.623
6789	1002-25490	USED	1002	2021-12-27 11:05:07.104
10555	1003-28428	USED	1003	2021-12-13 06:54:46.030
8100	1008-15289	USED	1008	2021-12-29 00:55:51.643
19131	1001-6481	USED	1001	2021-12-07 11:10:23.913
2087	1002-10509	USED	1002	2021-12-31 08:10:41.662
11250	1003-25270	USED	1003	2021-12-30 06:51:18.183
15211	1000-9143	USED	1000	2021-12-11 02:12:07.684
17877	1002-860	USED	1002	2021-12-29 08:11:39.034
1715	1006-11186	USED	1006	2021-12-04 03:59:15.934
726	1002-15235	USED	1002	2021-12-15 18:55:10.485
7596	1003-136	USED	1003	2021-12-08 06:16:50.682
5928	1009-23760	USED	1009	2021-12-07 16:35:02.724
13285	1000-4638	USED	1000	2021-12-10 08:45:20.280
18204	1005-2224	USED	1005	2021-12-31 02:27:53.747
3417	1001-5618	USED	1001	2021-12-22 06:34:18.855
6304	1005-13632	USED	1005	2021-12-17 20:13:31.184
5968	1006-22360	USED	1006	2021-12-07 21:19:24.058
9411	1001-25222	USED	1001	2021-12-23 17:41:31.745
14761	1008-1698	USED	1008	2021-12-01 04:31:11.607
4057	1005-23261	USED	1005	2021-12-25 07:21:11.288
930	1003-29919	USED	1003	2021-12-01 11:06:11.206
1607	1009-3054	USED	1009	2021-12-13 04:31:57.496
7278	1007-15425	USED	1007	2021-12-07 13:53:32.236
3516	1004-15092	USED	1004	2021-12-10 01:19:00.993
16986	1009-19517	USED	1009	2021-12-22 18:14:22.161
18475	1006-4243	USED	1006	2021-12-02 14:23:30.838
7753	1009-29687	USED	1009	2021-12-06 09:09:38.603
8052	1006-515	USED	1006	2021-12-26 06:35:54.780
5127	1004-9555	USED	1004	2021-12-07 11:52:27.073
7661	1009-24104	USED	1009	2021-12-15 16:59:29.453
7062	1009-22731	USED	1009	2021-12-15 01:46:51.301
2036	1008-2215	USED	1008	2021-12-04 11:53:11.303
12977	1004-16833	USED	1004	2021-12-01 15:11:57.451
4370	1000-10741	USED	1000	2021-12-28 15:45:39.771
6776	1005-22835	USED	1005	2021-12-08 22:09:41.636
5034	1004-16629	USED	1004	2021-12-29 15:01:50.437
16521	1007-1462	USED	1007	2021-12-26 08:48:27.621
1675	1008-18982	USED	1008	2021-12-23 18:38:35.243
16858	1006-16209	USED	1006	2021-12-23 20:29:50.341
4122	1003-13654	USED	1003	2021-12-16 10:57:24.312
18971	1001-13819	USED	1001	2021-12-21 23:34:51.968
6703	1003-15898	USED	1003	2021-12-09 03:38:58.564
469	1003-804	USED	1003	2021-12-29 08:03:42.874
917	1008-2777	USED	1008	2021-12-11 10:16:40.711
5363	1006-17284	USED	1006	2021-12-21 02:55:33.677
11312	1007-18229	USED	1007	2021-12-06 15:36:28.002
16695	1002-28988	USED	1002	2021-12-05 02:17:26.425
19901	1001-13067	USED	1001	2021-12-22 05:05:37.872
11777	1002-2216	USED	1002	2021-12-22 11:12:23.730
16099	1007-6067	USED	1007	2021-12-01 12:24:47.775
635	1008-12173	USED	1008	2021-12-06 23:18:21.150
15708	1004-27332	USED	1004	2021-12-09 01:27:08.943
12036	1003-4302	USED	1003	2021-12-06 18:47:12.437
12110	1002-26528	USED	1002	2021-12-25 05:43:16.275
15573	1005-9433	USED	1005	2021-12-22 16:20:53.935
2572	1006-18534	USED	1006	2021-12-17 21:15:22.412
1790	1003-478	USED	1003	2021-12-07 06:30:38.869
17036	1003-9419	USED	1003	2021-12-06 14:45:31.870
5382	1005-26277	USED	1005	2021-12-10 16:14:49.435
3487	1007-26115	USED	1007	2021-12-23 01:55:51.936
5119	1001-8809	USED	1001	2021-12-04 18:55:38.094
8842	1005-748	USED	1005	2021-12-01 07:25:19.126
11385	1005-18389	USED	1005	2021-12-29 09:10:06.945
1656	1004-14474	USED	1004	2021-12-25 12:33:15.183
17294	1008-21902	USED	1008	2021-12-11 13:54:19.901
3177	1002-25817	USED	1002	2021-12-26 21:06:55.435
17987	1005-8671	USED	1005	2021-12-17 20:10:51.328
4785	1003-6914	USED	1003	2021-12-21 10:39:12.074
13864	1008-2743	USED	1008	2021-12-29 19:21:02.753
10009	1000-14508	USED	1000	2021-12-04 09:20:12.598
6212	1006-29901	USED	1006	2021-12-14 00:13:01.015
19616	1008-24331	USED	1008	2021-12-21 08:40:59.328
4846	1004-1595	USED	1004	2021-12-28 15:58:50.558
19634	1002-6851	USED	1002	2021-12-18 07:36:59.072
15472	1004-24309	USED	1004	2021-12-17 22:10:08.207
17856	1004-25670	USED	1004	2021-12-11 09:24:37.346
9309	1002-20133	USED	1002	2021-12-13 18:09:02.794
13795	1007-24102	USED	1007	2021-12-28 18:06:10.215
3441	1008-27	USED	1008	2021-12-10 19:53:58.025
4157	1007-10898	USED	1007	2021-12-31 09:43:10.482
10687	1000-13210	USED	1000	2021-12-15 22:55:06.400
3695	1002-21906	USED	1002	2021-12-17 16:32:39.570
3663	1005-13177	USED	1005	2021-12-18 15:57:42.125
2021	1002-3164	USED	1002	2021-12-29 18:44:54.749
19817	1009-17844	USED	1009	2021-12-28 17:20:49.693
19567	1003-3799	USED	1003	2021-12-18 00:15:48.668
10958	1005-28185	USED	1005	2021-12-15 01:07:50.853
252	1003-21642	USED	1003	2021-12-13 10:59:06.658
19141	1008-18002	USED	1008	2021-12-18 09:48:19.463
19985	1009-22986	USED	1009	2021-12-02 18:09:35.899
11536	1007-22922	USED	1007	2021-12-23 15:05:22.082
15428	1001-20832	USED	1001	2021-12-31 05:29:01.108
16361	1002-13225	USED	1002	2021-12-22 23:10:37.664
13081	1003-3262	USED	1003	2021-12-15 09:43:35.616
7165	1002-10554	USED	1002	2021-12-13 05:12:31.515
2199	1005-3544	USED	1005	2021-12-02 01:52:39.633
