userid	voucherCode	status	campaignID	time
13129	1006-12772	USED	1006	2021-12-04 02:14:46.362
19869	1000-21240	USED	1000	2021-12-06 01:04:37.500
12831	1008-15089	USED	1008	2021-12-18 13:54:09.256
2974	1002-7753	USED	1002	2021-12-25 17:36:00.039
4008	1008-2437	USED	1008	2021-12-17 03:51:07.739
8721	1001-10687	USED	1001	2021-12-12 09:49:51.988
18356	1004-25657	USED	1004	2021-12-23 06:22:51.164
13971	1001-6155	USED	1001	2021-12-05 06:23:00.966
12391	1001-10355	USED	1001	2021-12-24 22:56:39.857
1415	1001-14371	USED	1001	2021-12-03 14:09:03.422
9391	1006-28464	USED	1006	2021-12-28 09:09:43.411
7492	1007-26822	USED	1007	2021-12-07 16:27:47.211
10663	1003-16109	USED	1003	2021-12-17 12:56:01.190
8914	1006-5405	USED	1006	2021-12-02 01:40:36.221
19489	1004-26980	USED	1004	2021-12-28 05:01:25.764
6610	1002-9064	USED	1002	2021-12-26 21:51:48.785
15914	1006-25136	USED	1006	2021-12-13 12:59:45.673
1444	1007-9645	USED	1007	2021-12-11 07:52:22.533
8635	1005-4953	USED	1005	2021-12-16 20:08:11.449
8988	1005-27953	USED	1005	2021-12-05 17:00:43.318
8258	1007-8249	USED	1007	2021-12-25 03:16:57.169
6795	1003-352	USED	1003	2021-12-09 06:28:29.737
5549	1003-8422	USED	1003	2021-12-24 11:25:37.794
9346	1008-19006	USED	1008	2021-12-27 03:33:51.960
4584	1008-22869	USED	1008	2021-12-26 03:09:05.843
1671	1004-26158	USED	1004	2021-12-29 01:02:53.993
480	1002-23969	USED	1002	2021-12-23 01:37:51.195
9375	1006-21108	USED	1006	2021-12-01 22:52:12.860
1690	1002-28956	USED	1002	2021-12-30 14:56:06.513
8525	1004-27714	USED	1004	2021-12-06 21:06:59.277
12199	1003-5690	USED	1003	2021-12-09 22:39:48.042
18520	1005-28557	USED	1005	2021-12-12 13:17:38.400
17477	1009-9224	USED	1009	2021-12-09 11:16:32.595
19022	1004-2374	USED	1004	2021-12-19 18:37:08.838
14027	1005-24202	USED	1005	2021-12-30 23:51:43.757
12447	1008-29302	USED	1008	2021-12-24 10:50:50.690
8118	1003-6293	USED	1003	2021-12-02 12:03:33.046
11816	1003-1783	USED	1003	2021-12-02 13:15:20.158
11000	1002-24356	USED	1002	2021-12-03 16:58:56.464
10732	1008-16441	USED	1008	2021-12-18 11:47:58.636
17332	1005-13455	USED	1005	2021-12-10 04:52:41.636
17328	1008-21869	USED	1008	2021-12-07 02:17:31.288
