userid	voucherCode	status	campaignID	time
19544	1008-28683	USED	1008	2021-12-16 13:11:28.588
10509	1000-19778	USED	1000	2021-12-01 14:03:39.776
17078	1005-17779	USED	1005	2021-12-11 10:10:22.668
15502	1005-19024	USED	1005	2021-12-26 11:15:16.470
8081	1000-3502	USED	1000	2021-12-03 16:43:53.820
15182	1004-2468	USED	1004	2021-12-19 20:09:53.047
16275	1002-27717	USED	1002	2021-12-24 14:00:02.010
15068	1002-20913	USED	1002	2021-12-26 07:13:35.561
17249	1007-10930	USED	1007	2021-12-31 01:28:58.729
10252	1007-23541	USED	1007	2021-12-28 21:56:20.921
7255	1008-9451	USED	1008	2021-12-27 04:27:28.036
8206	1002-16564	USED	1002	2021-12-19 22:43:49.901
6704	1007-12830	USED	1007	2021-12-15 09:25:12.986
15689	1008-14150	USED	1008	2021-12-06 02:07:20.539
8281	1003-6932	USED	1003	2021-12-26 01:30:29.154
17363	1004-21239	USED	1004	2021-12-28 06:36:31.500
7896	1007-22308	USED	1007	2021-12-27 13:45:48.554
10696	1008-19350	USED	1008	2021-12-21 17:52:03.050
2391	1009-16639	USED	1009	2021-12-01 21:03:47.193
10214	1002-19751	USED	1002	2021-12-27 04:40:25.513
13327	1005-16355	USED	1005	2021-12-07 21:01:17.937
12480	1001-18848	USED	1001	2021-12-12 10:06:22.257
13511	1000-6985	USED	1000	2021-12-22 17:18:33.103
13389	1000-17818	USED	1000	2021-12-24 00:06:56.446
18339	1008-25664	USED	1008	2021-12-05 23:37:31.631
19875	1002-20876	USED	1002	2021-12-14 22:32:56.978
12307	1004-28285	USED	1004	2021-12-23 15:19:40.460
2606	1003-9985	USED	1003	2021-12-27 21:46:01.254
7524	1003-15743	USED	1003	2021-12-13 11:36:00.011
8627	1009-12729	USED	1009	2021-12-06 09:34:41.479
14969	1007-25173	USED	1007	2021-12-07 05:15:21.980
17327	1006-6292	USED	1006	2021-12-23 06:41:58.561
15141	1008-7857	USED	1008	2021-12-15 22:45:47.021
4829	1007-22755	USED	1007	2021-12-13 10:31:48.062
15866	1008-11180	USED	1008	2021-12-01 14:08:11.701
