userid	voucherCode	status	campaignID	time
2975	1001-15941	USED	1001	2021-12-05 07:59:29.403
8250	1005-6045	USED	1005	2021-12-31 15:35:39.038
17630	1001-1589	USED	1001	2021-12-05 12:33:53.605
16236	1003-8802	USED	1003	2021-12-19 23:16:20.349
8176	1009-13010	USED	1009	2021-12-13 06:09:15.570
15862	1009-8394	USED	1009	2021-12-12 14:40:34.097
8023	1007-5454	USED	1007	2021-12-17 19:42:03.263
2400	1005-17592	USED	1005	2021-12-26 17:34:41.815
10524	1008-6145	USED	1008	2021-12-10 11:21:13.527
10436	1003-29042	USED	1003	2021-12-08 00:33:14.121
11287	1006-5796	USED	1006	2021-12-07 16:54:13.798
6238	1008-21827	USED	1008	2021-12-21 16:23:32.254
4263	1002-23634	USED	1002	2021-12-07 05:33:54.335
5699	1003-8236	USED	1003	2021-12-01 11:10:20.908
13396	1000-6621	USED	1000	2021-12-05 07:05:35.366
15730	1007-13712	USED	1007	2021-12-12 12:17:50.876
5648	1000-9539	USED	1000	2021-12-16 10:42:55.385
14324	1008-1832	USED	1008	2021-12-24 20:39:18.184
11455	1008-13456	USED	1008	2021-12-18 13:58:59.383
1930	1002-15501	USED	1002	2021-12-11 02:41:49.043
14431	1005-21498	USED	1005	2021-12-28 07:47:55.029
13656	1009-25355	USED	1009	2021-12-07 02:05:14.217
1847	1002-1716	USED	1002	2021-12-30 00:51:13.391
13892	1006-25485	USED	1006	2021-12-16 10:24:12.085
12933	1004-19073	USED	1004	2021-12-06 23:50:28.081
18540	1003-10016	USED	1003	2021-12-28 07:16:08.781
8739	1002-29565	USED	1002	2021-12-16 12:04:29.948
4328	1006-9888	USED	1006	2021-12-14 18:04:31.399
19374	1008-14714	USED	1008	2021-12-31 04:45:05.774
1787	1005-28337	USED	1005	2021-12-29 21:33:07.242
4839	1008-12722	USED	1008	2021-12-07 00:50:22.634
15884	1007-24594	USED	1007	2021-12-22 19:19:49.690
13526	1004-9330	USED	1004	2021-12-26 20:44:11.976
14196	1008-24154	USED	1008	2021-12-18 23:59:22.303
7709	1004-20867	USED	1004	2021-12-05 12:26:15.669
2547	1000-24377	USED	1000	2021-12-04 22:25:00.492
19894	1003-1673	USED	1003	2021-12-31 10:00:31.332
3876	1002-4708	USED	1002	2021-12-25 15:25:06.250
2444	1006-2113	USED	1006	2021-12-07 20:25:07.365
14813	1008-3429	USED	1008	2021-12-10 19:59:59.709
10287	1008-4725	USED	1008	2021-12-04 06:26:52.141
95	1006-3132	USED	1006	2021-12-09 17:43:39.767
7780	1003-19380	USED	1003	2021-12-23 00:10:21.572
15800	1001-5878	USED	1001	2021-12-28 03:26:36.004
4804	1000-8153	USED	1000	2021-12-06 21:35:52.660
