userid	voucherCode	status	campaignID	time
12713	1001-17808	USED	1001	2021-12-04 16:27:24.213
12128	1007-18978	USED	1007	2021-12-19 08:39:34.848
7563	1001-16149	USED	1001	2021-12-20 02:27:15.709
5552	1002-17425	USED	1002	2021-12-07 18:55:29.045
15710	1000-19243	USED	1000	2021-12-26 08:13:29.003
8441	1004-20057	USED	1004	2021-12-02 08:43:22.564
4691	1009-22880	USED	1009	2021-12-20 07:22:54.776
16814	1009-11083	USED	1009	2021-12-10 04:00:36.173
1256	1007-13220	USED	1007	2021-12-29 05:55:16.005
2703	1001-10921	USED	1001	2021-12-04 17:41:34.753
886	1005-24208	USED	1005	2021-12-11 05:23:51.657
7059	1002-22571	USED	1002	2021-12-09 20:49:54.310
18193	1000-2146	USED	1000	2021-12-26 01:27:39.640
1442	1001-8984	USED	1001	2021-12-10 15:04:30.412
7203	1006-29426	USED	1006	2021-12-30 02:01:02.163
13424	1001-20862	USED	1001	2021-12-27 22:28:17.508
16095	1001-25745	USED	1001	2021-12-02 11:49:09.269
14221	1006-27552	USED	1006	2021-12-21 07:33:16.927
18238	1001-11661	USED	1001	2021-12-06 09:17:37.954
7242	1007-28	USED	1007	2021-12-21 02:56:52.713
16850	1001-20606	USED	1001	2021-12-19 07:53:12.458
1451	1005-11467	USED	1005	2021-12-07 04:55:16.665
1888	1003-12403	USED	1003	2021-12-07 18:09:20.696
5877	1001-21189	USED	1001	2021-12-04 15:21:37.350
16171	1002-160	USED	1002	2021-12-14 15:19:39.082
2252	1009-2301	USED	1009	2021-12-02 08:45:12.350
9614	1008-29900	USED	1008	2021-12-13 14:54:06.774
17403	1006-15229	USED	1006	2021-12-16 23:29:13.090
762	1003-27832	USED	1003	2021-12-26 00:38:50.834
1683	1008-7434	USED	1008	2021-12-21 10:12:57.405
16990	1005-14734	USED	1005	2021-12-17 03:30:23.471
2286	1001-2824	USED	1001	2021-12-26 02:14:17.035
3917	1000-24482	USED	1000	2021-12-28 06:45:44.681
8939	1003-8823	USED	1003	2021-12-27 02:48:46.487
5685	1003-10723	USED	1003	2021-12-27 12:08:30.698
16904	1004-22976	USED	1004	2021-12-06 04:47:33.629
11951	1002-5461	USED	1002	2021-12-20 19:51:15.430
10860	1003-21485	USED	1003	2021-12-24 22:17:47.448
5513	1009-7509	USED	1009	2021-12-10 09:36:37.110
16264	1001-195	USED	1001	2021-12-24 00:43:42.630
12500	1000-15285	USED	1000	2021-12-27 10:13:46.960
7064	1000-27683	USED	1000	2021-12-28 04:34:02.914
10204	1005-26014	USED	1005	2021-12-19 06:07:01.499
13395	1001-1213	USED	1001	2021-12-17 16:18:12.058
10093	1004-2120	USED	1004	2021-12-11 20:37:24.939
11933	1004-4830	USED	1004	2021-12-13 06:53:32.616
16748	1004-28698	USED	1004	2021-12-08 05:32:43.278
6983	1003-7028	USED	1003	2021-12-08 15:54:57.902
8041	1004-12213	USED	1004	2021-12-16 15:10:30.551
3197	1006-17553	USED	1006	2021-12-01 06:29:28.440
1976	1006-11481	USED	1006	2021-12-10 05:20:09.085
3687	1000-8536	USED	1000	2021-12-13 18:41:20.780
13408	1002-6933	USED	1002	2021-12-18 18:47:00.068
8176	1008-4681	USED	1008	2021-12-17 07:29:48.445
