userid	voucherCode	status	campaignID	time
15444	1006-29784	USED	1006	2021-12-15 06:28:16.716
15323	1002-21944	USED	1002	2021-12-08 06:29:52.232
4517	1001-12658	USED	1001	2021-12-11 04:03:06.197
2943	1000-8356	USED	1000	2021-12-10 01:22:25.303
13011	1005-7027	USED	1005	2021-12-18 23:06:39.105
12029	1002-15653	USED	1002	2021-12-06 05:01:55.593
13531	1004-10530	USED	1004	2021-12-26 03:16:08.394
12424	1004-7706	USED	1004	2021-12-16 10:20:11.152
11442	1006-9350	USED	1006	2021-12-11 00:41:56.015
19363	1000-20823	USED	1000	2021-12-07 08:26:14.976
8599	1004-14890	USED	1004	2021-12-28 10:16:44.909
12274	1005-12422	USED	1005	2021-12-26 22:24:55.216
5741	1006-16402	USED	1006	2021-12-23 13:39:55.708
17655	1002-11225	USED	1002	2021-12-09 18:07:57.207
16258	1009-12498	USED	1009	2021-12-17 19:43:39.797
16512	1000-28197	USED	1000	2021-12-06 03:16:41.770
1729	1009-20108	USED	1009	2021-12-31 03:54:43.670
14833	1007-27430	USED	1007	2021-12-12 01:47:38.081
17063	1004-6623	USED	1004	2021-12-14 16:15:39.071
11345	1009-13078	USED	1009	2021-12-26 01:14:37.277
13882	1002-1127	USED	1002	2021-12-29 08:06:20.951
11327	1008-18726	USED	1008	2021-12-24 12:26:26.316
9816	1006-5919	USED	1006	2021-12-25 21:45:44.348
16608	1008-19487	USED	1008	2021-12-08 12:12:23.590
7145	1005-8676	USED	1005	2021-12-07 15:56:18.287
7636	1001-10449	USED	1001	2021-12-18 07:17:57.248
9486	1004-17618	USED	1004	2021-12-26 20:44:39.695
7457	1004-2402	USED	1004	2021-12-26 16:18:04.738
17682	1003-9569	USED	1003	2021-12-08 22:58:31.031
774	1001-9887	USED	1001	2021-12-08 00:13:04.500
238	1001-3068	USED	1001	2021-12-26 19:36:08.975
8935	1007-8911	USED	1007	2021-12-18 01:19:44.127
17933	1007-28403	USED	1007	2021-12-20 08:41:41.515
18168	1002-836	USED	1002	2021-12-23 15:42:04.742
18349	1005-547	USED	1005	2021-12-29 02:01:12.357
11692	1005-4250	USED	1005	2021-12-30 01:20:39.848
18573	1006-26567	USED	1006	2021-12-29 03:49:47.010
11726	1002-26424	USED	1002	2021-12-06 08:17:23.071
13899	1000-20028	USED	1000	2021-12-17 00:17:43.775
377	1001-20252	USED	1001	2021-12-29 10:28:15.397
3812	1004-11081	USED	1004	2021-12-21 18:39:08.646
2343	1004-12686	USED	1004	2021-12-02 12:53:36.084
18592	1000-2853	USED	1000	2021-12-18 16:20:17.583
343	1003-12506	USED	1003	2021-12-20 12:12:14.893
6875	1006-18260	USED	1006	2021-12-29 01:08:18.435
15563	1003-26576	USED	1003	2021-12-13 02:44:13.593
18039	1008-14265	USED	1008	2021-12-16 20:13:31.778
5020	1003-29014	USED	1003	2021-12-05 00:58:22.757
11706	1003-16517	USED	1003	2021-12-30 16:24:25.438
15806	1001-12866	USED	1001	2021-12-27 17:11:49.281
16375	1006-18358	USED	1006	2021-12-19 00:44:45.945
7732	1006-2628	USED	1006	2021-12-21 12:47:05.597
