userid	voucherCode	status	campaignID	time
17548	1009-10624	USED	1009	2021-12-24 18:57:17.116
11438	1002-5323	USED	1002	2021-12-03 22:11:27.034
16726	1007-7003	USED	1007	2021-12-19 00:30:55.949
18950	1005-4301	USED	1005	2021-12-01 19:05:15.232
17490	1008-14393	USED	1008	2021-12-11 14:27:58.912
15774	1006-13411	USED	1006	2021-12-15 14:15:29.727
4580	1000-12677	USED	1000	2021-12-14 05:48:42.599
9188	1001-14428	USED	1001	2021-12-25 01:32:56.323
9139	1004-27890	USED	1004	2021-12-22 06:20:20.685
13823	1000-1817	USED	1000	2021-12-25 20:25:51.177
10533	1004-17835	USED	1004	2021-12-12 03:54:01.306
10588	1004-4170	USED	1004	2021-12-05 18:06:33.596
11945	1003-14441	USED	1003	2021-12-05 02:18:07.896
8634	1003-21832	USED	1003	2021-12-11 08:30:26.737
3797	1002-7072	USED	1002	2021-12-02 20:50:16.251
14592	1005-4698	USED	1005	2021-12-06 08:48:25.183
12314	1003-15504	USED	1003	2021-12-09 17:16:33.988
3240	1003-14479	USED	1003	2021-12-21 01:57:56.190
14029	1005-17255	USED	1005	2021-12-17 22:36:52.522
11170	1006-26597	USED	1006	2021-12-07 15:18:30.564
16985	1005-3644	USED	1005	2021-12-11 00:47:50.871
7507	1004-4025	USED	1004	2021-12-08 15:20:12.625
3982	1001-27554	USED	1001	2021-12-24 21:51:13.257
10296	1000-23334	USED	1000	2021-12-22 06:03:03.138
14142	1000-4737	USED	1000	2021-12-27 09:25:08.134
3708	1009-25519	USED	1009	2021-12-05 22:06:13.260
15082	1005-3016	USED	1005	2021-12-01 21:16:57.447
8727	1009-18876	USED	1009	2021-12-14 16:24:46.369
12440	1007-23660	USED	1007	2021-12-16 18:42:10.224
7824	1001-21937	USED	1001	2021-12-04 08:04:21.568
9164	1000-26923	USED	1000	2021-12-14 03:20:46.241
4761	1006-3814	USED	1006	2021-12-07 10:42:10.271
16933	1000-6450	USED	1000	2021-12-30 03:56:23.023
17125	1001-18999	USED	1001	2021-12-24 13:50:21.909
4283	1008-19168	USED	1008	2021-12-25 18:19:53.003
4347	1002-17475	USED	1002	2021-12-04 13:14:17.081
7214	1005-16964	USED	1005	2021-12-01 21:19:38.955
10990	1003-5348	USED	1003	2021-12-27 01:31:52.412
17296	1004-16740	USED	1004	2021-12-18 12:37:14.432
17787	1007-19254	USED	1007	2021-12-12 20:44:56.518
16930	1008-3611	USED	1008	2021-12-27 18:12:55.493
9331	1008-29022	USED	1008	2021-12-03 00:19:38.265
15819	1001-1486	USED	1001	2021-12-02 23:08:30.035
2406	1008-4942	USED	1008	2021-12-25 10:46:01.651
457	1004-13996	USED	1004	2021-12-28 10:42:22.089
13291	1003-8452	USED	1003	2021-12-14 22:15:57.712
17321	1005-23159	USED	1005	2021-12-17 04:00:06.058
11193	1006-18294	USED	1006	2021-12-15 04:06:03.384
7936	1007-10404	USED	1007	2021-12-03 11:20:07.053
16432	1003-23615	USED	1003	2021-12-22 12:51:02.332
19393	1004-16221	USED	1004	2021-12-02 01:09:34.954
3262	1005-13522	USED	1005	2021-12-05 18:24:45.849
6473	1000-13006	USED	1000	2021-12-27 09:13:59.442
12330	1000-25093	USED	1000	2021-12-24 13:28:55.835
16111	1006-22096	USED	1006	2021-12-27 14:51:20.815
3613	1003-11352	USED	1003	2021-12-11 15:18:19.697
8946	1001-27555	USED	1001	2021-12-28 02:32:33.237
7666	1003-23597	USED	1003	2021-12-10 03:18:19.707
11231	1005-22393	USED	1005	2021-12-02 08:30:25.874
14695	1002-10217	USED	1002	2021-12-03 01:13:59.332
19912	1004-15391	USED	1004	2021-12-27 01:36:00.594
5624	1005-14694	USED	1005	2021-12-27 18:17:05.367
830	1001-15583	USED	1001	2021-12-20 23:41:52.832
4184	1003-6148	USED	1003	2021-12-29 13:22:53.111
1273	1006-10668	USED	1006	2021-12-27 22:00:37.369
7425	1003-3729	USED	1003	2021-12-31 22:02:30.254
13455	1008-24413	USED	1008	2021-12-16 17:45:15.287
12015	1008-4844	USED	1008	2021-12-16 17:14:59.104
2105	1006-23479	USED	1006	2021-12-16 06:00:56.505
13057	1009-9205	USED	1009	2021-12-27 13:37:19.474
5401	1003-11357	USED	1003	2021-12-02 14:07:50.598
18083	1002-19806	USED	1002	2021-12-05 04:54:11.994
7565	1009-17032	USED	1009	2021-12-14 16:38:47.205
19096	1002-21564	USED	1002	2021-12-30 03:30:17.977
12755	1005-11169	USED	1005	2021-12-07 04:52:49.208
16178	1009-18542	USED	1009	2021-12-09 13:04:15.350
7315	1009-20502	USED	1009	2021-12-01 23:35:48.514
11078	1001-15226	USED	1001	2021-12-19 21:58:41.638
19349	1004-13591	USED	1004	2021-12-11 12:33:55.463
8312	1004-8211	USED	1004	2021-12-16 07:15:46.310
17363	1006-27188	USED	1006	2021-12-16 07:17:39.543
19161	1008-11290	USED	1008	2021-12-04 09:11:01.086
17373	1001-19156	USED	1001	2021-12-21 18:18:12.269
17465	1003-154	USED	1003	2021-12-10 17:07:06.392
3706	1003-16194	USED	1003	2021-12-27 00:50:11.925
13800	1001-11118	USED	1001	2021-12-14 06:53:16.616
10230	1005-3413	USED	1005	2021-12-26 00:54:32.198
3407	1004-7079	USED	1004	2021-12-11 06:54:57.194
2636	1000-2842	USED	1000	2021-12-27 01:23:25.954
13312	1004-3138	USED	1004	2021-12-24 02:38:51.818
10629	1000-12390	USED	1000	2021-12-17 20:44:48.596
19716	1009-28135	USED	1009	2021-12-25 07:05:06.509
5727	1007-20916	USED	1007	2021-12-21 21:54:34.574
13	1001-19671	USED	1001	2021-12-24 04:38:37.835
9626	1005-5628	USED	1005	2021-12-06 04:02:26.745
5816	1003-2191	USED	1003	2021-12-28 22:41:52.349
14136	1009-10625	USED	1009	2021-12-10 14:30:21.318
7739	1003-10650	USED	1003	2021-12-14 01:29:29.573
17326	1007-11380	USED	1007	2021-12-12 01:28:23.607
11965	1002-1578	USED	1002	2021-12-05 12:26:44.488
15051	1003-17227	USED	1003	2021-12-03 21:47:16.774
15424	1009-3204	USED	1009	2021-12-29 17:07:42.554
10151	1007-19134	USED	1007	2021-12-12 10:42:17.547
14977	1005-16377	USED	1005	2021-12-10 01:52:00.669
12939	1001-4175	USED	1001	2021-12-21 15:48:57.360
8406	1003-2989	USED	1003	2021-12-19 01:32:58.260
150	1006-15343	USED	1006	2021-12-06 23:06:47.631
14868	1009-441	USED	1009	2021-12-12 00:45:42.387
18386	1008-21256	USED	1008	2021-12-05 18:58:04.280
8205	1008-4300	USED	1008	2021-12-14 13:59:51.519
9250	1002-22577	USED	1002	2021-12-31 21:32:17.201
1003	1002-8831	USED	1002	2021-12-23 08:07:13.880
2370	1006-332	USED	1006	2021-12-11 00:14:49.972
9456	1000-27775	USED	1000	2021-12-03 09:00:29.091
948	1005-25996	USED	1005	2021-12-28 02:52:20.647
4709	1006-15034	USED	1006	2021-12-06 10:34:54.725
