userid	voucherCode	status	campaignID	time
8399	1006-11504	USED	1006	2021-12-25 12:38:34.794
3154	1001-25001	USED	1001	2021-12-12 06:11:03.536
10343	1001-6465	USED	1001	2021-12-25 04:25:12.658
9674	1003-18407	USED	1003	2021-12-29 02:47:09.678
12432	1000-22785	USED	1000	2021-12-25 19:31:55.170
18372	1008-10356	USED	1008	2021-12-01 20:13:21.386
11744	1000-375	USED	1000	2021-12-12 02:58:01.550
12107	1002-23517	USED	1002	2021-12-14 02:52:18.029
4194	1003-14788	USED	1003	2021-12-03 00:21:39.582
833	1008-3802	USED	1008	2021-12-25 04:36:17.201
7362	1008-20685	USED	1008	2021-12-02 00:18:38.351
8236	1004-14100	USED	1004	2021-12-04 07:01:09.289
8832	1000-2360	USED	1000	2021-12-31 22:25:52.890
18622	1005-13212	USED	1005	2021-12-09 18:07:38.363
18746	1008-5807	USED	1008	2021-12-16 06:03:05.584
5339	1007-27608	USED	1007	2021-12-30 17:50:57.927
13481	1005-9172	USED	1005	2021-12-09 09:40:07.779
1190	1004-3708	USED	1004	2021-12-28 15:40:29.051
7544	1005-20952	USED	1005	2021-12-19 19:22:23.591
8665	1008-27315	USED	1008	2021-12-21 21:56:53.920
19691	1003-6760	USED	1003	2021-12-11 01:06:58.098
12287	1009-994	USED	1009	2021-12-15 07:58:43.512
3662	1007-13870	USED	1007	2021-12-23 22:20:20.003
4909	1000-13613	USED	1000	2021-12-03 09:13:04.005
11847	1008-10756	USED	1008	2021-12-25 11:47:23.799
12009	1001-17582	USED	1001	2021-12-15 06:38:10.878
369	1009-6718	USED	1009	2021-12-09 12:29:39.944
4032	1003-1048	USED	1003	2021-12-09 02:47:07.895
14124	1001-28608	USED	1001	2021-12-17 08:05:17.409
17842	1009-7511	USED	1009	2021-12-10 10:59:07.295
15030	1000-18840	USED	1000	2021-12-18 01:50:18.322
14125	1007-5338	USED	1007	2021-12-29 19:42:02.635
7639	1005-22092	USED	1005	2021-12-26 11:21:03.905
10806	1001-28431	USED	1001	2021-12-10 00:18:28.538
9663	1006-18553	USED	1006	2021-12-29 08:29:16.215
3222	1003-24559	USED	1003	2021-12-28 23:43:17.881
1726	1008-22929	USED	1008	2021-12-13 21:47:56.112
13815	1001-17770	USED	1001	2021-12-01 15:03:30.727
19540	1002-17026	USED	1002	2021-12-18 16:55:03.094
16310	1006-24999	USED	1006	2021-12-26 23:47:25.596
2779	1007-5680	USED	1007	2021-12-07 08:24:55.632
7977	1001-27699	USED	1001	2021-12-15 06:46:17.539
5424	1002-29122	USED	1002	2021-12-06 18:14:21.663
14586	1003-25133	USED	1003	2021-12-19 09:26:02.464
13029	1003-22320	USED	1003	2021-12-04 08:02:51.669
15567	1005-7329	USED	1005	2021-12-15 13:57:32.083
14466	1002-7891	USED	1002	2021-12-15 03:05:51.932
18476	1009-11566	USED	1009	2021-12-26 15:28:49.967
13254	1001-10857	USED	1001	2021-12-19 03:14:38.860
6998	1008-4013	USED	1008	2021-12-09 11:44:39.066
18337	1000-6476	USED	1000	2021-12-03 08:46:21.516
16737	1000-22529	USED	1000	2021-12-24 08:32:30.094
2254	1001-21051	USED	1001	2021-12-07 20:25:02.710
19163	1006-22497	USED	1006	2021-12-19 12:27:29.737
14978	1009-14425	USED	1009	2021-12-28 18:24:02.893
15210	1009-12455	USED	1009	2021-12-30 09:26:24.557
2307	1003-3797	USED	1003	2021-12-12 20:55:51.173
5308	1001-25304	USED	1001	2021-12-07 18:12:18.141
11796	1003-15771	USED	1003	2021-12-24 05:46:57.541
2718	1003-20934	USED	1003	2021-12-15 21:22:49.974
5204	1009-14378	USED	1009	2021-12-29 03:33:17.683
13549	1009-1615	USED	1009	2021-12-12 08:03:50.493
2500	1006-28225	USED	1006	2021-12-24 19:12:21.693
13643	1000-25597	USED	1000	2021-12-12 22:37:17.576
14058	1005-26603	USED	1005	2021-12-11 16:15:30.161
7430	1004-24074	USED	1004	2021-12-23 17:46:05.353
7128	1002-1915	USED	1002	2021-12-27 09:59:28.381
12646	1006-21703	USED	1006	2021-12-21 09:07:59.962
9863	1005-6548	USED	1005	2021-12-11 17:19:46.469
8205	1004-9454	USED	1004	2021-12-17 17:09:11.044
2916	1008-4995	USED	1008	2021-12-17 14:39:30.096
16604	1002-1655	USED	1002	2021-12-16 11:48:10.336
11684	1005-20303	USED	1005	2021-12-21 06:21:55.201
9818	1008-21285	USED	1008	2021-12-19 03:13:28.251
3463	1002-13852	USED	1002	2021-12-11 02:21:27.716
5790	1007-13435	USED	1007	2021-12-25 09:44:02.352
18840	1009-16655	USED	1009	2021-12-01 17:11:50.495
9003	1002-27729	USED	1002	2021-12-27 20:55:51.858
19486	1001-6667	USED	1001	2021-12-12 12:37:27.153
16404	1008-14437	USED	1008	2021-12-01 09:25:55.438
7770	1001-29442	USED	1001	2021-12-14 07:26:23.132
14189	1004-437	USED	1004	2021-12-10 17:54:10.157
12690	1002-10494	USED	1002	2021-12-01 14:23:39.285
17022	1000-6245	USED	1000	2021-12-11 23:29:25.535
19494	1002-16613	USED	1002	2021-12-12 20:46:05.481
2386	1006-12117	USED	1006	2021-12-05 19:20:46.137
1156	1005-10548	USED	1005	2021-12-31 06:04:50.381
6471	1007-1940	USED	1007	2021-12-28 02:52:24.000
1204	1003-1417	USED	1003	2021-12-25 23:16:44.222
9241	1005-5944	USED	1005	2021-12-20 01:02:14.829
13233	1005-18484	USED	1005	2021-12-12 23:18:21.998
6307	1006-12701	USED	1006	2021-12-23 05:42:26.240
2716	1002-9616	USED	1002	2021-12-31 10:02:22.773
1325	1003-20214	USED	1003	2021-12-27 22:14:36.363
12950	1006-873	USED	1006	2021-12-08 02:43:07.944
15246	1000-9233	USED	1000	2021-12-14 23:21:33.721
17772	1005-23054	USED	1005	2021-12-19 02:37:01.755
18967	1007-21452	USED	1007	2021-12-12 14:25:04.008
16812	1007-11518	USED	1007	2021-12-19 02:11:15.936
645	1008-20149	USED	1008	2021-12-23 14:33:14.117
9435	1006-5909	USED	1006	2021-12-21 12:42:22.395
11070	1001-25973	USED	1001	2021-12-21 01:12:37.056
2368	1001-5991	USED	1001	2021-12-15 08:01:56.569
4578	1004-6907	USED	1004	2021-12-13 23:45:11.598
9119	1003-26596	USED	1003	2021-12-22 15:31:42.534
1632	1002-23170	USED	1002	2021-12-28 07:49:08.095
15413	1003-1520	USED	1003	2021-12-26 05:16:17.876
7542	1002-25953	USED	1002	2021-12-24 21:31:21.487
12765	1008-8978	USED	1008	2021-12-24 22:37:54.796
16173	1008-6491	USED	1008	2021-12-26 18:08:01.289
16116	1001-2210	USED	1001	2021-12-17 19:50:40.440
17811	1004-9457	USED	1004	2021-12-21 05:01:55.361
1695	1005-10188	USED	1005	2021-12-11 09:49:14.578
10070	1008-7183	USED	1008	2021-12-25 08:57:07.820
6235	1006-25595	USED	1006	2021-12-26 21:25:31.756
14110	1008-8179	USED	1008	2021-12-29 15:07:48.568
11883	1004-12570	USED	1004	2021-12-30 15:05:05.359
17084	1000-2691	USED	1000	2021-12-13 14:21:12.854
18221	1007-6126	USED	1007	2021-12-06 06:14:10.539
18291	1009-27689	USED	1009	2021-12-17 20:08:38.237
1914	1006-15128	USED	1006	2021-12-24 11:58:27.425
15825	1002-16197	USED	1002	2021-12-10 22:32:17.573
16747	1003-17054	USED	1003	2021-12-16 03:52:22.243
16434	1004-24606	USED	1004	2021-12-12 18:02:07.902
11705	1007-13138	USED	1007	2021-12-15 17:00:04.173
8008	1005-4720	USED	1005	2021-12-11 22:01:52.637
2909	1003-3576	USED	1003	2021-12-29 03:35:39.873
9283	1000-21803	USED	1000	2021-12-05 04:44:04.639
11602	1004-4715	USED	1004	2021-12-26 10:46:27.058
2236	1006-19936	USED	1006	2021-12-22 06:19:26.918
5566	1006-4994	USED	1006	2021-12-10 03:20:00.661
4882	1001-5168	USED	1001	2021-12-05 06:13:19.665
10552	1004-13940	USED	1004	2021-12-13 09:26:34.704
3393	1009-12504	USED	1009	2021-12-20 02:13:55.231
12606	1006-1506	USED	1006	2021-12-22 20:11:00.372
16294	1009-14084	USED	1009	2021-12-14 15:50:47.588
85	1006-26692	USED	1006	2021-12-21 07:02:34.795
8540	1004-1323	USED	1004	2021-12-04 00:18:55.960
4825	1008-25980	USED	1008	2021-12-27 15:59:35.666
17577	1004-2740	USED	1004	2021-12-23 19:18:22.527
5971	1004-9979	USED	1004	2021-12-09 09:58:25.686
12941	1000-28953	USED	1000	2021-12-14 15:23:16.852
11155	1008-25891	USED	1008	2021-12-16 11:37:11.482
6767	1000-14607	USED	1000	2021-12-25 11:27:40.893
14067	1002-26097	USED	1002	2021-12-12 19:36:15.716
12241	1002-18497	USED	1002	2021-12-14 08:45:09.192
7405	1000-24833	USED	1000	2021-12-31 08:41:43.424
15562	1000-4756	USED	1000	2021-12-24 02:38:51.752
6465	1007-19807	USED	1007	2021-12-11 11:44:21.321
5119	1008-21561	USED	1008	2021-12-19 09:35:59.133
18926	1009-24529	USED	1009	2021-12-06 21:37:13.894
2329	1007-25417	USED	1007	2021-12-26 03:24:56.190
17249	1009-21914	USED	1009	2021-12-11 13:19:14.214
14507	1008-7348	USED	1008	2021-12-21 19:13:39.540
2318	1008-13292	USED	1008	2021-12-11 16:16:19.619
15207	1007-18440	USED	1007	2021-12-19 16:51:07.713
2390	1003-23737	USED	1003	2021-12-07 19:54:14.560
2598	1006-17199	USED	1006	2021-12-15 23:25:34.378
15442	1004-7420	USED	1004	2021-12-03 06:23:46.925
13409	1009-18483	USED	1009	2021-12-02 00:41:58.527
6383	1007-19827	USED	1007	2021-12-08 09:35:45.661
8415	1001-116	USED	1001	2021-12-17 13:12:40.501
12961	1000-3985	USED	1000	2021-12-13 06:22:23.769
6812	1009-15017	USED	1009	2021-12-31 20:58:54.192
780	1003-11098	USED	1003	2021-12-31 12:26:39.080
18098	1003-14772	USED	1003	2021-12-01 23:37:51.005
172	1007-1328	USED	1007	2021-12-29 12:58:09.059
9519	1001-2439	USED	1001	2021-12-16 16:53:49.786
3306	1007-8313	USED	1007	2021-12-14 14:52:14.959
18449	1008-3964	USED	1008	2021-12-29 15:58:16.868
18129	1006-17644	USED	1006	2021-12-30 13:43:57.109
9760	1007-837	USED	1007	2021-12-05 21:08:05.847
13139	1001-10308	USED	1001	2021-12-05 03:30:03.894
15959	1000-23179	USED	1000	2021-12-22 07:10:03.152
