userid	voucherCode	status	campaignID	time
9145	1008-22329	USED	1008	2021-12-06 03:54:59.159
9083	1001-3203	USED	1001	2021-12-07 20:59:39.701
13855	1007-16674	USED	1007	2021-12-07 00:39:29.743
17327	1009-20792	USED	1009	2021-12-17 05:13:38.857
4314	1000-6360	USED	1000	2021-12-16 08:37:52.091
15789	1000-13402	USED	1000	2021-12-19 18:24:54.443
3484	1005-13355	USED	1005	2021-12-27 02:33:27.644
17625	1009-19221	USED	1009	2021-12-03 18:27:29.835
9262	1005-5023	USED	1005	2021-12-16 23:21:57.274
15330	1008-2996	USED	1008	2021-12-19 14:37:02.385
3728	1008-10626	USED	1008	2021-12-23 03:16:12.894
6921	1007-12988	USED	1007	2021-12-13 04:55:13.382
6661	1005-13547	USED	1005	2021-12-16 14:57:51.287
12808	1005-7191	USED	1005	2021-12-06 23:37:00.218
14700	1006-824	USED	1006	2021-12-07 07:18:25.642
18539	1006-21314	USED	1006	2021-12-09 10:57:10.824
3045	1008-9289	USED	1008	2021-12-02 05:10:56.714
6237	1001-18718	USED	1001	2021-12-26 17:15:00.104
5013	1003-24737	USED	1003	2021-12-25 07:27:38.918
12927	1005-4272	USED	1005	2021-12-29 12:59:05.216
4351	1008-15387	USED	1008	2021-12-15 13:26:08.358
1007	1005-3525	USED	1005	2021-12-22 11:20:22.320
4707	1004-28071	USED	1004	2021-12-10 05:04:16.314
16556	1007-12136	USED	1007	2021-12-13 19:39:24.246
4059	1005-29032	USED	1005	2021-12-01 00:33:12.529
15047	1009-25134	USED	1009	2021-12-23 08:33:25.984
8736	1009-2784	USED	1009	2021-12-30 11:27:05.991
1052	1001-8630	USED	1001	2021-12-25 23:16:05.251
9946	1002-9472	USED	1002	2021-12-19 09:24:43.315
14310	1004-10773	USED	1004	2021-12-18 13:02:16.780
7622	1000-20970	USED	1000	2021-12-10 01:57:45.702
19630	1000-7793	USED	1000	2021-12-25 09:03:05.893
7790	1003-1936	USED	1003	2021-12-03 14:07:21.601
9645	1009-20573	USED	1009	2021-12-26 06:48:07.596
14547	1005-11765	USED	1005	2021-12-10 11:08:27.880
18930	1009-6527	USED	1009	2021-12-12 13:15:54.621
11836	1006-15463	USED	1006	2021-12-31 01:02:06.358
19366	1004-26685	USED	1004	2021-12-19 19:55:19.793
10871	1000-17514	USED	1000	2021-12-30 02:19:27.181
14056	1006-12248	USED	1006	2021-12-27 13:48:27.169
10897	1007-14640	USED	1007	2021-12-02 13:01:35.141
4400	1005-9687	USED	1005	2021-12-31 10:06:53.470
14978	1009-23576	USED	1009	2021-12-27 00:17:09.976
17158	1000-14970	USED	1000	2021-12-02 11:18:11.573
19392	1007-21297	USED	1007	2021-12-26 14:17:50.620
7377	1009-9989	USED	1009	2021-12-25 09:11:18.355
12117	1005-23393	USED	1005	2021-12-11 22:32:20.218
19342	1004-26578	USED	1004	2021-12-28 00:42:18.133
8710	1005-6436	USED	1005	2021-12-19 09:51:27.282
11946	1002-12873	USED	1002	2021-12-22 19:45:33.345
5784	1008-7690	USED	1008	2021-12-10 05:20:44.943
9646	1007-2708	USED	1007	2021-12-25 21:44:58.050
16851	1009-24253	USED	1009	2021-12-27 14:16:38.496
8916	1007-24931	USED	1007	2021-12-10 11:53:47.030
6015	1006-14533	USED	1006	2021-12-11 17:03:20.682
10554	1007-27144	USED	1007	2021-12-01 12:33:41.929
104	1004-20892	USED	1004	2021-12-13 20:29:40.619
18979	1008-21234	USED	1008	2021-12-21 22:37:28.323
8153	1009-5022	USED	1009	2021-12-08 13:34:53.418
17687	1008-10090	USED	1008	2021-12-25 04:52:04.175
11009	1003-13195	USED	1003	2021-12-04 21:13:47.073
18808	1008-10397	USED	1008	2021-12-07 22:16:52.227
949	1000-241	USED	1000	2021-12-25 19:34:05.476
13248	1008-18829	USED	1008	2021-12-28 06:18:21.276
2424	1004-16882	USED	1004	2021-12-28 09:08:51.172
11482	1005-28349	USED	1005	2021-12-02 16:00:05.851
16755	1000-25842	USED	1000	2021-12-17 12:10:21.416
14366	1009-26774	USED	1009	2021-12-28 15:33:09.436
4258	1001-16678	USED	1001	2021-12-14 18:08:38.829
4730	1001-22915	USED	1001	2021-12-30 16:29:53.849
2884	1007-28885	USED	1007	2021-12-26 23:00:47.594
12444	1006-26908	USED	1006	2021-12-06 06:06:33.682
17771	1000-26392	USED	1000	2021-12-11 11:54:12.009
14154	1009-9254	USED	1009	2021-12-16 11:09:02.047
32	1002-24091	USED	1002	2021-12-13 08:24:26.219
17112	1005-4908	USED	1005	2021-12-14 11:41:25.901
18901	1005-23252	USED	1005	2021-12-15 21:32:34.023
15684	1001-4319	USED	1001	2021-12-01 23:58:30.776
15304	1009-16003	USED	1009	2021-12-25 18:02:11.569
16515	1002-26728	USED	1002	2021-12-20 21:59:06.129
9419	1000-155	USED	1000	2021-12-09 16:12:51.725
13395	1004-10955	USED	1004	2021-12-16 19:20:36.618
4864	1003-21635	USED	1003	2021-12-02 23:44:45.401
5437	1005-7567	USED	1005	2021-12-04 11:01:42.639
9222	1008-16333	USED	1008	2021-12-30 15:15:38.147
13517	1006-4642	USED	1006	2021-12-07 20:58:46.314
6508	1002-11254	USED	1002	2021-12-19 07:55:45.917
8733	1004-7331	USED	1004	2021-12-03 16:31:37.232
2063	1007-2489	USED	1007	2021-12-18 17:39:02.762
14269	1005-23782	USED	1005	2021-12-08 14:41:42.086
17323	1008-25400	USED	1008	2021-12-12 01:14:45.837
20000	1004-2144	USED	1004	2021-12-03 11:10:31.904
16574	1008-27489	USED	1008	2021-12-15 00:45:59.731
3735	1005-27990	USED	1005	2021-12-16 04:15:38.324
12328	1003-17977	USED	1003	2021-12-29 06:46:55.352
1441	1004-20513	USED	1004	2021-12-27 19:02:42.149
12354	1009-7530	USED	1009	2021-12-12 06:31:51.702
10752	1008-29644	USED	1008	2021-12-15 03:08:22.509
