userid	voucherCode	status	campaignID	time
12266	1008-24115	USED	1008	2021-12-14 15:51:40.936
11427	1009-19859	USED	1009	2021-12-31 01:40:32.462
6495	1006-21818	USED	1006	2021-12-10 14:55:58.371
5500	1002-27479	USED	1002	2021-12-13 00:09:28.868
3184	1007-26940	USED	1007	2021-12-04 03:32:48.886
7636	1003-27389	USED	1003	2021-12-13 13:36:54.880
3497	1005-25561	USED	1005	2021-12-10 06:30:41.169
8683	1002-16157	USED	1002	2021-12-25 18:18:42.007
13028	1002-23197	USED	1002	2021-12-23 15:01:49.880
1200	1007-21382	USED	1007	2021-12-08 22:58:28.761
10392	1006-26037	USED	1006	2021-12-23 02:53:54.655
17970	1009-15288	USED	1009	2021-12-15 06:30:53.690
13509	1000-29726	USED	1000	2021-12-11 09:56:52.310
19642	1001-3169	USED	1001	2021-12-19 03:09:43.161
14859	1008-29342	USED	1008	2021-12-04 05:56:21.964
1139	1008-21746	USED	1008	2021-12-02 01:49:02.951
8220	1001-6691	USED	1001	2021-12-06 00:33:37.831
12261	1008-1034	USED	1008	2021-12-21 16:18:18.086
19636	1002-13366	USED	1002	2021-12-02 17:26:41.944
14603	1004-841	USED	1004	2021-12-04 16:17:01.162
12968	1006-13638	USED	1006	2021-12-22 22:08:22.549
12519	1007-14798	USED	1007	2021-12-19 02:07:07.585
15233	1006-11038	USED	1006	2021-12-30 15:23:53.905
745	1000-27383	USED	1000	2021-12-21 21:02:52.935
2143	1003-23704	USED	1003	2021-12-30 04:24:47.541
9375	1001-21277	USED	1001	2021-12-19 14:01:34.284
14965	1004-25385	USED	1004	2021-12-04 20:11:36.023
17716	1000-14344	USED	1000	2021-12-06 11:01:36.915
13686	1005-19397	USED	1005	2021-12-06 19:13:03.709
5636	1005-19121	USED	1005	2021-12-09 20:38:27.472
15041	1006-26027	USED	1006	2021-12-19 21:23:42.518
14167	1007-3366	USED	1007	2021-12-18 10:57:03.416
1196	1009-25202	USED	1009	2021-12-01 07:53:48.939
5378	1005-27290	USED	1005	2021-12-26 15:12:18.338
13814	1008-18641	USED	1008	2021-12-16 06:26:35.375
14195	1003-18431	USED	1003	2021-12-02 11:31:21.506
4290	1006-9429	USED	1006	2021-12-02 16:13:24.854
10933	1003-26331	USED	1003	2021-12-11 13:59:35.586
3651	1001-20536	USED	1001	2021-12-15 17:27:37.929
17370	1008-11282	USED	1008	2021-12-19 18:06:21.489
6197	1003-18787	USED	1003	2021-12-14 12:17:43.913
14816	1005-627	USED	1005	2021-12-25 00:36:50.363
4410	1009-22452	USED	1009	2021-12-05 13:21:35.586
14812	1005-9135	USED	1005	2021-12-05 00:01:28.537
19100	1000-987	USED	1000	2021-12-03 02:32:14.299
2063	1002-15481	USED	1002	2021-12-24 16:29:45.596
3263	1001-5058	USED	1001	2021-12-11 22:52:04.755
15880	1006-13917	USED	1006	2021-12-09 04:41:07.877
14039	1003-24232	USED	1003	2021-12-10 19:03:55.969
12037	1000-16525	USED	1000	2021-12-05 11:08:44.041
7990	1000-658	USED	1000	2021-12-03 23:48:10.928
1677	1006-20338	USED	1006	2021-12-19 01:07:41.876
17304	1002-12981	USED	1002	2021-12-26 05:46:02.318
1846	1008-20859	USED	1008	2021-12-05 05:24:57.459
7295	1007-9877	USED	1007	2021-12-13 11:05:58.255
19660	1001-13221	USED	1001	2021-12-01 14:42:28.634
1985	1002-27933	USED	1002	2021-12-23 21:28:50.799
4779	1009-12532	USED	1009	2021-12-26 04:32:11.125
965	1003-99	USED	1003	2021-12-22 07:13:15.338
6787	1009-6449	USED	1009	2021-12-06 22:44:06.317
15696	1003-21887	USED	1003	2021-12-02 10:41:12.143
4618	1006-17886	USED	1006	2021-12-05 14:37:57.254
4942	1000-23678	USED	1000	2021-12-09 19:59:47.016
19842	1000-21083	USED	1000	2021-12-18 19:34:34.572
125	1002-23527	USED	1002	2021-12-20 20:38:00.065
2025	1006-1130	USED	1006	2021-12-27 03:32:10.364
11523	1006-2952	USED	1006	2021-12-02 02:31:00.264
11241	1002-773	USED	1002	2021-12-24 08:26:45.839
1426	1002-28030	USED	1002	2021-12-16 07:43:17.333
2390	1000-29597	USED	1000	2021-12-12 04:57:31.830
1521	1003-26244	USED	1003	2021-12-26 10:48:37.855
17378	1000-16455	USED	1000	2021-12-21 17:48:53.548
12260	1008-3580	USED	1008	2021-12-22 04:01:05.599
19216	1006-4784	USED	1006	2021-12-17 00:29:41.893
