userid	voucherCode	status	campaignID	time
10299	1005-17156	USED	1005	2021-12-30 23:23:49.143
5873	1002-16563	USED	1002	2021-12-11 16:22:21.436
19597	1001-5569	USED	1001	2021-12-30 16:07:38.879
9156	1005-25018	USED	1005	2021-12-27 08:27:55.503
19817	1007-23478	USED	1007	2021-12-27 23:33:23.195
2852	1003-29926	USED	1003	2021-12-21 15:17:07.830
18770	1007-6951	USED	1007	2021-12-31 05:16:53.872
18822	1009-13706	USED	1009	2021-12-05 20:20:13.491
11082	1000-16155	USED	1000	2021-12-17 02:35:30.472
6847	1002-22764	USED	1002	2021-12-03 02:01:48.545
12326	1005-3155	USED	1005	2021-12-16 04:33:50.816
8645	1004-12999	USED	1004	2021-12-06 04:04:04.148
7826	1000-26927	USED	1000	2021-12-29 09:22:20.742
14380	1006-7540	USED	1006	2021-12-26 17:35:31.645
5894	1009-23694	USED	1009	2021-12-25 01:32:11.149
611	1003-9302	USED	1003	2021-12-26 23:38:29.462
12770	1001-4505	USED	1001	2021-12-26 19:52:05.619
12677	1007-10049	USED	1007	2021-12-17 21:55:45.204
6909	1005-9006	USED	1005	2021-12-24 08:04:13.567
16966	1007-21295	USED	1007	2021-12-03 06:23:40.552
7486	1009-12553	USED	1009	2021-12-29 04:28:35.573
10247	1009-21581	USED	1009	2021-12-11 13:05:37.833
2483	1008-16062	USED	1008	2021-12-08 14:26:00.430
1516	1001-11210	USED	1001	2021-12-19 22:42:52.904
5310	1004-20118	USED	1004	2021-12-23 18:44:56.947
11822	1007-5121	USED	1007	2021-12-28 11:28:58.992
4884	1006-9271	USED	1006	2021-12-17 14:46:28.180
5599	1007-7614	USED	1007	2021-12-29 09:31:49.236
2984	1001-29843	USED	1001	2021-12-20 03:25:47.460
11162	1004-18454	USED	1004	2021-12-15 09:44:45.350
17854	1000-2285	USED	1000	2021-12-11 00:00:21.073
4729	1007-8465	USED	1007	2021-12-30 18:23:12.537
13114	1009-6392	USED	1009	2021-12-01 01:56:53.179
3911	1004-20417	USED	1004	2021-12-02 13:18:43.573
18036	1004-15805	USED	1004	2021-12-25 17:48:52.475
14811	1003-24284	USED	1003	2021-12-09 02:06:08.812
6818	1007-15778	USED	1007	2021-12-28 02:46:58.191
