userid	voucherCode	status	campaignID	time
17286	1008-2613	USED	1008	2021-12-26 11:09:52.786
5794	1005-27128	USED	1005	2021-12-05 11:55:10.029
4985	1004-26496	USED	1004	2021-12-26 21:59:28.562
2952	1002-9647	USED	1002	2021-12-06 21:13:54.093
8469	1006-10241	USED	1006	2021-12-21 02:34:28.475
4381	1005-28251	USED	1005	2021-12-12 04:35:08.519
15118	1005-24724	USED	1005	2021-12-19 13:44:23.185
15420	1008-27316	USED	1008	2021-12-27 10:38:32.797
10241	1006-1610	USED	1006	2021-12-23 06:17:58.985
19022	1008-26019	USED	1008	2021-12-21 12:46:48.010
18183	1009-12287	USED	1009	2021-12-19 14:57:37.815
14033	1008-18632	USED	1008	2021-12-21 14:34:27.674
10981	1004-276	USED	1004	2021-12-16 03:01:52.608
19235	1009-3566	USED	1009	2021-12-06 18:06:10.169
3168	1004-1108	USED	1004	2021-12-14 17:20:46.098
17464	1001-28315	USED	1001	2021-12-15 01:08:23.486
12619	1008-1088	USED	1008	2021-12-08 11:30:09.430
3494	1008-8241	USED	1008	2021-12-22 20:22:43.764
10099	1000-9038	USED	1000	2021-12-14 17:59:19.220
2895	1001-21063	USED	1001	2021-12-22 13:48:22.000
19160	1005-21847	USED	1005	2021-12-08 00:49:23.489
6314	1000-337	USED	1000	2021-12-07 17:14:40.464
2954	1001-29802	USED	1001	2021-12-28 12:29:11.023
8509	1009-8349	USED	1009	2021-12-27 17:51:11.233
13495	1005-18918	USED	1005	2021-12-23 21:25:19.534
11688	1003-28136	USED	1003	2021-12-17 10:49:16.157
16689	1007-15234	USED	1007	2021-12-14 13:21:26.672
10397	1008-9811	USED	1008	2021-12-29 17:47:37.443
4623	1004-23756	USED	1004	2021-12-28 23:08:10.379
6910	1005-2123	USED	1005	2021-12-02 01:38:17.786
12775	1001-14602	USED	1001	2021-12-30 23:49:43.397
16531	1005-17521	USED	1005	2021-12-05 02:31:01.767
8271	1004-21206	USED	1004	2021-12-11 17:15:06.134
5543	1006-23102	USED	1006	2021-12-09 19:54:50.382
4505	1007-18633	USED	1007	2021-12-13 10:32:54.702
19362	1001-15119	USED	1001	2021-12-20 13:47:36.683
14956	1006-5734	USED	1006	2021-12-03 17:50:49.605
13609	1007-27940	USED	1007	2021-12-07 03:13:29.777
15410	1002-25027	USED	1002	2021-12-02 23:00:45.036
8475	1004-12850	USED	1004	2021-12-04 09:00:17.543
11082	1007-21033	USED	1007	2021-12-08 04:15:46.538
19140	1003-291	USED	1003	2021-12-14 04:59:04.667
14593	1004-26961	USED	1004	2021-12-05 02:27:01.169
15990	1009-16503	USED	1009	2021-12-24 01:38:30.917
15885	1008-11473	USED	1008	2021-12-17 22:13:03.174
5053	1006-29441	USED	1006	2021-12-28 09:04:43.890
12697	1001-2299	USED	1001	2021-12-21 12:07:44.678
10503	1008-16538	USED	1008	2021-12-23 15:58:09.538
1871	1009-10581	USED	1009	2021-12-13 04:05:11.219
5594	1004-15566	USED	1004	2021-12-06 22:04:09.055
17629	1000-27627	USED	1000	2021-12-20 05:51:39.331
16229	1007-29627	USED	1007	2021-12-02 22:25:39.238
8964	1004-15035	USED	1004	2021-12-03 01:29:37.814
17447	1005-5231	USED	1005	2021-12-24 19:41:55.790
18060	1002-25430	USED	1002	2021-12-09 03:52:17.803
9008	1008-21735	USED	1008	2021-12-13 10:32:27.908
9123	1005-23113	USED	1005	2021-12-31 17:00:50.794
3616	1001-3064	USED	1001	2021-12-18 06:17:37.076
12050	1009-21603	USED	1009	2021-12-05 17:57:52.015
7330	1003-21761	USED	1003	2021-12-30 00:20:58.848
19090	1002-14242	USED	1002	2021-12-07 23:33:16.975
18209	1008-28877	USED	1008	2021-12-29 20:59:24.876
13739	1003-14400	USED	1003	2021-12-25 06:19:12.283
1776	1001-4316	USED	1001	2021-12-02 18:19:33.026
6662	1004-6804	USED	1004	2021-12-29 02:46:52.326
5363	1006-12881	USED	1006	2021-12-28 17:42:08.770
13186	1008-23895	USED	1008	2021-12-27 07:45:58.980
3737	1002-15942	USED	1002	2021-12-01 16:57:51.238
8442	1002-22396	USED	1002	2021-12-17 21:38:53.544
16452	1000-19636	USED	1000	2021-12-28 05:10:07.410
19214	1003-428	USED	1003	2021-12-24 01:54:20.250
16920	1003-20664	USED	1003	2021-12-14 03:15:28.040
19523	1003-24042	USED	1003	2021-12-23 11:44:54.664
13654	1007-10691	USED	1007	2021-12-15 18:35:58.255
2723	1009-95	USED	1009	2021-12-04 05:21:37.673
1986	1004-15904	USED	1004	2021-12-01 02:57:37.803
16848	1006-12227	USED	1006	2021-12-20 01:48:20.403
8973	1007-22941	USED	1007	2021-12-22 23:09:05.500
2237	1006-23925	USED	1006	2021-12-20 08:02:38.594
2336	1009-18818	USED	1009	2021-12-09 03:21:35.628
6314	1004-20769	USED	1004	2021-12-18 08:53:46.777
7396	1007-27309	USED	1007	2021-12-05 23:20:43.781
19351	1005-21490	USED	1005	2021-12-08 12:53:26.539
10754	1003-29914	USED	1003	2021-12-22 07:50:53.128
502	1007-19418	USED	1007	2021-12-17 08:41:46.525
12888	1008-7563	USED	1008	2021-12-06 08:43:46.929
17388	1006-24705	USED	1006	2021-12-26 01:52:11.040
7224	1003-15154	USED	1003	2021-12-01 19:18:40.436
1306	1008-9048	USED	1008	2021-12-07 18:32:27.681
11139	1008-7077	USED	1008	2021-12-07 18:56:59.582
15705	1008-8499	USED	1008	2021-12-17 05:11:30.975
5504	1008-23040	USED	1008	2021-12-20 15:44:22.261
1943	1000-16459	USED	1000	2021-12-09 05:53:20.100
9421	1002-11668	USED	1002	2021-12-23 01:47:32.488
13750	1008-16526	USED	1008	2021-12-28 10:13:55.679
11398	1003-3428	USED	1003	2021-12-07 23:53:32.379
12141	1004-9999	USED	1004	2021-12-28 08:20:08.153
7210	1002-27143	USED	1002	2021-12-12 20:21:15.125
5668	1003-17197	USED	1003	2021-12-27 05:26:22.947
