userid	voucherCode	status	campaignID	time
4145	1003-15494	USED	1003	2021-12-06 02:43:48.390
18755	1005-16916	USED	1005	2021-12-11 23:34:22.503
9387	1007-17128	USED	1007	2021-12-27 20:31:20.323
15546	1000-17800	USED	1000	2021-12-17 10:27:57.919
10325	1004-14439	USED	1004	2021-12-18 14:26:44.068
992	1001-23081	USED	1001	2021-12-15 10:58:01.126
5437	1007-8619	USED	1007	2021-12-23 10:50:06.056
15500	1008-11736	USED	1008	2021-12-11 06:11:40.116
4557	1007-26205	USED	1007	2021-12-23 13:40:57.742
6300	1002-6886	USED	1002	2021-12-22 03:11:41.277
9809	1003-13669	USED	1003	2021-12-04 09:19:30.319
4600	1002-1876	USED	1002	2021-12-29 10:53:57.088
19611	1001-25680	USED	1001	2021-12-08 22:05:34.311
11623	1000-19175	USED	1000	2021-12-17 07:26:17.942
11733	1003-23019	USED	1003	2021-12-22 12:58:50.827
7315	1008-24190	USED	1008	2021-12-08 11:35:52.292
347	1008-6407	USED	1008	2021-12-04 17:47:07.937
5832	1001-17955	USED	1001	2021-12-18 07:46:22.475
5102	1005-28425	USED	1005	2021-12-27 02:02:44.172
1716	1002-17236	USED	1002	2021-12-16 17:26:03.493
6506	1003-26157	USED	1003	2021-12-08 18:53:01.854
7239	1006-26257	USED	1006	2021-12-07 06:44:45.887
12593	1005-17347	USED	1005	2021-12-04 14:55:55.842
10336	1002-14484	USED	1002	2021-12-31 05:51:19.741
12422	1001-24790	USED	1001	2021-12-31 15:50:46.306
3006	1003-6701	USED	1003	2021-12-03 02:13:59.593
6063	1002-15477	USED	1002	2021-12-04 16:57:35.239
11854	1001-420	USED	1001	2021-12-26 07:45:57.373
2688	1001-881	USED	1001	2021-12-31 15:12:41.999
9735	1003-7624	USED	1003	2021-12-18 14:08:51.939
6874	1005-8590	USED	1005	2021-12-24 20:40:48.265
7593	1001-27140	USED	1001	2021-12-12 16:52:23.672
15767	1003-14376	USED	1003	2021-12-15 17:07:56.970
5429	1000-4261	USED	1000	2021-12-18 08:00:40.429
4104	1002-21868	USED	1002	2021-12-09 23:09:19.449
17724	1007-13381	USED	1007	2021-12-14 04:25:25.741
12887	1001-18220	USED	1001	2021-12-18 11:18:54.265
18933	1005-13838	USED	1005	2021-12-30 04:25:12.377
16228	1003-9122	USED	1003	2021-12-09 01:10:04.096
5663	1008-10675	USED	1008	2021-12-09 22:05:43.232
15203	1007-29858	USED	1007	2021-12-22 06:00:23.795
