userid	voucherCode	status	campaignID	time
11782	1002-19323	USED	1002	2021-12-29 16:14:45.833
13648	1005-13025	USED	1005	2021-12-08 10:15:30.589
4207	1000-19116	USED	1000	2021-12-11 06:01:53.013
11254	1003-3484	USED	1003	2021-12-24 21:43:10.462
8733	1004-15935	USED	1004	2021-12-13 22:47:58.024
610	1003-24359	USED	1003	2021-12-23 12:21:17.436
4841	1008-2526	USED	1008	2021-12-06 04:16:18.606
19220	1008-29683	USED	1008	2021-12-23 18:42:27.941
918	1006-2031	USED	1006	2021-12-08 18:47:04.709
8040	1001-10388	USED	1001	2021-12-19 01:03:25.516
14735	1004-28966	USED	1004	2021-12-06 05:40:21.824
4243	1009-10683	USED	1009	2021-12-09 20:39:32.765
7200	1005-17278	USED	1005	2021-12-05 06:34:19.055
855	1002-19381	USED	1002	2021-12-30 18:06:31.961
18710	1005-43	USED	1005	2021-12-21 23:52:09.962
13577	1001-25020	USED	1001	2021-12-31 04:43:40.118
16339	1006-23156	USED	1006	2021-12-08 16:17:33.304
15651	1002-9835	USED	1002	2021-12-31 23:08:46.215
3330	1007-28538	USED	1007	2021-12-11 18:09:10.606
3896	1005-13176	USED	1005	2021-12-18 00:00:39.523
9874	1002-380	USED	1002	2021-12-12 19:03:55.836
7143	1000-16497	USED	1000	2021-12-04 03:29:46.731
1634	1000-4556	USED	1000	2021-12-06 13:34:27.049
4302	1005-13040	USED	1005	2021-12-31 09:59:57.575
6798	1000-7343	USED	1000	2021-12-10 18:04:04.940
7863	1008-6251	USED	1008	2021-12-12 16:49:39.865
19446	1003-26000	USED	1003	2021-12-09 21:00:44.216
15149	1008-24891	USED	1008	2021-12-26 13:19:34.737
2323	1000-29845	USED	1000	2021-12-28 09:37:09.863
19892	1000-16901	USED	1000	2021-12-01 23:47:25.044
15584	1002-27393	USED	1002	2021-12-02 11:48:19.141
121	1003-7921	USED	1003	2021-12-18 07:00:46.788
19873	1003-15725	USED	1003	2021-12-11 23:28:01.874
4904	1004-11172	USED	1004	2021-12-28 11:24:31.841
11495	1000-18062	USED	1000	2021-12-17 00:45:29.773
1106	1009-16313	USED	1009	2021-12-12 21:15:21.949
19106	1000-3412	USED	1000	2021-12-23 16:29:05.158
9301	1009-15416	USED	1009	2021-12-28 22:18:55.070
17772	1006-279	USED	1006	2021-12-16 08:04:52.016
992	1002-26880	USED	1002	2021-12-15 05:14:59.736
14990	1006-3372	USED	1006	2021-12-07 22:05:15.582
15720	1006-23448	USED	1006	2021-12-03 17:39:31.729
8468	1007-28894	USED	1007	2021-12-21 06:40:30.329
8142	1003-28617	USED	1003	2021-12-04 17:48:10.992
1517	1000-17907	USED	1000	2021-12-10 01:58:35.774
13195	1004-24405	USED	1004	2021-12-30 10:04:14.989
515	1002-19869	USED	1002	2021-12-27 05:54:30.215
4533	1006-14220	USED	1006	2021-12-27 22:30:35.347
4533	1004-27376	USED	1004	2021-12-06 02:09:34.164
7385	1001-2414	USED	1001	2021-12-18 01:52:01.404
11145	1001-22347	USED	1001	2021-12-30 21:48:14.141
12414	1009-11575	USED	1009	2021-12-09 18:52:20.837
1530	1006-24484	USED	1006	2021-12-28 13:26:44.164
14253	1006-22274	USED	1006	2021-12-24 20:57:12.168
12340	1009-1676	USED	1009	2021-12-23 16:57:04.406
19759	1006-28044	USED	1006	2021-12-14 06:36:21.992
8927	1003-20373	USED	1003	2021-12-07 17:37:52.719
19789	1008-15781	USED	1008	2021-12-06 05:26:26.436
9434	1000-26987	USED	1000	2021-12-07 21:29:10.317
632	1008-23902	USED	1008	2021-12-30 00:25:56.416
9612	1006-2711	USED	1006	2021-12-27 10:40:43.484
