userid	voucherCode	status	campaignID	time
15375	1005-18424	USED	1005	2021-12-06 16:46:53.613
4458	1001-27579	USED	1001	2021-12-11 13:56:33.553
4856	1001-2435	USED	1001	2021-12-10 22:47:35.500
3976	1008-24923	USED	1008	2021-12-19 15:18:45.950
14996	1002-11277	USED	1002	2021-12-28 04:50:43.969
7037	1003-12218	USED	1003	2021-12-02 12:15:32.648
17919	1000-17744	USED	1000	2021-12-23 05:32:36.511
9253	1009-4803	USED	1009	2021-12-07 05:50:07.510
16880	1008-8985	USED	1008	2021-12-24 05:42:31.959
16020	1000-9864	USED	1000	2021-12-22 08:33:58.770
4284	1005-23273	USED	1005	2021-12-16 05:33:42.030
1554	1004-27925	USED	1004	2021-12-05 00:41:43.149
3949	1000-9698	USED	1000	2021-12-11 03:35:09.124
3206	1000-9061	USED	1000	2021-12-24 03:53:32.538
8055	1009-19845	USED	1009	2021-12-29 18:00:31.738
9945	1008-10821	USED	1008	2021-12-06 23:44:10.958
8559	1000-17994	USED	1000	2021-12-05 21:32:53.266
1376	1006-27975	USED	1006	2021-12-19 22:41:57.162
11056	1003-21327	USED	1003	2021-12-17 01:35:47.134
14480	1004-10883	USED	1004	2021-12-10 14:51:19.076
11395	1006-13028	USED	1006	2021-12-22 18:46:15.520
6557	1007-7096	USED	1007	2021-12-11 11:25:45.544
13491	1001-5678	USED	1001	2021-12-21 01:16:58.002
11839	1005-10127	USED	1005	2021-12-01 18:32:41.612
8329	1002-27456	USED	1002	2021-12-20 12:25:31.184
4017	1007-18307	USED	1007	2021-12-27 22:07:47.061
8220	1003-24851	USED	1003	2021-12-01 01:09:23.350
4275	1005-6856	USED	1005	2021-12-31 12:28:35.245
19971	1005-14040	USED	1005	2021-12-06 14:21:35.901
17922	1002-20700	USED	1002	2021-12-23 06:05:10.762
14757	1005-5536	USED	1005	2021-12-31 13:12:30.206
14380	1006-17281	USED	1006	2021-12-13 12:26:07.450
2030	1008-7399	USED	1008	2021-12-16 15:15:31.593
301	1007-3244	USED	1007	2021-12-24 04:38:49.487
15294	1009-4636	USED	1009	2021-12-20 21:40:32.016
12320	1008-25651	USED	1008	2021-12-28 16:04:06.920
17653	1000-19067	USED	1000	2021-12-19 00:49:51.334
7586	1001-28585	USED	1001	2021-12-07 12:00:31.679
11647	1003-13926	USED	1003	2021-12-16 04:00:16.221
274	1000-15513	USED	1000	2021-12-15 21:58:42.747
16487	1001-2213	USED	1001	2021-12-17 02:56:10.444
18387	1008-8364	USED	1008	2021-12-18 02:46:08.485
5994	1005-15590	USED	1005	2021-12-16 18:48:27.730
1402	1004-23391	USED	1004	2021-12-26 02:37:19.945
1218	1009-15304	USED	1009	2021-12-13 23:56:33.646
15144	1008-27462	USED	1008	2021-12-19 22:56:53.287
1531	1007-29598	USED	1007	2021-12-27 08:24:54.281
12974	1000-15099	USED	1000	2021-12-23 10:51:52.799
735	1004-25741	USED	1004	2021-12-10 11:49:50.047
