userid	voucherCode	status	campaignID	time
7214	1007-15906	USED	1007	2021-12-23 17:24:49.565
8606	1002-25789	USED	1002	2021-12-18 14:58:03.418
2266	1008-14241	USED	1008	2021-12-07 07:19:15.095
11089	1000-10588	USED	1000	2021-12-19 09:52:47.589
7085	1004-2736	USED	1004	2021-12-21 16:06:10.937
11536	1003-22799	USED	1003	2021-12-16 15:19:18.968
2394	1000-12322	USED	1000	2021-12-28 19:02:41.975
3408	1007-15454	USED	1007	2021-12-04 19:33:34.915
13198	1005-24251	USED	1005	2021-12-17 21:36:20.075
14797	1003-8130	USED	1003	2021-12-03 13:57:47.623
13551	1002-21704	USED	1002	2021-12-21 10:53:19.675
10802	1000-18612	USED	1000	2021-12-28 07:21:06.834
11679	1003-1144	USED	1003	2021-12-04 12:25:03.608
410	1001-12491	USED	1001	2021-12-21 23:18:40.293
17698	1009-28547	USED	1009	2021-12-08 07:06:25.375
18165	1000-745	USED	1000	2021-12-03 22:14:26.608
9361	1007-10786	USED	1007	2021-12-28 10:55:25.196
4370	1007-6142	USED	1007	2021-12-14 08:12:25.421
12804	1004-1526	USED	1004	2021-12-05 00:11:49.010
11655	1004-2270	USED	1004	2021-12-15 14:49:37.845
12432	1007-6463	USED	1007	2021-12-11 06:25:33.948
14794	1000-20487	USED	1000	2021-12-05 04:21:27.170
15702	1006-19531	USED	1006	2021-12-29 23:23:41.143
9117	1006-29703	USED	1006	2021-12-19 17:43:23.279
4253	1001-15096	USED	1001	2021-12-08 06:02:13.754
16046	1005-4936	USED	1005	2021-12-30 09:16:49.317
13876	1006-10358	USED	1006	2021-12-08 22:48:52.023
16784	1004-14185	USED	1004	2021-12-10 03:45:16.098
18287	1006-4395	USED	1006	2021-12-04 08:27:00.624
2590	1004-3993	USED	1004	2021-12-18 14:39:22.700
3650	1005-10026	USED	1005	2021-12-17 23:23:23.771
15848	1001-13743	USED	1001	2021-12-30 21:32:00.075
15731	1000-28675	USED	1000	2021-12-04 15:13:37.359
5251	1001-1665	USED	1001	2021-12-05 04:34:48.090
10253	1003-8798	USED	1003	2021-12-01 10:41:18.677
17961	1003-29465	USED	1003	2021-12-22 12:17:13.691
14956	1003-9783	USED	1003	2021-12-06 07:08:34.703
18971	1009-26806	USED	1009	2021-12-12 16:59:40.746
797	1006-4506	USED	1006	2021-12-15 16:42:14.983
5320	1007-27618	USED	1007	2021-12-07 07:52:41.490
4295	1000-27861	USED	1000	2021-12-06 22:25:08.122
5894	1007-12535	USED	1007	2021-12-20 21:14:20.085
19691	1008-11204	USED	1008	2021-12-19 01:49:26.007
11648	1002-22762	USED	1002	2021-12-08 02:02:52.963
3177	1003-78	USED	1003	2021-12-05 13:34:50.071
19506	1009-14549	USED	1009	2021-12-13 19:00:04.947
10906	1004-63	USED	1004	2021-12-24 12:12:35.600
10607	1002-7602	USED	1002	2021-12-30 13:49:35.755
9217	1000-21739	USED	1000	2021-12-18 05:47:50.500
19115	1006-1926	USED	1006	2021-12-19 18:03:43.198
1955	1002-27131	USED	1002	2021-12-01 23:01:59.891
17727	1006-10381	USED	1006	2021-12-11 10:24:44.018
7493	1000-12259	USED	1000	2021-12-19 20:47:59.413
1117	1009-27268	USED	1009	2021-12-13 15:07:04.278
6275	1006-8450	USED	1006	2021-12-07 21:07:06.792
15277	1003-679	USED	1003	2021-12-12 13:01:44.384
19667	1001-509	USED	1001	2021-12-08 16:56:26.521
19416	1000-1690	USED	1000	2021-12-02 20:06:55.417
19686	1008-8144	USED	1008	2021-12-30 10:17:20.151
14350	1007-6169	USED	1007	2021-12-29 14:55:15.566
9686	1007-4277	USED	1007	2021-12-11 15:31:44.843
11009	1008-6890	USED	1008	2021-12-03 21:29:46.659
19786	1003-10605	USED	1003	2021-12-12 01:52:25.414
19366	1007-22793	USED	1007	2021-12-26 03:54:00.048
685	1000-12344	USED	1000	2021-12-31 13:54:54.586
12953	1009-2546	USED	1009	2021-12-25 13:37:57.473
12524	1003-23974	USED	1003	2021-12-24 11:25:27.605
161	1002-25167	USED	1002	2021-12-25 17:40:12.853
18462	1006-5425	USED	1006	2021-12-24 03:01:52.817
5933	1000-130	USED	1000	2021-12-05 02:48:18.960
917	1008-22184	USED	1008	2021-12-20 01:37:17.105
14682	1002-19515	USED	1002	2021-12-25 07:31:27.597
763	1007-12836	USED	1007	2021-12-04 07:20:14.871
10803	1007-13152	USED	1007	2021-12-29 13:04:58.944
19464	1000-27607	USED	1000	2021-12-31 23:30:15.845
4732	1006-23695	USED	1006	2021-12-11 20:45:35.270
1286	1006-29171	USED	1006	2021-12-28 08:59:35.497
19999	1009-14595	USED	1009	2021-12-30 20:01:39.017
4514	1005-16470	USED	1005	2021-12-30 15:45:41.076
8095	1006-26052	USED	1006	2021-12-06 15:51:40.840
10334	1005-7577	USED	1005	2021-12-14 08:52:38.408
19318	1007-17615	USED	1007	2021-12-23 13:11:32.621
15126	1006-28411	USED	1006	2021-12-18 20:30:24.189
19755	1003-27826	USED	1003	2021-12-17 15:31:04.690
2054	1002-9007	USED	1002	2021-12-05 16:46:16.068
19165	1007-21419	USED	1007	2021-12-31 16:46:29.512
18606	1007-23077	USED	1007	2021-12-04 15:48:49.950
9375	1002-21496	USED	1002	2021-12-11 08:00:02.042
