userid	voucherCode	status	campaignID	time
3196	1003-610	USED	1003	2021-12-20 02:40:43.901
10270	1002-5733	USED	1002	2021-12-07 18:12:11.825
598	1002-20995	USED	1002	2021-12-22 06:37:29.595
9823	1005-15431	USED	1005	2021-12-07 20:03:00.284
10539	1001-29104	USED	1001	2021-12-16 14:41:55.978
11418	1003-5053	USED	1003	2021-12-11 02:24:26.748
12539	1003-300	USED	1003	2021-12-16 03:46:47.756
3730	1006-27044	USED	1006	2021-12-16 07:59:10.962
6071	1006-16329	USED	1006	2021-12-28 06:19:32.230
5587	1008-5374	USED	1008	2021-12-19 05:12:00.069
6645	1006-25260	USED	1006	2021-12-31 13:19:21.579
15207	1007-7239	USED	1007	2021-12-04 05:01:17.828
19486	1006-16504	USED	1006	2021-12-19 10:09:36.086
15524	1007-1071	USED	1007	2021-12-02 05:59:07.839
13428	1008-2241	USED	1008	2021-12-27 05:18:28.933
15783	1004-511	USED	1004	2021-12-14 11:46:43.768
16293	1006-28718	USED	1006	2021-12-18 11:43:35.018
18334	1001-6723	USED	1001	2021-12-17 20:36:54.249
2967	1003-6549	USED	1003	2021-12-24 19:59:34.172
12946	1004-8332	USED	1004	2021-12-19 10:53:17.267
18546	1002-4524	USED	1002	2021-12-06 12:04:48.029
9456	1002-6987	USED	1002	2021-12-29 12:36:50.153
3007	1004-6133	USED	1004	2021-12-10 21:38:35.225
16610	1001-4223	USED	1001	2021-12-15 13:27:27.156
9877	1007-13946	USED	1007	2021-12-24 19:01:15.099
2491	1008-14372	USED	1008	2021-12-18 13:16:40.958
15990	1005-24738	USED	1005	2021-12-27 09:44:21.283
6864	1009-23729	USED	1009	2021-12-15 11:59:52.389
19382	1004-28303	USED	1004	2021-12-04 07:42:28.782
5187	1005-14246	USED	1005	2021-12-14 05:51:16.427
10825	1008-14921	USED	1008	2021-12-25 06:38:03.088
12819	1005-13518	USED	1005	2021-12-26 02:43:11.226
9329	1002-27742	USED	1002	2021-12-24 22:52:14.345
7913	1008-9744	USED	1008	2021-12-15 19:21:12.040
14033	1002-10145	USED	1002	2021-12-16 18:47:16.355
5949	1004-15539	USED	1004	2021-12-07 15:18:49.226
4176	1000-12889	USED	1000	2021-12-18 05:09:37.526
17107	1000-5064	USED	1000	2021-12-17 13:45:35.108
10871	1007-15845	USED	1007	2021-12-21 20:07:53.580
18188	1003-10854	USED	1003	2021-12-26 22:49:52.942
16320	1005-23714	USED	1005	2021-12-13 08:26:10.706
6263	1000-4247	USED	1000	2021-12-07 10:16:51.242
18808	1003-5048	USED	1003	2021-12-02 02:57:16.550
17460	1006-4142	USED	1006	2021-12-28 12:46:19.476
18366	1007-4870	USED	1007	2021-12-07 09:42:07.369
13360	1008-21129	USED	1008	2021-12-08 07:34:49.853
1213	1005-29121	USED	1005	2021-12-03 17:16:30.255
2082	1002-24916	USED	1002	2021-12-17 22:19:47.352
9798	1009-29115	USED	1009	2021-12-07 23:27:20.329
7066	1000-17213	USED	1000	2021-12-02 19:53:33.462
9082	1006-26054	USED	1006	2021-12-11 04:11:44.622
16348	1002-21302	USED	1002	2021-12-07 20:06:23.458
5551	1003-19321	USED	1003	2021-12-04 13:15:07.462
13164	1000-21053	USED	1000	2021-12-30 22:23:52.639
13493	1002-11220	USED	1002	2021-12-31 11:41:05.118
16505	1008-27733	USED	1008	2021-12-14 07:34:29.478
16940	1008-11381	USED	1008	2021-12-20 17:32:00.596
1835	1005-12522	USED	1005	2021-12-10 21:38:11.055
3260	1002-7718	USED	1002	2021-12-07 17:50:19.648
12960	1002-3200	USED	1002	2021-12-16 18:49:09.877
1924	1009-20364	USED	1009	2021-12-13 09:44:04.490
6648	1001-25002	USED	1001	2021-12-02 17:51:33.434
711	1008-6934	USED	1008	2021-12-01 02:50:24.565
19689	1006-15251	USED	1006	2021-12-15 04:55:33.648
13947	1003-14587	USED	1003	2021-12-31 04:33:24.415
14055	1000-22897	USED	1000	2021-12-08 14:16:43.772
16484	1001-6299	USED	1001	2021-12-10 19:09:03.092
6460	1003-5688	USED	1003	2021-12-21 21:33:11.912
8241	1008-9311	USED	1008	2021-12-22 16:37:24.644
3004	1004-12285	USED	1004	2021-12-06 10:45:25.797
7763	1000-27054	USED	1000	2021-12-05 17:21:49.244
18766	1005-756	USED	1005	2021-12-08 07:43:36.785
12842	1004-12375	USED	1004	2021-12-25 00:45:06.458
11967	1009-22397	USED	1009	2021-12-13 15:59:11.056
8246	1004-98	USED	1004	2021-12-24 02:39:38.306
7238	1000-21147	USED	1000	2021-12-27 12:42:35.855
3369	1005-25098	USED	1005	2021-12-23 17:07:54.424
