userid	voucherCode	status	campaignID	time
10989	1000-27198	USED	1000	2021-12-08 06:17:56.511
198	1005-11421	USED	1005	2021-12-04 06:21:48.018
2086	1006-6162	USED	1006	2021-12-28 12:53:20.803
19407	1009-6508	USED	1009	2021-12-23 16:23:36.916
13937	1003-14224	USED	1003	2021-12-12 22:23:46.696
9645	1004-17466	USED	1004	2021-12-10 02:23:54.851
11783	1001-19662	USED	1001	2021-12-17 06:17:02.707
1364	1007-19939	USED	1007	2021-12-14 23:12:03.918
4880	1006-27246	USED	1006	2021-12-17 08:54:42.256
7627	1007-18520	USED	1007	2021-12-10 05:22:40.691
19769	1000-20454	USED	1000	2021-12-24 23:50:18.427
2470	1006-4023	USED	1006	2021-12-17 13:32:07.317
6959	1003-23068	USED	1003	2021-12-04 20:48:38.860
3402	1008-17451	USED	1008	2021-12-01 10:49:27.331
2394	1000-28939	USED	1000	2021-12-22 21:19:31.249
1802	1005-8986	USED	1005	2021-12-07 19:51:06.827
333	1000-2926	USED	1000	2021-12-09 14:58:31.896
6975	1005-25783	USED	1005	2021-12-02 05:34:04.305
8144	1007-14263	USED	1007	2021-12-20 15:45:55.117
7559	1000-24209	USED	1000	2021-12-14 20:42:17.267
13752	1007-5326	USED	1007	2021-12-31 23:10:18.225
17692	1005-19128	USED	1005	2021-12-07 05:08:43.602
18032	1009-2297	USED	1009	2021-12-14 05:40:25.792
10401	1005-18365	USED	1005	2021-12-08 13:39:13.913
5423	1006-22666	USED	1006	2021-12-28 09:35:09.706
16561	1007-3590	USED	1007	2021-12-06 01:49:19.750
19470	1008-21407	USED	1008	2021-12-12 17:18:18.012
10069	1002-5208	USED	1002	2021-12-24 23:53:19.944
19142	1009-676	USED	1009	2021-12-09 23:05:19.087
4761	1004-14896	USED	1004	2021-12-18 12:39:01.555
12351	1001-9141	USED	1001	2021-12-25 15:10:09.842
19813	1008-16384	USED	1008	2021-12-15 03:40:43.180
3541	1003-1554	USED	1003	2021-12-02 17:28:04.403
13927	1001-28051	USED	1001	2021-12-29 22:15:01.207
13604	1002-21546	USED	1002	2021-12-24 19:32:09.220
5561	1009-2099	USED	1009	2021-12-20 11:29:36.316
19504	1005-6705	USED	1005	2021-12-17 05:09:32.416
6021	1003-27205	USED	1003	2021-12-30 14:19:47.404
18986	1003-19699	USED	1003	2021-12-04 17:22:41.795
18494	1003-21864	USED	1003	2021-12-30 00:09:12.230
5541	1002-14641	USED	1002	2021-12-03 19:01:15.368
2293	1006-7142	USED	1006	2021-12-21 22:00:55.565
17244	1006-12469	USED	1006	2021-12-01 10:33:00.775
13347	1002-2399	USED	1002	2021-12-23 12:59:01.911
13732	1009-12206	USED	1009	2021-12-18 07:17:08.573
453	1007-10347	USED	1007	2021-12-15 02:38:39.111
15339	1002-7980	USED	1002	2021-12-21 14:01:09.936
16733	1004-8187	USED	1004	2021-12-29 05:07:39.557
11773	1003-9772	USED	1003	2021-12-27 00:02:46.468
5363	1006-11108	USED	1006	2021-12-21 10:12:45.682
2710	1004-29227	USED	1004	2021-12-17 19:44:41.841
3994	1007-5860	USED	1007	2021-12-20 03:55:44.110
9491	1000-17362	USED	1000	2021-12-22 13:01:16.642
7403	1003-11440	USED	1003	2021-12-08 07:31:34.717
17643	1008-9786	USED	1008	2021-12-17 16:57:37.356
5161	1001-5355	USED	1001	2021-12-08 05:27:51.339
7262	1008-6176	USED	1008	2021-12-07 02:40:23.488
11746	1003-13030	USED	1003	2021-12-27 08:09:35.811
14584	1003-25974	USED	1003	2021-12-28 06:07:35.505
1377	1002-17828	USED	1002	2021-12-28 17:46:07.954
8714	1004-13500	USED	1004	2021-12-21 01:53:11.625
13937	1006-28503	USED	1006	2021-12-23 18:14:32.631
16121	1004-6109	USED	1004	2021-12-10 09:30:54.777
6032	1002-16579	USED	1002	2021-12-25 20:11:15.044
18735	1004-12846	USED	1004	2021-12-10 12:21:53.964
13585	1006-19937	USED	1006	2021-12-05 14:00:44.649
8418	1009-2998	USED	1009	2021-12-18 17:15:01.548
781	1000-11457	USED	1000	2021-12-31 02:43:21.550
11394	1001-11051	USED	1001	2021-12-19 04:12:08.196
15232	1000-4626	USED	1000	2021-12-16 13:57:21.116
10069	1001-12273	USED	1001	2021-12-24 07:47:20.477
14825	1003-18104	USED	1003	2021-12-12 03:53:30.747
10277	1006-21078	USED	1006	2021-12-14 21:00:17.758
12877	1008-29063	USED	1008	2021-12-21 17:02:27.904
18366	1007-15074	USED	1007	2021-12-13 16:57:17.196
3801	1006-14665	USED	1006	2021-12-20 05:09:40.589
10522	1000-24174	USED	1000	2021-12-06 06:25:22.751
14215	1009-17372	USED	1009	2021-12-23 08:49:52.057
18247	1001-26443	USED	1001	2021-12-15 14:38:11.636
16529	1002-7402	USED	1002	2021-12-07 16:21:51.703
2807	1008-26301	USED	1008	2021-12-27 00:22:10.612
18552	1009-24296	USED	1009	2021-12-20 15:47:32.072
6917	1003-17695	USED	1003	2021-12-18 09:23:45.076
383	1003-21375	USED	1003	2021-12-04 12:46:47.173
3199	1008-6385	USED	1008	2021-12-21 04:04:07.496
12715	1002-12453	USED	1002	2021-12-15 11:38:41.174
4187	1005-5467	USED	1005	2021-12-25 05:29:11.566
16543	1006-20475	USED	1006	2021-12-29 07:18:28.457
4993	1005-19844	USED	1005	2021-12-13 22:02:02.902
2104	1008-13298	USED	1008	2021-12-19 16:57:11.186
17794	1000-16092	USED	1000	2021-12-07 19:02:40.695
18323	1004-21464	USED	1004	2021-12-26 00:12:14.282
8878	1009-17488	USED	1009	2021-12-04 10:16:36.429
2099	1003-27849	USED	1003	2021-12-17 07:25:29.813
9742	1004-11544	USED	1004	2021-12-08 09:44:13.754
14286	1000-5224	USED	1000	2021-12-15 10:46:31.050
13382	1008-22072	USED	1008	2021-12-16 18:50:33.225
4873	1000-26375	USED	1000	2021-12-17 23:05:49.566
9983	1005-4260	USED	1005	2021-12-14 19:42:44.938
13290	1006-14697	USED	1006	2021-12-04 10:20:58.517
3613	1006-5407	USED	1006	2021-12-09 03:48:27.652
17152	1006-26619	USED	1006	2021-12-12 08:36:09.702
12752	1006-10714	USED	1006	2021-12-16 12:33:48.367
13064	1005-10417	USED	1005	2021-12-12 02:35:58.469
10126	1007-9052	USED	1007	2021-12-04 23:28:47.699
13563	1000-25053	USED	1000	2021-12-30 15:51:42.857
11225	1008-2993	USED	1008	2021-12-12 01:41:19.350
9179	1007-21588	USED	1007	2021-12-27 05:38:29.570
6878	1003-14184	USED	1003	2021-12-07 19:38:59.129
10713	1006-14294	USED	1006	2021-12-01 09:47:41.323
19504	1001-15548	USED	1001	2021-12-16 18:45:45.168
14102	1007-15510	USED	1007	2021-12-17 16:33:28.317
11295	1005-28814	USED	1005	2021-12-12 14:58:29.240
17721	1008-2333	USED	1008	2021-12-20 08:04:15.324
10047	1001-13770	USED	1001	2021-12-11 15:07:03.247
12374	1009-4364	USED	1009	2021-12-30 15:46:35.031
18397	1005-24407	USED	1005	2021-12-02 13:23:47.238
1737	1007-26878	USED	1007	2021-12-03 17:34:03.214
6319	1000-4796	USED	1000	2021-12-06 05:16:05.933
6119	1005-18523	USED	1005	2021-12-02 11:13:24.315
17651	1004-20697	USED	1004	2021-12-26 21:30:49.512
14236	1004-22367	USED	1004	2021-12-21 17:02:35.834
11340	1006-19285	USED	1006	2021-12-01 01:49:24.874
5879	1003-24123	USED	1003	2021-12-08 10:51:25.756
7150	1006-23624	USED	1006	2021-12-10 07:16:58.342
19421	1004-28422	USED	1004	2021-12-05 13:35:27.669
13244	1000-3732	USED	1000	2021-12-15 04:28:37.677
16284	1001-19729	USED	1001	2021-12-19 00:47:50.650
5119	1003-2848	USED	1003	2021-12-18 03:42:35.430
6451	1004-6593	USED	1004	2021-12-14 07:19:06.795
8332	1008-2801	USED	1008	2021-12-16 14:52:42.817
6092	1007-22372	USED	1007	2021-12-05 01:06:00.732
17177	1000-15726	USED	1000	2021-12-24 01:45:01.706
18444	1009-17457	USED	1009	2021-12-24 20:39:53.799
11010	1004-10864	USED	1004	2021-12-15 16:46:58.342
2683	1000-17077	USED	1000	2021-12-09 13:11:16.916
6713	1004-11004	USED	1004	2021-12-10 16:04:28.413
8170	1005-3664	USED	1005	2021-12-27 09:52:45.030
5423	1005-7798	USED	1005	2021-12-18 03:31:57.700
5892	1000-4361	USED	1000	2021-12-13 11:41:12.806
7847	1006-26932	USED	1006	2021-12-09 09:12:45.794
5904	1008-11428	USED	1008	2021-12-31 19:40:31.705
9149	1000-11999	USED	1000	2021-12-28 06:57:51.322
17249	1006-9013	USED	1006	2021-12-13 08:59:33.320
9800	1008-12134	USED	1008	2021-12-15 19:23:49.171
14419	1001-6868	USED	1001	2021-12-25 19:43:02.960
10467	1002-993	USED	1002	2021-12-17 08:14:08.354
11351	1005-1315	USED	1005	2021-12-26 07:32:34.268
13930	1005-4791	USED	1005	2021-12-04 00:37:16.782
17975	1006-10674	USED	1006	2021-12-22 05:00:44.096
15381	1003-11829	USED	1003	2021-12-19 21:11:27.537
6034	1006-17186	USED	1006	2021-12-31 22:37:34.609
12588	1005-22575	USED	1005	2021-12-08 15:06:30.512
16692	1000-25297	USED	1000	2021-12-23 12:34:12.823
1432	1002-24018	USED	1002	2021-12-12 18:24:38.889
3500	1000-27158	USED	1000	2021-12-06 04:58:22.123
12869	1001-8423	USED	1001	2021-12-25 00:52:12.093
16204	1000-13580	USED	1000	2021-12-19 16:53:05.375
8265	1006-16379	USED	1006	2021-12-04 02:28:43.475
16847	1008-3578	USED	1008	2021-12-16 15:00:25.682
17130	1003-9756	USED	1003	2021-12-12 23:17:24.510
5852	1002-18339	USED	1002	2021-12-13 08:00:33.079
6879	1007-12759	USED	1007	2021-12-18 09:54:49.457
18190	1002-27348	USED	1002	2021-12-09 09:48:41.501
1653	1009-3382	USED	1009	2021-12-25 19:35:04.218
12422	1007-16869	USED	1007	2021-12-02 18:24:06.668
18495	1005-2687	USED	1005	2021-12-02 17:25:12.703
5690	1000-27951	USED	1000	2021-12-25 12:07:18.216
18270	1004-23283	USED	1004	2021-12-29 09:40:21.054
10314	1004-11140	USED	1004	2021-12-03 16:21:38.301
14444	1000-25570	USED	1000	2021-12-01 12:25:00.286
14567	1009-1738	USED	1009	2021-12-13 23:04:05.181
18254	1000-20666	USED	1000	2021-12-02 08:20:47.693
2993	1009-22031	USED	1009	2021-12-13 13:06:44.379
6859	1007-5786	USED	1007	2021-12-30 00:03:42.638
2230	1004-24530	USED	1004	2021-12-31 04:09:18.831
6727	1000-29214	USED	1000	2021-12-06 12:17:35.079
11418	1007-11136	USED	1007	2021-12-18 20:58:05.780
