userid	voucherCode	status	campaignID	time
13056	1008-12597	USED	1008	2021-12-05 05:28:16.419
13670	1001-9358	USED	1001	2021-12-16 14:53:29.642
14839	1005-16816	USED	1005	2021-12-09 09:28:35.782
11890	1004-24781	USED	1004	2021-12-24 03:22:25.788
11222	1009-14770	USED	1009	2021-12-06 22:11:14.980
6189	1001-19336	USED	1001	2021-12-31 18:16:56.520
14536	1004-19424	USED	1004	2021-12-19 07:28:45.607
12025	1002-12354	USED	1002	2021-12-22 03:41:10.781
17023	1008-7432	USED	1008	2021-12-06 22:37:35.366
8122	1008-2330	USED	1008	2021-12-14 10:23:25.431
9820	1004-25374	USED	1004	2021-12-27 18:39:40.705
1491	1001-4056	USED	1001	2021-12-03 14:38:53.832
17060	1006-12736	USED	1006	2021-12-21 12:03:59.320
18206	1009-22836	USED	1009	2021-12-17 21:55:19.532
9787	1004-15216	USED	1004	2021-12-29 01:05:59.723
8202	1002-11851	USED	1002	2021-12-30 11:32:25.567
3114	1006-29237	USED	1006	2021-12-28 02:56:20.976
2234	1001-28033	USED	1001	2021-12-05 07:47:47.476
6673	1002-19026	USED	1002	2021-12-14 04:47:43.585
5560	1004-20317	USED	1004	2021-12-20 12:51:09.239
7575	1006-22723	USED	1006	2021-12-24 03:44:36.560
10815	1004-27075	USED	1004	2021-12-31 00:18:43.157
4451	1001-5866	USED	1001	2021-12-30 14:08:11.275
1327	1009-28307	USED	1009	2021-12-07 11:22:25.284
9516	1005-29217	USED	1005	2021-12-29 01:34:09.623
14171	1006-17158	USED	1006	2021-12-26 13:57:03.194
4505	1005-17368	USED	1005	2021-12-14 17:04:55.621
1202	1007-7445	USED	1007	2021-12-26 00:46:18.317
6743	1006-14217	USED	1006	2021-12-18 08:02:40.788
8382	1002-2706	USED	1002	2021-12-24 13:21:57.342
15885	1002-21187	USED	1002	2021-12-29 05:51:33.383
6380	1008-21775	USED	1008	2021-12-19 07:19:56.032
7024	1006-22361	USED	1006	2021-12-20 21:43:17.550
14744	1005-20681	USED	1005	2021-12-18 17:56:59.378
5780	1000-26489	USED	1000	2021-12-19 02:23:33.999
16521	1001-7408	USED	1001	2021-12-02 17:04:04.637
1523	1001-25867	USED	1001	2021-12-15 20:59:50.313
14543	1004-11865	USED	1004	2021-12-01 11:13:53.388
4913	1005-5111	USED	1005	2021-12-16 00:59:22.688
7193	1001-7683	USED	1001	2021-12-02 03:26:59.684
18756	1002-25025	USED	1002	2021-12-26 12:24:53.752
5866	1008-25115	USED	1008	2021-12-18 19:23:33.323
10399	1005-22944	USED	1005	2021-12-04 06:34:11.246
6116	1009-25399	USED	1009	2021-12-26 10:08:49.720
15321	1004-2461	USED	1004	2021-12-13 18:53:29.542
3206	1001-2248	USED	1001	2021-12-09 07:30:46.641
2928	1009-10652	USED	1009	2021-12-24 18:56:20.933
