userid	voucherCode	status	campaignID	time
15858	1009-21226	USED	1009	2021-12-05 10:09:06.036
8756	1004-10057	USED	1004	2021-12-08 17:19:43.704
11896	1001-11946	USED	1001	2021-12-30 22:25:19.064
7651	1003-6632	USED	1003	2021-12-15 03:25:26.983
19340	1003-1193	USED	1003	2021-12-04 05:48:49.662
11085	1002-668	USED	1002	2021-12-30 04:54:46.601
15896	1006-8661	USED	1006	2021-12-11 18:39:40.732
2550	1002-20639	USED	1002	2021-12-18 10:22:34.907
16591	1009-3965	USED	1009	2021-12-19 13:48:57.534
9466	1006-7286	USED	1006	2021-12-10 22:39:00.041
13061	1006-1516	USED	1006	2021-12-29 18:28:58.039
7053	1000-14864	USED	1000	2021-12-11 21:26:07.491
5990	1000-28279	USED	1000	2021-12-02 19:45:10.406
2310	1004-9982	USED	1004	2021-12-11 17:34:00.009
7306	1007-16364	USED	1007	2021-12-10 04:32:04.663
10274	1005-4883	USED	1005	2021-12-07 20:26:57.046
3588	1004-23078	USED	1004	2021-12-09 02:21:05.163
10014	1000-29132	USED	1000	2021-12-07 03:00:34.600
17229	1001-25884	USED	1001	2021-12-09 10:00:01.766
15287	1003-29244	USED	1003	2021-12-03 02:19:07.539
8208	1000-20122	USED	1000	2021-12-08 01:55:11.934
12064	1008-14038	USED	1008	2021-12-23 23:42:28.509
1627	1005-25687	USED	1005	2021-12-26 12:03:03.357
9702	1001-183	USED	1001	2021-12-09 05:05:17.682
14137	1005-1814	USED	1005	2021-12-15 12:10:35.450
6328	1002-23606	USED	1002	2021-12-10 01:32:07.711
16688	1002-19473	USED	1002	2021-12-31 09:56:31.982
11861	1003-20232	USED	1003	2021-12-25 13:23:38.070
10799	1001-28352	USED	1001	2021-12-02 06:59:14.185
19429	1007-28167	USED	1007	2021-12-13 02:17:38.353
4248	1002-18212	USED	1002	2021-12-05 15:56:11.533
7046	1001-21077	USED	1001	2021-12-26 12:31:16.208
18288	1000-19248	USED	1000	2021-12-09 14:45:13.114
5334	1000-22469	USED	1000	2021-12-05 15:48:32.233
7651	1009-15807	USED	1009	2021-12-04 04:27:18.186
982	1006-20473	USED	1006	2021-12-25 19:31:18.737
12839	1004-14191	USED	1004	2021-12-03 18:46:59.923
12253	1000-5447	USED	1000	2021-12-26 12:36:18.515
8525	1008-9560	USED	1008	2021-12-18 02:13:16.840
9000	1004-16757	USED	1004	2021-12-24 13:19:37.729
11490	1003-1003	USED	1003	2021-12-18 05:30:20.112
2175	1001-16958	USED	1001	2021-12-23 10:27:00.216
11064	1007-5018	USED	1007	2021-12-20 20:34:04.248
13923	1006-23792	USED	1006	2021-12-03 07:09:19.636
10541	1001-11434	USED	1001	2021-12-29 05:25:10.153
6702	1007-3250	USED	1007	2021-12-14 12:56:39.397
6912	1003-28810	USED	1003	2021-12-01 00:18:03.572
4386	1007-10958	USED	1007	2021-12-23 17:16:29.810
4376	1002-12612	USED	1002	2021-12-15 12:57:25.939
2155	1002-27830	USED	1002	2021-12-30 21:31:18.220
7568	1007-19459	USED	1007	2021-12-28 19:46:28.649
2374	1008-15591	USED	1008	2021-12-26 15:52:06.395
10648	1007-19249	USED	1007	2021-12-09 05:50:45.523
16558	1004-15954	USED	1004	2021-12-13 04:46:12.623
4568	1005-27796	USED	1005	2021-12-27 00:20:39.270
10150	1002-25037	USED	1002	2021-12-17 21:02:48.394
17940	1009-16042	USED	1009	2021-12-29 11:22:55.936
10208	1006-10517	USED	1006	2021-12-31 21:07:20.674
5303	1009-1261	USED	1009	2021-12-15 19:51:53.229
17987	1004-18708	USED	1004	2021-12-09 21:10:51.490
1028	1008-13578	USED	1008	2021-12-10 17:04:44.418
19413	1006-22931	USED	1006	2021-12-29 15:08:10.393
18866	1002-23183	USED	1002	2021-12-07 01:58:23.128
8783	1007-25955	USED	1007	2021-12-13 22:54:32.686
18314	1004-27375	USED	1004	2021-12-07 06:03:26.822
8165	1004-26194	USED	1004	2021-12-18 21:47:14.854
289	1006-29379	USED	1006	2021-12-13 02:35:19.905
9705	1007-25043	USED	1007	2021-12-17 15:13:08.225
7005	1009-15178	USED	1009	2021-12-19 20:11:44.149
366	1009-1441	USED	1009	2021-12-16 01:09:18.834
9257	1007-2174	USED	1007	2021-12-26 08:42:04.193
8995	1001-26583	USED	1001	2021-12-06 09:58:37.823
9761	1009-23613	USED	1009	2021-12-27 16:51:02.350
16875	1008-1232	USED	1008	2021-12-13 00:11:33.013
1009	1000-11769	USED	1000	2021-12-11 14:29:22.820
13346	1009-27738	USED	1009	2021-12-26 00:39:29.118
15045	1007-26342	USED	1007	2021-12-12 21:18:27.180
2564	1004-12633	USED	1004	2021-12-09 22:02:39.432
19890	1005-14438	USED	1005	2021-12-26 17:36:30.923
5480	1001-8893	USED	1001	2021-12-01 18:09:07.320
14610	1009-3424	USED	1009	2021-12-19 08:28:48.481
15990	1002-1695	USED	1002	2021-12-11 04:58:21.857
1279	1001-21971	USED	1001	2021-12-07 23:29:15.960
5270	1004-22958	USED	1004	2021-12-10 22:24:31.623
3012	1005-8401	USED	1005	2021-12-11 21:40:30.725
5850	1003-9164	USED	1003	2021-12-21 01:29:08.971
13231	1009-4604	USED	1009	2021-12-11 17:04:38.384
8202	1007-11495	USED	1007	2021-12-11 14:06:15.185
17545	1006-26146	USED	1006	2021-12-22 23:22:16.780
1406	1004-15075	USED	1004	2021-12-13 19:37:22.088
5923	1001-23200	USED	1001	2021-12-01 12:33:50.485
6754	1004-5512	USED	1004	2021-12-12 04:39:24.529
9868	1001-24000	USED	1001	2021-12-29 18:02:26.527
