userid	voucherCode	status	campaignID	time
17247	1007-7791	USED	1007	2021-12-06 12:42:55.956
3175	1007-19790	USED	1007	2021-12-30 14:32:12.208
13570	1000-29560	USED	1000	2021-12-24 15:41:44.108
6484	1008-23358	USED	1008	2021-12-26 19:01:25.449
2931	1002-21130	USED	1002	2021-12-07 02:32:51.292
5731	1006-1637	USED	1006	2021-12-14 05:38:51.618
14960	1003-29632	USED	1003	2021-12-29 08:08:48.628
432	1008-11089	USED	1008	2021-12-14 21:29:48.409
4027	1007-19132	USED	1007	2021-12-05 07:07:41.583
6940	1004-15660	USED	1004	2021-12-26 18:26:35.108
5451	1009-580	USED	1009	2021-12-28 13:52:15.948
6633	1000-28066	USED	1000	2021-12-24 15:55:12.093
19981	1004-15804	USED	1004	2021-12-19 04:22:16.226
1313	1002-19919	USED	1002	2021-12-08 13:04:42.510
14031	1003-16039	USED	1003	2021-12-11 19:14:19.353
16803	1000-22910	USED	1000	2021-12-28 04:09:58.459
16087	1000-19850	USED	1000	2021-12-24 01:32:07.053
19177	1006-12745	USED	1006	2021-12-23 00:47:24.055
19876	1006-19229	USED	1006	2021-12-17 09:53:00.746
14244	1002-11693	USED	1002	2021-12-26 01:20:00.208
3668	1003-3680	USED	1003	2021-12-10 04:21:17.599
1272	1005-12668	USED	1005	2021-12-29 10:38:24.899
73	1009-6543	USED	1009	2021-12-05 17:22:39.331
4075	1008-16362	USED	1008	2021-12-27 01:43:53.658
18885	1005-8370	USED	1005	2021-12-28 09:37:14.131
17526	1006-27029	USED	1006	2021-12-25 03:01:05.875
10742	1003-24604	USED	1003	2021-12-14 04:55:30.622
2702	1001-21441	USED	1001	2021-12-13 04:43:28.994
1081	1007-18128	USED	1007	2021-12-30 06:43:37.182
12073	1004-17036	USED	1004	2021-12-16 10:01:37.902
677	1004-11697	USED	1004	2021-12-11 03:01:35.806
6017	1000-26409	USED	1000	2021-12-05 15:37:16.979
18808	1002-19749	USED	1002	2021-12-22 13:57:51.105
1405	1006-3583	USED	1006	2021-12-20 23:46:34.975
12099	1003-26155	USED	1003	2021-12-17 15:54:21.924
18505	1000-20432	USED	1000	2021-12-24 03:23:44.740
7881	1006-6745	USED	1006	2021-12-16 07:40:06.556
17369	1005-25208	USED	1005	2021-12-18 16:51:21.450
8761	1005-2449	USED	1005	2021-12-27 12:24:28.169
1438	1006-24810	USED	1006	2021-12-27 05:59:46.201
13164	1002-14366	USED	1002	2021-12-27 22:36:16.812
7719	1008-13910	USED	1008	2021-12-13 22:52:50.272
12681	1003-28268	USED	1003	2021-12-19 21:00:06.294
2211	1006-233	USED	1006	2021-12-11 05:58:29.760
9359	1003-19542	USED	1003	2021-12-29 13:44:48.975
18264	1007-5780	USED	1007	2021-12-28 01:20:32.251
3051	1001-29156	USED	1001	2021-12-21 23:26:40.789
11915	1009-15920	USED	1009	2021-12-08 12:04:54.835
5226	1006-15843	USED	1006	2021-12-03 17:23:04.066
16462	1000-2523	USED	1000	2021-12-12 10:47:42.712
14539	1003-13576	USED	1003	2021-12-19 13:10:07.965
357	1009-23869	USED	1009	2021-12-30 00:06:03.920
18987	1006-7897	USED	1006	2021-12-25 18:09:52.453
10229	1003-26529	USED	1003	2021-12-01 20:09:08.124
16211	1006-18088	USED	1006	2021-12-20 22:08:31.290
5353	1006-9598	USED	1006	2021-12-13 08:50:47.096
15292	1004-5310	USED	1004	2021-12-10 15:07:55.280
19422	1006-5746	USED	1006	2021-12-07 21:28:54.151
15026	1001-15023	USED	1001	2021-12-30 05:43:59.997
19705	1003-27653	USED	1003	2021-12-07 09:38:24.097
9761	1009-21822	USED	1009	2021-12-09 09:52:00.131
2010	1008-22332	USED	1008	2021-12-21 06:50:57.662
12530	1004-16352	USED	1004	2021-12-26 15:52:10.079
6561	1000-24070	USED	1000	2021-12-23 10:32:39.970
4922	1008-22740	USED	1008	2021-12-04 19:41:39.641
1718	1006-4923	USED	1006	2021-12-11 21:56:24.908
12598	1000-12483	USED	1000	2021-12-11 14:52:07.265
11269	1001-19102	USED	1001	2021-12-27 14:37:19.744
12735	1001-16507	USED	1001	2021-12-15 23:25:03.411
8764	1002-24458	USED	1002	2021-12-22 16:59:34.556
2542	1001-11362	USED	1001	2021-12-21 23:42:43.739
2059	1008-22492	USED	1008	2021-12-16 21:51:51.092
174	1007-29584	USED	1007	2021-12-14 16:45:53.496
4705	1003-22504	USED	1003	2021-12-10 00:43:29.332
1260	1008-5545	USED	1008	2021-12-25 22:27:05.937
8643	1008-19398	USED	1008	2021-12-25 00:11:42.896
14745	1006-15324	USED	1006	2021-12-06 05:16:15.562
3022	1007-26385	USED	1007	2021-12-18 12:03:43.585
13401	1003-23308	USED	1003	2021-12-30 20:17:03.699
19717	1006-27794	USED	1006	2021-12-05 15:42:49.107
17149	1001-22643	USED	1001	2021-12-16 17:34:01.456
13624	1002-12058	USED	1002	2021-12-23 00:25:54.230
18350	1002-10571	USED	1002	2021-12-20 09:51:21.855
4115	1001-18986	USED	1001	2021-12-23 19:00:50.575
7733	1003-3574	USED	1003	2021-12-27 22:07:45.425
19382	1003-15444	USED	1003	2021-12-30 11:20:42.518
7133	1006-25705	USED	1006	2021-12-18 17:38:42.181
19527	1005-24355	USED	1005	2021-12-17 00:54:40.064
7791	1009-25051	USED	1009	2021-12-25 10:43:02.227
5315	1005-691	USED	1005	2021-12-30 03:51:31.348
17285	1004-24965	USED	1004	2021-12-04 00:19:17.175
9704	1004-27649	USED	1004	2021-12-26 07:10:42.589
6360	1009-11346	USED	1009	2021-12-13 16:45:43.626
3523	1002-3901	USED	1002	2021-12-05 06:14:37.287
8689	1004-22309	USED	1004	2021-12-17 15:22:41.951
8745	1003-179	USED	1003	2021-12-04 14:03:36.501
8247	1006-26811	USED	1006	2021-12-17 15:03:34.025
10450	1005-27099	USED	1005	2021-12-28 22:41:08.165
3249	1007-576	USED	1007	2021-12-05 09:33:29.315
6383	1001-1798	USED	1001	2021-12-15 10:27:40.130
18263	1007-24050	USED	1007	2021-12-16 18:11:54.674
4600	1005-22297	USED	1005	2021-12-28 00:55:12.970
18424	1009-5798	USED	1009	2021-12-25 13:54:12.687
13775	1003-6182	USED	1003	2021-12-30 18:33:58.427
11747	1001-13188	USED	1001	2021-12-05 20:33:07.776
14744	1004-6068	USED	1004	2021-12-23 20:48:21.715
7313	1006-16024	USED	1006	2021-12-04 13:11:28.520
14338	1004-4147	USED	1004	2021-12-20 20:09:01.043
325	1006-17542	USED	1006	2021-12-04 05:51:04.123
3540	1003-27464	USED	1003	2021-12-22 04:51:02.012
159	1002-22278	USED	1002	2021-12-01 12:57:13.018
7088	1004-19307	USED	1004	2021-12-23 00:26:56.281
6231	1002-23074	USED	1002	2021-12-17 18:45:14.624
11649	1000-13345	USED	1000	2021-12-19 16:46:05.314
18523	1001-18864	USED	1001	2021-12-29 14:34:14.576
15071	1007-12228	USED	1007	2021-12-23 11:39:57.612
8181	1009-29374	USED	1009	2021-12-28 09:38:07.190
9226	1000-16117	USED	1000	2021-12-24 10:03:36.102
19033	1006-2631	USED	1006	2021-12-30 09:18:38.708
14425	1000-20451	USED	1000	2021-12-27 04:32:57.080
9855	1007-6865	USED	1007	2021-12-22 19:40:45.997
18974	1001-18559	USED	1001	2021-12-15 02:01:29.872
7994	1007-1247	USED	1007	2021-12-12 18:54:16.851
17913	1009-14646	USED	1009	2021-12-27 02:46:37.313
11318	1000-16820	USED	1000	2021-12-17 01:43:46.552
649	1003-29863	USED	1003	2021-12-08 13:24:56.901
6206	1000-24103	USED	1000	2021-12-28 05:15:28.472
18236	1009-25865	USED	1009	2021-12-29 09:29:42.373
1388	1008-16277	USED	1008	2021-12-29 12:13:46.102
16274	1007-24125	USED	1007	2021-12-25 00:55:15.956
351	1007-1434	USED	1007	2021-12-10 22:00:28.337
14763	1002-23246	USED	1002	2021-12-20 11:30:04.318
11133	1004-13513	USED	1004	2021-12-12 00:27:55.421
6530	1002-20216	USED	1002	2021-12-12 15:48:04.645
18200	1001-27308	USED	1001	2021-12-19 20:47:08.523
10550	1005-18138	USED	1005	2021-12-11 09:47:36.081
222	1008-4572	USED	1008	2021-12-31 05:54:15.517
10667	1001-18305	USED	1001	2021-12-27 06:11:29.540
10481	1004-18839	USED	1004	2021-12-07 23:31:43.054
