userid	voucherCode	status	campaignID	time
10598	1102-24	GIVEN	1102	2022-01-01 06:30:52.778
967	1100-28	GIVEN	1100	2022-01-01 07:47:10.469
31020	1104-34	GIVEN	1104	2022-01-01 12:20:05.654
8728	1103-71	GIVEN	1103	2022-01-01 01:14:41.833
23765	1100-139	GIVEN	1100	2022-01-01 18:12:58.367
25977	1105-167	GIVEN	1105	2022-01-01 09:41:09.669
14633	1103-211	GIVEN	1103	2022-01-01 13:41:40.068
8059	1109-234	GIVEN	1109	2022-01-01 10:11:23.284
10455	1108-237	GIVEN	1108	2022-01-01 22:40:09.520
36558	1109-262	GIVEN	1109	2022-01-01 11:05:42.260
10075	1102-270	GIVEN	1102	2022-01-01 11:14:25.026
26171	1105-297	GIVEN	1105	2022-01-01 00:40:42.074
21865	1104-311	GIVEN	1104	2022-01-01 20:06:42.307
27490	1102-349	GIVEN	1102	2022-01-01 00:13:19.935
22401	1102-363	GIVEN	1102	2022-01-01 17:57:23.735
25006	1103-376	GIVEN	1103	2022-01-01 09:41:56.861
21137	1107-442	GIVEN	1107	2022-01-01 15:32:51.368
29627	1108-484	GIVEN	1108	2022-01-01 11:04:56.616
21614	1108-582	GIVEN	1108	2022-01-01 11:26:21.981
21977	1106-621	GIVEN	1106	2022-01-01 01:22:58.100
34009	1103-631	GIVEN	1103	2022-01-01 14:38:38.328
4626	1101-705	GIVEN	1101	2022-01-01 16:34:58.083
13427	1104-719	GIVEN	1104	2022-01-01 06:09:40.702
8946	1108-779	GIVEN	1108	2022-01-01 22:33:25.660
36404	1108-789	GIVEN	1108	2022-01-01 09:54:18.520
2125	1107-809	GIVEN	1107	2022-01-01 16:50:16.019
38127	1104-835	GIVEN	1104	2022-01-01 05:26:54.806
19017	1106-845	GIVEN	1106	2022-01-01 07:33:39.814
19072	1109-916	GIVEN	1109	2022-01-01 06:24:09.407
26344	1100-1088	GIVEN	1100	2022-01-01 18:55:12.793
30963	1107-1099	GIVEN	1107	2022-01-01 06:47:41.233
24831	1105-1139	GIVEN	1105	2022-01-01 09:29:02.949
19043	1109-1172	GIVEN	1109	2022-01-01 13:59:33.565
13169	1104-1179	GIVEN	1104	2022-01-01 02:16:41.620
36400	1103-1200	GIVEN	1103	2022-01-01 04:06:00.579
3555	1102-1269	GIVEN	1102	2022-01-01 09:14:45.434
6448	1103-1299	GIVEN	1103	2022-01-01 03:02:58.111
30533	1105-1315	GIVEN	1105	2022-01-01 18:01:25.474
34157	1102-1354	GIVEN	1102	2022-01-01 21:07:15.787
31788	1109-1381	GIVEN	1109	2022-01-01 01:26:09.324
11798	1108-1414	GIVEN	1108	2022-01-01 22:59:05.825
7990	1105-1447	GIVEN	1105	2022-01-01 22:26:03.341
7260	1102-1451	GIVEN	1102	2022-01-01 15:06:28.320
26442	1109-1461	GIVEN	1109	2022-01-01 13:32:46.329
36615	1105-1469	GIVEN	1105	2022-01-01 13:24:26.029
12906	1108-1493	GIVEN	1108	2022-01-01 15:55:02.723
7430	1106-1496	GIVEN	1106	2022-01-01 21:29:06.130
32706	1101-1518	GIVEN	1101	2022-01-01 15:35:13.670
28394	1107-1551	GIVEN	1107	2022-01-01 00:15:41.298
12499	1103-1569	GIVEN	1103	2022-01-01 09:53:50.312
5634	1102-1634	GIVEN	1102	2022-01-01 11:01:38.453
30551	1104-1671	GIVEN	1104	2022-01-01 20:02:10.575
19948	1101-1738	GIVEN	1101	2022-01-01 20:12:31.439
25	1103-1773	GIVEN	1103	2022-01-01 01:01:24.786
18539	1107-1890	GIVEN	1107	2022-01-01 21:46:00.272
11093	1109-1892	GIVEN	1109	2022-01-01 13:53:02.757
11078	1106-1902	GIVEN	1106	2022-01-01 15:43:28.390
9581	1102-1946	GIVEN	1102	2022-01-01 22:09:56.052
21930	1102-1951	GIVEN	1102	2022-01-01 13:10:39.320
21214	1104-1971	GIVEN	1104	2022-01-01 13:19:45.278
35374	1101-2026	GIVEN	1101	2022-01-01 03:14:10.442
14105	1105-2046	GIVEN	1105	2022-01-01 10:39:10.485
22377	1106-2073	GIVEN	1106	2022-01-01 20:07:28.979
16156	1106-2113	GIVEN	1106	2022-01-01 20:16:23.013
16169	1106-2117	GIVEN	1106	2022-01-01 18:54:52.981
26000	1102-2132	GIVEN	1102	2022-01-01 22:45:42.549
10107	1103-2160	GIVEN	1103	2022-01-01 09:10:44.862
3569	1101-2219	GIVEN	1101	2022-01-01 13:43:49.007
20017	1103-2220	GIVEN	1103	2022-01-01 12:14:10.080
25424	1104-2241	GIVEN	1104	2022-01-01 20:17:06.158
13108	1101-2271	GIVEN	1101	2022-01-01 10:53:21.957
35663	1101-2303	GIVEN	1101	2022-01-01 06:21:59.219
38573	1106-2317	GIVEN	1106	2022-01-01 09:38:27.064
14796	1109-2337	GIVEN	1109	2022-01-01 23:59:26.748
22270	1101-2403	GIVEN	1101	2022-01-01 11:58:09.053
15961	1104-2419	GIVEN	1104	2022-01-01 08:00:19.053
24454	1102-2447	GIVEN	1102	2022-01-01 20:07:19.010
23961	1101-2477	GIVEN	1101	2022-01-01 22:01:05.606
12435	1109-2538	GIVEN	1109	2022-01-01 07:03:04.824
27524	1104-2604	GIVEN	1104	2022-01-01 09:27:35.410
30343	1106-2619	GIVEN	1106	2022-01-01 09:58:41.827
18114	1106-2633	GIVEN	1106	2022-01-01 07:02:05.992
10827	1100-2676	GIVEN	1100	2022-01-01 03:00:51.324
35433	1102-2678	GIVEN	1102	2022-01-01 06:16:06.922
19464	1105-2682	GIVEN	1105	2022-01-01 23:36:50.294
37677	1107-2746	GIVEN	1107	2022-01-01 11:28:01.334
36071	1103-2747	GIVEN	1103	2022-01-01 20:20:13.447
23944	1106-2764	GIVEN	1106	2022-01-01 21:21:33.155
3240	1107-2800	GIVEN	1107	2022-01-01 21:17:38.914
30665	1105-2807	GIVEN	1105	2022-01-01 14:58:54.261
8666	1104-2812	GIVEN	1104	2022-01-01 15:20:26.850
13746	1103-2826	GIVEN	1103	2022-01-01 03:20:16.425
33000	1105-2847	GIVEN	1105	2022-01-01 10:17:35.790
7439	1103-2849	GIVEN	1103	2022-01-01 00:10:24.336
23415	1104-2927	GIVEN	1104	2022-01-01 17:15:38.397
16441	1108-2933	GIVEN	1108	2022-01-01 08:10:44.685
9258	1105-2968	GIVEN	1105	2022-01-01 23:51:32.403
13913	1108-2974	GIVEN	1108	2022-01-01 05:28:45.440
22849	1101-2981	GIVEN	1101	2022-01-01 23:42:52.818
39972	1106-3060	GIVEN	1106	2022-01-01 00:57:14.327
10652	1107-3128	GIVEN	1107	2022-01-01 02:41:57.968
27048	1100-3183	GIVEN	1100	2022-01-01 08:24:13.142
8864	1104-3328	GIVEN	1104	2022-01-01 04:26:58.598
37958	1109-3339	GIVEN	1109	2022-01-01 21:28:03.749
14512	1109-3346	GIVEN	1109	2022-01-01 14:43:19.250
25811	1103-3479	GIVEN	1103	2022-01-01 04:11:18.922
4721	1101-3513	GIVEN	1101	2022-01-01 21:16:47.177
3533	1107-3530	GIVEN	1107	2022-01-01 16:51:58.044
6666	1103-3576	GIVEN	1103	2022-01-01 05:23:11.825
343	1109-3599	GIVEN	1109	2022-01-01 06:35:55.887
223	1106-3617	GIVEN	1106	2022-01-01 03:33:49.607
36502	1109-3640	GIVEN	1109	2022-01-01 08:20:57.644
11342	1104-3654	GIVEN	1104	2022-01-01 13:04:56.744
35045	1109-3669	GIVEN	1109	2022-01-01 07:26:05.545
26783	1103-3683	GIVEN	1103	2022-01-01 17:37:18.369
9947	1104-3727	GIVEN	1104	2022-01-01 04:21:40.541
7551	1102-3731	GIVEN	1102	2022-01-01 05:14:05.351
12560	1100-3772	GIVEN	1100	2022-01-01 08:49:20.660
38514	1101-3856	GIVEN	1101	2022-01-01 10:13:48.147
23737	1107-3864	GIVEN	1107	2022-01-01 09:42:09.631
14459	1100-3915	GIVEN	1100	2022-01-01 14:08:33.117
9853	1100-3991	GIVEN	1100	2022-01-01 20:01:17.969
5806	1109-4028	GIVEN	1109	2022-01-01 09:20:54.026
