userid	voucherCode	status	campaignID	time
5846	1108-10	GIVEN	1108	2022-01-02 13:18:07.533
36314	1104-108	GIVEN	1104	2022-01-02 01:53:19.881
30428	1107-140	GIVEN	1107	2022-01-02 08:57:03.525
25717	1106-160	GIVEN	1106	2022-01-02 02:53:02.000
7426	1105-227	GIVEN	1105	2022-01-02 16:22:10.232
34941	1107-319	GIVEN	1107	2022-01-02 18:11:02.894
35370	1107-396	GIVEN	1107	2022-01-02 12:19:02.814
7535	1103-402	GIVEN	1103	2022-01-02 05:48:23.778
35891	1101-403	GIVEN	1101	2022-01-02 15:42:42.364
38486	1101-430	GIVEN	1101	2022-01-02 11:26:33.123
17583	1107-472	GIVEN	1107	2022-01-02 06:15:13.969
21904	1106-478	GIVEN	1106	2022-01-02 03:22:02.468
25356	1107-481	GIVEN	1107	2022-01-02 01:08:10.258
13421	1101-487	GIVEN	1101	2022-01-02 16:26:47.161
19050	1108-488	GIVEN	1108	2022-01-02 18:45:04.405
6412	1101-495	GIVEN	1101	2022-01-02 13:38:37.878
30873	1101-558	GIVEN	1101	2022-01-02 11:36:43.307
29144	1101-630	GIVEN	1101	2022-01-02 06:41:17.186
14488	1106-657	GIVEN	1106	2022-01-02 00:06:23.846
38229	1107-713	GIVEN	1107	2022-01-02 16:27:02.066
28679	1104-725	GIVEN	1104	2022-01-02 08:06:05.569
27107	1103-740	GIVEN	1103	2022-01-02 14:32:33.574
21115	1104-752	GIVEN	1104	2022-01-02 04:02:45.286
34434	1103-777	GIVEN	1103	2022-01-02 22:57:44.411
33608	1107-833	GIVEN	1107	2022-01-02 02:06:24.944
18209	1109-852	GIVEN	1109	2022-01-02 04:56:54.214
26983	1107-898	GIVEN	1107	2022-01-02 06:29:53.319
16849	1101-899	GIVEN	1101	2022-01-02 00:58:27.381
26289	1104-900	GIVEN	1104	2022-01-02 23:39:41.757
36413	1104-902	GIVEN	1104	2022-01-02 07:42:35.562
30568	1109-914	GIVEN	1109	2022-01-02 21:43:25.488
5066	1108-920	GIVEN	1108	2022-01-02 18:01:55.507
29416	1107-960	GIVEN	1107	2022-01-02 20:13:48.033
4883	1101-978	GIVEN	1101	2022-01-02 09:35:15.436
38917	1107-990	GIVEN	1107	2022-01-02 08:54:46.183
15275	1106-994	GIVEN	1106	2022-01-02 07:49:58.066
27493	1106-1020	GIVEN	1106	2022-01-02 22:02:22.042
24831	1106-1041	GIVEN	1106	2022-01-02 01:07:25.188
8385	1109-1049	GIVEN	1109	2022-01-02 16:10:20.507
3116	1106-1087	GIVEN	1106	2022-01-02 04:28:10.772
34652	1107-1090	GIVEN	1107	2022-01-02 15:04:34.822
24207	1103-1106	GIVEN	1103	2022-01-02 20:50:46.615
800	1109-1117	GIVEN	1109	2022-01-02 10:34:49.111
9498	1103-1190	GIVEN	1103	2022-01-02 14:02:26.615
18361	1101-1255	GIVEN	1101	2022-01-02 10:00:26.930
15939	1106-1265	GIVEN	1106	2022-01-02 10:51:59.440
974	1101-1270	GIVEN	1101	2022-01-02 20:03:48.396
5103	1104-1369	GIVEN	1104	2022-01-02 16:42:46.048
26183	1106-1388	GIVEN	1106	2022-01-02 20:22:24.713
9163	1105-1412	GIVEN	1105	2022-01-02 14:39:52.727
10649	1105-1417	GIVEN	1105	2022-01-02 02:11:42.326
26812	1100-1460	GIVEN	1100	2022-01-02 17:25:32.935
