userid	voucherCode	status	campaignID	time
8421	1107-5	GIVEN	1107	2022-01-03 16:44:15.925
13058	1106-6	GIVEN	1106	2022-01-03 19:51:03.707
13870	1107-35	GIVEN	1107	2022-01-03 14:51:58.962
35676	1108-51	GIVEN	1108	2022-01-03 17:50:29.037
38833	1105-58	GIVEN	1105	2022-01-03 13:13:24.263
8232	1109-63	GIVEN	1109	2022-01-03 04:40:25.124
24962	1109-94	GIVEN	1109	2022-01-03 04:09:56.553
38007	1102-132	GIVEN	1102	2022-01-03 22:22:07.816
21942	1109-285	GIVEN	1109	2022-01-03 20:11:57.204
7926	1108-286	GIVEN	1108	2022-01-03 12:33:49.726
27513	1101-296	GIVEN	1101	2022-01-03 12:14:22.190
32248	1109-357	GIVEN	1109	2022-01-03 00:17:17.062
34034	1104-416	GIVEN	1104	2022-01-03 13:40:11.229
12962	1107-418	GIVEN	1107	2022-01-03 10:09:38.945
28144	1101-465	GIVEN	1101	2022-01-03 02:51:07.642
38416	1105-470	GIVEN	1105	2022-01-03 13:21:44.039
18616	1107-486	GIVEN	1107	2022-01-03 22:29:22.722
27325	1102-510	GIVEN	1102	2022-01-03 05:30:08.278
25203	1101-528	GIVEN	1101	2022-01-03 10:09:19.478
33529	1108-554	GIVEN	1108	2022-01-03 00:29:33.403
815	1100-570	GIVEN	1100	2022-01-03 11:37:05.799
25370	1102-594	GIVEN	1102	2022-01-03 19:37:08.284
33009	1101-617	GIVEN	1101	2022-01-03 00:00:33.720
10564	1106-724	GIVEN	1106	2022-01-03 02:50:16.634
24289	1102-727	GIVEN	1102	2022-01-03 10:58:50.752
28583	1108-765	GIVEN	1108	2022-01-03 13:21:05.605
20377	1108-821	GIVEN	1108	2022-01-03 02:30:08.060
2521	1105-864	GIVEN	1105	2022-01-03 21:37:52.895
29502	1103-871	GIVEN	1103	2022-01-03 23:08:23.837
3134	1100-908	GIVEN	1100	2022-01-03 12:37:52.077
34784	1107-964	GIVEN	1107	2022-01-03 00:45:57.345
11895	1107-986	GIVEN	1107	2022-01-03 21:36:41.896
23641	1107-1009	GIVEN	1107	2022-01-03 01:24:29.156
