userid	voucherCode	status	campaignID	time
32986	1109-23	GIVEN	1109	2022-01-04 08:14:48.485
792	1107-25	GIVEN	1107	2022-01-04 11:54:25.657
22532	1102-107	GIVEN	1102	2022-01-04 14:54:40.798
10623	1102-155	GIVEN	1102	2022-01-04 10:31:23.064
31911	1104-195	GIVEN	1104	2022-01-04 19:28:52.011
3629	1106-217	GIVEN	1106	2022-01-04 21:09:28.552
1568	1100-239	GIVEN	1100	2022-01-04 03:47:24.186
24619	1107-265	GIVEN	1107	2022-01-04 02:15:31.465
27257	1107-266	GIVEN	1107	2022-01-04 11:11:11.557
26843	1101-277	GIVEN	1101	2022-01-04 20:46:12.719
27944	1105-324	GIVEN	1105	2022-01-04 18:46:56.222
36608	1103-328	GIVEN	1103	2022-01-04 13:34:57.423
30188	1105-342	GIVEN	1105	2022-01-04 07:12:08.788
25887	1106-395	GIVEN	1106	2022-01-04 04:31:23.263
33857	1103-398	GIVEN	1103	2022-01-04 07:57:42.068
10101	1104-414	GIVEN	1104	2022-01-04 13:31:42.292
31439	1104-451	GIVEN	1104	2022-01-04 11:31:33.741
8399	1101-457	GIVEN	1101	2022-01-04 00:54:31.312
28451	1108-480	GIVEN	1108	2022-01-04 11:23:03.064
26673	1109-526	GIVEN	1109	2022-01-04 13:48:23.107
5327	1108-614	GIVEN	1108	2022-01-04 06:22:53.536
561	1109-624	GIVEN	1109	2022-01-04 16:06:14.059
17719	1109-635	GIVEN	1109	2022-01-04 00:00:32.761
25982	1107-671	GIVEN	1107	2022-01-04 07:29:26.886
17286	1106-677	GIVEN	1106	2022-01-04 21:38:26.360
6295	1105-698	GIVEN	1105	2022-01-04 21:45:33.691
39032	1102-722	GIVEN	1102	2022-01-04 23:58:53.892
29722	1103-793	GIVEN	1103	2022-01-04 17:36:35.237
31747	1107-801	GIVEN	1107	2022-01-04 03:44:51.307
9869	1102-957	GIVEN	1102	2022-01-04 08:15:07.599
17986	1103-975	GIVEN	1103	2022-01-04 05:44:43.474
31058	1104-977	GIVEN	1104	2022-01-04 15:32:50.550
14767	1100-979	GIVEN	1100	2022-01-04 07:45:10.931
10235	1109-1000	GIVEN	1109	2022-01-04 18:13:48.932
475	1101-1112	GIVEN	1101	2022-01-04 17:00:05.342
18391	1102-1134	GIVEN	1102	2022-01-04 07:00:11.881
9442	1103-1165	GIVEN	1103	2022-01-04 10:22:52.709
33558	1100-1235	GIVEN	1100	2022-01-04 11:21:58.661
38468	1105-1258	GIVEN	1105	2022-01-04 03:45:43.425
27501	1106-1330	GIVEN	1106	2022-01-04 17:42:37.494
14445	1100-1405	GIVEN	1100	2022-01-04 20:47:58.453
14663	1101-1445	GIVEN	1101	2022-01-04 05:49:35.015
38080	1103-1453	GIVEN	1103	2022-01-04 03:03:51.117
4674	1101-1454	GIVEN	1101	2022-01-04 00:34:20.159
10383	1102-1519	GIVEN	1102	2022-01-04 19:21:56.873
20081	1103-1549	GIVEN	1103	2022-01-04 23:13:41.866
26933	1107-1560	GIVEN	1107	2022-01-04 17:53:54.208
4525	1104-1565	GIVEN	1104	2022-01-04 22:13:39.999
36857	1103-1636	GIVEN	1103	2022-01-04 12:46:09.388
12348	1109-1641	GIVEN	1109	2022-01-04 23:08:25.774
9086	1100-1663	GIVEN	1100	2022-01-04 15:43:36.099
7423	1109-1670	GIVEN	1109	2022-01-04 17:11:24.580
16844	1104-1715	GIVEN	1104	2022-01-04 03:58:42.229
27055	1107-1726	GIVEN	1107	2022-01-04 14:53:30.151
4969	1108-1755	GIVEN	1108	2022-01-04 05:10:43.862
4225	1107-1784	GIVEN	1107	2022-01-04 02:45:51.375
31074	1107-1834	GIVEN	1107	2022-01-04 00:16:19.172
20978	1107-1835	GIVEN	1107	2022-01-04 15:45:27.586
18284	1103-1913	GIVEN	1103	2022-01-04 07:44:37.740
24956	1108-1949	GIVEN	1108	2022-01-04 09:17:37.668
12045	1109-1959	GIVEN	1109	2022-01-04 12:12:20.056
38449	1108-1986	GIVEN	1108	2022-01-04 12:17:15.931
15539	1100-2035	GIVEN	1100	2022-01-04 09:44:35.645
18650	1107-2043	GIVEN	1107	2022-01-04 08:58:10.536
25927	1107-2054	GIVEN	1107	2022-01-04 11:14:52.554
13884	1109-2062	GIVEN	1109	2022-01-04 13:19:30.504
38958	1103-2099	GIVEN	1103	2022-01-04 05:00:40.740
25768	1101-2149	GIVEN	1101	2022-01-04 20:57:35.073
5699	1104-2179	GIVEN	1104	2022-01-04 22:27:19.494
33285	1101-2226	GIVEN	1101	2022-01-04 15:27:37.981
4677	1107-2233	GIVEN	1107	2022-01-04 14:22:43.276
10115	1104-2259	GIVEN	1104	2022-01-04 00:32:27.043
10217	1104-2308	GIVEN	1104	2022-01-04 13:48:45.948
16376	1103-2309	GIVEN	1103	2022-01-04 02:05:12.644
35526	1109-2327	GIVEN	1109	2022-01-04 07:01:54.523
28545	1109-2345	GIVEN	1109	2022-01-04 03:05:06.026
28869	1104-2365	GIVEN	1104	2022-01-04 00:44:43.927
10216	1101-2406	GIVEN	1101	2022-01-04 09:44:23.663
29158	1105-2407	GIVEN	1105	2022-01-04 12:09:53.939
