userid	voucherCode	status	campaignID	time
25397	1103-43	GIVEN	1103	2022-01-05 23:51:53.670
25153	1103-62	GIVEN	1103	2022-01-05 21:33:18.894
39411	1109-79	GIVEN	1109	2022-01-05 12:47:38.196
6356	1101-143	GIVEN	1101	2022-01-05 15:39:35.514
2973	1108-147	GIVEN	1108	2022-01-05 13:37:39.044
28331	1106-185	GIVEN	1106	2022-01-05 18:18:32.614
17351	1100-259	GIVEN	1100	2022-01-05 12:51:44.443
7548	1104-272	GIVEN	1104	2022-01-05 15:11:53.021
1438	1107-302	GIVEN	1107	2022-01-05 20:21:19.036
31878	1101-309	GIVEN	1101	2022-01-05 19:02:29.368
14750	1103-313	GIVEN	1103	2022-01-05 21:23:50.704
720	1108-322	GIVEN	1108	2022-01-05 18:33:02.765
39438	1100-323	GIVEN	1100	2022-01-05 12:23:05.023
21235	1107-391	GIVEN	1107	2022-01-05 20:23:03.140
31879	1107-460	GIVEN	1107	2022-01-05 23:09:23.030
16439	1106-474	GIVEN	1106	2022-01-05 18:19:50.244
29716	1100-509	GIVEN	1100	2022-01-05 06:05:28.254
1551	1104-544	GIVEN	1104	2022-01-05 07:54:02.982
26285	1103-625	GIVEN	1103	2022-01-05 17:00:39.654
30993	1100-651	GIVEN	1100	2022-01-05 18:30:24.946
33103	1107-653	GIVEN	1107	2022-01-05 02:19:59.791
35705	1103-663	GIVEN	1103	2022-01-05 01:57:03.448
30653	1104-693	GIVEN	1104	2022-01-05 20:49:55.973
13985	1103-751	GIVEN	1103	2022-01-05 15:40:42.931
10903	1100-753	GIVEN	1100	2022-01-05 13:31:36.319
5092	1109-757	GIVEN	1109	2022-01-05 16:18:05.951
33845	1109-783	GIVEN	1109	2022-01-05 05:52:48.005
13681	1103-802	GIVEN	1103	2022-01-05 12:47:54.655
10829	1104-846	GIVEN	1104	2022-01-05 06:58:59.051
5467	1100-870	GIVEN	1100	2022-01-05 07:19:27.526
30696	1108-882	GIVEN	1108	2022-01-05 10:54:08.718
34049	1102-946	GIVEN	1102	2022-01-05 15:16:53.346
22876	1102-951	GIVEN	1102	2022-01-05 02:08:35.302
15935	1109-952	GIVEN	1109	2022-01-05 04:21:38.581
19048	1105-955	GIVEN	1105	2022-01-05 16:54:54.749
18370	1107-969	GIVEN	1107	2022-01-05 16:04:00.731
23087	1105-976	GIVEN	1105	2022-01-05 19:39:42.605
18217	1100-987	GIVEN	1100	2022-01-05 02:19:09.146
