userid	voucherCode	status	campaignID	time
2675	1106-57	GIVEN	1106	2022-01-06 01:16:57.042
10499	1105-60	GIVEN	1105	2022-01-06 23:27:11.088
9023	1107-64	GIVEN	1107	2022-01-06 05:12:08.170
6696	1107-96	GIVEN	1107	2022-01-06 13:15:30.811
35565	1109-112	GIVEN	1109	2022-01-06 12:02:55.965
30064	1104-122	GIVEN	1104	2022-01-06 17:27:39.966
2486	1101-149	GIVEN	1101	2022-01-06 13:22:25.372
12144	1108-184	GIVEN	1108	2022-01-06 00:51:56.441
14770	1108-186	GIVEN	1108	2022-01-06 07:53:22.453
32292	1100-206	GIVEN	1100	2022-01-06 06:23:36.607
22749	1103-216	GIVEN	1103	2022-01-06 17:59:56.598
22396	1102-224	GIVEN	1102	2022-01-06 12:57:36.515
21637	1109-245	GIVEN	1109	2022-01-06 14:17:03.327
90	1101-254	GIVEN	1101	2022-01-06 00:53:30.800
2751	1106-287	GIVEN	1106	2022-01-06 17:28:42.166
3368	1108-298	GIVEN	1108	2022-01-06 05:06:46.929
20528	1109-326	GIVEN	1109	2022-01-06 06:35:37.825
27747	1106-361	GIVEN	1106	2022-01-06 19:40:47.321
36171	1100-410	GIVEN	1100	2022-01-06 06:05:57.174
6235	1100-428	GIVEN	1100	2022-01-06 05:00:29.634
19929	1101-479	GIVEN	1101	2022-01-06 20:46:40.461
36031	1105-530	GIVEN	1105	2022-01-06 19:47:13.959
7908	1104-531	GIVEN	1104	2022-01-06 06:13:05.068
10140	1102-537	GIVEN	1102	2022-01-06 11:12:46.374
30822	1108-538	GIVEN	1108	2022-01-06 16:44:25.454
33113	1105-613	GIVEN	1105	2022-01-06 01:57:40.207
39417	1101-628	GIVEN	1101	2022-01-06 20:57:51.453
16578	1103-758	GIVEN	1103	2022-01-06 05:38:16.156
24708	1102-767	GIVEN	1102	2022-01-06 14:59:22.096
39367	1109-799	GIVEN	1109	2022-01-06 04:35:27.875
2861	1107-813	GIVEN	1107	2022-01-06 15:00:00.750
30258	1100-849	GIVEN	1100	2022-01-06 00:17:48.558
4653	1106-863	GIVEN	1106	2022-01-06 12:12:25.160
8893	1105-876	GIVEN	1105	2022-01-06 00:26:19.041
14530	1108-878	GIVEN	1108	2022-01-06 17:18:53.486
37504	1101-912	GIVEN	1101	2022-01-06 11:04:50.336
12291	1107-958	GIVEN	1107	2022-01-06 19:33:46.830
3005	1104-1026	GIVEN	1104	2022-01-06 12:15:12.753
34726	1100-1037	GIVEN	1100	2022-01-06 02:47:54.926
2078	1104-1039	GIVEN	1104	2022-01-06 17:47:02.307
39832	1101-1058	GIVEN	1101	2022-01-06 22:46:02.354
11109	1107-1071	GIVEN	1107	2022-01-06 23:11:27.068
19419	1103-1074	GIVEN	1103	2022-01-06 12:06:19.227
