userid	voucherCode	status	campaignID	time
20987	1105-9	GIVEN	1105	2022-01-08 08:54:26.290
10410	1104-180	GIVEN	1104	2022-01-08 15:32:31.543
33952	1103-198	GIVEN	1103	2022-01-08 19:33:37.389
18268	1108-316	GIVEN	1108	2022-01-08 00:36:06.171
35051	1108-421	GIVEN	1108	2022-01-08 19:22:35.623
9222	1105-466	GIVEN	1105	2022-01-08 18:33:46.992
15520	1103-469	GIVEN	1103	2022-01-08 08:12:12.717
10296	1106-483	GIVEN	1106	2022-01-08 08:02:02.730
8436	1100-493	GIVEN	1100	2022-01-08 20:51:23.926
27488	1103-501	GIVEN	1103	2022-01-08 15:46:01.530
36815	1101-539	GIVEN	1101	2022-01-08 14:40:12.441
36340	1105-620	GIVEN	1105	2022-01-08 17:57:08.809
12089	1109-650	GIVEN	1109	2022-01-08 06:06:00.508
24992	1101-662	GIVEN	1101	2022-01-08 14:23:24.156
2189	1106-674	GIVEN	1106	2022-01-08 14:12:36.268
31735	1109-735	GIVEN	1109	2022-01-08 01:13:26.771
24797	1106-754	GIVEN	1106	2022-01-08 22:21:25.668
24580	1101-773	GIVEN	1101	2022-01-08 14:22:34.420
38557	1101-781	GIVEN	1101	2022-01-08 22:21:32.705
13500	1100-794	GIVEN	1100	2022-01-08 21:36:31.979
27826	1109-818	GIVEN	1109	2022-01-08 22:36:18.157
36849	1109-853	GIVEN	1109	2022-01-08 13:27:53.303
11912	1108-889	GIVEN	1108	2022-01-08 09:09:52.915
21604	1100-983	GIVEN	1100	2022-01-08 17:26:18.899
4596	1103-1014	GIVEN	1103	2022-01-08 08:51:21.353
4541	1102-1045	GIVEN	1102	2022-01-08 09:34:12.427
28049	1100-1066	GIVEN	1100	2022-01-08 23:50:13.216
39564	1105-1082	GIVEN	1105	2022-01-08 01:25:15.742
5303	1104-1148	GIVEN	1104	2022-01-08 11:24:05.577
33818	1106-1215	GIVEN	1106	2022-01-08 05:32:42.815
1362	1100-1242	GIVEN	1100	2022-01-08 18:10:03.891
6393	1107-1261	GIVEN	1107	2022-01-08 03:35:38.030
21285	1103-1284	GIVEN	1103	2022-01-08 20:05:23.558
26453	1105-1360	GIVEN	1105	2022-01-08 16:57:00.943
24241	1102-1363	GIVEN	1102	2022-01-08 14:01:59.248
10479	1102-1370	GIVEN	1102	2022-01-08 20:01:59.945
17944	1109-1550	GIVEN	1109	2022-01-08 09:06:23.750
13105	1105-1563	GIVEN	1105	2022-01-08 20:48:17.607
8697	1105-1730	GIVEN	1105	2022-01-08 01:12:21.956
12029	1102-1821	GIVEN	1102	2022-01-08 20:56:56.017
4336	1100-1831	GIVEN	1100	2022-01-08 23:41:19.858
27479	1105-1884	GIVEN	1105	2022-01-08 09:33:12.182
19866	1105-1916	GIVEN	1105	2022-01-08 18:00:06.181
39804	1100-1928	GIVEN	1100	2022-01-08 06:08:18.402
6680	1105-1929	GIVEN	1105	2022-01-08 17:04:59.526
22121	1109-1952	GIVEN	1109	2022-01-08 04:15:55.939
2785	1105-1980	GIVEN	1105	2022-01-08 00:36:25.061
21902	1101-1991	GIVEN	1101	2022-01-08 15:46:24.526
13968	1106-2058	GIVEN	1106	2022-01-08 08:24:55.948
31647	1103-2115	GIVEN	1103	2022-01-08 13:22:40.868
36271	1108-2138	GIVEN	1108	2022-01-08 23:48:41.918
14154	1105-2165	GIVEN	1105	2022-01-08 22:20:37.466
31432	1106-2182	GIVEN	1106	2022-01-08 22:06:53.796
34498	1103-2184	GIVEN	1103	2022-01-08 02:49:04.362
23612	1101-2186	GIVEN	1101	2022-01-08 01:23:32.765
9692	1108-2209	GIVEN	1108	2022-01-08 11:08:37.286
8336	1108-2216	GIVEN	1108	2022-01-08 04:30:16.479
32477	1107-2355	GIVEN	1107	2022-01-08 08:20:59.130
30779	1100-2383	GIVEN	1100	2022-01-08 08:19:43.484
27592	1104-2384	GIVEN	1104	2022-01-08 02:08:24.649
2380	1106-2396	GIVEN	1106	2022-01-08 03:58:01.670
20471	1101-2441	GIVEN	1101	2022-01-08 01:16:21.936
5777	1105-2543	GIVEN	1105	2022-01-08 14:03:54.520
286	1101-2552	GIVEN	1101	2022-01-08 05:02:06.958
6095	1105-2579	GIVEN	1105	2022-01-08 11:27:40.973
16610	1100-2599	GIVEN	1100	2022-01-08 05:06:14.982
22441	1100-2690	GIVEN	1100	2022-01-08 10:45:00.007
6531	1101-2697	GIVEN	1101	2022-01-08 21:58:56.401
37058	1100-2757	GIVEN	1100	2022-01-08 06:24:53.871
4986	1104-2797	GIVEN	1104	2022-01-08 15:14:09.554
27566	1104-2798	GIVEN	1104	2022-01-08 12:14:39.426
38560	1100-2816	GIVEN	1100	2022-01-08 15:13:46.002
16334	1107-2824	GIVEN	1107	2022-01-08 19:44:03.319
32885	1104-2885	GIVEN	1104	2022-01-08 07:24:00.606
26428	1104-2889	GIVEN	1104	2022-01-08 16:04:02.757
23896	1109-2913	GIVEN	1109	2022-01-08 09:27:28.225
10441	1109-2926	GIVEN	1109	2022-01-08 14:53:31.831
21380	1108-2936	GIVEN	1108	2022-01-08 04:35:52.778
9242	1107-2954	GIVEN	1107	2022-01-08 04:00:02.715
36992	1105-2965	GIVEN	1105	2022-01-08 02:08:28.666
26396	1101-2966	GIVEN	1101	2022-01-08 01:35:58.749
6926	1109-2980	GIVEN	1109	2022-01-08 15:53:58.586
8114	1109-3018	GIVEN	1109	2022-01-08 11:40:49.233
7939	1108-3040	GIVEN	1108	2022-01-08 12:22:56.658
37033	1106-3078	GIVEN	1106	2022-01-08 11:25:58.550
18532	1102-3090	GIVEN	1102	2022-01-08 20:32:31.208
25836	1109-3094	GIVEN	1109	2022-01-08 18:10:24.020
34899	1104-3104	GIVEN	1104	2022-01-08 22:08:20.303
24739	1101-3154	GIVEN	1101	2022-01-08 21:27:51.616
17797	1107-3156	GIVEN	1107	2022-01-08 20:47:57.838
15303	1108-3164	GIVEN	1108	2022-01-08 18:47:05.607
25592	1108-3191	GIVEN	1108	2022-01-08 16:54:51.355
38823	1103-3208	GIVEN	1103	2022-01-08 19:17:01.948
17098	1105-3224	GIVEN	1105	2022-01-08 20:14:32.346
38866	1102-3251	GIVEN	1102	2022-01-08 13:03:45.885
21409	1100-3266	GIVEN	1100	2022-01-08 07:21:56.023
491	1102-3274	GIVEN	1102	2022-01-08 20:27:04.551
646	1109-3281	GIVEN	1109	2022-01-08 20:52:58.621
14510	1100-3293	GIVEN	1100	2022-01-08 00:56:53.603
12568	1105-3378	GIVEN	1105	2022-01-08 14:03:28.512
879	1104-3383	GIVEN	1104	2022-01-08 00:57:48.708
8107	1109-3411	GIVEN	1109	2022-01-08 21:51:59.177
17473	1108-3448	GIVEN	1108	2022-01-08 18:08:02.398
18603	1108-3489	GIVEN	1108	2022-01-08 20:44:41.878
19818	1103-3528	GIVEN	1103	2022-01-08 08:46:37.381
24931	1103-3529	GIVEN	1103	2022-01-08 08:21:00.344
38393	1100-3557	GIVEN	1100	2022-01-08 01:17:24.225
39297	1102-3574	GIVEN	1102	2022-01-08 10:27:04.189
5563	1106-3594	GIVEN	1106	2022-01-08 19:24:59.741
4247	1101-3609	GIVEN	1101	2022-01-08 19:39:27.893
5936	1102-3628	GIVEN	1102	2022-01-08 14:44:27.915
34717	1100-3643	GIVEN	1100	2022-01-08 20:10:38.002
8030	1108-3648	GIVEN	1108	2022-01-08 21:27:32.380
5890	1104-3721	GIVEN	1104	2022-01-08 17:24:52.577
1469	1103-3728	GIVEN	1103	2022-01-08 13:47:15.945
8208	1104-3776	GIVEN	1104	2022-01-08 21:46:55.496
22130	1102-3781	GIVEN	1102	2022-01-08 19:01:04.696
18471	1105-3789	GIVEN	1105	2022-01-08 01:04:07.855
8759	1102-3795	GIVEN	1102	2022-01-08 06:26:53.527
37728	1109-3817	GIVEN	1109	2022-01-08 18:35:28.375
9025	1108-3838	GIVEN	1108	2022-01-08 21:14:26.854
898	1105-3852	GIVEN	1105	2022-01-08 02:12:16.357
39003	1109-3869	GIVEN	1109	2022-01-08 07:17:51.310
35892	1104-3873	GIVEN	1104	2022-01-08 06:44:13.530
30959	1109-3877	GIVEN	1109	2022-01-08 03:19:54.545
21679	1107-3884	GIVEN	1107	2022-01-08 07:33:12.757
5915	1102-3994	GIVEN	1102	2022-01-08 15:52:31.772
22522	1102-3997	GIVEN	1102	2022-01-08 00:43:28.039
1384	1107-4077	GIVEN	1107	2022-01-08 05:41:55.088
34592	1109-4081	GIVEN	1109	2022-01-08 06:05:14.514
7937	1102-4090	GIVEN	1102	2022-01-08 05:50:59.926
27289	1103-4134	GIVEN	1103	2022-01-08 09:58:29.924
14619	1109-4156	GIVEN	1109	2022-01-08 04:45:52.336
11051	1101-4174	GIVEN	1101	2022-01-08 11:52:57.094
17757	1106-4238	GIVEN	1106	2022-01-08 11:16:28.642
31402	1101-4269	GIVEN	1101	2022-01-08 18:31:37.557
37794	1107-4302	GIVEN	1107	2022-01-08 07:08:23.420
13126	1101-4308	GIVEN	1101	2022-01-08 18:10:41.878
5323	1102-4309	GIVEN	1102	2022-01-08 19:18:22.191
10434	1101-4311	GIVEN	1101	2022-01-08 23:03:00.320
21067	1103-4398	GIVEN	1103	2022-01-08 16:32:14.311
16338	1103-4446	GIVEN	1103	2022-01-08 06:17:00.134
19545	1103-4487	GIVEN	1103	2022-01-08 05:20:14.599
9500	1107-4517	GIVEN	1107	2022-01-08 04:07:04.079
37817	1109-4589	GIVEN	1109	2022-01-08 19:33:28.685
39641	1100-4597	GIVEN	1100	2022-01-08 20:10:24.569
33693	1102-4608	GIVEN	1102	2022-01-08 07:47:18.263
21563	1104-4637	GIVEN	1104	2022-01-08 09:56:08.172
36076	1101-4645	GIVEN	1101	2022-01-08 12:59:50.025
6126	1102-4660	GIVEN	1102	2022-01-08 05:55:55.437
14641	1104-4689	GIVEN	1104	2022-01-08 16:40:37.842
21669	1108-4692	GIVEN	1108	2022-01-08 00:28:13.609
23861	1108-4695	GIVEN	1108	2022-01-08 22:30:49.679
8197	1105-4716	GIVEN	1105	2022-01-08 04:19:32.197
6627	1101-4718	GIVEN	1101	2022-01-08 22:59:31.229
17313	1109-4828	GIVEN	1109	2022-01-08 20:12:53.965
12109	1104-4878	GIVEN	1104	2022-01-08 11:06:50.322
14185	1107-4910	GIVEN	1107	2022-01-08 15:21:01.969
33676	1100-5003	GIVEN	1100	2022-01-08 15:35:44.299
8009	1108-5016	GIVEN	1108	2022-01-08 18:04:14.969
35338	1109-5036	GIVEN	1109	2022-01-08 05:01:27.892
9950	1109-5046	GIVEN	1109	2022-01-08 13:08:07.592
34510	1102-5048	GIVEN	1102	2022-01-08 13:11:43.434
12193	1109-5073	GIVEN	1109	2022-01-08 04:16:16.808
27059	1105-5170	GIVEN	1105	2022-01-08 13:56:35.987
3959	1100-5252	GIVEN	1100	2022-01-08 15:06:33.790
6718	1105-5335	GIVEN	1105	2022-01-08 12:36:46.270
13068	1100-5359	GIVEN	1100	2022-01-08 12:48:11.488
6741	1104-5370	GIVEN	1104	2022-01-08 13:48:25.227
34423	1101-5404	GIVEN	1101	2022-01-08 07:05:22.884
9352	1109-5520	GIVEN	1109	2022-01-08 00:48:44.700
36687	1100-5571	GIVEN	1100	2022-01-08 15:23:01.757
20801	1100-5606	GIVEN	1100	2022-01-08 03:55:03.564
11188	1107-5617	GIVEN	1107	2022-01-08 04:45:42.303
22813	1102-5626	GIVEN	1102	2022-01-08 23:33:56.880
8244	1102-5643	GIVEN	1102	2022-01-08 04:57:59.666
18082	1108-5663	GIVEN	1108	2022-01-08 07:45:39.917
33659	1106-5671	GIVEN	1106	2022-01-08 15:48:58.690
9405	1106-5688	GIVEN	1106	2022-01-08 06:31:43.496
37449	1101-5779	GIVEN	1101	2022-01-08 13:39:20.751
32844	1100-5897	GIVEN	1100	2022-01-08 04:18:30.399
21350	1104-5903	GIVEN	1104	2022-01-08 21:15:29.858
1446	1106-5915	GIVEN	1106	2022-01-08 01:18:14.597
7875	1105-5935	GIVEN	1105	2022-01-08 16:27:41.951
5843	1107-5990	GIVEN	1107	2022-01-08 01:21:35.061
10960	1108-5992	GIVEN	1108	2022-01-08 12:11:04.198
23358	1101-5993	GIVEN	1101	2022-01-08 03:57:30.622
28354	1102-6034	GIVEN	1102	2022-01-08 06:11:55.146
12297	1101-6081	GIVEN	1101	2022-01-08 14:03:59.098
25072	1103-6099	GIVEN	1103	2022-01-08 04:21:47.840
20734	1101-6109	GIVEN	1101	2022-01-08 00:28:57.745
2873	1106-6165	GIVEN	1106	2022-01-08 09:39:04.547
22280	1108-6179	GIVEN	1108	2022-01-08 16:28:43.222
17641	1102-6194	GIVEN	1102	2022-01-08 07:47:10.971
3400	1106-6253	GIVEN	1106	2022-01-08 03:03:16.095
13263	1105-6269	GIVEN	1105	2022-01-08 19:50:05.639
1660	1101-6285	GIVEN	1101	2022-01-08 17:24:23.427
15073	1106-6316	GIVEN	1106	2022-01-08 16:15:39.967
18074	1105-6385	GIVEN	1105	2022-01-08 02:10:59.324
17985	1105-6399	GIVEN	1105	2022-01-08 20:34:11.125
39769	1100-6405	GIVEN	1100	2022-01-08 11:16:29.152
19066	1106-6432	GIVEN	1106	2022-01-08 08:56:30.813
30030	1100-6560	GIVEN	1100	2022-01-08 20:50:20.263
25962	1104-6614	GIVEN	1104	2022-01-08 12:29:41.221
26252	1108-6641	GIVEN	1108	2022-01-08 23:28:23.720
2582	1106-6645	GIVEN	1106	2022-01-08 08:44:02.631
2997	1101-6676	GIVEN	1101	2022-01-08 15:13:16.592
7604	1106-6680	GIVEN	1106	2022-01-08 13:03:11.100
11120	1103-6711	GIVEN	1103	2022-01-08 03:45:48.227
31320	1104-6720	GIVEN	1104	2022-01-08 11:03:23.140
28525	1109-6822	GIVEN	1109	2022-01-08 22:33:21.487
24293	1100-6882	GIVEN	1100	2022-01-08 14:58:58.428
35749	1102-6957	GIVEN	1102	2022-01-08 19:42:27.846
8792	1106-6986	GIVEN	1106	2022-01-08 03:41:53.408
25489	1109-6995	GIVEN	1109	2022-01-08 01:12:24.687
35745	1109-7106	GIVEN	1109	2022-01-08 14:33:38.655
8291	1104-7109	GIVEN	1104	2022-01-08 18:43:29.581
499	1106-7174	GIVEN	1106	2022-01-08 21:56:05.165
18819	1107-7177	GIVEN	1107	2022-01-08 16:50:35.567
