userid	voucherCode	status	campaignID	time
22421	1104-37	GIVEN	1104	2022-01-10 00:54:25.330
938	1107-45	GIVEN	1107	2022-01-10 01:21:17.324
3272	1100-93	GIVEN	1100	2022-01-10 04:14:22.834
39316	1105-98	GIVEN	1105	2022-01-10 11:07:51.260
4913	1102-135	GIVEN	1102	2022-01-10 20:30:26.459
26912	1102-144	GIVEN	1102	2022-01-10 22:45:18.858
5827	1100-189	GIVEN	1100	2022-01-10 04:24:53.634
32141	1101-202	GIVEN	1101	2022-01-10 21:44:29.877
37649	1103-219	GIVEN	1103	2022-01-10 04:09:03.543
3404	1105-226	GIVEN	1105	2022-01-10 00:28:49.808
37437	1101-238	GIVEN	1101	2022-01-10 20:49:42.875
28977	1106-351	GIVEN	1106	2022-01-10 14:02:12.982
34883	1100-400	GIVEN	1100	2022-01-10 20:09:55.331
1584	1100-411	GIVEN	1100	2022-01-10 11:53:32.047
369	1101-419	GIVEN	1101	2022-01-10 04:12:51.474
21416	1109-425	GIVEN	1109	2022-01-10 01:30:27.467
36855	1109-461	GIVEN	1109	2022-01-10 11:57:41.740
25189	1104-500	GIVEN	1104	2022-01-10 17:38:52.428
15519	1109-506	GIVEN	1109	2022-01-10 14:28:22.024
62	1103-541	GIVEN	1103	2022-01-10 05:41:42.562
37999	1101-552	GIVEN	1101	2022-01-10 18:51:52.900
26401	1103-563	GIVEN	1103	2022-01-10 04:07:14.940
10896	1109-596	GIVEN	1109	2022-01-10 13:58:27.861
648	1101-667	GIVEN	1101	2022-01-10 00:30:03.493
16241	1100-681	GIVEN	1100	2022-01-10 16:41:15.521
234	1109-759	GIVEN	1109	2022-01-10 11:58:08.985
27867	1107-795	GIVEN	1107	2022-01-10 05:50:54.925
34527	1102-819	GIVEN	1102	2022-01-10 23:19:33.643
3175	1106-890	GIVEN	1106	2022-01-10 02:21:07.230
6000	1107-903	GIVEN	1107	2022-01-10 11:26:52.018
11172	1107-928	GIVEN	1107	2022-01-10 07:41:42.277
22880	1103-931	GIVEN	1103	2022-01-10 15:30:00.398
7787	1100-993	GIVEN	1100	2022-01-10 17:57:22.303
37408	1103-1004	GIVEN	1103	2022-01-10 22:47:05.936
33332	1102-1032	GIVEN	1102	2022-01-10 23:44:55.300
16438	1106-1083	GIVEN	1106	2022-01-10 20:01:09.750
33847	1105-1144	GIVEN	1105	2022-01-10 14:10:07.306
4225	1102-1218	GIVEN	1102	2022-01-10 13:14:54.458
870	1102-1267	GIVEN	1102	2022-01-10 04:09:18.918
2900	1104-1268	GIVEN	1104	2022-01-10 05:56:39.339
36439	1108-1293	GIVEN	1108	2022-01-10 22:19:16.711
32965	1108-1309	GIVEN	1108	2022-01-10 19:45:25.178
10631	1105-1310	GIVEN	1105	2022-01-10 02:08:52.678
28007	1101-1379	GIVEN	1101	2022-01-10 07:50:46.674
17490	1104-1409	GIVEN	1104	2022-01-10 18:35:08.286
37197	1101-1415	GIVEN	1101	2022-01-10 14:58:47.768
2141	1106-1506	GIVEN	1106	2022-01-10 09:02:02.007
4374	1105-1535	GIVEN	1105	2022-01-10 20:23:43.804
18456	1104-1580	GIVEN	1104	2022-01-10 11:00:43.783
139	1104-1613	GIVEN	1104	2022-01-10 16:13:28.681
19507	1102-1623	GIVEN	1102	2022-01-10 08:17:06.269
39511	1101-1648	GIVEN	1101	2022-01-10 11:09:17.502
7539	1104-1653	GIVEN	1104	2022-01-10 16:56:43.007
3900	1103-1696	GIVEN	1103	2022-01-10 22:24:04.212
1536	1102-1725	GIVEN	1102	2022-01-10 23:56:37.305
8908	1109-1741	GIVEN	1109	2022-01-10 02:07:17.679
37921	1105-1743	GIVEN	1105	2022-01-10 23:00:19.192
