userid	voucherCode	status	campaignID	time
23413	1105-4	GIVEN	1105	2022-01-11 20:26:08.385
25907	1105-129	GIVEN	1105	2022-01-11 01:58:28.974
25837	1105-131	GIVEN	1105	2022-01-11 16:18:47.335
7727	1106-146	GIVEN	1106	2022-01-11 14:07:43.622
23666	1100-153	GIVEN	1100	2022-01-11 12:22:10.411
37880	1107-172	GIVEN	1107	2022-01-11 17:49:46.032
19284	1106-218	GIVEN	1106	2022-01-11 03:26:38.353
25535	1106-229	GIVEN	1106	2022-01-11 15:06:45.530
20312	1100-299	GIVEN	1100	2022-01-11 17:40:21.773
15747	1106-310	GIVEN	1106	2022-01-11 02:47:21.986
15921	1108-344	GIVEN	1108	2022-01-11 10:18:01.665
3975	1104-369	GIVEN	1104	2022-01-11 21:56:51.352
37239	1104-384	GIVEN	1104	2022-01-11 19:28:09.738
19728	1107-385	GIVEN	1107	2022-01-11 00:05:47.439
23562	1100-417	GIVEN	1100	2022-01-11 19:25:53.859
9484	1105-426	GIVEN	1105	2022-01-11 14:17:40.230
3418	1105-512	GIVEN	1105	2022-01-11 16:44:45.093
36295	1100-599	GIVEN	1100	2022-01-11 14:07:29.781
36425	1108-632	GIVEN	1108	2022-01-11 07:33:36.107
38822	1106-684	GIVEN	1106	2022-01-11 16:36:14.206
28446	1109-700	GIVEN	1109	2022-01-11 00:03:23.795
28592	1107-761	GIVEN	1107	2022-01-11 10:57:37.762
12442	1101-775	GIVEN	1101	2022-01-11 14:47:09.816
9011	1102-807	GIVEN	1102	2022-01-11 03:48:18.868
36106	1108-826	GIVEN	1108	2022-01-11 23:17:43.507
28102	1109-857	GIVEN	1109	2022-01-11 14:29:16.506
5437	1109-911	GIVEN	1109	2022-01-11 04:31:52.565
18723	1108-918	GIVEN	1108	2022-01-11 04:45:37.283
13166	1106-973	GIVEN	1106	2022-01-11 22:46:12.907
911	1104-1013	GIVEN	1104	2022-01-11 10:09:42.074
18069	1101-1038	GIVEN	1101	2022-01-11 05:49:16.418
11966	1102-1077	GIVEN	1102	2022-01-11 08:36:51.672
2896	1106-1081	GIVEN	1106	2022-01-11 00:57:36.370
4462	1101-1140	GIVEN	1101	2022-01-11 02:56:46.044
5269	1108-1153	GIVEN	1108	2022-01-11 12:55:32.638
16788	1102-1214	GIVEN	1102	2022-01-11 08:27:54.438
17351	1102-1282	GIVEN	1102	2022-01-11 14:57:17.659
9007	1103-1311	GIVEN	1103	2022-01-11 22:23:37.185
4275	1107-1312	GIVEN	1107	2022-01-11 12:44:04.400
21428	1107-1323	GIVEN	1107	2022-01-11 21:02:01.346
3236	1101-1327	GIVEN	1101	2022-01-11 15:44:51.251
39601	1104-1347	GIVEN	1104	2022-01-11 22:48:36.900
28523	1105-1398	GIVEN	1105	2022-01-11 04:29:24.418
11286	1107-1438	GIVEN	1107	2022-01-11 14:44:30.743
32028	1107-1466	GIVEN	1107	2022-01-11 06:14:39.983
35598	1106-1470	GIVEN	1106	2022-01-11 10:40:28.900
40	1104-1500	GIVEN	1104	2022-01-11 12:11:21.515
33241	1105-1555	GIVEN	1105	2022-01-11 12:20:14.116
586	1101-1587	GIVEN	1101	2022-01-11 00:33:17.581
22471	1109-1626	GIVEN	1109	2022-01-11 13:33:23.290
27230	1107-1639	GIVEN	1107	2022-01-11 14:04:27.493
31148	1109-1642	GIVEN	1109	2022-01-11 13:14:27.488
32518	1101-1674	GIVEN	1101	2022-01-11 19:47:52.515
20424	1101-1676	GIVEN	1101	2022-01-11 19:23:12.384
22242	1109-1678	GIVEN	1109	2022-01-11 15:22:01.906
5704	1108-1680	GIVEN	1108	2022-01-11 18:53:22.355
25687	1109-1689	GIVEN	1109	2022-01-11 18:51:02.691
34718	1106-1695	GIVEN	1106	2022-01-11 05:04:46.189
1799	1101-1712	GIVEN	1101	2022-01-11 21:53:16.112
38579	1105-1731	GIVEN	1105	2022-01-11 14:04:55.582
28091	1109-1737	GIVEN	1109	2022-01-11 06:44:38.817
18889	1107-1748	GIVEN	1107	2022-01-11 00:43:56.147
14866	1107-1787	GIVEN	1107	2022-01-11 16:40:03.319
6736	1101-1858	GIVEN	1101	2022-01-11 02:49:53.111
8390	1107-1873	GIVEN	1107	2022-01-11 06:03:50.658
33983	1107-1910	GIVEN	1107	2022-01-11 00:15:50.714
34186	1104-1914	GIVEN	1104	2022-01-11 19:48:43.918
582	1102-1932	GIVEN	1102	2022-01-11 00:02:42.711
34518	1102-1960	GIVEN	1102	2022-01-11 00:56:53.655
7650	1108-2008	GIVEN	1108	2022-01-11 03:46:11.049
31510	1102-2053	GIVEN	1102	2022-01-11 06:35:01.046
39020	1104-2086	GIVEN	1104	2022-01-11 16:17:17.885
13580	1103-2107	GIVEN	1103	2022-01-11 09:24:13.846
5617	1101-2111	GIVEN	1101	2022-01-11 10:39:27.624
1692	1105-2114	GIVEN	1105	2022-01-11 19:59:17.066
10683	1101-2119	GIVEN	1101	2022-01-11 13:05:50.176
37455	1106-2128	GIVEN	1106	2022-01-11 06:40:42.113
15495	1100-2139	GIVEN	1100	2022-01-11 21:14:33.531
33335	1101-2141	GIVEN	1101	2022-01-11 01:42:52.511
28796	1105-2146	GIVEN	1105	2022-01-11 02:30:07.094
6874	1108-2152	GIVEN	1108	2022-01-11 18:05:25.925
33930	1105-2198	GIVEN	1105	2022-01-11 03:06:30.914
35910	1100-2199	GIVEN	1100	2022-01-11 09:30:47.925
35353	1103-2204	GIVEN	1103	2022-01-11 04:21:43.550
9576	1100-2255	GIVEN	1100	2022-01-11 09:35:18.396
21698	1106-2300	GIVEN	1106	2022-01-11 18:23:23.192
11306	1103-2318	GIVEN	1103	2022-01-11 10:32:17.756
5697	1100-2324	GIVEN	1100	2022-01-11 06:17:25.584
17024	1103-2325	GIVEN	1103	2022-01-11 23:41:40.771
29919	1103-2326	GIVEN	1103	2022-01-11 01:18:03.506
