userid	voucherCode	status	campaignID	time
1374	1100-8	GIVEN	1100	2022-01-12 18:53:38.566
12979	1109-26	GIVEN	1109	2022-01-12 10:54:22.265
29269	1101-30	GIVEN	1101	2022-01-12 20:24:34.052
37055	1109-38	GIVEN	1109	2022-01-12 19:37:08.240
6830	1107-117	GIVEN	1107	2022-01-12 09:40:15.760
21437	1107-193	GIVEN	1107	2022-01-12 11:33:04.761
26350	1109-203	GIVEN	1109	2022-01-12 11:05:50.739
31810	1109-269	GIVEN	1109	2022-01-12 17:39:01.112
4860	1101-314	GIVEN	1101	2022-01-12 12:08:12.673
4509	1107-320	GIVEN	1107	2022-01-12 23:20:05.269
28709	1100-334	GIVEN	1100	2022-01-12 00:59:40.544
32714	1102-347	GIVEN	1102	2022-01-12 03:16:12.922
9109	1106-373	GIVEN	1106	2022-01-12 18:58:22.228
35298	1103-397	GIVEN	1103	2022-01-12 18:45:31.382
16211	1105-449	GIVEN	1105	2022-01-12 14:24:56.720
9313	1108-456	GIVEN	1108	2022-01-12 01:38:19.650
28487	1102-471	GIVEN	1102	2022-01-12 04:41:15.177
27459	1108-518	GIVEN	1108	2022-01-12 01:50:40.147
32587	1103-673	GIVEN	1103	2022-01-12 17:02:51.713
1370	1103-702	GIVEN	1103	2022-01-12 09:53:35.921
25183	1101-717	GIVEN	1101	2022-01-12 03:44:41.728
22741	1101-739	GIVEN	1101	2022-01-12 00:38:37.264
5257	1101-830	GIVEN	1101	2022-01-12 06:58:34.535
21073	1100-877	GIVEN	1100	2022-01-12 01:27:04.223
13526	1109-926	GIVEN	1109	2022-01-12 06:15:26.636
7385	1103-940	GIVEN	1103	2022-01-12 07:21:30.981
24506	1109-1001	GIVEN	1109	2022-01-12 16:00:44.919
26545	1108-1012	GIVEN	1108	2022-01-12 20:03:10.262
16861	1107-1047	GIVEN	1107	2022-01-12 06:30:02.714
16501	1105-1080	GIVEN	1105	2022-01-12 21:04:02.031
29491	1105-1116	GIVEN	1105	2022-01-12 16:56:46.001
16804	1109-1120	GIVEN	1109	2022-01-12 12:59:39.189
3595	1101-1127	GIVEN	1101	2022-01-12 09:53:01.182
3676	1103-1160	GIVEN	1103	2022-01-12 05:16:59.750
39837	1102-1210	GIVEN	1102	2022-01-12 00:13:48.109
20312	1103-1225	GIVEN	1103	2022-01-12 03:16:59.718
26277	1101-1260	GIVEN	1101	2022-01-12 01:29:02.020
24320	1100-1335	GIVEN	1100	2022-01-12 05:12:52.535
16157	1109-1479	GIVEN	1109	2022-01-12 22:29:01.976
12943	1105-1480	GIVEN	1105	2022-01-12 01:33:33.257
17762	1109-1495	GIVEN	1109	2022-01-12 19:27:45.135
7574	1100-1498	GIVEN	1100	2022-01-12 17:09:01.481
37604	1103-1529	GIVEN	1103	2022-01-12 20:59:01.191
37043	1106-1531	GIVEN	1106	2022-01-12 22:01:03.263
10861	1100-1562	GIVEN	1100	2022-01-12 20:59:24.763
12618	1102-1594	GIVEN	1102	2022-01-12 11:09:13.159
34281	1106-1605	GIVEN	1106	2022-01-12 22:31:06.690
27988	1106-1614	GIVEN	1106	2022-01-12 03:30:04.886
12229	1109-1658	GIVEN	1109	2022-01-12 22:09:51.087
3623	1102-1660	GIVEN	1102	2022-01-12 17:00:07.178
2680	1107-1664	GIVEN	1107	2022-01-12 08:30:55.958
26354	1104-1756	GIVEN	1104	2022-01-12 08:49:14.754
25536	1106-1759	GIVEN	1106	2022-01-12 19:42:43.045
29690	1101-1774	GIVEN	1101	2022-01-12 09:33:46.320
15330	1104-1798	GIVEN	1104	2022-01-12 14:15:43.876
38976	1108-1866	GIVEN	1108	2022-01-12 18:31:49.394
22687	1107-1875	GIVEN	1107	2022-01-12 03:02:27.696
4387	1106-1935	GIVEN	1106	2022-01-12 01:33:59.146
7689	1105-1993	GIVEN	1105	2022-01-12 10:09:53.942
38069	1108-2025	GIVEN	1108	2022-01-12 19:17:24.596
28512	1106-2031	GIVEN	1106	2022-01-12 15:44:39.887
10046	1108-2088	GIVEN	1108	2022-01-12 08:34:54.108
5054	1107-2208	GIVEN	1107	2022-01-12 14:32:18.577
28497	1106-2218	GIVEN	1106	2022-01-12 03:37:42.248
14932	1103-2274	GIVEN	1103	2022-01-12 19:32:34.627
1040	1104-2275	GIVEN	1104	2022-01-12 04:00:54.819
16775	1102-2291	GIVEN	1102	2022-01-12 12:06:11.704
12497	1106-2388	GIVEN	1106	2022-01-12 19:43:41.958
19989	1107-2390	GIVEN	1107	2022-01-12 21:23:40.094
34937	1105-2428	GIVEN	1105	2022-01-12 05:08:57.091
34065	1106-2435	GIVEN	1106	2022-01-12 19:16:24.890
26424	1109-2462	GIVEN	1109	2022-01-12 18:52:39.810
9037	1100-2474	GIVEN	1100	2022-01-12 01:52:19.152
22219	1107-2521	GIVEN	1107	2022-01-12 00:17:21.030
24346	1101-2532	GIVEN	1101	2022-01-12 14:03:03.236
15246	1102-2539	GIVEN	1102	2022-01-12 00:01:29.214
727	1104-2548	GIVEN	1104	2022-01-12 22:45:06.983
7274	1101-2621	GIVEN	1101	2022-01-12 21:40:44.314
13785	1102-2686	GIVEN	1102	2022-01-12 20:37:35.632
32954	1100-2707	GIVEN	1100	2022-01-12 03:25:12.623
15745	1103-2794	GIVEN	1103	2022-01-12 22:36:21.238
1322	1105-2804	GIVEN	1105	2022-01-12 05:30:29.173
29182	1107-2830	GIVEN	1107	2022-01-12 01:38:56.072
8012	1108-2845	GIVEN	1108	2022-01-12 19:45:52.665
17344	1107-2861	GIVEN	1107	2022-01-12 21:55:04.855
3174	1107-2873	GIVEN	1107	2022-01-12 22:46:00.106
33399	1105-2892	GIVEN	1105	2022-01-12 13:53:38.341
17978	1105-2915	GIVEN	1105	2022-01-12 21:03:35.677
8418	1103-2950	GIVEN	1103	2022-01-12 15:40:29.574
20808	1106-2985	GIVEN	1106	2022-01-12 14:49:49.241
26968	1102-3038	GIVEN	1102	2022-01-12 19:31:33.134
23553	1103-3068	GIVEN	1103	2022-01-12 19:18:12.957
26130	1102-3073	GIVEN	1102	2022-01-12 03:36:04.454
17744	1109-3083	GIVEN	1109	2022-01-12 12:55:37.329
28580	1102-3101	GIVEN	1102	2022-01-12 17:01:37.662
33950	1104-3145	GIVEN	1104	2022-01-12 02:26:22.476
39027	1108-3171	GIVEN	1108	2022-01-12 13:43:45.736
13211	1107-3236	GIVEN	1107	2022-01-12 11:36:45.452
