userid	voucherCode	status	campaignID	time
25483	1102-21	GIVEN	1102	2022-01-13 07:58:17.397
5857	1102-56	GIVEN	1102	2022-01-13 18:20:45.066
2881	1102-61	GIVEN	1102	2022-01-13 19:40:50.868
6353	1100-68	GIVEN	1100	2022-01-13 03:22:34.161
5061	1100-82	GIVEN	1100	2022-01-13 11:34:51.890
34239	1105-101	GIVEN	1105	2022-01-13 06:34:14.158
23038	1100-114	GIVEN	1100	2022-01-13 20:12:13.225
33657	1108-124	GIVEN	1108	2022-01-13 16:10:36.163
12991	1108-142	GIVEN	1108	2022-01-13 03:39:33.209
39337	1107-157	GIVEN	1107	2022-01-13 11:03:23.558
18643	1109-183	GIVEN	1109	2022-01-13 21:06:51.021
14155	1107-207	GIVEN	1107	2022-01-13 16:45:17.575
29667	1101-223	GIVEN	1101	2022-01-13 03:08:35.538
24295	1100-276	GIVEN	1100	2022-01-13 05:43:07.816
5161	1101-315	GIVEN	1101	2022-01-13 06:13:18.426
17031	1108-318	GIVEN	1108	2022-01-13 19:59:43.696
10507	1107-321	GIVEN	1107	2022-01-13 12:41:07.265
36549	1103-378	GIVEN	1103	2022-01-13 11:43:34.510
23610	1101-393	GIVEN	1101	2022-01-13 16:30:03.633
6526	1108-434	GIVEN	1108	2022-01-13 09:25:07.581
9001	1103-453	GIVEN	1103	2022-01-13 09:22:27.578
35774	1100-508	GIVEN	1100	2022-01-13 06:07:35.654
35341	1107-534	GIVEN	1107	2022-01-13 19:37:17.202
5531	1100-568	GIVEN	1100	2022-01-13 15:47:56.345
26774	1108-622	GIVEN	1108	2022-01-13 00:07:25.426
23399	1101-627	GIVEN	1101	2022-01-13 00:46:05.481
16989	1104-647	GIVEN	1104	2022-01-13 05:52:04.189
30745	1106-676	GIVEN	1106	2022-01-13 16:58:36.005
31710	1105-744	GIVEN	1105	2022-01-13 00:03:31.178
18592	1107-774	GIVEN	1107	2022-01-13 20:09:45.182
33404	1100-917	GIVEN	1100	2022-01-13 14:51:58.892
6069	1106-929	GIVEN	1106	2022-01-13 23:54:08.766
31831	1106-966	GIVEN	1106	2022-01-13 20:14:02.972
26757	1103-1002	GIVEN	1103	2022-01-13 05:02:55.921
1040	1102-1051	GIVEN	1102	2022-01-13 13:49:55.279
29398	1107-1149	GIVEN	1107	2022-01-13 10:01:27.527
26902	1109-1158	GIVEN	1109	2022-01-13 04:14:30.406
816	1107-1194	GIVEN	1107	2022-01-13 06:54:20.165
22577	1109-1262	GIVEN	1109	2022-01-13 04:55:02.348
20057	1102-1322	GIVEN	1102	2022-01-13 12:06:15.116
16710	1104-1380	GIVEN	1104	2022-01-13 17:52:08.086
16503	1109-1394	GIVEN	1109	2022-01-13 16:29:12.690
13041	1109-1425	GIVEN	1109	2022-01-13 18:55:16.738
34652	1107-1437	GIVEN	1107	2022-01-13 13:26:18.293
37654	1106-1499	GIVEN	1106	2022-01-13 22:46:14.102
6875	1106-1536	GIVEN	1106	2022-01-13 13:21:32.586
28362	1101-1583	GIVEN	1101	2022-01-13 16:12:36.334
17073	1103-1595	GIVEN	1103	2022-01-13 01:46:11.714
12364	1102-1600	GIVEN	1102	2022-01-13 04:52:31.246
8080	1108-1615	GIVEN	1108	2022-01-13 22:07:41.124
33170	1103-1627	GIVEN	1103	2022-01-13 16:54:47.482
3317	1101-1683	GIVEN	1101	2022-01-13 13:35:36.154
19681	1102-1697	GIVEN	1102	2022-01-13 18:44:29.451
14798	1108-1719	GIVEN	1108	2022-01-13 15:00:17.812
7220	1109-1767	GIVEN	1109	2022-01-13 05:05:27.384
24183	1108-1796	GIVEN	1108	2022-01-13 16:38:54.899
30262	1104-1806	GIVEN	1104	2022-01-13 23:36:16.875
3355	1109-1867	GIVEN	1109	2022-01-13 10:48:55.896
10814	1100-1872	GIVEN	1100	2022-01-13 01:55:15.693
25619	1106-1897	GIVEN	1106	2022-01-13 01:38:44.153
20743	1101-1967	GIVEN	1101	2022-01-13 10:08:02.181
39963	1102-1988	GIVEN	1102	2022-01-13 15:30:54.321
1229	1100-2002	GIVEN	1100	2022-01-13 22:29:14.772
6372	1100-2060	GIVEN	1100	2022-01-13 20:06:43.776
13863	1104-2116	GIVEN	1104	2022-01-13 05:07:43.878
25264	1109-2252	GIVEN	1109	2022-01-13 14:34:57.801
2397	1103-2283	GIVEN	1103	2022-01-13 19:19:38.467
34460	1100-2298	GIVEN	1100	2022-01-13 20:18:58.637
9966	1101-2331	GIVEN	1101	2022-01-13 10:09:06.892
16212	1107-2333	GIVEN	1107	2022-01-13 23:22:39.728
38221	1100-2348	GIVEN	1100	2022-01-13 22:40:17.991
26645	1104-2350	GIVEN	1104	2022-01-13 07:32:32.307
22464	1101-2392	GIVEN	1101	2022-01-13 14:31:37.649
18328	1109-2429	GIVEN	1109	2022-01-13 10:26:49.437
33762	1103-2456	GIVEN	1103	2022-01-13 14:13:46.958
31546	1105-2514	GIVEN	1105	2022-01-13 06:20:38.779
24959	1107-2622	GIVEN	1107	2022-01-13 09:31:34.957
9596	1100-2706	GIVEN	1100	2022-01-13 23:29:19.942
33265	1100-2817	GIVEN	1100	2022-01-13 06:40:08.460
30082	1107-2827	GIVEN	1107	2022-01-13 21:17:54.212
5856	1104-2875	GIVEN	1104	2022-01-13 10:40:58.553
14284	1103-2900	GIVEN	1103	2022-01-13 13:31:56.899
37538	1107-3013	GIVEN	1107	2022-01-13 20:42:38.616
32215	1108-3089	GIVEN	1108	2022-01-13 19:45:39.546
20772	1109-3095	GIVEN	1109	2022-01-13 16:16:18.260
12538	1109-3119	GIVEN	1109	2022-01-13 09:23:31.117
10957	1105-3124	GIVEN	1105	2022-01-13 00:13:40.713
20107	1100-3125	GIVEN	1100	2022-01-13 20:40:55.032
19164	1106-3138	GIVEN	1106	2022-01-13 00:34:00.812
4574	1103-3182	GIVEN	1103	2022-01-13 08:13:42.112
37853	1104-3207	GIVEN	1104	2022-01-13 03:09:18.918
13479	1100-3215	GIVEN	1100	2022-01-13 17:31:11.309
33014	1106-3226	GIVEN	1106	2022-01-13 01:43:02.128
25741	1108-3260	GIVEN	1108	2022-01-13 15:08:43.652
29513	1104-3282	GIVEN	1104	2022-01-13 08:50:45.129
21664	1100-3291	GIVEN	1100	2022-01-13 09:48:22.005
2441	1105-3414	GIVEN	1105	2022-01-13 12:49:41.467
15855	1100-3425	GIVEN	1100	2022-01-13 04:55:59.706
28700	1102-3437	GIVEN	1102	2022-01-13 19:24:36.804
13269	1105-3457	GIVEN	1105	2022-01-13 19:09:20.215
30050	1104-3477	GIVEN	1104	2022-01-13 12:51:08.050
9119	1101-3481	GIVEN	1101	2022-01-13 00:18:11.065
3988	1100-3507	GIVEN	1100	2022-01-13 14:27:44.303
28024	1102-3625	GIVEN	1102	2022-01-13 22:20:46.202
18499	1103-3649	GIVEN	1103	2022-01-13 23:07:24.555
19622	1106-3675	GIVEN	1106	2022-01-13 16:03:13.511
12177	1109-3714	GIVEN	1109	2022-01-13 00:15:51.210
29208	1107-3724	GIVEN	1107	2022-01-13 14:10:14.888
27567	1107-3777	GIVEN	1107	2022-01-13 10:11:04.349
37057	1107-3809	GIVEN	1107	2022-01-13 23:36:11.462
30912	1102-3840	GIVEN	1102	2022-01-13 11:49:07.661
32015	1109-3850	GIVEN	1109	2022-01-13 05:14:06.601
18088	1105-4007	GIVEN	1105	2022-01-13 06:29:23.595
15860	1107-4053	GIVEN	1107	2022-01-13 10:16:24.325
33504	1104-4068	GIVEN	1104	2022-01-13 15:34:18.783
21867	1102-4073	GIVEN	1102	2022-01-13 14:52:01.419
12892	1106-4130	GIVEN	1106	2022-01-13 12:55:01.291
30448	1104-4152	GIVEN	1104	2022-01-13 12:20:12.580
36646	1105-4153	GIVEN	1105	2022-01-13 18:03:52.352
15130	1101-4192	GIVEN	1101	2022-01-13 13:08:23.487
23196	1103-4199	GIVEN	1103	2022-01-13 01:56:29.290
19198	1102-4223	GIVEN	1102	2022-01-13 22:20:20.646
39940	1105-4228	GIVEN	1105	2022-01-13 22:12:43.920
16316	1100-4236	GIVEN	1100	2022-01-13 00:45:44.435
17127	1108-4271	GIVEN	1108	2022-01-13 10:41:53.405
8981	1101-4286	GIVEN	1101	2022-01-13 14:20:58.725
26426	1107-4327	GIVEN	1107	2022-01-13 09:04:40.219
39642	1104-4419	GIVEN	1104	2022-01-13 23:11:03.973
38268	1104-4426	GIVEN	1104	2022-01-13 23:55:02.604
23528	1109-4435	GIVEN	1109	2022-01-13 06:20:36.975
23922	1109-4518	GIVEN	1109	2022-01-13 10:15:13.976
36015	1102-4532	GIVEN	1102	2022-01-13 10:41:30.838
10935	1107-4535	GIVEN	1107	2022-01-13 06:34:14.013
28277	1101-4567	GIVEN	1101	2022-01-13 13:09:42.508
5484	1100-4592	GIVEN	1100	2022-01-13 09:27:27.577
12630	1107-4707	GIVEN	1107	2022-01-13 15:18:17.024
34316	1105-4720	GIVEN	1105	2022-01-13 12:51:16.885
32225	1105-4751	GIVEN	1105	2022-01-13 08:24:16.323
24483	1108-4769	GIVEN	1108	2022-01-13 15:40:47.894
19352	1100-4788	GIVEN	1100	2022-01-13 04:43:33.312
24599	1100-4808	GIVEN	1100	2022-01-13 20:45:14.797
35003	1107-4841	GIVEN	1107	2022-01-13 10:49:40.324
32480	1104-4924	GIVEN	1104	2022-01-13 17:56:40.372
32720	1100-4935	GIVEN	1100	2022-01-13 22:04:10.890
10759	1104-4962	GIVEN	1104	2022-01-13 14:31:47.013
3925	1108-4997	GIVEN	1108	2022-01-13 00:54:20.266
8263	1108-4998	GIVEN	1108	2022-01-13 07:30:58.052
22492	1103-5027	GIVEN	1103	2022-01-13 02:53:19.972
9027	1108-5061	GIVEN	1108	2022-01-13 09:44:23.439
16355	1104-5075	GIVEN	1104	2022-01-13 19:53:49.529
31101	1107-5152	GIVEN	1107	2022-01-13 08:06:20.583
28757	1105-5162	GIVEN	1105	2022-01-13 18:03:50.129
21819	1109-5201	GIVEN	1109	2022-01-13 07:18:52.641
27832	1105-5303	GIVEN	1105	2022-01-13 12:54:29.018
25550	1104-5343	GIVEN	1104	2022-01-13 23:17:41.707
15416	1105-5353	GIVEN	1105	2022-01-13 17:55:48.707
10817	1102-5381	GIVEN	1102	2022-01-13 16:50:54.373
19314	1105-5392	GIVEN	1105	2022-01-13 18:52:47.682
22560	1103-5560	GIVEN	1103	2022-01-13 10:30:47.883
36600	1101-5580	GIVEN	1101	2022-01-13 16:57:21.020
19440	1107-5623	GIVEN	1107	2022-01-13 19:28:24.456
13712	1103-5653	GIVEN	1103	2022-01-13 09:05:24.023
12926	1101-5682	GIVEN	1101	2022-01-13 01:56:49.582
9014	1109-5732	GIVEN	1109	2022-01-13 08:52:29.180
32255	1102-5733	GIVEN	1102	2022-01-13 16:53:06.284
7277	1105-5749	GIVEN	1105	2022-01-13 18:35:55.821
19858	1108-5778	GIVEN	1108	2022-01-13 02:25:22.818
24299	1106-5846	GIVEN	1106	2022-01-13 23:37:00.928
31674	1107-5917	GIVEN	1107	2022-01-13 03:35:35.929
11664	1108-5975	GIVEN	1108	2022-01-13 10:00:49.581
33742	1100-6070	GIVEN	1100	2022-01-13 19:34:37.251
29400	1101-6118	GIVEN	1101	2022-01-13 18:52:58.630
15976	1104-6135	GIVEN	1104	2022-01-13 06:11:30.787
28015	1109-6159	GIVEN	1109	2022-01-13 23:11:19.879
28666	1102-6161	GIVEN	1102	2022-01-13 10:46:31.687
8702	1102-6177	GIVEN	1102	2022-01-13 05:38:32.686
7328	1109-6201	GIVEN	1109	2022-01-13 11:58:21.177
28975	1103-6216	GIVEN	1103	2022-01-13 21:19:44.419
23905	1102-6248	GIVEN	1102	2022-01-13 20:34:45.795
25254	1101-6283	GIVEN	1101	2022-01-13 14:24:55.918
22241	1101-6289	GIVEN	1101	2022-01-13 16:21:25.130
23852	1103-6299	GIVEN	1103	2022-01-13 20:05:03.841
10242	1105-6446	GIVEN	1105	2022-01-13 09:44:47.680
36485	1107-6494	GIVEN	1107	2022-01-13 14:25:30.285
34530	1103-6521	GIVEN	1103	2022-01-13 01:41:20.141
34018	1103-6578	GIVEN	1103	2022-01-13 00:28:34.118
11910	1101-6583	GIVEN	1101	2022-01-13 13:35:43.413
32094	1108-6728	GIVEN	1108	2022-01-13 14:28:53.677
8980	1101-6778	GIVEN	1101	2022-01-13 17:44:12.869
32905	1106-6786	GIVEN	1106	2022-01-13 21:45:15.603
35635	1102-6809	GIVEN	1102	2022-01-13 21:14:41.858
28085	1104-6813	GIVEN	1104	2022-01-13 18:57:44.975
33968	1104-6821	GIVEN	1104	2022-01-13 15:36:19.708
22921	1106-6850	GIVEN	1106	2022-01-13 03:26:51.673
28679	1104-6871	GIVEN	1104	2022-01-13 20:36:46.434
967	1107-6886	GIVEN	1107	2022-01-13 12:49:09.355
17216	1105-6893	GIVEN	1105	2022-01-13 05:04:08.877
11796	1101-6931	GIVEN	1101	2022-01-13 23:01:39.747
3247	1102-7060	GIVEN	1102	2022-01-13 13:09:01.814
15672	1106-7073	GIVEN	1106	2022-01-13 08:25:04.673
10995	1104-7105	GIVEN	1104	2022-01-13 22:21:21.365
20369	1108-7154	GIVEN	1108	2022-01-13 09:41:20.115
26010	1107-7162	GIVEN	1107	2022-01-13 20:25:15.746
38832	1103-7173	GIVEN	1103	2022-01-13 16:29:58.247
21977	1109-7184	GIVEN	1109	2022-01-13 19:44:03.875
14886	1109-7200	GIVEN	1109	2022-01-13 04:23:19.222
15043	1103-7201	GIVEN	1103	2022-01-13 03:11:27.684
29649	1105-7253	GIVEN	1105	2022-01-13 19:28:00.040
9604	1107-7302	GIVEN	1107	2022-01-13 19:27:39.694
36918	1107-7347	GIVEN	1107	2022-01-13 23:54:45.575
5535	1108-7391	GIVEN	1108	2022-01-13 04:02:47.020
28704	1105-7430	GIVEN	1105	2022-01-13 06:45:13.760
19110	1109-7435	GIVEN	1109	2022-01-13 20:51:14.723
36311	1108-7437	GIVEN	1108	2022-01-13 04:24:02.042
8626	1101-7477	GIVEN	1101	2022-01-13 09:18:45.693
12764	1108-7495	GIVEN	1108	2022-01-13 05:05:35.309
19531	1105-7535	GIVEN	1105	2022-01-13 13:36:24.849
23982	1102-7588	GIVEN	1102	2022-01-13 06:38:04.763
17252	1104-7609	GIVEN	1104	2022-01-13 09:38:05.345
8985	1102-7628	GIVEN	1102	2022-01-13 22:42:14.762
463	1101-7641	GIVEN	1101	2022-01-13 19:29:08.586
17849	1105-7645	GIVEN	1105	2022-01-13 14:40:09.877
17991	1103-7675	GIVEN	1103	2022-01-13 08:31:08.106
7148	1101-7738	GIVEN	1101	2022-01-13 10:28:19.977
30209	1106-7788	GIVEN	1106	2022-01-13 00:20:53.265
39536	1109-7805	GIVEN	1109	2022-01-13 06:51:28.137
1145	1105-7820	GIVEN	1105	2022-01-13 09:22:08.184
21378	1103-7853	GIVEN	1103	2022-01-13 10:11:33.486
16939	1102-7860	GIVEN	1102	2022-01-13 13:01:27.337
22643	1109-7897	GIVEN	1109	2022-01-13 11:23:27.122
10505	1107-7906	GIVEN	1107	2022-01-13 08:52:41.890
7798	1101-7934	GIVEN	1101	2022-01-13 15:53:43.844
15850	1108-7937	GIVEN	1108	2022-01-13 22:20:57.494
14569	1107-7974	GIVEN	1107	2022-01-13 12:19:02.439
24096	1105-7980	GIVEN	1105	2022-01-13 13:00:50.605
34955	1101-7986	GIVEN	1101	2022-01-13 02:20:57.681
3685	1102-8003	GIVEN	1102	2022-01-13 03:57:14.004
4814	1106-8019	GIVEN	1106	2022-01-13 18:06:49.559
17567	1102-8108	GIVEN	1102	2022-01-13 13:10:51.951
37785	1108-8159	GIVEN	1108	2022-01-13 10:11:28.061
27486	1109-8217	GIVEN	1109	2022-01-13 13:21:43.386
14059	1103-8218	GIVEN	1103	2022-01-13 01:56:01.780
30279	1100-8236	GIVEN	1100	2022-01-13 17:06:05.018
13018	1103-8269	GIVEN	1103	2022-01-13 07:00:47.621
10336	1107-8309	GIVEN	1107	2022-01-13 10:06:55.726
31289	1106-8345	GIVEN	1106	2022-01-13 20:04:45.208
15012	1109-8349	GIVEN	1109	2022-01-13 22:06:48.599
39199	1107-8374	GIVEN	1107	2022-01-13 08:15:17.615
3106	1108-8429	GIVEN	1108	2022-01-13 02:38:46.103
29444	1106-8436	GIVEN	1106	2022-01-13 21:24:49.961
1199	1104-8460	GIVEN	1104	2022-01-13 11:24:01.629
21358	1105-8536	GIVEN	1105	2022-01-13 04:44:14.463
4926	1104-8559	GIVEN	1104	2022-01-13 06:54:15.467
11300	1102-8623	GIVEN	1102	2022-01-13 11:16:53.121
7925	1107-8650	GIVEN	1107	2022-01-13 05:23:51.530
24981	1107-8697	GIVEN	1107	2022-01-13 15:50:24.270
29726	1108-8739	GIVEN	1108	2022-01-13 20:28:44.290
13	1105-8748	GIVEN	1105	2022-01-13 21:44:25.334
