userid	voucherCode	status	campaignID	time
8369	1100-13	GIVEN	1100	2022-01-14 04:54:13.941
24072	1102-39	GIVEN	1102	2022-01-14 02:46:33.815
5478	1105-44	GIVEN	1105	2022-01-14 15:01:22.535
20911	1109-77	GIVEN	1109	2022-01-14 01:12:41.765
34788	1100-116	GIVEN	1100	2022-01-14 18:05:56.735
27670	1105-137	GIVEN	1105	2022-01-14 08:17:18.451
23738	1103-145	GIVEN	1103	2022-01-14 17:53:03.211
34843	1102-152	GIVEN	1102	2022-01-14 12:21:11.056
22869	1104-163	GIVEN	1104	2022-01-14 07:40:33.038
26969	1103-197	GIVEN	1103	2022-01-14 02:33:42.164
15017	1105-230	GIVEN	1105	2022-01-14 00:40:29.702
2846	1108-232	GIVEN	1108	2022-01-14 23:53:17.590
11712	1105-248	GIVEN	1105	2022-01-14 17:43:43.048
22178	1108-260	GIVEN	1108	2022-01-14 14:10:11.112
3066	1102-280	GIVEN	1102	2022-01-14 02:17:33.388
13694	1104-335	GIVEN	1104	2022-01-14 17:33:07.901
36532	1101-339	GIVEN	1101	2022-01-14 18:15:46.454
31852	1101-350	GIVEN	1101	2022-01-14 02:23:24.101
5796	1105-392	GIVEN	1105	2022-01-14 23:52:21.463
6618	1106-394	GIVEN	1106	2022-01-14 14:18:17.994
26691	1104-408	GIVEN	1104	2022-01-14 06:32:41.761
33293	1103-440	GIVEN	1103	2022-01-14 12:39:49.667
13522	1100-459	GIVEN	1100	2022-01-14 05:40:42.966
18445	1108-476	GIVEN	1108	2022-01-14 18:33:18.113
3832	1100-502	GIVEN	1100	2022-01-14 04:15:35.458
6800	1102-553	GIVEN	1102	2022-01-14 18:16:09.924
34319	1103-616	GIVEN	1103	2022-01-14 15:33:23.602
26100	1105-694	GIVEN	1105	2022-01-14 20:07:39.210
26743	1101-714	GIVEN	1101	2022-01-14 20:15:27.058
36079	1101-746	GIVEN	1101	2022-01-14 05:18:59.610
10850	1104-851	GIVEN	1104	2022-01-14 14:01:56.567
3944	1108-873	GIVEN	1108	2022-01-14 16:17:29.077
15551	1104-883	GIVEN	1104	2022-01-14 18:03:12.975
22307	1108-913	GIVEN	1108	2022-01-14 01:23:37.752
21878	1109-924	GIVEN	1109	2022-01-14 20:07:29.957
29693	1105-1010	GIVEN	1105	2022-01-14 19:51:46.098
23712	1100-1031	GIVEN	1100	2022-01-14 19:58:50.131
17258	1109-1033	GIVEN	1109	2022-01-14 19:18:12.189
22931	1102-1100	GIVEN	1102	2022-01-14 18:30:43.685
12090	1102-1124	GIVEN	1102	2022-01-14 20:14:30.523
12359	1103-1129	GIVEN	1103	2022-01-14 15:56:31.989
35206	1105-1185	GIVEN	1105	2022-01-14 00:16:03.464
31163	1100-1193	GIVEN	1100	2022-01-14 11:42:28.301
35436	1100-1206	GIVEN	1100	2022-01-14 11:01:36.500
18115	1104-1220	GIVEN	1104	2022-01-14 10:10:49.183
31301	1102-1244	GIVEN	1102	2022-01-14 12:16:07.332
35638	1106-1291	GIVEN	1106	2022-01-14 13:35:28.638
5843	1101-1302	GIVEN	1101	2022-01-14 23:11:17.475
13260	1103-1333	GIVEN	1103	2022-01-14 00:10:45.433
2149	1106-1345	GIVEN	1106	2022-01-14 16:54:03.325
27194	1104-1353	GIVEN	1104	2022-01-14 18:52:52.852
20865	1107-1383	GIVEN	1107	2022-01-14 06:13:28.698
27293	1104-1424	GIVEN	1104	2022-01-14 16:16:48.918
15534	1107-1428	GIVEN	1107	2022-01-14 13:29:20.078
37218	1105-1459	GIVEN	1105	2022-01-14 14:55:25.716
9641	1107-1474	GIVEN	1107	2022-01-14 23:52:01.510
21965	1105-1476	GIVEN	1105	2022-01-14 01:58:19.530
24730	1106-1487	GIVEN	1106	2022-01-14 07:43:14.946
22504	1101-1548	GIVEN	1101	2022-01-14 02:35:53.119
18980	1103-1568	GIVEN	1103	2022-01-14 08:17:41.998
36052	1107-1631	GIVEN	1107	2022-01-14 03:40:16.941
27165	1108-1667	GIVEN	1108	2022-01-14 02:24:30.727
9780	1103-1681	GIVEN	1103	2022-01-14 01:52:37.500
27127	1100-1734	GIVEN	1100	2022-01-14 13:22:13.217
19669	1107-1802	GIVEN	1107	2022-01-14 20:53:06.772
32403	1109-1859	GIVEN	1109	2022-01-14 01:25:59.380
417	1102-1879	GIVEN	1102	2022-01-14 01:18:22.164
38492	1108-1923	GIVEN	1108	2022-01-14 00:44:18.446
6228	1102-1934	GIVEN	1102	2022-01-14 07:36:24.265
