userid	voucherCode	status	campaignID	time
12699	1106-33	GIVEN	1106	2022-01-15 22:23:26.720
17766	1100-49	GIVEN	1100	2022-01-15 19:27:19.956
4814	1107-99	GIVEN	1107	2022-01-15 05:35:39.129
36720	1108-102	GIVEN	1108	2022-01-15 18:04:05.793
7158	1101-104	GIVEN	1101	2022-01-15 12:22:54.714
11997	1103-168	GIVEN	1103	2022-01-15 16:33:17.903
10689	1109-236	GIVEN	1109	2022-01-15 18:30:44.276
33413	1106-257	GIVEN	1106	2022-01-15 02:19:54.711
8071	1108-261	GIVEN	1108	2022-01-15 21:48:53.887
19758	1103-268	GIVEN	1103	2022-01-15 20:51:47.103
13237	1109-300	GIVEN	1109	2022-01-15 15:19:34.289
22598	1103-356	GIVEN	1103	2022-01-15 02:57:45.946
31215	1109-360	GIVEN	1109	2022-01-15 02:29:05.049
3321	1108-399	GIVEN	1108	2022-01-15 23:24:22.147
33019	1109-405	GIVEN	1109	2022-01-15 07:51:54.380
23737	1101-432	GIVEN	1101	2022-01-15 06:14:24.551
12617	1103-435	GIVEN	1103	2022-01-15 20:09:57.803
19038	1101-464	GIVEN	1101	2022-01-15 17:00:06.583
38670	1106-492	GIVEN	1106	2022-01-15 16:30:35.738
35438	1109-494	GIVEN	1109	2022-01-15 14:56:47.720
8910	1106-545	GIVEN	1106	2022-01-15 21:41:40.510
9970	1106-546	GIVEN	1106	2022-01-15 00:38:13.585
23150	1103-610	GIVEN	1103	2022-01-15 08:08:42.139
23896	1100-658	GIVEN	1100	2022-01-15 12:24:41.621
1449	1109-706	GIVEN	1109	2022-01-15 09:12:29.566
21797	1107-708	GIVEN	1107	2022-01-15 05:48:11.930
1565	1107-710	GIVEN	1107	2022-01-15 19:55:53.304
12240	1102-745	GIVEN	1102	2022-01-15 13:49:28.747
35511	1109-756	GIVEN	1109	2022-01-15 12:55:35.979
18294	1103-760	GIVEN	1103	2022-01-15 09:10:28.167
27452	1103-790	GIVEN	1103	2022-01-15 17:22:24.589
11636	1107-827	GIVEN	1107	2022-01-15 14:30:15.780
34815	1107-935	GIVEN	1107	2022-01-15 03:29:59.452
5987	1107-948	GIVEN	1107	2022-01-15 05:16:38.484
20116	1101-1069	GIVEN	1101	2022-01-15 18:05:54.868
6410	1107-1076	GIVEN	1107	2022-01-15 13:16:45.765
29488	1102-1097	GIVEN	1102	2022-01-15 22:47:05.863
29317	1109-1123	GIVEN	1109	2022-01-15 12:05:29.232
36115	1109-1125	GIVEN	1109	2022-01-15 14:14:16.473
38210	1104-1157	GIVEN	1104	2022-01-15 19:57:00.989
30586	1102-1231	GIVEN	1102	2022-01-15 14:03:13.936
15503	1107-1239	GIVEN	1107	2022-01-15 18:18:30.188
4340	1105-1276	GIVEN	1105	2022-01-15 20:00:58.970
18144	1105-1285	GIVEN	1105	2022-01-15 21:16:25.227
11587	1105-1320	GIVEN	1105	2022-01-15 09:21:49.869
34777	1108-1373	GIVEN	1108	2022-01-15 08:01:58.244
14029	1102-1385	GIVEN	1102	2022-01-15 00:00:11.330
26231	1101-1440	GIVEN	1101	2022-01-15 01:04:35.202
30993	1106-1526	GIVEN	1106	2022-01-15 00:02:04.375
27123	1105-1556	GIVEN	1105	2022-01-15 05:01:53.870
10362	1105-1558	GIVEN	1105	2022-01-15 04:49:50.006
26164	1104-1571	GIVEN	1104	2022-01-15 10:00:44.575
691	1104-1577	GIVEN	1104	2022-01-15 10:37:56.332
22050	1102-1584	GIVEN	1102	2022-01-15 21:49:37.738
3180	1102-1609	GIVEN	1102	2022-01-15 18:24:47.743
28724	1101-1619	GIVEN	1101	2022-01-15 15:35:49.414
37962	1105-1643	GIVEN	1105	2022-01-15 15:33:47.171
22083	1107-1704	GIVEN	1107	2022-01-15 04:54:35.951
39906	1100-1708	GIVEN	1100	2022-01-15 11:22:16.551
13102	1109-1736	GIVEN	1109	2022-01-15 07:06:47.196
21688	1108-1740	GIVEN	1108	2022-01-15 01:32:48.725
9163	1106-1788	GIVEN	1106	2022-01-15 20:56:52.127
35409	1101-1801	GIVEN	1101	2022-01-15 04:20:30.870
25874	1106-1804	GIVEN	1106	2022-01-15 02:45:34.031
34746	1107-1812	GIVEN	1107	2022-01-15 13:42:27.536
23145	1108-1825	GIVEN	1108	2022-01-15 23:38:30.383
19679	1102-1845	GIVEN	1102	2022-01-15 21:00:45.186
23331	1102-1846	GIVEN	1102	2022-01-15 01:23:14.800
3563	1103-1878	GIVEN	1103	2022-01-15 23:21:55.102
36057	1105-1894	GIVEN	1105	2022-01-15 15:59:24.724
25719	1102-1950	GIVEN	1102	2022-01-15 07:27:25.031
8130	1102-1963	GIVEN	1102	2022-01-15 23:09:10.345
24102	1108-2015	GIVEN	1108	2022-01-15 03:22:31.697
6924	1109-2076	GIVEN	1109	2022-01-15 02:28:41.297
34700	1106-2110	GIVEN	1106	2022-01-15 00:20:50.792
8716	1108-2126	GIVEN	1108	2022-01-15 13:08:20.351
26818	1105-2136	GIVEN	1105	2022-01-15 09:38:05.205
19506	1104-2193	GIVEN	1104	2022-01-15 19:08:55.576
9760	1100-2214	GIVEN	1100	2022-01-15 06:23:20.372
21834	1104-2225	GIVEN	1104	2022-01-15 09:49:25.296
3915	1103-2240	GIVEN	1103	2022-01-15 07:32:01.740
22673	1107-2242	GIVEN	1107	2022-01-15 18:45:33.657
30394	1100-2245	GIVEN	1100	2022-01-15 18:31:53.569
22198	1105-2261	GIVEN	1105	2022-01-15 14:42:41.431
268	1109-2282	GIVEN	1109	2022-01-15 08:26:50.159
31077	1102-2287	GIVEN	1102	2022-01-15 20:19:17.482
37883	1108-2289	GIVEN	1108	2022-01-15 13:56:16.803
1496	1103-2356	GIVEN	1103	2022-01-15 03:07:02.992
1333	1105-2381	GIVEN	1105	2022-01-15 10:18:01.437
31927	1109-2391	GIVEN	1109	2022-01-15 21:22:55.904
37474	1102-2399	GIVEN	1102	2022-01-15 14:05:33.642
37473	1101-2405	GIVEN	1101	2022-01-15 21:23:35.472
29868	1103-2445	GIVEN	1103	2022-01-15 00:27:44.936
30212	1103-2471	GIVEN	1103	2022-01-15 06:51:19.019
4152	1102-2513	GIVEN	1102	2022-01-15 09:42:31.050
19186	1102-2515	GIVEN	1102	2022-01-15 10:18:44.310
6772	1104-2533	GIVEN	1104	2022-01-15 19:28:09.016
25534	1104-2570	GIVEN	1104	2022-01-15 23:34:07.695
10113	1108-2605	GIVEN	1108	2022-01-15 10:19:11.838
8629	1105-2624	GIVEN	1105	2022-01-15 22:51:40.416
25236	1109-2703	GIVEN	1109	2022-01-15 17:02:05.190
10069	1106-2742	GIVEN	1106	2022-01-15 09:01:29.829
24216	1102-2776	GIVEN	1102	2022-01-15 02:59:20.515
25861	1101-2793	GIVEN	1101	2022-01-15 02:06:29.368
14650	1107-2820	GIVEN	1107	2022-01-15 13:44:13.910
29172	1103-2821	GIVEN	1103	2022-01-15 19:00:26.871
9639	1106-2832	GIVEN	1106	2022-01-15 15:25:49.547
33575	1102-2947	GIVEN	1102	2022-01-15 07:11:42.925
26089	1102-2982	GIVEN	1102	2022-01-15 10:09:58.123
22156	1109-3009	GIVEN	1109	2022-01-15 10:41:21.901
36705	1101-3010	GIVEN	1101	2022-01-15 14:21:41.286
29690	1104-3032	GIVEN	1104	2022-01-15 15:24:15.912
4811	1104-3174	GIVEN	1104	2022-01-15 15:20:54.856
24879	1107-3192	GIVEN	1107	2022-01-15 12:28:09.778
8187	1102-3206	GIVEN	1102	2022-01-15 11:55:08.735
24393	1102-3210	GIVEN	1102	2022-01-15 23:29:42.537
8167	1107-3229	GIVEN	1107	2022-01-15 21:52:27.341
14890	1104-3259	GIVEN	1104	2022-01-15 06:07:14.238
32413	1100-3261	GIVEN	1100	2022-01-15 03:41:18.911
5658	1108-3347	GIVEN	1108	2022-01-15 00:09:59.909
13988	1108-3382	GIVEN	1108	2022-01-15 12:19:43.578
38989	1108-3418	GIVEN	1108	2022-01-15 17:01:30.971
13963	1109-3458	GIVEN	1109	2022-01-15 05:19:41.408
7766	1108-3465	GIVEN	1108	2022-01-15 17:22:42.775
21729	1103-3466	GIVEN	1103	2022-01-15 05:21:40.708
7938	1107-3468	GIVEN	1107	2022-01-15 05:17:54.843
36245	1101-3520	GIVEN	1101	2022-01-15 08:45:44.903
19834	1104-3526	GIVEN	1104	2022-01-15 16:04:06.600
39568	1105-3570	GIVEN	1105	2022-01-15 18:09:14.806
24838	1105-3655	GIVEN	1105	2022-01-15 15:20:35.708
10936	1103-3684	GIVEN	1103	2022-01-15 22:00:20.930
1173	1107-3700	GIVEN	1107	2022-01-15 14:35:04.990
3226	1109-3723	GIVEN	1109	2022-01-15 20:55:36.175
26835	1108-3754	GIVEN	1108	2022-01-15 01:20:20.557
14247	1101-3826	GIVEN	1101	2022-01-15 15:53:59.782
32521	1105-3885	GIVEN	1105	2022-01-15 16:58:00.771
38836	1102-3974	GIVEN	1102	2022-01-15 06:35:08.076
27263	1107-3995	GIVEN	1107	2022-01-15 18:10:05.662
24883	1101-4018	GIVEN	1101	2022-01-15 11:41:59.703
16119	1106-4055	GIVEN	1106	2022-01-15 02:26:28.477
17543	1106-4101	GIVEN	1106	2022-01-15 17:54:21.411
17914	1105-4159	GIVEN	1105	2022-01-15 18:32:16.180
38257	1100-4188	GIVEN	1100	2022-01-15 00:10:45.737
6008	1102-4342	GIVEN	1102	2022-01-15 23:10:12.622
37385	1104-4453	GIVEN	1104	2022-01-15 01:48:50.747
31630	1107-4457	GIVEN	1107	2022-01-15 01:53:17.605
5777	1108-4459	GIVEN	1108	2022-01-15 12:37:35.097
39566	1104-4486	GIVEN	1104	2022-01-15 23:17:42.717
25984	1102-4491	GIVEN	1102	2022-01-15 15:39:25.672
22105	1102-4625	GIVEN	1102	2022-01-15 03:21:37.373
23261	1104-4629	GIVEN	1104	2022-01-15 00:56:27.052
12176	1109-4763	GIVEN	1109	2022-01-15 15:24:00.612
8483	1103-4805	GIVEN	1103	2022-01-15 03:05:08.048
33773	1104-4815	GIVEN	1104	2022-01-15 23:01:30.266
38453	1104-4904	GIVEN	1104	2022-01-15 10:12:47.818
14537	1109-4914	GIVEN	1109	2022-01-15 04:16:52.029
23542	1100-4936	GIVEN	1100	2022-01-15 17:26:38.917
1610	1100-4953	GIVEN	1100	2022-01-15 20:44:13.639
26356	1109-4961	GIVEN	1109	2022-01-15 21:30:00.485
28371	1103-4990	GIVEN	1103	2022-01-15 12:12:43.115
33408	1101-5051	GIVEN	1101	2022-01-15 07:52:59.761
38973	1105-5071	GIVEN	1105	2022-01-15 04:17:25.943
19783	1104-5130	GIVEN	1104	2022-01-15 19:48:30.115
34809	1106-5135	GIVEN	1106	2022-01-15 17:02:16.159
37315	1101-5136	GIVEN	1101	2022-01-15 03:30:54.194
24664	1105-5173	GIVEN	1105	2022-01-15 03:53:09.208
4405	1104-5237	GIVEN	1104	2022-01-15 14:15:15.550
32560	1109-5244	GIVEN	1109	2022-01-15 13:10:41.082
35086	1100-5259	GIVEN	1100	2022-01-15 19:22:57.801
19831	1100-5261	GIVEN	1100	2022-01-15 04:00:16.374
13321	1106-5306	GIVEN	1106	2022-01-15 08:15:49.554
21550	1104-5313	GIVEN	1104	2022-01-15 12:21:46.278
31605	1104-5385	GIVEN	1104	2022-01-15 18:12:53.847
33396	1103-5394	GIVEN	1103	2022-01-15 21:57:41.050
23693	1108-5406	GIVEN	1108	2022-01-15 01:27:55.281
2145	1106-5414	GIVEN	1106	2022-01-15 19:08:25.283
15520	1102-5456	GIVEN	1102	2022-01-15 01:27:50.824
